time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.9040,18.2305,0.5054,4.224,0,19.519,3.264,0.545,3.0446,2.045,3.045,0,1
5.9070,18.2429,0.5078,4.222,0,19.519,3.264,0.545,3.0372,2.045,3.045,0,1
5.9100,18.2554,0.5103,4.224,0,19.519,3.264,0.545,3.0297,2.045,3.045,0,1
5.9130,18.2678,0.5127,4.223,0,19.519,3.264,0.545,3.0224,2.045,3.045,0,1
5.9160,18.2803,0.5152,4.229,0,19.519,3.264,0.545,3.0150,2.045,3.045,0,1
5.9190,18.2928,0.5176,4.228,0,19.519,3.264,0.545,3.0076,2.045,3.045,0,1
5.9220,18.3052,0.5201,4.227,0,19.519,3.264,0.545,3.0004,2.045,3.045,0,1
5.9250,18.3177,0.5225,4.226,0,19.519,3.264,0.545,2.9931,2.045,3.045,0,1
5.9280,18.3301,0.5250,4.227,0,19.519,3.264,0.545,2.9859,2.045,3.045,0,1
5.9310,18.3426,0.5274,4.227,0,19.519,3.264,0.545,2.9787,2.045,3.045,0,1
5.9340,18.3550,0.5299,4.227,0,19.519,3.264,0.545,2.9715,2.045,3.045,0,1
5.9370,18.3675,0.5323,4.226,0,19.519,3.264,0.545,2.9644,2.045,3.045,0,1
5.9400,18.3799,0.5348,4.227,0,19.519,3.264,0.545,2.9573,2.045,3.045,0,1
5.9430,18.3924,0.5373,4.227,0,19.519,3.264,0.545,2.9502,2.045,3.045,0,1
5.9460,18.4048,0.5398,4.225,0,19.519,3.264,0.545,2.9432,2.045,3.045,0,1
5.9490,18.4173,0.5423,4.228,0,19.519,3.264,0.545,2.9362,2.045,3.045,0,1
5.9520,18.4297,0.5448,4.227,0,19.519,3.264,0.545,2.9292,2.045,3.045,0,1
5.9550,18.4422,0.5473,4.227,0,19.519,3.264,0.545,2.9223,2.045,3.045,0,1
5.9580,18.4546,0.5498,4.227,0,19.519,3.264,0.545,2.9154,2.045,3.045,0,1
5.9610,18.4670,0.5523,4.228,0,19.519,3.264,0.545,2.9086,2.045,3.045,0,1
5.9640,18.4795,0.5548,4.228,0,19.519,3.264,0.545,2.9017,2.045,3.045,0,1
5.9670,18.4919,0.5573,4.228,0,19.519,3.264,0.545,2.8949,2.045,3.045,0,1
5.9700,18.5043,0.5599,4.227,0,19.519,3.264,0.545,2.8882,2.045,3.045,0,1
5.9730,18.5168,0.5624,4.228,0,19.519,3.264,0.545,2.8814,2.045,3.045,0,1
5.9760,18.5292,0.5650,4.228,0,19.519,3.264,0.545,2.8747,2.045,3.045,0,1
5.9790,18.5416,0.5675,4.228,0,19.519,3.264,0.545,2.8681,2.045,3.045,0,1
5.9820,18.5541,0.5701,4.227,0,19.519,3.264,0.545,2.8614,2.045,3.045,0,1
5.9850,18.5665,0.5727,4.227,0,19.519,3.264,0.545,2.8549,2.045,3.045,0,1
5.9880,18.5789,0.5752,4.227,0,19.519,3.264,0.545,2.8483,2.045,3.045,0,1
5.9910,18.5913,0.5778,4.227,0,19.519,3.264,0.545,2.8418,2.045,3.045,0,1
5.9940,18.6038,0.5804,4.226,0,19.519,3.264,0.545,2.8353,2.045,3.045,0,1
5.9970,18.6162,0.5830,4.227,0,19.519,3.264,0.545,2.8288,2.045,3.045,0,1
6.0000,18.6286,0.5856,4.226,0,19.519,3.264,0.545,2.8224,2.045,3.045,0,1
6.0030,18.6410,0.5882,4.225,0,19.519,3.264,0.545,2.8161,2.045,3.045,0,1
6.0060,18.6534,0.5909,4.226,0,19.519,3.264,0.545,2.8097,2.045,3.045,0,1
6.0090,18.6659,0.5935,4.225,0,19.519,3.264,0.545,2.8034,2.045,3.045,0,1
6.0120,18.6783,0.5961,4.223,0,19.519,3.264,0.545,2.7971,2.045,3.045,0,1
6.0150,18.6907,0.5988,4.224,0,19.519,3.264,0.545,2.7909,2.045,3.045,0,1
6.0180,18.7031,0.6015,4.224,0,19.519,3.264,0.545,2.7847,2.045,3.045,0,1
6.0210,18.7155,0.6042,4.224,0,19.519,3.264,0.545,2.7785,2.045,3.045,0,1
6.0240,18.7279,0.6068,4.225,0,19.519,3.264,0.545,2.7724,2.045,3.045,0,1
6.0270,18.7403,0.6095,4.226,0,19.519,3.264,0.545,2.7663,2.045,3.045,0,1
6.0300,18.7527,0.6122,4.225,0,19.519,3.264,0.545,2.7602,2.045,3.045,0,1
6.0330,18.7651,0.6149,4.224,0,19.519,3.264,0.545,2.7542,2.045,3.045,0,1
6.0360,18.7775,0.6176,4.225,0,19.519,3.264,0.545,2.7483,2.045,3.045,0,1
6.0390,18.7899,0.6203,4.226,0,19.519,3.264,0.545,2.7423,2.045,3.045,0,1
6.0420,18.8023,0.6230,4.227,0,19.519,3.264,0.545,2.7365,2.045,3.045,0,1
6.0450,18.8147,0.6257,4.224,0,19.519,3.264,0.545,2.7306,2.045,3.045,0,1
