sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778818989.826689,0,1.700885,-0.025691,-0.000221,0.0381,-0.0224,0.000907,1.648492,-0.000007,-0.000005,-0.0106,1.702631,-0.025871,-0.000221,0.0391,-0.0001,-0.000004,0.022986,0.0000,1.702631,0.000000,-0.000000,1.5933,0.000000,0.448158,83.3297,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0093,0.0000,0.000000,0.0448,17.63,9.75,45.00,8.33,-0.000007,-0.0003,-1.6039,nan,nan,nan,nan,nan,nan,0.0,0.0,173.51116198257273,198.30198160980294,0.041934,0.047909,6526.1,6094.4,0.004058,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778818989.836105,1,1.657180,0.022420,-0.007294,0.0068,0.0509,-0.001216,1.648463,-0.000004,-0.000003,0.0001,1.658501,0.022346,-0.007293,0.0339,-0.0001,-0.000002,0.054604,0.0000,1.658501,0.000000,-0.000000,1.6505,0.000000,0.628431,75.9515,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0101,0.0000,0.000000,0.0524,15.22,9.09,39.53,5.38,-0.000004,-0.0002,-1.6504,nan,nan,nan,nan,nan,nan,0.0,0.0,99.96708671086836,108.91117632347638,0.014882,0.018155,6522.7,6097.9,0.006461,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778818989.846925,2,1.656703,-0.010928,-0.004084,0.0577,-0.0477,0.000516,1.648468,0.000000,-0.000000,0.0002,1.658030,-0.011061,-0.004085,0.0388,-0.0002,-0.000009,0.063630,0.0000,1.658030,0.000000,-0.000000,1.6511,0.000000,0.715463,75.1130,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0111,0.0000,0.000000,0.0609,13.00,8.53,34.53,5.36,0.000000,-0.0000,-1.6509,nan,nan,nan,nan,nan,nan,0.0,0.0,141.70014298557751,151.30077514206806,0.030146,0.033442,6521.2,6099.4,0.007501,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778818989.858843,3,1.659778,0.029937,-0.004270,-0.0170,0.0716,-0.000154,1.648452,0.000005,0.000003,-0.0009,1.660721,0.029944,-0.004268,0.0316,0.0000,0.000001,0.069056,0.0000,1.660721,0.000000,-0.000000,1.6478,0.000000,0.752845,75.4569,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0121,0.0000,0.000000,0.0700,11.10,8.06,30.25,5.35,0.000005,0.0002,-1.6486,nan,nan,nan,nan,nan,nan,0.0,0.0,58.941528179833526,66.11597704730455,-0.003291,-0.000827,6520.0,6100.5,0.008311,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778818989.870878,4,1.574334,0.020279,-0.004002,0.0577,0.0612,-0.000375,1.648434,0.000012,0.000007,-0.0008,1.575310,0.020378,-0.003999,0.0370,0.0004,0.000019,0.076055,0.0000,1.575310,0.000000,0.000000,1.7448,0.000000,0.779150,77.7572,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0132,0.0000,0.000000,0.0793,9.49,7.67,26.64,5.49,0.000012,0.0004,-1.7456,nan,nan,nan,nan,nan,nan,0.0,0.0,35.59598097299205,39.53566865005327,-0.026099,-0.024593,6517.9,6102.7,0.009836,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778818989.886909,5,1.562989,0.066695,-0.001731,-0.0338,-0.0669,-0.000421,1.648415,0.000018,0.000011,-0.0007,1.563689,0.066673,-0.001731,0.0302,-0.0001,-0.000005,0.082511,0.0000,1.563689,0.000000,0.000000,1.7570,0.000000,0.789412,79.8549,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0144,0.0000,0.000000,0.0888,8.13,7.32,23.58,5.32,0.000018,0.0006,-1.7577,nan,nan,nan,nan,nan,nan,0.0,0.0,75.70562422974513,75.36210601033221,0.005089,0.005766,6515.8,6104.8,0.011276,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778818989.896283,6,1.643532,-0.009460,-0.002825,0.0718,-0.0178,0.000746,1.648397,0.000023,0.000015,-0.0006,1.644347,-0.009504,-0.002825,0.0385,-0.0004,-0.000013,0.088677,0.0000,1.644347,0.000000,0.000000,1.6676,0.000000,0.781181,74.1873,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0157,0.0000,0.000000,0.0982,7.17,7.00,21.35,5.20,0.000023,0.0008,-1.6682,nan,nan,nan,nan,nan,nan,0.0,0.0,88.35937251482352,87.60849336546516,0.010517,0.012017,6513.8,6106.7,0.012637,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778818989.906944,7,1.645027,-0.040673,-0.000008,0.0330,0.0132,0.000923,1.648380,0.000029,0.000019,-0.0005,1.645740,-0.040686,-0.000007,0.0377,-0.0002,-0.000003,0.094381,0.0000,1.645740,0.000000,0.000000,1.6659,0.000000,0.768148,73.8541,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0198,0.0000,0.000000,0.1074,6.16,6.73,19.05,5.20,0.000029,0.0011,-1.6664,nan,nan,nan,nan,nan,nan,0.0,0.0,70.23239089616274,71.65509433608337,0.002816,0.005206,6511.9,6108.7,0.013999,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778818989.918913,8,1.686096,0.034854,-0.006542,0.0209,0.0206,0.000461,1.648364,0.000036,0.000023,-0.0004,1.686684,0.034870,-0.006540,0.0348,0.0003,0.000018,0.100337,0.0000,1.686684,0.000000,-0.000000,1.6147,0.000000,0.745122,73.4908,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0240,0.0000,0.000000,0.1163,5.30,6.52,17.11,5.31,0.000036,0.0013,-1.6151,nan,nan,nan,nan,nan,nan,0.0,0.0,53.34459541718728,55.837810942814855,-0.005998,-0.003481,6509.9,6110.6,0.015366,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778818989.930918,9,1.695524,-0.006240,0.000535,0.0666,-0.0810,0.000915,1.648349,0.000042,0.000027,-0.0003,1.696156,-0.006334,0.000535,0.0412,-0.0020,-0.000056,0.105557,0.0000,1.696156,0.000000,-0.000000,1.6021,0.000000,0.730076,72.0369,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0284,0.0000,0.000000,0.1251,4.56,6.33,15.46,5.29,0.000042,0.0015,-1.6025,0.008000,0.060393,0.0433,-0.462686,-0.013662,0.000488,0.0,0.0,129.65848389224283,129.56561985412384,0.025939,0.029136,6508.2,6112.4,0.016579,0.000000,0.000000,0.5000,1.0000,,,,,
