time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,15.778709,0.013983,0.013983,0.028275
0.102000,0.055424,0.000003,1.677833,-0.000092,-0.000762,0.000109,0.000347,0.000000,0.150975,0.000000,0,0,15.779279,0.011780,0.011780,0.025080
0.204000,0.055295,0.000016,1.522611,0.000539,-0.000017,0.000724,0.000373,0.000000,0.266182,0.000000,0,0,15.779409,0.016835,0.016835,0.032411
0.306000,0.055218,0.000055,1.263977,0.000578,0.000209,0.003161,0.000418,0.000000,0.405139,0.000000,0,0,15.779487,0.013656,0.013656,0.027801
0.408000,0.055172,0.000148,0.902700,0.000348,-0.000054,0.010424,0.000443,0.000000,0.551061,0.000000,0,0,15.779536,0.012320,0.012320,0.025864
0.510000,0.059535,-0.000521,0.564099,0.058951,0.105711,-0.009351,0.007289,0.000000,0.670946,0.000000,0,0,15.775153,0.011714,0.011714,0.024986
0.612000,0.064255,-0.000659,0.637801,0.016185,-0.030939,-0.004394,0.016675,0.000000,0.787242,0.000000,0,0,15.770431,0.017811,0.017811,0.033826
0.714000,0.062620,-0.000162,0.743521,0.035375,-0.002970,0.005048,0.014875,0.000000,0.856457,0.000000,0,0,15.772082,0.011542,0.011542,0.024736
0.816000,0.064311,0.000434,0.748872,0.063795,0.060263,0.007863,0.011728,0.000000,0.907804,0.000000,0,0,15.770412,0.013017,0.013017,0.026874
0.918000,0.079497,-0.001491,0.706462,0.179285,0.229997,-0.017739,0.016961,0.000000,0.937797,0.000000,0,0,15.755170,0.009989,0.009989,0.022484
1.020000,0.115179,-0.001212,0.677623,0.459928,0.462357,0.006489,0.018679,0.000000,0.960048,0.000000,0,0,15.719517,0.006710,0.006710,0.017729
1.122000,0.175205,0.001272,0.702732,0.711313,0.693044,0.039596,0.022898,0.000000,0.973045,0.000000,0,0,15.659609,0.011508,0.011508,0.024687
1.224000,0.253596,0.007920,0.740480,0.843790,0.843360,0.062803,0.019327,0.000000,0.982687,0.000000,0,0,15.581490,0.014385,0.014385,0.028859
1.326000,0.347753,0.016311,0.765476,0.999108,1.000337,0.063394,0.017282,0.000000,0.988319,0.000000,0,0,15.487681,0.009756,0.009756,0.022146
1.428000,0.458812,0.024030,0.777008,1.180337,1.178923,0.052241,0.021750,0.000000,0.992498,0.000000,0,0,15.376964,0.009090,0.009090,0.021181
1.530000,0.588674,0.030953,0.780671,1.363881,1.362110,0.033078,0.028669,0.000000,0.994938,0.000000,0,0,15.247436,0.014799,0.014799,0.029458
1.632000,0.736301,0.036335,0.780409,1.525508,1.525120,0.013251,0.019410,0.000000,0.996749,0.000000,0,0,15.100104,0.011977,0.011977,0.025367
1.734000,0.899349,0.041218,0.778847,1.669653,1.672187,0.011098,0.015032,0.000000,0.997807,0.000000,0,0,14.937351,0.012474,0.012474,0.026087
1.836000,1.077663,0.046762,0.777462,1.818401,1.820719,0.010054,0.011822,0.000000,0.998591,0.000000,0,0,14.759376,0.010821,0.010821,0.023690
1.938000,1.271044,0.053140,0.776776,1.966956,1.967681,0.016583,0.010859,0.000000,0.999050,0.000000,0,0,14.566386,0.010392,0.010392,0.023068
