time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.243973,0.013983,0.013983,0.028275
0.102000,0.055424,0.000002,1.677833,-0.000086,-0.000755,0.000056,0.000348,0.000000,0.093708,0.000000,0,0,13.244535,0.011780,0.011780,0.025080
0.204000,0.055295,0.000008,1.522611,0.000513,-0.000037,0.000368,0.000376,0.000000,0.165072,0.000000,0,0,13.244664,0.016835,0.016835,0.032411
0.306000,0.055218,0.000026,1.263977,0.000576,0.000236,0.001469,0.000424,0.000000,0.247466,0.000000,0,0,13.244742,0.013656,0.013656,0.027801
0.408000,0.055175,0.000068,0.902700,0.000435,0.000186,0.004717,0.000456,0.000000,0.326927,0.000000,0,0,13.244792,0.012320,0.012320,0.025864
0.510000,0.057849,-0.000264,0.535884,0.029670,0.069296,-0.004751,0.011106,0.000000,0.387819,0.000000,0,0,13.242099,0.011714,0.011714,0.024986
0.612000,0.059301,0.000182,0.544882,-0.059282,-0.095673,0.007819,0.000412,0.000000,0.448446,0.000000,0,0,13.240739,0.017811,0.017811,0.033826
0.714000,0.050938,0.001264,0.650401,-0.041470,-0.062393,0.010413,0.000300,0.000000,0.503189,0.000000,0,0,13.249167,0.011542,0.011542,0.024736
0.816000,0.047731,0.002425,0.660752,0.019091,0.027980,0.012106,0.000434,0.000000,0.567164,0.000000,0,0,13.252520,0.013017,0.013017,0.026874
0.918000,0.060592,0.000510,0.623389,0.193737,0.202610,-0.035112,0.014867,0.000000,0.619423,0.000000,0,0,13.239519,0.009989,0.009989,0.022484
1.020000,0.082411,-0.000677,0.615928,0.243064,0.239139,0.008672,0.001941,0.000000,0.666150,0.000000,0,0,13.217797,0.006710,0.006710,0.017729
1.122000,0.116597,0.001892,0.629705,0.450723,0.442485,0.047483,0.006251,0.000000,0.699352,0.000000,0,0,13.184487,0.011508,0.011508,0.024687
1.224000,0.176047,0.006948,0.649392,0.723975,0.716633,0.051074,0.018406,0.000000,0.725030,0.000000,0,0,13.126668,0.014385,0.014385,0.028859
1.326000,0.265208,0.013204,0.673474,1.027117,1.019039,0.059638,0.015941,0.000000,0.732887,0.000000,0,0,13.039759,0.009756,0.009756,0.022146
1.428000,0.384611,0.021145,0.699751,1.318640,1.313666,0.069332,0.014231,0.000000,0.714497,0.000000,0,0,12.923344,0.009090,0.009090,0.021181
1.530000,0.533076,0.029784,0.722276,1.587067,1.587565,0.063966,0.005614,0.000000,0.670294,0.000000,0,0,12.778456,0.014799,0.014799,0.029458
1.632000,0.707121,0.037204,0.734214,1.822931,1.826752,0.049794,0.016551,0.000000,0.596523,0.000000,0,0,12.608234,0.011977,0.011977,0.025367
1.734000,0.906306,0.043642,0.735653,2.072715,2.076251,0.037647,0.024697,0.000000,0.510885,0.000000,0,0,12.413179,0.012474,0.012474,0.026087
1.836000,1.131561,0.049760,0.732804,2.329007,2.328836,0.028755,0.020515,0.000000,0.430072,0.007776,0,0,12.192527,0.010821,0.010821,0.023690
1.938000,1.381127,0.056393,0.733850,2.549045,2.553120,0.030134,0.017838,0.000000,0.378286,0.028847,0,0,11.948205,0.010392,0.010392,0.023068
2.040000,1.651501,0.064839,0.736543,2.731271,2.741612,0.040865,0.017111,0.000000,0.335001,0.061452,0,0,11.683959,0.007058,0.007058,0.018233
2.142000,1.937757,0.074915,0.737442,2.843909,2.849878,0.047687,0.011172,0.000000,0.305574,0.094965,0,0,11.404672,0.016389,0.016389,0.031764
2.244000,2.229795,0.084236,0.735255,2.867849,2.866799,0.020743,0.007421,0.000000,0.279349,0.132378,0,0,11.119867,0.014938,0.014938,0.029660
2.346000,2.520287,0.090567,0.732182,2.816224,2.821760,-0.012994,0.008113,0.000000,0.260290,0.160658,0,0,10.836306,0.016119,0.016119,0.031372
2.448000,2.803523,0.094061,0.729624,2.717246,2.725008,-0.031048,0.008255,0.000000,0.242184,0.183313,0,0,10.559582,0.012564,0.012564,0.026218
2.550000,3.076276,0.097137,0.723653,2.646564,2.622853,-0.019871,-0.008615,0.000000,0.228231,0.193640,0,0,10.293314,0.010459,0.010459,0.023166
2.652000,3.337128,0.101854,0.697793,2.553092,2.486984,0.018452,-0.016701,0.000000,0.214299,0.193979,0,0,10.039308,0.013004,0.013004,0.026856
2.754000,3.581713,0.106965,0.676750,2.260526,2.298513,0.011425,-0.007691,0.113636,0.203113,0.184807,0,0,9.801557,0.016215,0.016215,0.031511
2.856000,3.808032,0.115722,0.693507,2.107487,2.146417,0.067802,0.051375,0.318182,0.191581,0.163735,0,0,9.582706,0.011705,0.011705,0.024972
2.958000,4.019012,0.131164,0.713190,1.999596,2.004440,0.120010,0.102655,0.500000,0.182094,0.136978,0,0,9.380603,0.010570,0.010570,0.023326
3.060000,4.216986,0.154425,0.720717,1.910059,1.900589,0.198481,0.131568,0.704545,0.172416,0.098707,0,0,9.193310,0.011854,0.011854,0.025188
3.162000,4.405311,0.188388,0.719451,1.819802,1.819111,0.275590,0.184860,0.833989,0.174163,0.066595,0,0,9.018360,0.015644,0.015644,0.030683
3.264000,4.585114,0.233023,0.716587,1.757290,1.760891,0.338734,0.204942,0.800593,0.220412,0.042774,0,0,8.854843,0.013485,0.013485,0.027554
3.366000,4.759094,0.284170,0.713723,1.726354,1.723897,0.354721,0.225367,0.733318,0.283996,0.028858,0,0,8.699307,0.010957,0.010957,0.023888
3.468000,4.930547,0.337720,0.711891,1.737977,1.732228,0.316940,0.204788,0.669263,0.370480,0.018535,0,0,8.547644,0.013026,0.013026,0.026887
3.570000,5.104952,0.391622,0.715305,1.805696,1.801418,0.296738,0.186895,0.613116,0.454347,0.012505,0,0,8.394102,0.013589,0.013589,0.027704
3.672000,5.288787,0.449221,0.720395,1.942157,1.937707,0.289717,0.169733,0.501494,0.549293,0.008032,0,0,8.233479,0.012361,0.012361,0.025923
3.774000,5.487593,0.512128,0.722526,2.105583,2.103119,0.284597,0.202547,0.517101,0.626374,0.005419,0,0,8.061186,0.013749,0.013749,0.027936
3.876000,5.704443,0.583392,0.724875,2.316546,2.317190,0.311817,0.214415,0.559954,0.698222,0.003481,0,0,7.875607,0.007244,0.007244,0.018503
3.978000,5.941125,0.666680,0.728364,2.552759,2.551828,0.330597,0.227165,0.499363,0.740276,0.002467,0,0,7.676836,0.450000,0.450000,0.660500
4.080000,6.198746,0.761701,0.732905,2.778096,2.782669,0.333536,0.232770,0.408156,0.771514,0.001508,0,0,7.464676,0.012076,0.012076,0.025511
