time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.3220,14.6666,4.1780,1.157,0,16.906,2.117,0.545,3.0439,2.045,3.045,0,1
8.3250,14.6697,4.1794,1.144,0,16.906,2.117,0.545,3.0426,2.045,3.045,0,1
8.3280,14.6729,4.1808,1.147,0,16.906,2.117,0.545,3.0412,2.045,3.045,0,1
8.3310,14.6760,4.1822,1.145,0,16.906,2.117,0.545,3.0398,2.045,3.045,0,1
8.3340,14.6792,4.1836,1.142,0,16.906,2.117,0.545,3.0385,2.045,3.045,0,1
8.3370,14.6823,4.1850,1.136,0,16.906,2.117,0.545,3.0371,2.045,3.045,0,1
8.3400,14.6855,4.1863,1.138,0,16.906,2.117,0.545,3.0357,2.045,3.045,0,1
8.3430,14.6886,4.1877,1.135,0,16.906,2.117,0.545,3.0343,2.045,3.045,0,1
8.3460,14.6918,4.1890,1.138,0,16.906,2.117,0.545,3.0330,2.045,3.045,0,1
8.3490,14.6949,4.1903,1.138,0,16.906,2.117,0.545,3.0316,2.045,3.045,0,1
8.3520,14.6981,4.1916,1.140,0,16.906,2.117,0.545,3.0302,2.045,3.045,0,1
8.3550,14.7012,4.1929,1.140,0,16.906,2.117,0.545,3.0288,2.045,3.045,0,1
8.3580,14.7044,4.1943,1.142,0,16.906,2.117,0.545,3.0273,2.045,3.045,0,1
8.3610,14.7076,4.1956,1.147,0,16.906,2.117,0.545,3.0259,2.045,3.045,0,1
8.3640,14.7108,4.1969,1.148,0,16.906,2.117,0.545,3.0245,2.045,3.045,0,1
8.3670,14.7140,4.1981,1.149,0,16.906,2.117,0.545,3.0231,2.045,3.045,0,1
8.3700,14.7172,4.1994,1.155,0,16.906,2.117,0.545,3.0217,2.045,3.045,0,1
8.3730,14.7204,4.2007,1.165,0,16.906,2.117,0.545,3.0202,2.045,3.045,0,1
8.3760,14.7236,4.2020,1.160,0,16.906,2.117,0.545,3.0188,2.045,3.045,0,1
8.3790,14.7268,4.2033,1.162,0,16.906,2.117,0.545,3.0173,2.045,3.045,0,1
8.3820,14.7301,4.2046,1.168,0,16.906,2.117,0.545,3.0159,2.045,3.045,0,1
8.3850,14.7333,4.2059,1.170,0,16.906,2.117,0.545,3.0144,2.045,3.045,0,1
8.3880,14.7366,4.2072,1.179,0,16.906,2.117,0.545,3.0130,2.045,3.045,0,1
8.3910,14.7399,4.2085,1.185,0,16.906,2.117,0.545,3.0116,2.045,3.045,0,1
8.3940,14.7432,4.2099,1.190,0,16.906,2.117,0.545,3.0101,2.045,3.045,0,1
8.3970,14.7465,4.2112,1.194,0,16.906,2.117,0.545,3.0087,2.045,3.045,0,1
8.4000,14.7498,4.2125,1.199,0,16.906,2.117,0.545,3.0072,2.045,3.045,0,1
8.4030,14.7531,4.2138,1.205,0,16.906,2.117,0.545,3.0057,2.045,3.045,0,1
8.4060,14.7565,4.2151,1.209,0,16.906,2.117,0.545,3.0042,2.045,3.045,0,1
8.4090,14.7599,4.2164,1.218,0,16.906,2.117,0.545,3.0027,2.045,3.045,0,1
8.4120,14.7633,4.2177,1.222,0,16.906,2.117,0.545,3.0012,2.045,3.045,0,1
8.4150,14.7666,4.2191,1.220,0,16.906,2.117,0.545,2.9997,2.045,3.045,0,1
8.4180,14.7701,4.2203,1.232,0,16.906,2.117,0.545,2.9982,2.045,3.045,0,1
8.4210,14.7735,4.2217,1.243,0,16.906,2.117,0.545,2.9966,2.045,3.045,0,1
8.4240,14.7769,4.2229,1.216,0,16.906,2.117,0.545,2.9951,2.045,3.045,0,1
8.4270,14.7804,4.2242,1.229,0,16.906,2.117,0.545,2.9936,2.045,3.045,0,1
8.4300,14.7838,4.2255,1.233,0,16.906,2.117,0.545,2.9921,2.045,3.045,0,1
8.4330,14.7872,4.2268,1.216,0,16.906,2.117,0.545,2.9906,2.045,3.045,0,1
8.4360,14.7906,4.2281,1.208,0,16.906,2.117,0.545,2.9891,2.045,3.045,0,1
8.4390,14.7939,4.2294,1.206,0,16.906,2.117,0.545,2.9876,2.045,3.045,0,1
8.4420,14.7973,4.2307,1.201,0,16.906,2.117,0.545,2.9862,2.045,3.045,0,1
8.4450,14.8007,4.2320,1.198,0,16.906,2.117,0.545,2.9847,2.045,3.045,0,1
8.4480,14.8040,4.2333,1.187,0,16.906,2.117,0.545,2.9833,2.045,3.045,0,1
8.4510,14.8073,4.2346,1.185,0,16.906,2.117,0.545,2.9819,2.045,3.045,0,1
8.4540,14.8106,4.2359,1.176,0,16.906,2.117,0.545,2.9805,2.045,3.045,0,1
8.4570,14.8139,4.2372,1.169,0,16.906,2.117,0.545,2.9791,2.045,3.045,0,1
8.4600,14.8171,4.2384,1.170,0,16.906,2.117,0.545,2.9777,2.045,3.045,0,1
8.4630,14.8204,4.2397,1.160,0,16.906,2.117,0.545,2.9764,2.045,3.045,0,1
8.4660,14.8236,4.2410,1.150,0,16.906,2.117,0.545,2.9750,2.045,3.045,0,1
8.4690,14.8267,4.2423,1.144,0,16.906,2.117,0.545,2.9737,2.045,3.045,0,1
8.4720,14.8299,4.2436,1.132,0,16.906,2.117,0.545,2.9724,2.045,3.045,0,1
8.4750,14.8331,4.2448,1.132,0,16.906,2.117,0.545,2.9711,2.045,3.045,0,1
8.4780,14.8362,4.2461,1.113,0,16.906,2.117,0.545,2.9698,2.045,3.045,0,1
8.4810,14.8393,4.2473,1.120,0,16.906,2.117,0.545,2.9685,2.045,3.045,0,1
8.4840,14.8424,4.2485,1.097,0,16.906,2.117,0.545,2.9673,2.045,3.045,0,1
8.4870,14.8454,4.2497,1.092,0,16.906,2.117,0.545,2.9660,2.045,3.045,0,1
8.4900,14.8485,4.2509,1.089,0,16.906,2.117,0.545,2.9648,2.045,3.045,0,1
8.4930,14.8515,4.2521,1.081,0,16.906,2.117,0.545,2.9635,2.045,3.045,0,1
8.4960,14.8545,4.2533,1.071,0,16.906,2.117,0.545,2.9623,2.045,3.045,0,1
8.4990,14.8575,4.2545,1.068,0,16.906,2.117,0.545,2.9610,2.045,3.045,0,1
8.5020,14.8605,4.2556,1.065,0,16.906,2.117,0.545,2.9598,2.045,3.045,0,1
8.5050,14.8635,4.2568,1.052,0,16.906,2.117,0.545,2.9586,2.045,3.045,0,1
8.5080,14.8664,4.2579,1.044,0,16.906,2.117,0.545,2.9573,2.045,3.045,0,1
8.5110,14.8694,4.2590,1.037,0,16.906,2.117,0.545,2.9561,2.045,3.045,0,1
8.5140,14.8722,4.2601,1.012,0,16.906,2.117,0.545,2.9550,2.045,3.045,0,1
8.5170,14.8751,4.2612,1.027,0,16.906,2.117,0.545,2.9538,2.045,3.045,0,1
8.5200,14.8780,4.2623,1.029,0,16.906,2.117,0.545,2.9526,2.045,3.045,0,1
8.5230,14.8809,4.2634,1.029,0,16.906,2.117,0.545,2.9514,2.045,3.045,0,1
8.5260,14.8838,4.2645,1.023,0,16.906,2.117,0.545,2.9502,2.045,3.045,0,1
8.5290,14.8867,4.2655,1.023,0,16.906,2.117,0.545,2.9490,2.045,3.045,0,1
8.5320,14.8896,4.2666,1.025,0,16.906,2.117,0.545,2.9478,2.045,3.045,0,1
8.5350,14.8925,4.2676,1.025,0,16.906,2.117,0.545,2.9465,2.045,3.045,0,1
8.5380,14.8954,4.2687,1.028,0,16.906,2.117,0.545,2.9453,2.045,3.045,0,1
8.5410,14.8984,4.2697,1.033,0,16.906,2.117,0.545,2.9440,2.045,3.045,0,1
8.5440,14.9013,4.2707,1.035,0,16.906,2.117,0.545,2.9428,2.045,3.045,0,1
8.5470,14.9043,4.2718,1.039,0,16.906,2.117,0.545,2.9415,2.045,3.045,0,1
8.5500,14.9073,4.2728,1.041,0,16.906,2.117,0.545,2.9402,2.045,3.045,0,1
8.5530,14.9102,4.2738,1.043,0,16.906,2.117,0.545,2.9390,2.045,3.045,0,1
8.5560,14.9132,4.2748,1.046,0,16.906,2.117,0.545,2.9377,2.045,3.045,0,1
8.5590,14.9162,4.2759,1.050,0,16.906,2.117,0.545,2.9365,2.045,3.045,0,1
8.5620,14.9192,4.2770,1.056,0,16.906,2.117,0.545,2.9352,2.045,3.045,0,1
8.5650,14.9222,4.2780,1.062,0,16.906,2.117,0.545,2.9340,2.045,3.045,0,1
8.5680,14.9252,4.2791,1.069,0,16.906,2.117,0.545,2.9327,2.045,3.045,0,1
8.5710,14.9282,4.2802,1.075,0,16.906,2.117,0.545,2.9315,2.045,3.045,0,1
8.5740,14.9313,4.2813,1.081,0,16.906,2.117,0.545,2.9302,2.045,3.045,0,1
8.5770,14.9344,4.2824,1.087,0,16.906,2.117,0.545,2.9290,2.045,3.045,0,1
8.5800,14.9374,4.2835,1.092,0,16.906,2.117,0.545,2.9277,2.045,3.045,0,1
8.5830,14.9405,4.2845,1.095,0,16.906,2.117,0.545,2.9264,2.045,3.045,0,1
8.5860,14.9436,4.2857,1.103,0,16.906,2.117,0.545,2.9252,2.045,3.045,0,1
8.5890,14.9467,4.2868,1.111,0,16.906,2.117,0.545,2.9239,2.045,3.045,0,1
8.5920,14.9499,4.2879,1.118,0,16.906,2.117,0.545,2.9226,2.045,3.045,0,1
8.5950,14.9530,4.2890,1.124,0,16.906,2.117,0.545,2.9214,2.045,3.045,0,1
8.5980,14.9562,4.2901,1.132,0,16.906,2.117,0.545,2.9201,2.045,3.045,0,1
8.6010,14.9594,4.2913,1.139,0,16.906,2.117,0.545,2.9188,2.045,3.045,0,1
8.6040,14.9626,4.2924,1.146,0,16.906,2.117,0.545,2.9175,2.045,3.045,0,1
8.6070,14.9659,4.2935,1.152,0,16.906,2.117,0.545,2.9162,2.045,3.045,0,1
8.6100,14.9691,4.2947,1.159,0,16.906,2.117,0.545,2.9149,2.045,3.045,0,1
8.6130,14.9724,4.2958,1.166,0,16.906,2.117,0.545,2.9136,2.045,3.045,0,1
8.6160,14.9756,4.2969,1.144,0,16.906,2.117,0.545,2.9122,2.045,3.045,0,1
8.6190,14.9789,4.2981,1.192,0,16.906,2.117,0.545,2.9109,2.045,3.045,0,1
8.6220,14.9823,4.2992,1.183,0,16.906,2.117,0.545,2.9096,2.045,3.045,0,1
8.6250,14.9856,4.3004,1.167,0,16.906,2.117,0.545,2.9082,2.045,3.045,0,1
8.6280,14.9889,4.3015,1.181,0,16.906,2.117,0.545,2.9069,2.045,3.045,0,1
8.6310,14.9922,4.3027,1.168,0,16.906,2.117,0.545,2.9056,2.045,3.045,0,1
8.6340,14.9955,4.3038,1.167,0,16.906,2.117,0.545,2.9043,2.045,3.045,0,1
8.6370,14.9987,4.3049,1.160,0,16.906,2.117,0.545,2.9030,2.045,3.045,0,1
8.6400,15.0020,4.3061,1.155,0,16.906,2.117,0.545,2.9017,2.045,3.045,0,1
8.6430,15.0052,4.3072,1.147,0,16.906,2.117,0.545,2.9004,2.045,3.045,0,1
8.6460,15.0085,4.3083,1.141,0,16.906,2.117,0.545,2.8992,2.045,3.045,0,1
8.6490,15.0117,4.3095,1.132,0,16.906,2.117,0.545,2.8979,2.045,3.045,0,1
8.6520,15.0149,4.3106,1.127,0,16.906,2.117,0.545,2.8967,2.045,3.045,0,1
8.6550,15.0180,4.3117,1.126,0,16.906,2.117,0.545,2.8955,2.045,3.045,0,1
8.6580,15.0212,4.3128,1.102,0,16.906,2.117,0.545,2.8942,2.045,3.045,0,1
8.6610,15.0243,4.3139,1.099,0,16.906,2.117,0.545,2.8930,2.045,3.045,0,1
8.6640,15.0274,4.3149,1.099,0,16.906,2.117,0.545,2.8918,2.045,3.045,0,1
8.6670,15.0305,4.3160,1.097,0,16.906,2.117,0.545,2.8906,2.045,3.045,0,1
8.6700,15.0336,4.3170,1.082,0,16.906,2.117,0.545,2.8894,2.045,3.045,0,1
8.6730,15.0367,4.3181,1.077,0,16.906,2.117,0.545,2.8882,2.045,3.045,0,1
8.6760,15.0397,4.3191,1.076,0,16.906,2.117,0.545,2.8871,2.045,3.045,0,1
8.6790,15.0427,4.3202,1.066,0,16.906,2.117,0.545,2.8859,2.045,3.045,0,1
8.6820,15.0457,4.3212,1.060,0,16.906,2.117,0.545,2.8847,2.045,3.045,0,1
8.6850,15.0487,4.3222,1.049,0,16.906,2.117,0.545,2.8836,2.045,3.045,0,1
8.6880,15.0517,4.3232,1.041,0,16.906,2.117,0.545,2.8824,2.045,3.045,0,1
8.6910,15.0546,4.3242,1.031,0,16.906,2.117,0.545,2.8813,2.045,3.045,0,1
8.6940,15.0576,4.3252,1.027,0,16.906,2.117,0.545,2.8801,2.045,3.045,0,1
8.6970,15.0605,4.3261,1.023,0,16.906,2.117,0.545,2.8790,2.045,3.045,0,1
8.7000,15.0634,4.3271,1.018,0,16.906,2.117,0.545,2.8779,2.045,3.045,0,1
8.7030,15.0663,4.3280,1.009,0,16.906,2.117,0.545,2.8767,2.045,3.045,0,1
