time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.937640,0.013983,0.013983,0.028275
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000760,0.000052,0.000334,0.000000,0.092150,0.000000,0,0,14.938205,0.011780,0.011780,0.025080
0.204000,0.055295,0.000008,1.522611,0.000523,-0.000028,0.000347,0.000375,0.000000,0.161806,0.000000,0,0,14.938332,0.016835,0.016835,0.032411
0.306000,0.055218,0.000025,1.263977,0.000580,0.000240,0.001413,0.000424,0.000000,0.246926,0.000000,0,0,14.938406,0.013656,0.013656,0.027801
0.408000,0.055276,0.000229,0.905234,0.020863,0.022903,0.014712,0.014584,0.000000,0.328807,0.000000,0,0,14.938324,0.012320,0.012320,0.025864
0.510000,0.061776,0.001625,0.696495,0.031407,0.058313,0.021998,0.010578,0.000000,0.384128,0.000000,0,0,14.931700,0.011714,0.011714,0.024986
0.612000,0.058046,0.004359,0.818873,-0.039450,-0.086144,0.025115,-0.005150,0.000000,0.438047,0.000000,0,0,14.935060,0.017811,0.017811,0.033826
0.714000,0.051487,0.007286,0.883002,-0.031709,-0.051124,0.026975,-0.001346,0.000000,0.516527,0.000000,0,0,14.941205,0.011542,0.011542,0.024736
0.816000,0.047833,0.010804,0.863383,-0.032041,-0.000945,0.049371,-0.026989,0.000000,0.604336,0.000000,0,0,14.944394,0.013017,0.013017,0.026874
0.918000,0.055095,0.014872,0.814639,0.157252,0.179539,0.032322,-0.026898,0.000000,0.697586,0.000000,0,0,14.936684,0.009989,0.009989,0.022484
1.020000,0.082935,0.015325,0.809782,0.369117,0.349416,0.004961,0.017698,0.000000,0.768463,0.000000,0,0,14.909002,0.006710,0.006710,0.017729
1.122000,0.130585,0.019315,0.837413,0.578616,0.570149,0.060061,0.012358,0.000000,0.801440,0.000000,0,0,14.861225,0.011508,0.011508,0.024687
1.224000,0.198447,0.026919,0.865182,0.756352,0.755703,0.081309,0.009248,0.000000,0.811000,0.000000,0,0,14.792944,0.014385,0.014385,0.028859
1.326000,0.285952,0.035280,0.887318,0.946539,0.946457,0.070777,0.020538,0.000000,0.795138,0.000000,0,0,14.705079,0.009756,0.009756,0.022146
1.428000,0.392119,0.042858,0.902447,1.124244,1.127208,0.061684,0.022832,0.000000,0.749546,0.000000,0,0,14.598793,0.009090,0.009090,0.021181
1.530000,0.516123,0.048455,0.908312,1.294264,1.298535,0.037628,0.028140,0.000000,0.687085,0.000000,0,0,14.475062,0.014799,0.014799,0.029458
1.632000,0.657574,0.051659,0.906646,1.469642,1.470664,0.013161,0.028733,0.000000,0.598858,0.000000,0,0,14.334329,0.011977,0.011977,0.025367
1.734000,0.816647,0.053637,0.903659,1.640467,1.639781,0.001209,0.025640,0.000000,0.506802,0.000000,0,0,14.176286,0.012474,0.012474,0.026087
1.836000,0.991782,0.055549,0.902552,1.791269,1.793256,0.004127,0.023669,0.000000,0.404641,0.002462,0,0,14.002343,0.010821,0.010821,0.023690
1.938000,1.182547,0.058848,0.901277,1.944609,1.945348,0.011376,0.017219,0.000000,0.341157,0.019660,0,0,13.812749,0.010392,0.010392,0.023068
2.040000,1.388567,0.063426,0.899894,2.089301,2.089657,0.019171,0.011710,0.000000,0.290297,0.049393,0,0,13.607893,0.007058,0.007058,0.018233
2.142000,1.607916,0.068927,0.897906,2.206546,2.209025,0.024228,0.013777,0.000000,0.257384,0.081574,0,0,13.389734,0.016389,0.016389,0.031764
2.244000,1.839096,0.075409,0.895895,2.320423,2.321223,0.027106,0.019051,0.000000,0.229569,0.119392,0,0,13.159758,0.014938,0.014938,0.029660
2.346000,2.081683,0.083026,0.895206,2.430827,2.430368,0.030146,0.019729,0.000000,0.210429,0.151496,0,0,12.918365,0.016119,0.016119,0.031372
2.448000,2.333825,0.091158,0.893115,2.504943,2.508774,0.025415,0.016912,0.000000,0.193162,0.184280,0,0,12.667481,0.012564,0.012564,0.026218
2.550000,2.591524,0.099031,0.889753,2.517933,2.522421,0.015149,0.016356,0.000000,0.180464,0.209739,0,0,12.411179,0.010459,0.010459,0.023166
2.652000,2.844160,0.105690,0.888557,2.420544,2.423681,-0.007737,0.014966,0.000000,0.168275,0.232803,0,0,12.160114,0.013004,0.013004,0.026856
2.754000,3.084688,0.110877,0.886140,2.302177,2.296253,-0.008817,0.008275,0.000000,0.158797,0.245191,0,0,11.921305,0.016215,0.016215,0.031511
2.856000,3.311772,0.117264,0.864575,2.206989,2.155514,0.015514,-0.014360,0.000000,0.149266,0.247961,0,0,11.695682,0.011705,0.011705,0.024972
2.958000,3.523243,0.124161,0.837733,1.949317,1.971808,0.016592,-0.015883,0.068182,0.141570,0.240566,0,0,11.485480,0.010570,0.010570,0.023326
3.060000,3.712640,0.132423,0.851592,1.718207,1.754127,0.045013,0.024249,0.272727,0.133604,0.221182,0,0,11.296945,0.011854,0.011854,0.025188
3.162000,3.880522,0.142525,0.872927,1.553586,1.548680,0.049639,0.050849,0.454545,0.127030,0.194907,0,0,11.129437,0.015644,0.015644,0.030683
3.264000,4.028899,0.153814,0.879827,1.383677,1.377101,0.071117,0.062706,0.512765,0.120115,0.158439,0,0,10.981049,0.013485,0.013485,0.027554
3.366000,4.161924,0.168176,0.877731,1.254199,1.253186,0.114250,0.063045,0.603674,0.000000,0.121946,0,0,10.847380,0.010957,0.010957,0.023888
3.468000,4.283398,0.186860,0.874107,1.147424,1.147861,0.142440,0.089628,0.717310,0.113194,0.078325,0,0,10.724477,0.013026,0.013026,0.026887
3.570000,4.394806,0.209634,0.872105,1.065736,1.064330,0.170952,0.103783,0.802961,0.154656,0.052844,0,0,10.610908,0.013589,0.013589,0.027704
3.672000,4.498264,0.235675,0.870652,0.999387,0.996974,0.205683,0.109931,0.784941,0.232638,0.033941,0,0,10.504712,0.012361,0.012361,0.025923
3.774000,4.596295,0.262849,0.869377,0.964089,0.960221,0.197333,0.128012,0.815587,0.321369,0.022899,0,0,10.403721,0.013749,0.013749,0.027936
3.876000,4.691961,0.291625,0.869488,0.981793,0.976617,0.186687,0.118621,0.664992,0.435879,0.014708,0,0,10.304844,0.007244,0.007244,0.018503
3.978000,4.792673,0.321542,0.870036,1.074784,1.069927,0.187437,0.102992,0.551889,0.529186,0.010424,0,0,10.200826,0.450000,0.450000,0.660500
4.080000,4.907517,0.352989,0.872231,1.249190,1.244293,0.177481,0.117024,0.603986,0.654749,0.006374,0,0,10.082622,0.012076,0.012076,0.025511
4.182000,5.042134,0.389774,0.874834,1.463742,1.459647,0.200302,0.125267,0.557238,0.000000,0.097835,0,0,9.944098,0.016105,0.016105,0.031352
4.284000,5.196354,0.433527,0.876909,1.635725,1.636137,0.219944,0.137605,0.514190,0.025564,0.000000,0,0,9.785202,0.012443,0.012443,0.026043
4.386000,5.365949,0.481579,0.876508,1.778084,1.778755,0.206706,0.146503,0.477426,0.826134,0.000000,0,0,9.610519,0.013073,0.013073,0.026955
4.488000,5.548459,0.533854,0.874738,1.917003,1.919742,0.207260,0.149431,0.297388,0.872963,0.001197,0,0,9.422511,0.013790,0.013790,0.027996
4.590000,5.748271,0.591044,0.873584,2.136467,2.132831,0.182923,0.088735,1.000000,0.280634,0.000000,0,0,9.216755,0.009327,0.009327,0.021524
4.692000,5.966029,0.655994,0.876053,2.280308,2.281866,0.237451,0.178352,1.000000,0.000000,0.138492,0,0,8.992260,0.010426,0.010426,0.023118
4.794000,6.190627,0.733519,0.881942,2.336667,2.344912,0.287264,0.209827,0.423910,0.828178,0.000000,0,0,8.759481,0.010903,0.010903,0.023809
4.896000,6.425267,0.819543,0.881381,2.521968,2.519187,0.264523,0.195123,0.709189,0.779410,0.000000,0,0,8.515904,0.014766,0.014766,0.029411
4.998000,6.675107,0.915039,0.881623,2.688798,2.687585,0.285576,0.241277,1.000000,0.422548,0.000000,0,0,8.256425,0.013526,0.013526,0.027612
5.100000,6.937110,1.023375,0.886126,2.840712,2.838211,0.317387,0.297630,0.910520,0.684934,0.000000,0,0,7.983869,0.011720,0.011720,0.024994
5.202000,7.210172,1.146496,0.891601,2.998543,2.998397,0.326243,0.312011,0.782251,0.625606,0.000000,0,0,7.699453,0.015578,0.015578,0.030588
5.304000,7.494152,1.283512,0.892038,3.149638,3.150179,0.313626,0.312526,0.560175,0.573279,0.000000,0,0,7.403860,0.012006,0.012006,0.025409
5.406000,7.789249,1.433246,0.889704,3.308350,3.306984,0.275553,0.297589,0.357424,0.516553,0.000000,0,0,7.097538,0.012471,0.012471,0.026082
5.508000,8.096457,1.593406,0.891263,3.462879,3.460818,0.212320,0.241945,0.216752,0.456821,0.000000,0,0,6.780277,0.010199,0.010199,0.022788
5.610000,8.415141,1.760846,0.895582,3.576538,3.578423,0.139132,0.181023,-0.114754,0.414575,0.000000,0,0,6.453518,0.014061,0.014061,0.028388
5.712000,8.743719,1.931018,0.900974,3.648327,3.646156,0.038504,-0.007725,-0.370581,0.386046,0.000000,0,0,6.119598,0.011749,0.011749,0.025036
5.814000,9.080647,2.096142,0.905160,3.693800,3.694868,-0.057856,-0.054660,-0.584431,0.363146,0.000000,0,0,5.780586,0.015619,0.015619,0.030648
5.916000,9.425078,2.253398,0.904242,3.704616,3.711409,-0.141885,-0.101205,-0.756600,0.000000,0.088336,0,0,5.437375,0.013115,0.013115,0.027016
6.018000,9.773560,2.398769,0.903931,3.665461,3.670552,-0.219931,-0.142487,-0.847935,0.000000,0.103156,0,0,5.093219,0.014902,0.014902,0.029607
6.120000,10.119632,2.530256,0.905402,3.561070,3.564021,-0.267839,-0.183478,-0.977715,0.000000,0.108082,0,0,4.754161,0.017260,0.017260,0.033027
6.222000,10.457351,2.646902,0.905796,3.427459,3.424555,-0.293740,-0.198118,-1.000000,0.278447,0.116203,0,0,4.425612,0.012181,0.012181,0.025662
6.324000,10.786201,2.748907,0.902474,3.312707,3.306097,-0.322863,-0.220451,-0.977273,0.262848,0.104551,0,0,4.107569,0.013404,0.013404,0.027436
6.426000,11.108855,2.836364,0.899430,3.207442,3.210418,-0.355858,-0.218610,-0.683248,0.000000,0.104520,0,0,3.796845,0.015219,0.015219,0.030067
6.528000,11.423070,2.910616,0.899319,3.074749,3.079611,-0.342860,-0.205885,-0.539894,0.000000,0.091095,0,0,3.495310,0.019159,0.019159,0.035780
6.630000,11.724006,2.975036,0.900928,2.917537,2.918763,-0.327981,-0.197866,-0.551302,0.000000,0.064377,0,0,3.207797,0.010473,0.010473,0.023185
6.732000,12.011218,3.031940,0.902257,2.805494,2.805652,-0.282964,-0.182933,1.000000,0.209307,0.000000,0,0,2.934811,0.450000,0.450000,0.660500
6.834000,12.292512,3.085206,0.901889,2.805753,2.803879,-0.236978,-0.195032,0.787446,0.409371,0.000000,0,0,2.669245,0.008383,0.008383,0.020156
6.936000,12.571390,3.141541,0.904161,2.779038,2.778958,-0.117079,-0.049385,0.612909,0.000000,0.208110,0,0,2.409308,0.011569,0.011569,0.024775
7.038000,12.843294,3.206794,0.907514,2.689181,2.693390,-0.007245,0.036374,0.419919,0.622610,0.000000,0,0,2.161599,0.013309,0.013309,0.027297
7.140000,13.107963,3.280624,0.908242,2.708133,2.704172,0.075800,0.039165,0.941803,0.725168,0.000000,0,0,1.927566,0.015833,0.015833,0.030957
7.242000,13.374087,3.362578,0.907492,2.710809,2.711477,0.120036,0.149163,-0.592789,0.000000,1.000000,0,0,1.700393,0.450000,0.450000,0.660500
7.344000,13.628503,3.449355,0.910308,2.530760,2.530618,0.116365,0.036178,-0.131090,0.886571,0.000000,0,0,1.493246,0.015692,0.015692,0.030753
7.446000,13.868543,3.526814,0.911973,2.482793,2.473657,0.029028,-0.042848,0.482934,0.920411,0.000000,0,0,1.303981,0.008694,0.008694,0.020607
7.548000,14.115379,3.600983,0.912474,2.563125,2.557192,0.050616,0.119875,-0.562746,0.000000,1.000000,0,0,1.115957,0.009841,0.009841,0.022270
7.650000,14.353625,3.677056,0.917910,2.330171,2.335433,0.021381,0.050061,-0.554007,0.000000,1.000000,0,12,0.946688,0.010117,0.010117,0.022670
7.752000,14.569307,3.743767,0.918357,2.106825,2.108215,-0.016045,0.012043,0.086647,0.976073,0.000000,0,46,0.802496,0.011777,0.011777,0.025077
7.854000,14.767688,3.803741,0.909927,2.043061,2.031672,-0.014198,-0.008813,0.619676,0.983613,0.000000,0,80,0.678808,0.013141,0.013141,0.027054
7.956000,14.971295,3.867476,0.905277,2.100200,2.091671,0.048314,0.131985,-0.533417,0.000000,1.000000,0,114,0.564374,0.010717,0.010717,0.023540
8.058000,15.162856,3.935530,0.910562,1.945706,1.953213,0.058937,-0.058088,1.000000,1.000000,0.000000,0,148,0.474347,0.089551,0.089551,0.137849
8.160000,15.349333,4.004345,0.911754,1.899949,1.899594,0.115723,0.082119,-1.000000,0.000000,1.000000,0,182,0.401778,0.096379,0.096379,0.147749
8.262000,15.519226,4.073756,0.912531,1.676209,1.672952,0.120055,0.043723,-1.000000,0.000000,1.000000,0,216,0.353625,0.089252,0.089252,0.137415
8.364000,15.666075,4.132206,0.913060,1.426134,1.429791,0.056717,0.054893,-1.000000,0.000000,1.000000,0,250,0.321384,0.091810,0.091810,0.141125
8.466000,15.791566,4.177851,0.911047,1.199675,1.202607,0.005287,0.005499,-0.977273,0.998639,0.000026,0,284,0.298143,0.086811,0.086811,0.133876
8.568000,15.908635,4.213981,0.911544,1.266022,1.247877,-0.085363,-0.073193,-1.000000,0.999126,0.000017,0,318,0.277338,0.097423,0.097423,0.149263
8.670000,16.042052,4.244337,0.915239,1.432918,1.425776,-0.167088,-0.116475,-1.000000,0.999381,0.000012,0,352,0.251320,0.090912,0.090912,0.139823
8.772000,16.195062,4.272132,0.921600,1.593602,1.596353,-0.227719,-0.143636,-0.953506,0.999086,0.000000,0,386,0.224593,0.091919,0.091919,0.141283
8.874000,16.367112,4.297874,0.926593,1.775198,1.777163,-0.263093,-0.174447,-0.828248,0.998308,0.000000,0,420,0.201672,0.094947,0.094947,0.145673
8.976000,16.558323,4.321938,0.925319,1.964240,1.966808,-0.284592,-0.178685,-0.558427,0.996558,0.000000,0,454,0.187360,0.096368,0.096368,0.147733
9.078000,16.770574,4.347515,0.921524,2.182186,2.180428,-0.277716,-0.183956,-0.541994,0.996579,0.000000,0,488,0.189770,0.095140,0.095140,0.145953
9.180000,17.003411,4.374427,0.918948,2.356734,2.366686,-0.260162,-0.165816,-0.317237,0.995237,0.000000,0,522,0.214638,0.086135,0.086135,0.132896
9.282000,17.252101,4.404905,0.919342,2.516973,2.516925,-0.240097,-0.176025,-0.778664,0.998371,0.000000,0,556,0.269003,0.083955,0.083955,0.129734
9.384000,17.517176,4.431271,0.923193,2.686521,2.681752,-0.281425,-0.193871,-0.618428,0.997344,0.000000,0,590,0.348637,0.096039,0.096039,0.147256
9.486000,17.798939,4.452716,0.927709,2.813168,2.819921,-0.303225,-0.187070,-0.607788,0.997313,0.000000,0,624,0.455559,0.091943,0.091943,0.141317
9.588000,18.093841,4.469860,0.930463,2.930670,2.939900,-0.306205,-0.203808,-0.748246,0.998254,0.000000,0,658,0.590631,0.093774,0.093774,0.143972
9.690000,18.401892,4.481606,0.932045,3.059091,3.063109,-0.325629,-0.217732,-0.694031,0.997844,0.000000,0,692,0.752931,0.086222,0.086222,0.133022
9.792000,18.722212,4.486720,0.934651,3.182886,3.191746,-0.307200,-0.204797,-0.339790,0.995210,0.000000,0,726,0.940510,0.090904,0.090904,0.139811
9.894000,19.055248,4.489395,0.938041,3.305215,3.311310,-0.287706,-0.220568,-0.601003,0.996884,0.000000,0,735,1.155981,0.095688,0.095688,0.146747
9.996000,19.401688,4.486394,0.941289,3.454235,3.451776,-0.280844,-0.214754,-0.518486,0.996065,0.000000,0,735,1.396062,0.450000,0.450000,0.660500
10.098000,19.761343,4.479244,0.939337,3.571820,3.578020,-0.206162,-0.179860,-0.497239,0.994993,0.000000,0,735,1.660571,0.096551,0.096551,0.147999
10.200000,20.133579,4.473708,0.934433,3.702211,3.703195,-0.176012,-0.188437,-0.403274,0.993708,0.000000,0,735,1.951128,0.080009,0.080009,0.124013
10.302000,20.518263,4.461136,0.933123,3.826850,3.823124,-0.179954,-0.222304,-0.304123,0.992104,0.000000,0,735,2.260895,0.098464,0.098464,0.150773
10.404000,20.914036,4.440850,0.934579,3.933062,3.940863,-0.178615,-0.148849,-0.375407,0.992142,0.000000,0,735,2.587660,0.090051,0.090051,0.138574
10.506000,21.320764,4.413975,0.934319,4.037736,4.038128,-0.175532,-0.215763,-0.144390,0.988326,0.000000,0,735,2.931215,0.087434,0.087434,0.134779
10.608000,21.737442,4.382602,0.928851,4.146842,4.146422,-0.120690,-0.134963,-0.139910,0.986602,0.000000,0,735,3.290900,0.093653,0.093653,0.143797
10.710000,22.163588,4.349446,0.922803,4.232816,4.231037,-0.087803,-0.112548,-0.114656,0.984742,0.000000,0,735,3.666535,0.091675,0.091675,0.140929
10.812000,22.597600,4.313391,0.917551,4.300829,4.302056,-0.071158,-0.088676,-0.032395,0.981925,0.000000,0,735,4.055292,0.089632,0.089632,0.137967
10.914000,23.038137,4.276468,0.914856,4.361150,4.360710,-0.034563,-0.052785,0.005630,0.970397,0.000000,0,735,4.455851,0.098042,0.098042,0.150161
11.016000,23.483796,4.238997,0.913542,4.414335,4.410143,-0.018311,-0.020238,0.077234,0.941836,0.000000,0,735,4.866183,0.089856,0.089856,0.138291
11.118000,23.934582,4.203752,0.910871,4.449863,4.446248,0.027826,0.011404,0.234235,0.908127,0.000000,0,735,5.286384,0.088788,0.088788,0.136742
11.220000,24.388952,4.173970,0.908071,4.481984,4.480971,0.068243,0.071003,0.122313,0.877699,0.000000,0,735,5.715083,0.092551,0.092551,0.142199
11.322000,24.847704,4.148568,0.903415,4.520180,4.517451,0.071832,0.047607,0.330652,0.837837,0.000000,0,735,6.151990,0.088108,0.088108,0.135756
11.424000,25.309392,4.130042,0.898622,4.546422,4.541476,0.139302,0.103963,0.203793,0.811871,0.000000,0,735,6.595692,0.100882,0.100882,0.154279
11.526000,25.774988,4.118864,0.897273,4.639885,4.622871,0.138119,0.121257,0.311380,0.782187,0.000000,0,735,6.852943,0.100046,0.100046,0.153066
11.628000,26.258858,4.112730,0.900470,4.836841,4.833648,0.149721,0.105184,1.000000,0.000000,0.387492,0,735,6.379950,0.103461,0.103461,0.158019
11.730000,26.746968,4.113766,0.901676,4.751090,4.766179,0.123966,-0.020875,0.467954,0.745884,0.000000,0,735,5.905893,0.091538,0.091538,0.140730
11.832000,27.237336,4.111311,0.897639,4.854595,4.860423,0.094436,0.043941,0.591952,0.709626,0.000000,0,735,5.430555,0.083857,0.083857,0.129592
