time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.689647,0.013983,0.013983,0.028275
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000758,0.000082,0.000355,0.000000,0.120261,0.000000,0,0,17.690209,0.011780,0.011780,0.025080
0.204000,0.055295,0.000012,1.522611,0.000520,-0.000033,0.000561,0.000368,0.000000,0.229746,0.000000,0,0,17.690335,0.016835,0.016835,0.032411
0.306000,0.055218,0.000042,1.263977,0.000582,0.000227,0.002442,0.000420,0.000000,0.353024,0.000000,0,0,17.690405,0.013656,0.013656,0.027801
0.408000,0.055226,0.000230,0.905203,-0.000106,0.007705,0.013705,0.012510,0.000000,0.509817,0.000000,0,0,17.690367,0.012320,0.012320,0.025864
0.510000,0.062720,0.001588,0.696717,0.048703,0.075340,0.019909,0.009815,0.000000,0.643119,0.000000,0,0,17.682752,0.011714,0.011714,0.024986
0.612000,0.060383,0.004119,0.819312,-0.021117,-0.069270,0.023414,-0.005150,0.000000,0.769369,0.000000,0,0,17.684638,0.017811,0.017811,0.033826
0.714000,0.055798,0.007214,0.883920,-0.003732,-0.024314,0.030309,-0.005138,0.000000,0.844399,0.000000,0,0,17.688649,0.011542,0.011542,0.024736
0.816000,0.058507,0.010351,0.866723,0.078674,0.090733,0.024004,-0.015322,0.000000,0.900059,0.000000,0,0,17.685459,0.013017,0.013017,0.026874
0.918000,0.079953,0.009558,0.820948,0.308346,0.334344,-0.030204,0.040015,0.000000,0.932572,0.000000,0,0,17.664438,0.009989,0.009989,0.022484
1.020000,0.129823,0.007961,0.817579,0.653358,0.639006,0.005757,0.019363,0.000000,0.956691,0.000000,0,0,17.615519,0.006710,0.006710,0.017729
1.122000,0.208184,0.012269,0.854692,0.870119,0.868462,0.046921,0.001523,0.000000,0.970781,0.000000,0,0,17.537529,0.011508,0.011508,0.024687
1.224000,0.305816,0.019400,0.884859,1.047782,1.044083,0.068201,0.008752,0.000000,0.981233,0.000000,0,0,17.440070,0.014385,0.014385,0.028859
1.326000,0.421514,0.027276,0.903618,1.218296,1.219433,0.064252,0.020939,0.000000,0.987338,0.000000,0,0,17.324679,0.009756,0.009756,0.022146
1.428000,0.555080,0.034438,0.909220,1.398984,1.399468,0.052192,0.028798,0.000000,0.991867,0.000000,0,0,17.191800,0.009090,0.009090,0.021181
1.530000,0.707148,0.040764,0.906136,1.575854,1.578517,0.041242,0.037559,0.000000,0.994513,0.000000,0,0,17.040838,0.014799,0.014799,0.029458
1.632000,0.876502,0.046639,0.902657,1.733233,1.736286,0.028065,0.023346,0.000000,0.996476,0.000000,0,0,16.872938,0.011977,0.011977,0.025367
1.734000,1.061506,0.052691,0.902543,1.886540,1.889852,0.029990,0.019138,0.000000,0.997622,0.000000,0,0,16.689618,0.012474,0.012474,0.026087
1.836000,1.262099,0.059637,0.902947,2.039115,2.039730,0.029324,0.019078,0.000000,0.998473,0.000000,0,0,16.490822,0.010821,0.010821,0.023690
1.938000,1.477725,0.067278,0.902000,2.185525,2.186836,0.029793,0.019459,0.000000,0.998970,0.000000,0,0,16.277147,0.010392,0.010392,0.023068
2.040000,1.708625,0.075684,0.900066,2.339654,2.338612,0.027653,0.017876,0.000000,0.999338,0.000000,0,0,16.048349,0.007058,0.007058,0.018233
2.142000,1.954453,0.084411,0.897011,2.478186,2.479228,0.020624,0.022720,0.000000,0.997594,0.000000,0,0,15.804864,0.016389,0.016389,0.031764
2.244000,2.214686,0.092869,0.892232,2.628313,2.625031,0.004182,0.023729,0.000000,0.983467,0.000000,0,0,15.547327,0.014938,0.014938,0.029660
2.346000,2.490225,0.101315,0.890779,2.776294,2.774532,0.004082,0.023201,0.000000,0.962932,0.000000,0,0,15.274828,0.016119,0.016119,0.031372
2.448000,2.781084,0.111346,0.890095,2.925108,2.926665,0.007376,0.017197,0.000000,0.933613,0.000000,0,0,14.987083,0.012564,0.012564,0.026218
2.550000,3.087399,0.122898,0.888957,3.090766,3.082836,0.013527,0.012241,0.000000,0.902528,0.000000,0,0,14.683984,0.010459,0.010459,0.023166
2.652000,3.407367,0.135885,0.866805,3.255933,3.188973,0.015781,0.017855,-0.022727,0.861944,0.000000,0,0,14.367336,0.013004,0.013004,0.026856
2.754000,3.738712,0.149794,0.847828,3.240477,3.285156,0.013697,0.006802,-0.159091,0.822265,0.000000,0,0,14.039490,0.016215,0.016215,0.031511
2.856000,4.079936,0.162090,0.864128,3.390392,3.411290,-0.026189,-0.024433,-0.352224,0.777281,0.000000,0,0,13.702434,0.011705,0.011705,0.024972
2.958000,4.434797,0.170168,0.883566,3.553177,3.539280,-0.053621,-0.087241,-0.408977,0.736859,0.000000,0,0,13.353059,0.010570,0.010570,0.023326
3.060000,4.802186,0.172026,0.885121,3.670957,3.661552,-0.102624,-0.088991,-0.286402,0.688509,0.000000,0,0,12.992960,0.011854,0.011854,0.025188
3.162000,5.181995,0.165811,0.878040,3.775076,3.774529,-0.142271,-0.087725,-0.265335,0.641857,0.000000,0,0,12.622786,0.015644,0.015644,0.030683
3.264000,5.573453,0.153147,0.874144,3.893606,3.895774,-0.176569,-0.084565,-0.194696,0.585520,0.000000,0,0,12.243150,0.013485,0.013485,0.027554
3.366000,5.977273,0.135645,0.875945,4.019590,4.015959,-0.177952,-0.095347,-0.128819,0.530382,0.000000,0,0,11.853224,0.010957,0.010957,0.023888
3.468000,6.392500,0.116739,0.877131,4.119069,4.119835,-0.131231,-0.063158,-0.051255,0.465858,0.000000,0,0,11.453371,0.013026,0.013026,0.026887
3.570000,6.816416,0.100756,0.876986,4.182188,4.189216,-0.067971,-0.044089,0.018690,0.426760,0.006784,0,0,11.045363,0.013589,0.013589,0.027704
3.672000,7.247061,0.087498,0.875934,4.249922,4.246242,-0.041309,-0.011355,-0.019220,0.391772,0.023450,0,0,10.631224,0.012361,0.012361,0.025923
3.774000,7.681845,0.073656,0.875650,4.263906,4.270975,-0.038551,-0.041425,0.036913,0.366038,0.040333,0,0,10.214389,0.013749,0.013749,0.027936
3.876000,8.118277,0.060788,0.879745,4.277935,4.285899,0.005242,-0.012067,0.081592,0.341328,0.058750,0,0,9.797012,0.007244,0.007244,0.018503
3.978000,8.555317,0.051036,0.880420,4.281374,4.284656,0.015281,0.080186,-0.430309,0.000000,0.098945,0,0,9.379614,0.450000,0.450000,0.660500
4.080000,8.989947,0.039133,0.874235,4.228728,4.228743,-0.067802,-0.099202,0.010935,0.302785,0.084647,0,0,8.966683,0.012076,0.012076,0.025511
4.182000,9.416606,0.018585,0.870859,4.134111,4.143178,-0.079841,-0.010562,-0.008542,0.372090,0.036090,0,0,8.565732,0.016105,0.016105,0.031352
4.284000,9.835567,-0.000563,0.874796,4.085405,4.079099,-0.063231,0.023710,0.113520,0.271022,0.093487,0,0,8.173752,0.012443,0.012443,0.026043
4.386000,10.248289,-0.014169,0.876034,4.026839,4.025505,0.003338,0.018710,0.058733,0.257687,0.090658,0,0,7.788069,0.013073,0.013073,0.026955
4.488000,10.656559,-0.020739,0.873638,3.977530,3.980006,0.051348,-0.003069,0.092392,0.243661,0.082601,0,0,7.406414,0.013790,0.013790,0.027996
4.590000,11.060337,-0.023015,0.874130,3.943520,3.938826,0.082309,0.033813,0.104115,0.231950,0.072597,0,0,7.029712,0.009327,0.009327,0.021524
4.692000,11.459931,-0.023749,0.873854,3.906032,3.901737,0.054157,0.053180,0.055147,0.219530,0.058753,0,0,6.658732,0.010426,0.010426,0.023118
4.794000,11.856670,-0.025636,0.872502,3.879931,3.878871,0.023714,0.050852,0.085743,0.210866,0.040446,0,0,6.293475,0.010903,0.010903,0.023809
4.896000,12.251691,-0.027676,0.869540,3.865911,3.863586,0.023527,0.022295,0.088164,0.205539,0.025978,0,0,5.932856,0.014766,0.014766,0.029411
4.998000,12.644943,-0.028543,0.869507,3.856145,3.848635,0.014718,0.021703,0.018463,0.203189,0.000000,0,0,5.576735,0.013526,0.013526,0.027612
5.100000,13.037149,-0.030010,0.873937,3.844948,3.845169,-0.002533,0.024578,0.031248,0.212598,0.000000,0,0,5.225650,0.011720,0.011720,0.024994
5.202000,13.429305,-0.031192,0.879962,3.841980,3.843767,0.000035,0.027364,0.070683,0.239616,0.000000,0,0,4.878888,0.015578,0.015578,0.030588
5.304000,13.821797,-0.030003,0.882612,3.855155,3.852586,0.019295,0.028149,0.055417,0.266278,0.000000,0,0,4.535746,0.012006,0.012006,0.025409
5.406000,14.215198,-0.025547,0.882952,3.866075,3.864008,0.037479,0.016796,0.040770,0.294014,0.000000,0,0,4.195927,0.012471,0.012471,0.026082
5.508000,14.610501,-0.019541,0.884088,3.890116,3.888318,0.037516,0.014337,0.036206,0.322818,0.000000,0,0,3.860322,0.010199,0.010199,0.022788
