time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.2100,19.4376,0.2213,4.177,0,19.519,3.264,0.545,3.0437,2.045,3.045,0,1
6.2130,19.4499,0.2239,4.178,0,19.519,3.264,0.545,3.0408,2.045,3.045,0,1
6.2160,19.4622,0.2266,4.178,0,19.519,3.264,0.545,3.0379,2.045,3.045,0,1
6.2190,19.4746,0.2292,4.178,0,19.519,3.264,0.545,3.0350,2.045,3.045,0,1
6.2220,19.4869,0.2319,4.179,0,19.519,3.264,0.545,3.0322,2.045,3.045,0,1
6.2250,19.4992,0.2346,4.182,0,19.519,3.264,0.545,3.0294,2.045,3.045,0,1
6.2280,19.5115,0.2373,4.179,0,19.519,3.264,0.545,3.0267,2.045,3.045,0,1
6.2310,19.5238,0.2400,4.178,0,19.519,3.264,0.545,3.0239,2.045,3.045,0,1
6.2340,19.5361,0.2427,4.177,0,19.519,3.264,0.545,3.0213,2.045,3.045,0,1
6.2370,19.5484,0.2455,4.177,0,19.519,3.264,0.545,3.0186,2.045,3.045,0,1
6.2400,19.5606,0.2482,4.177,0,19.519,3.264,0.545,3.0160,2.045,3.045,0,1
6.2430,19.5729,0.2510,4.167,0,19.519,3.264,0.545,3.0134,2.045,3.045,0,1
6.2460,19.5852,0.2538,4.169,0,19.519,3.264,0.545,3.0109,2.045,3.045,0,1
6.2490,19.5974,0.2566,4.168,0,19.519,3.264,0.545,3.0084,2.045,3.045,0,1
6.2520,19.6097,0.2594,4.166,0,19.519,3.264,0.545,3.0059,2.045,3.045,0,1
6.2550,19.6219,0.2622,4.164,0,19.519,3.264,0.545,3.0035,2.045,3.045,0,1
6.2580,19.6341,0.2651,4.163,0,19.519,3.264,0.545,3.0011,2.045,3.045,0,1
6.2610,19.6464,0.2679,4.163,0,19.519,3.264,0.545,2.9987,2.045,3.045,0,1
6.2640,19.6586,0.2708,4.163,0,19.519,3.264,0.545,2.9964,2.045,3.045,0,1
6.2670,19.6708,0.2737,4.164,0,19.519,3.264,0.545,2.9941,2.045,3.045,0,1
6.2700,19.6830,0.2766,4.165,0,19.519,3.264,0.545,2.9918,2.045,3.045,0,1
6.2730,19.6952,0.2796,4.166,0,19.519,3.264,0.545,2.9895,2.045,3.045,0,1
6.2760,19.7074,0.2826,4.168,0,19.519,3.264,0.545,2.9873,2.045,3.045,0,1
6.2790,19.7196,0.2856,4.165,0,19.519,3.264,0.545,2.9851,2.045,3.045,0,1
6.2820,19.7318,0.2886,4.170,0,19.519,3.264,0.545,2.9830,2.045,3.045,0,1
6.2850,19.7440,0.2916,4.169,0,19.519,3.264,0.545,2.9809,2.045,3.045,0,1
6.2880,19.7562,0.2946,4.169,0,19.519,3.264,0.545,2.9788,2.045,3.045,0,1
6.2910,19.7684,0.2977,4.169,0,19.519,3.264,0.545,2.9767,2.045,3.045,0,1
6.2940,19.7806,0.3007,4.169,0,19.519,3.264,0.545,2.9747,2.045,3.045,0,1
6.2970,19.7928,0.3038,4.168,0,19.519,3.264,0.545,2.9728,2.045,3.045,0,1
6.3000,19.8050,0.3069,4.168,0,19.519,3.264,0.545,2.9708,2.045,3.045,0,1
6.3030,19.8172,0.3100,4.166,0,19.519,3.264,0.545,2.9689,2.045,3.045,0,1
6.3060,19.8293,0.3132,4.167,0,19.519,3.264,0.545,2.9670,2.045,3.045,0,1
6.3090,19.8415,0.3163,4.163,0,19.519,3.264,0.545,2.9652,2.045,3.045,0,1
6.3120,19.8536,0.3195,4.163,0,19.519,3.264,0.545,2.9634,2.045,3.045,0,1
6.3150,19.8658,0.3226,4.163,0,19.519,3.264,0.545,2.9617,2.045,3.045,0,1
6.3180,19.8779,0.3258,4.163,0,19.519,3.264,0.545,2.9599,2.045,3.045,0,1
6.3210,19.8901,0.3290,4.162,0,19.519,3.264,0.545,2.9582,2.045,3.045,0,1
6.3240,19.9022,0.3323,4.162,0,19.519,3.264,0.545,2.9566,2.045,3.045,0,1
6.3270,19.9144,0.3355,4.161,0,19.519,3.264,0.545,2.9550,2.045,3.045,0,1
6.3300,19.9265,0.3388,4.160,0,19.519,3.264,0.545,2.9534,2.045,3.045,0,1
6.3330,19.9386,0.3421,4.160,0,19.519,3.264,0.545,2.9518,2.045,3.045,0,1
6.3360,19.9507,0.3454,4.158,0,19.519,3.264,0.545,2.9503,2.045,3.045,0,1
