sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778836631.437724,0,1.638798,0.040367,-0.002835,-0.0709,0.0598,0.000369,1.648994,-0.000000,-0.000000,-0.0020,1.638687,0.040866,-0.002823,-0.0050,0.0002,0.000010,-0.111874,0.0000,1.638687,0.000000,0.000000,5.0000,0.000000,2.000000,3413.2535,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0725,0.0000,0.000000,0.2000,17.40,9.23,44.03,4.88,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-212.59282690839922,-483.3973061138764,-0.120182,-0.117777,6560.3,6060.3,-0.019752,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778836631.443238,1,1.626947,0.009708,0.006722,0.0161,-0.0713,0.000867,1.648913,-0.000001,-0.000000,-0.0094,1.627011,0.009996,0.006730,0.0008,0.0003,0.000011,-0.020202,0.0000,1.627011,0.000000,0.000000,5.0000,0.000000,2.000000,3343.5548,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0788,0.0000,0.000000,0.2240,15.10,8.66,38.86,5.40,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,30.975931428087165,-74.04868375639674,-0.070214,-0.067153,6557.1,6063.5,-0.017492,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778836631.453746,2,1.589416,-0.018623,0.005587,-0.0211,0.0879,0.000643,1.648775,-0.000002,-0.000002,-0.0125,1.589467,-0.018252,0.005596,0.0009,0.0006,0.000027,-0.010961,0.0000,1.589467,0.000000,0.000000,5.0000,0.000000,2.000000,3342.7863,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0858,0.0000,0.000000,0.2480,12.90,7.79,33.59,2.86,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-24.377153342052438,-211.5719776507261,-0.090874,-0.087599,6552.2,6068.4,-0.014105,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778836631.465694,3,1.672799,-0.065728,-0.005872,0.0226,-0.0036,0.000271,1.648627,-0.000004,-0.000003,-0.0121,1.672976,-0.065439,-0.005865,0.0056,0.0009,0.000037,0.004183,0.0000,1.672976,0.000000,-0.000000,5.0000,0.000000,2.000000,3345.3114,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0935,0.0000,0.000000,0.2720,11.04,7.05,29.14,2.90,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,28.598593234296587,-82.41361772623912,-0.072147,-0.069154,6546.0,6074.5,-0.009809,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778836631.477805,4,1.663442,-0.110059,-0.007307,-0.0397,-0.0284,0.000298,1.648492,-0.000007,-0.000005,-0.0106,1.663574,-0.109873,-0.007301,0.0051,0.0009,0.000038,0.024236,0.0000,1.663574,0.000000,-0.000000,5.0000,0.000000,2.000000,3352.1343,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1019,0.0000,0.000000,0.2960,9.47,6.43,25.36,2.87,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,36.494562545790416,16.94392256228805,-0.047457,-0.044655,6539.0,6081.6,-0.004899,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778836631.489849,5,1.640106,0.007610,0.000346,-0.0272,-0.0070,0.002146,1.648463,-0.000004,-0.000003,0.0003,1.640209,0.007750,0.000352,0.0050,0.0010,0.000045,0.061488,0.0000,1.640209,0.000000,0.000000,5.0000,0.000000,2.000000,3358.8341,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1109,0.0000,0.000000,0.3200,8.14,5.88,22.16,2.82,-0.000004,-0.0002,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,35.04289801449319,36.1593398914537,-0.036880,-0.031879,6527.9,6092.7,0.002839,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778836631.501808,6,1.592157,-0.014978,0.010850,-0.0576,0.0264,0.000775,1.648468,0.000001,0.000000,0.0002,1.592233,-0.014828,0.010856,0.0045,0.0016,0.000069,0.079039,0.0000,1.592233,0.000000,0.000000,5.0000,0.000000,2.000000,3368.7858,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1205,0.0000,0.000000,0.3440,7.00,5.42,19.43,2.81,0.000001,0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,37.193314626496814,30.376225960210107,-0.040415,-0.035393,6522.0,6098.5,0.006932,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778836631.513730,7,1.659934,-0.122428,-0.005094,-0.0413,-0.0431,-0.001678,1.648453,0.000006,0.000003,-0.0008,1.659993,-0.122375,-0.005092,0.0041,0.0008,0.000034,0.094454,0.0000,1.659993,0.000000,-0.000000,5.0000,0.000000,2.000000,3381.8338,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1307,0.0000,0.000000,0.3680,6.03,5.05,17.12,2.91,0.000006,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,42.350523061819715,48.747791489300184,-0.014886,-0.012974,6516.9,6103.7,0.010500,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778836631.525623,8,1.549002,0.069405,-0.003869,-0.0820,0.0696,0.001290,1.648434,0.000013,0.000007,-0.0008,1.549047,0.069543,-0.003864,0.0037,0.0028,0.000112,0.111363,0.0000,1.549047,0.000000,0.000000,5.0000,0.000000,2.000000,3370.9873,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1414,0.0000,0.000000,0.3920,5.20,4.75,15.14,3.04,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,37.664410310089906,26.731479389147836,-0.039734,-0.036549,6511.6,6109.0,0.014211,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778836631.537638,9,1.638834,0.047472,0.000654,-0.0276,-0.0027,0.001622,1.648415,0.000020,0.000011,-0.0007,1.638869,0.047577,0.000659,0.0034,0.0027,0.000120,0.129864,0.0000,1.638869,0.000000,0.000000,5.0000,0.000000,2.000000,3361.5162,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1527,0.0000,0.000000,0.4160,4.49,4.51,13.48,3.15,0.000020,0.0006,-5.0007,0.008000,0.050307,0.2027,-0.498239,0.014894,0.001300,0.0,0.0,35.47613340799248,33.275862348936826,-0.032018,-0.027377,6506.0,6114.5,0.018084,0.000000,0.000000,0.5000,1.0000,,,,,
