sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778836782.902758,0,1.630130,0.000316,0.002821,0.0994,0.0622,0.000598,1.648994,-0.000000,-0.000000,-0.0020,1.634406,0.000849,0.002834,0.0946,0.0003,0.000011,-0.109994,0.0000,1.634406,0.000000,0.000000,1.4376,0.000000,2.000000,370.2592,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0501,0.0000,0.000000,0.2000,17.05,9.59,43.70,7.30,-0.000000,-0.0000,-1.4396,nan,nan,nan,nan,nan,nan,0.0,0.0,-112.30563946393667,-417.4516036931659,-0.125713,-0.121821,6559.8,6060.7,-0.048567,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778836782.910878,1,1.661892,-0.016719,-0.002392,-0.0738,0.0662,-0.000001,1.648913,-0.000001,-0.000000,-0.0094,1.665096,-0.016201,-0.002379,0.0779,0.0004,0.000018,-0.016044,0.0000,1.665096,0.000000,-0.000000,1.3940,0.000000,2.000000,280.3361,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0545,0.0000,0.000000,0.2240,15.54,9.16,40.24,6.73,-0.000001,-0.0000,-1.4034,nan,nan,nan,nan,nan,nan,0.0,0.0,-120.53478458233688,-440.663166953399,-0.126871,-0.123736,6556.6,6063.9,-0.043002,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778836782.918310,2,1.657583,-0.000905,0.004878,-0.0453,0.0591,0.000717,1.648775,-0.000002,-0.000002,-0.0125,1.659980,-0.000376,0.004891,0.0631,0.0006,0.000025,-0.002790,0.0000,1.659980,0.000000,-0.000000,1.4016,0.000000,2.000000,279.8053,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0593,0.0000,0.000000,0.2480,14.27,8.39,36.92,4.02,-0.000002,-0.0001,-1.4140,nan,nan,nan,nan,nan,nan,0.0,0.0,-112.8854672435478,-427.3412778553887,-0.125515,-0.122082,6551.8,6068.8,-0.034519,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778836782.923577,3,1.671665,-0.037635,0.003906,0.0468,0.1432,0.001178,1.648627,-0.000004,-0.000003,-0.0121,1.673649,-0.036984,0.003921,0.0605,0.0014,0.000057,0.011759,0.0000,1.673649,0.000000,-0.000000,1.3812,0.000000,2.000000,289.0050,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0647,0.0000,0.000000,0.2720,12.17,7.76,32.10,4.15,-0.000004,-0.0002,-1.3932,nan,nan,nan,nan,nan,nan,0.0,0.0,-383.82325010536647,-786.3220692949367,-0.156631,-0.152418,6545.6,6075.0,-0.023720,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778836782.935649,4,1.615023,0.020626,0.005675,0.0336,-0.0533,0.000982,1.648492,-0.000007,-0.000005,-0.0106,1.616612,0.021064,0.005686,0.0559,0.0015,0.000064,0.031380,0.0000,1.616612,0.000000,0.000000,1.4611,0.000000,2.000000,287.5319,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0705,0.0000,0.000000,0.2960,10.39,7.20,27.99,4.07,-0.000007,-0.0003,-1.4717,nan,nan,nan,nan,nan,nan,0.0,0.0,-17.389693117446555,-259.50732402402315,-0.106923,-0.102239,6538.5,6082.1,-0.011347,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778836782.947559,5,1.603517,0.015863,-0.003601,0.0626,0.0439,0.000597,1.648464,-0.000004,-0.000003,0.0003,1.604957,0.016267,-0.003590,0.0583,0.0023,0.000095,0.071431,0.0000,1.604957,0.000000,0.000000,1.4760,0.000000,2.000000,288.0180,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0768,0.0000,0.000000,0.3200,8.88,6.73,24.49,4.04,-0.000004,-0.0002,-1.4757,nan,nan,nan,nan,nan,nan,0.0,0.0,-16.82293263210495,-258.89936541258766,-0.103562,-0.099027,6526.5,6094.0,0.009495,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778836782.959515,6,1.650811,-0.072772,-0.005821,-0.0142,0.0924,0.000839,1.648468,0.000001,-0.000000,0.0002,1.651838,-0.072316,-0.005809,0.0475,0.0039,0.000156,0.088135,0.0000,1.651838,0.000000,0.000000,1.4133,0.000000,2.000000,311.1108,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0835,0.0000,0.000000,0.3440,7.59,6.34,21.52,4.14,0.000001,-0.0000,-1.4131,nan,nan,nan,nan,nan,nan,0.0,0.0,-105.53768901615275,-403.59354821417696,-0.119537,-0.114835,6520.7,6099.8,0.019572,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778836782.971553,7,1.592091,0.045280,-0.005341,-0.0518,0.0247,0.000478,1.648453,0.000006,0.000003,-0.0009,1.592825,0.045675,-0.005331,0.0388,0.0048,0.000189,0.102017,0.0000,1.592825,0.000000,0.000000,1.4911,0.000000,2.000000,289.8014,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0906,0.0000,0.000000,0.3680,6.49,6.03,19.02,4.28,0.000006,0.0002,-1.4919,nan,nan,nan,nan,nan,nan,0.0,0.0,-47.35218693036484,-306.88997045375356,-0.106306,-0.101898,6515.9,6104.6,0.027978,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778836782.983683,8,1.608494,-0.001551,-0.001808,0.0631,0.0693,-0.001240,1.648434,0.000012,0.000007,-0.0008,1.609234,-0.001144,-0.001799,0.0439,0.0066,0.000240,0.119409,0.0000,1.609234,0.000000,0.000000,1.4706,0.000000,2.000000,294.9053,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0981,0.0000,0.000000,0.3920,5.58,5.82,16.98,4.61,0.000012,0.0004,-1.4714,nan,nan,nan,nan,nan,nan,0.0,0.0,-84.51483108806605,-383.08328455536673,-0.111643,-0.109659,6510.4,6110.1,0.037543,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778836782.998229,9,1.676461,-0.006404,0.005759,0.0053,0.0907,-0.000297,1.648415,0.000019,0.000011,-0.0007,1.677015,-0.005958,0.005767,0.0369,0.0092,0.000326,0.137183,0.0000,1.677015,0.000000,-0.000000,1.3760,0.000000,2.000000,371.4610,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1060,0.0000,0.000000,0.4160,4.83,5.71,15.37,5.10,0.000019,0.0006,-1.3767,0.008000,0.010853,0.1714,-0.464959,0.062362,0.000857,0.0,0.0,-173.6622589233505,-518.4927845330265,-0.124671,-0.123450,6505.1,6115.5,0.046904,0.000000,0.000000,0.5000,1.0000,,,,,
