time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.8980,20.0532,0.7279,3.740,1,21.419,-2.125,0.663,3.1628,2.163,3.163,0,1
8.9010,20.0643,0.7261,3.740,1,21.419,-2.125,0.663,3.1564,2.163,3.163,0,1
8.9040,20.0753,0.7243,3.740,1,21.419,-2.125,0.663,3.1500,2.163,3.163,0,1
8.9070,20.0864,0.7224,3.741,1,21.419,-2.125,0.663,3.1436,2.163,3.163,0,1
8.9100,20.0975,0.7206,3.751,1,21.419,-2.125,0.663,3.1373,2.163,3.163,0,1
8.9130,20.1087,0.7187,3.767,1,21.419,-2.125,0.663,3.1309,2.163,3.163,0,1
8.9160,20.1198,0.7169,3.765,1,21.419,-2.125,0.663,3.1245,2.163,3.163,0,1
8.9190,20.1309,0.7150,3.762,1,21.419,-2.125,0.663,3.1182,2.163,3.163,0,1
8.9220,20.1420,0.7131,3.755,1,21.419,-2.125,0.663,3.1120,2.163,3.163,0,1
8.9250,20.1531,0.7113,3.741,1,21.419,-2.125,0.663,3.1058,2.163,3.163,0,1
8.9280,20.1642,0.7095,3.739,1,21.419,-2.125,0.663,3.0996,2.163,3.163,0,1
8.9310,20.1752,0.7077,3.737,1,21.419,-2.125,0.663,3.0935,2.163,3.163,0,1
8.9340,20.1863,0.7059,3.735,1,21.419,-2.125,0.663,3.0874,2.163,3.163,0,1
8.9370,20.1973,0.7041,3.735,1,21.419,-2.125,0.663,3.0814,2.163,3.163,0,1
8.9400,20.2084,0.7023,3.733,1,21.419,-2.125,0.663,3.0754,2.163,3.163,0,1
8.9430,20.2194,0.7005,3.731,1,21.419,-2.125,0.663,3.0694,2.163,3.163,0,1
8.9460,20.2304,0.6987,3.730,1,21.419,-2.125,0.663,3.0635,2.163,3.163,0,1
8.9490,20.2415,0.6970,3.729,1,21.419,-2.125,0.663,3.0576,2.163,3.163,0,1
8.9520,20.2525,0.6952,3.729,1,21.419,-2.125,0.663,3.0517,2.163,3.163,0,1
8.9550,20.2635,0.6934,3.729,1,21.419,-2.125,0.663,3.0458,2.163,3.163,0,1
8.9580,20.2746,0.6916,3.729,1,21.419,-2.125,0.663,3.0400,2.163,3.163,0,1
8.9610,20.2856,0.6898,3.729,1,21.419,-2.125,0.663,3.0342,2.163,3.163,0,1
8.9640,20.2967,0.6881,3.730,1,21.419,-2.125,0.663,3.0285,2.163,3.163,0,1
8.9670,20.3077,0.6863,3.732,1,21.419,-2.125,0.663,3.0227,2.163,3.163,0,1
8.9700,20.3188,0.6845,3.734,1,21.419,-2.125,0.663,3.0170,2.163,3.163,0,1
8.9730,20.3298,0.6827,3.735,1,21.419,-2.125,0.663,3.0113,2.163,3.163,0,1
8.9760,20.3409,0.6809,3.736,1,21.419,-2.125,0.663,3.0057,2.163,3.163,0,1
8.9790,20.3519,0.6791,3.737,1,21.419,-2.125,0.663,3.0001,2.163,3.163,0,1
8.9820,20.3630,0.6773,3.737,1,21.419,-2.125,0.663,2.9945,2.163,3.163,0,1
8.9850,20.3740,0.6755,3.736,1,21.419,-2.125,0.663,2.9889,2.163,3.163,0,1
8.9880,20.3851,0.6737,3.736,1,21.419,-2.125,0.663,2.9834,2.163,3.163,0,1
