sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778836929.920716,0,1.580542,0.051333,-0.000871,0.0237,0.0509,-0.000704,1.648994,-0.000000,-0.000000,-0.0020,1.581482,0.051749,-0.000865,0.0188,0.0002,0.000009,-0.108952,0.0000,1.581482,0.000000,0.000000,7.0000,0.000000,2.000000,7086.2561,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0840,0.0000,0.000000,0.2000,17.09,9.34,43.53,5.63,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,19.23849578965688,-242.20664377517915,-0.099157,-0.103762,6559.6,6061.0,-0.048106,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778836929.927028,1,1.603557,-0.030238,0.003013,0.0472,-0.0457,-0.000022,1.648913,-0.000001,-0.000000,-0.0094,1.604630,-0.029973,0.003016,0.0260,0.0002,0.000010,-0.016037,0.0000,1.604630,0.000000,0.000000,7.0000,0.000000,2.000000,7007.5280,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0912,0.0000,0.000000,0.2240,15.33,8.41,39.08,3.12,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,70.62197985503016,-5.85464950878783,-0.062460,-0.066225,6556.3,6064.3,-0.042413,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778836929.930762,2,1.699889,0.064940,-0.004330,0.0388,-0.0443,0.001969,1.648775,-0.000002,-0.000002,-0.0125,1.700913,0.065078,-0.004327,0.0288,0.0002,0.000010,-0.006884,0.0000,1.700913,0.000000,-0.000000,7.0000,0.000000,2.000000,6997.1703,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0993,0.0000,0.000000,0.2480,13.24,7.61,34.08,3.04,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,9.426436778800237,55.948541161281625,-0.034503,-0.035034,6551.4,6069.2,-0.033845,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778836929.941884,3,1.638655,0.052969,0.001314,-0.0038,0.0686,0.000458,1.648627,-0.000004,-0.000003,-0.0121,1.639379,0.053191,0.001319,0.0237,0.0006,0.000027,0.007819,0.0000,1.639379,0.000000,0.000000,7.0000,0.000000,2.000000,6995.1105,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1083,0.0000,0.000000,0.2720,11.33,6.90,29.56,2.92,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,65.39272864017309,17.124038659046803,-0.054602,-0.054446,6545.3,6075.3,-0.023271,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778836929.953894,4,1.640393,0.033137,0.004466,0.0207,-0.0559,0.000905,1.648492,-0.000007,-0.000005,-0.0106,1.641014,0.033231,0.004469,0.0238,0.0004,0.000018,0.028427,0.0000,1.641014,0.000000,0.000000,7.0000,0.000000,2.000000,6960.9546,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1180,0.0000,0.000000,0.2960,9.71,7.09,26.51,8.18,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-15.915702112199298,47.472780316834985,-0.022993,-0.021710,6538.1,6082.5,-0.010685,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778836929.965927,5,1.699291,-0.034384,0.002696,0.0121,0.0154,-0.000231,1.648464,-0.000004,-0.000003,0.0004,1.699812,-0.034287,0.002699,0.0226,0.0006,0.000026,0.071408,0.0000,1.699812,0.000000,-0.000000,7.0000,0.000000,2.000000,6789.1974,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1284,0.0000,0.000000,0.3200,8.33,6.82,23.48,5.24,-0.000004,-0.0002,-6.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,-8.097785079848805,33.810477600765836,-0.024366,-0.023627,6525.9,6094.7,0.010550,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778836929.977927,6,1.577415,-0.003803,-0.004695,0.0011,-0.0010,-0.001162,1.648468,0.000001,-0.000000,0.0003,1.577799,-0.003733,-0.004695,0.0189,0.0007,0.000025,0.088653,0.0000,1.577799,0.000000,0.000000,7.0000,0.000000,2.000000,6806.9549,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1396,0.0000,0.000000,0.3440,7.16,6.60,20.93,5.41,0.000001,-0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,-23.42559124282836,29.557079516768695,-0.018543,-0.019431,6520.2,6100.3,0.020474,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778836929.989920,7,1.668309,-0.019009,0.000777,-0.0457,0.0125,-0.000029,1.648453,0.000006,0.000003,-0.0009,1.668591,-0.018934,0.000778,0.0157,0.0010,0.000035,0.104000,0.0000,1.668591,0.000000,-0.000000,7.0000,0.000000,2.000000,6783.0083,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1514,0.0000,0.000000,0.3680,6.17,6.43,18.77,5.43,0.000006,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-24.15695413639706,20.26116528384081,-0.019780,-0.020533,6515.2,6105.3,0.029193,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778836930.001802,8,1.610267,-0.028918,-0.002403,0.0287,-0.0631,0.000974,1.648434,0.000013,0.000007,-0.0008,1.610570,-0.028948,-0.002403,0.0187,-0.0005,-0.000015,0.122191,0.0000,1.610570,0.000000,0.000000,7.0000,0.000000,2.000000,6776.8113,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1639,0.0000,0.000000,0.3920,5.31,6.36,16.98,5.99,0.000013,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-45.68520236859162,55.49382108537934,0.007861,0.008499,6509.7,6110.9,0.038899,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778836930.016744,9,1.693853,0.053911,-0.003858,-0.0120,-0.0559,0.000407,1.648415,0.000020,0.000011,-0.0007,1.694079,0.053811,-0.003859,0.0156,-0.0021,-0.000067,0.141661,0.0000,1.694079,0.000000,-0.000000,7.0000,0.000000,2.000000,6753.2063,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1770,0.0000,0.000000,0.4160,4.59,6.37,15.55,6.45,0.000020,0.0006,-7.0007,0.008000,0.062410,-0.1636,-0.486333,-0.014117,0.001527,0.0,0.0,-4.397774098053716,110.72548124553757,0.027729,0.028762,6504.0,6116.6,0.048828,0.000000,0.000000,0.5000,1.0000,,,,,
