time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.7160,19.9985,0.6962,4.141,1,21.419,-2.125,0.663,3.1584,2.163,3.163,0,1
7.7190,20.0104,0.6923,4.144,1,21.419,-2.125,0.663,3.1497,2.163,3.163,0,1
7.7220,20.0223,0.6885,4.148,1,21.419,-2.125,0.663,3.1409,2.163,3.163,0,1
7.7250,20.0342,0.6846,4.151,1,21.419,-2.125,0.663,3.1322,2.163,3.163,0,1
7.7280,20.0460,0.6808,4.155,1,21.419,-2.125,0.663,3.1235,2.163,3.163,0,1
7.7310,20.0579,0.6769,4.154,1,21.419,-2.125,0.663,3.1148,2.163,3.163,0,1
7.7340,20.0698,0.6731,4.155,1,21.419,-2.125,0.663,3.1062,2.163,3.163,0,1
7.7370,20.0817,0.6692,4.159,1,21.419,-2.125,0.663,3.0975,2.163,3.163,0,1
7.7400,20.0936,0.6653,4.160,1,21.419,-2.125,0.663,3.0889,2.163,3.163,0,1
7.7430,20.1055,0.6614,4.162,1,21.419,-2.125,0.663,3.0803,2.163,3.163,0,1
7.7460,20.1174,0.6575,4.166,1,21.419,-2.125,0.663,3.0717,2.163,3.163,0,1
7.7490,20.1293,0.6536,4.166,1,21.419,-2.125,0.663,3.0631,2.163,3.163,0,1
7.7520,20.1412,0.6497,4.170,1,21.419,-2.125,0.663,3.0546,2.163,3.163,0,1
7.7550,20.1532,0.6458,4.167,1,21.419,-2.125,0.663,3.0461,2.163,3.163,0,1
7.7580,20.1651,0.6419,4.171,1,21.419,-2.125,0.663,3.0376,2.163,3.163,0,1
7.7610,20.1770,0.6381,4.173,1,21.419,-2.125,0.663,3.0292,2.163,3.163,0,1
7.7640,20.1890,0.6342,4.176,1,21.419,-2.125,0.663,3.0207,2.163,3.163,0,1
7.7670,20.2009,0.6303,4.178,1,21.419,-2.125,0.663,3.0124,2.163,3.163,0,1
7.7700,20.2129,0.6265,4.181,1,21.419,-2.125,0.663,3.0040,2.163,3.163,0,1
7.7730,20.2248,0.6226,4.183,1,21.419,-2.125,0.663,2.9957,2.163,3.163,0,1
7.7760,20.2368,0.6188,4.185,1,21.419,-2.125,0.663,2.9874,2.163,3.163,0,1
7.7790,20.2488,0.6150,4.187,1,21.419,-2.125,0.663,2.9792,2.163,3.163,0,1
7.7820,20.2608,0.6111,4.189,1,21.419,-2.125,0.663,2.9710,2.163,3.163,0,1
7.7850,20.2728,0.6073,4.193,1,21.419,-2.125,0.663,2.9628,2.163,3.163,0,1
7.7880,20.2848,0.6035,4.194,1,21.419,-2.125,0.663,2.9546,2.163,3.163,0,1
7.7910,20.2968,0.5997,4.196,1,21.419,-2.125,0.663,2.9465,2.163,3.163,0,1
