time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,15.778709,0.013983,0.013983,0.028275
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000757,0.000070,0.000368,0.000000,0.129563,0.000000,0,0,15.779279,0.011780,0.011780,0.025080
0.204000,0.055295,0.000012,1.522611,0.000528,-0.000025,0.000535,0.000372,0.000000,0.228563,0.000000,0,0,15.779408,0.016835,0.016835,0.032411
0.306000,0.055218,0.000042,1.263977,0.000580,0.000225,0.002405,0.000421,0.000000,0.351679,0.000000,0,0,15.779486,0.013656,0.013656,0.027801
0.408000,0.055226,0.000186,0.904404,0.006220,0.009470,0.012565,0.007308,0.000000,0.508530,0.000000,0,0,15.779484,0.012320,0.012320,0.025864
0.510000,0.061716,0.001358,0.642768,0.055979,0.101252,0.029319,-0.006644,0.000000,0.642251,0.000000,0,0,15.773037,0.011714,0.011714,0.024986
0.612000,0.062055,0.003379,0.716421,-0.022908,-0.063986,0.022094,-0.015877,0.000000,0.757155,0.000000,0,0,15.772765,0.017811,0.017811,0.033826
0.714000,0.060132,0.007412,0.790176,0.023708,0.010340,0.049638,-0.028404,0.000000,0.844023,0.000000,0,0,15.774824,0.011542,0.011542,0.024736
0.816000,0.069148,0.009013,0.784788,0.203009,0.206795,-0.020015,0.020557,0.000000,0.894766,0.000000,0,0,15.765867,0.013017,0.013017,0.026874
0.918000,0.109968,0.003970,0.767467,0.576145,0.573205,-0.021872,-0.013680,0.000000,0.932409,0.000000,0,0,15.724899,0.009989,0.009989,0.022484
1.020000,0.186801,0.003798,0.781949,0.936789,0.929147,0.016963,0.004387,0.000000,0.956587,0.000000,0,0,15.648105,0.006710,0.006710,0.017729
1.122000,0.298356,0.007421,0.811992,1.254407,1.247659,0.046881,0.007597,0.000000,0.970710,0.000000,0,0,15.536739,0.011508,0.011508,0.024687
1.224000,0.440325,0.013615,0.840262,1.533672,1.533118,0.062963,0.007528,0.000000,0.980239,0.000000,0,0,15.395071,0.014385,0.014385,0.028859
1.326000,0.610828,0.021098,0.858364,1.804005,1.805608,0.071197,0.015465,0.000000,0.987308,0.000000,0,0,15.224940,0.009756,0.009756,0.022146
