time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.7780,18.0524,0.6032,4.309,0,19.519,3.264,0.545,3.0382,2.045,3.045,0,1
5.7810,18.0651,0.6057,4.310,0,19.519,3.264,0.545,3.0299,2.045,3.045,0,1
5.7840,18.0778,0.6081,4.311,0,19.519,3.264,0.545,3.0217,2.045,3.045,0,1
5.7870,18.0905,0.6106,4.311,0,19.519,3.264,0.545,3.0135,2.045,3.045,0,1
5.7900,18.1032,0.6130,4.311,0,19.519,3.264,0.545,3.0053,2.045,3.045,0,1
5.7930,18.1160,0.6155,4.312,0,19.519,3.264,0.545,2.9972,2.045,3.045,0,1
5.7960,18.1287,0.6179,4.312,0,19.519,3.264,0.545,2.9891,2.045,3.045,0,1
5.7990,18.1414,0.6204,4.313,0,19.519,3.264,0.545,2.9810,2.045,3.045,0,1
5.8020,18.1541,0.6228,4.314,0,19.519,3.264,0.545,2.9729,2.045,3.045,0,1
5.8050,18.1668,0.6253,4.312,0,19.519,3.264,0.545,2.9649,2.045,3.045,0,1
5.8080,18.1795,0.6278,4.311,0,19.519,3.264,0.545,2.9570,2.045,3.045,0,1
5.8110,18.1922,0.6302,4.311,0,19.519,3.264,0.545,2.9490,2.045,3.045,0,1
5.8140,18.2049,0.6327,4.310,0,19.519,3.264,0.545,2.9411,2.045,3.045,0,1
5.8170,18.2176,0.6352,4.309,0,19.519,3.264,0.545,2.9332,2.045,3.045,0,1
5.8200,18.2303,0.6377,4.308,0,19.519,3.264,0.545,2.9254,2.045,3.045,0,1
5.8230,18.2430,0.6402,4.307,0,19.519,3.264,0.545,2.9176,2.045,3.045,0,1
5.8260,18.2557,0.6427,4.306,0,19.519,3.264,0.545,2.9098,2.045,3.045,0,1
5.8290,18.2684,0.6452,4.306,0,19.519,3.264,0.545,2.9020,2.045,3.045,0,1
5.8320,18.2811,0.6478,4.306,0,19.519,3.264,0.545,2.8943,2.045,3.045,0,1
5.8350,18.2937,0.6503,4.306,0,19.519,3.264,0.545,2.8866,2.045,3.045,0,1
5.8380,18.3064,0.6528,4.307,0,19.519,3.264,0.545,2.8789,2.045,3.045,0,1
5.8410,18.3191,0.6554,4.308,0,19.519,3.264,0.545,2.8713,2.045,3.045,0,1
5.8440,18.3318,0.6579,4.308,0,19.519,3.264,0.545,2.8637,2.045,3.045,0,1
5.8470,18.3445,0.6605,4.308,0,19.519,3.264,0.545,2.8561,2.045,3.045,0,1
5.8500,18.3572,0.6630,4.307,0,19.519,3.264,0.545,2.8486,2.045,3.045,0,1
5.8530,18.3699,0.6656,4.307,0,19.519,3.264,0.545,2.8411,2.045,3.045,0,1
5.8560,18.3825,0.6681,4.308,0,19.519,3.264,0.545,2.8337,2.045,3.045,0,1
5.8590,18.3952,0.6707,4.308,0,19.519,3.264,0.545,2.8263,2.045,3.045,0,1
