sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778837185.120059,0,1.674433,-0.008792,0.004916,0.0055,-0.0360,-0.000151,1.648994,-0.000000,-0.000000,-0.0020,1.674569,-0.009090,0.004909,0.0006,-0.0002,-0.000007,-0.110601,0.0000,1.674569,0.000000,-0.000000,7.0000,0.000000,2.000000,7117.0816,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0841,0.0000,0.000000,0.2000,17.05,9.47,43.57,6.47,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,210.1897750945518,283.32143397328775,0.072299,0.071309,6560.0,6060.6,-0.019528,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778837185.127385,1,1.633048,0.044639,-0.006627,-0.0417,0.0572,0.000392,1.648913,-0.000001,-0.000000,-0.0094,1.633168,0.044490,-0.006631,0.0021,-0.0001,-0.000005,-0.017791,0.0000,1.633168,0.000000,0.000000,7.0000,0.000000,2.000000,7039.7343,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0913,0.0000,0.000000,0.2240,15.39,9.10,39.89,7.03,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,144.46837224204432,178.64669676926076,0.036006,0.035705,6556.9,6063.7,-0.017356,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778837185.135121,2,1.674226,0.099251,0.008337,-0.0295,0.0362,-0.001590,1.648775,-0.000002,-0.000002,-0.0125,1.674321,0.099188,0.008335,0.0020,-0.0001,-0.000003,-0.004699,0.0000,1.674321,0.000000,-0.000000,7.0000,0.000000,2.000000,7042.5739,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0995,0.0000,0.000000,0.2480,13.98,8.35,36.31,4.04,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,96.86724506169247,114.86983750624233,0.016027,0.013752,6551.9,6068.6,-0.013920,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778837185.141504,3,1.684844,0.066550,-0.001509,0.0758,0.0444,0.000976,1.648627,-0.000004,-0.000003,-0.0121,1.685393,0.066569,-0.001509,0.0168,0.0000,0.000002,0.009667,0.0000,1.685393,0.000000,-0.000000,7.0000,0.000000,2.000000,7031.0163,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1084,0.0000,0.000000,0.2720,11.93,7.72,31.57,4.15,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,52.54098321040394,73.0499798336277,-0.004863,-0.005450,6545.8,6074.7,-0.009665,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778837185.153585,4,1.668706,-0.024426,-0.002720,-0.0127,0.0281,-0.001772,1.648492,-0.000007,-0.000005,-0.0106,1.669101,-0.024369,-0.002721,0.0142,0.0002,0.000009,0.029802,0.0000,1.669101,0.000000,-0.000000,7.0000,0.000000,2.000000,7020.3895,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1181,0.0000,0.000000,0.2960,10.18,7.17,27.53,4.06,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,41.28178244874073,55.84999662271568,-0.013705,-0.016443,6538.6,6081.9,-0.004654,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778837185.165503,5,1.587528,-0.052237,-0.001097,-0.0449,-0.0649,0.002173,1.648463,-0.000004,-0.000003,0.0010,1.587819,-0.052288,-0.001098,0.0124,-0.0003,-0.000012,0.063145,0.0000,1.587819,0.000000,0.000000,7.0000,0.000000,2.000000,7013.5334,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1286,0.0000,0.000000,0.3200,8.71,6.70,24.13,4.07,-0.000004,-0.0002,-6.9990,nan,nan,nan,nan,nan,nan,0.0,0.0,94.27477081172592,100.37212464837347,0.012729,0.013297,6528.4,6092.1,0.002464,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778837185.177477,6,1.622903,0.002794,-0.002788,0.0170,-0.0330,-0.000937,1.648468,0.000001,-0.000000,0.0002,1.623184,0.002702,-0.002790,0.0137,-0.0008,-0.000032,0.079274,0.0000,1.623184,0.000000,0.000000,7.0000,0.000000,2.000000,7011.6253,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1398,0.0000,0.000000,0.3440,7.45,6.31,21.21,4.06,0.000001,-0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,123.39349286363662,121.77758741096179,0.023620,0.022881,6522.8,6097.7,0.006367,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778837185.189427,7,1.665718,-0.102641,-0.004782,0.0601,-0.0002,0.001231,1.648453,0.000006,0.000003,-0.0009,1.666144,-0.102713,-0.004783,0.0232,-0.0009,-0.000032,0.095030,0.0000,1.666144,0.000000,-0.000000,7.0000,0.000000,2.000000,7018.3766,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1517,0.0000,0.000000,0.3680,6.38,5.98,18.74,4.14,0.000006,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,109.08467497285923,108.55967782156992,0.018370,0.019346,6517.6,6103.0,0.010046,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778837185.201636,8,1.688768,0.108783,-0.001536,-0.0211,-0.0198,0.000200,1.648434,0.000013,0.000007,-0.0008,1.689078,0.108700,-0.001537,0.0191,-0.0014,-0.000045,0.112957,0.0000,1.689078,0.000000,-0.000000,7.0000,0.000000,2.000000,7011.0646,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1642,0.0000,0.000000,0.3920,5.49,5.81,16.79,4.85,0.000013,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,119.67332709127768,115.64861633226178,0.022336,0.023378,6512.0,6108.6,0.013953,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778837185.215217,9,1.661881,-0.058566,-0.008460,-0.0127,0.0352,0.001038,1.648415,0.000020,0.000011,-0.0007,1.662109,-0.058582,-0.008459,0.0159,-0.0004,-0.000003,0.131427,0.0000,1.662109,0.000000,-0.000000,7.0000,0.000000,2.000000,6998.6505,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1773,0.0000,0.000000,0.4160,4.72,5.57,15.01,4.23,0.000020,0.0006,-7.0007,0.008000,0.080012,-0.7612,-0.485881,-0.002394,0.001168,0.0,0.0,71.29221962736236,69.3182789004588,0.003741,0.005909,6506.4,6114.2,0.017821,0.000000,0.000000,0.5000,1.0000,,,,,
