sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778652068.979359,0,1.657430,-0.019919,-0.003651,0.0468,0.0226,0.000471,1.648994,-0.000000,-0.000000,-0.0020,1.659411,-0.019736,-0.003645,0.0417,0.0001,0.000004,-0.113614,0.0000,1.659411,0.000000,-0.000000,5.0000,0.000000,2.000000,3412.6913,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0718,0.0000,0.000000,0.2000,17.40,8.89,43.68,2.61,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-2374.6089063289223,-2064.440824332167,-0.046695,-0.043593,6560.7,6059.8,-0.020060,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778652068.985894,1,1.542109,-0.005083,0.001478,-0.0089,-0.0179,-0.000266,1.648913,-0.000001,-0.000000,-0.0094,1.543508,-0.004957,0.001482,0.0353,0.0001,0.000005,-0.023596,0.0000,1.543508,0.000000,0.000000,5.0000,0.000000,2.000000,3036.9127,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0780,0.0000,0.000000,0.2240,14.85,8.09,37.79,3.55,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-1612.6713099390636,-1390.560740641101,-0.030566,-0.028400,6557.5,6063.1,-0.017794,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778652068.998068,2,1.677806,-0.050076,0.005303,-0.0181,-0.0967,-0.000759,1.648775,-0.000002,-0.000001,-0.0124,1.678791,-0.050126,0.005303,0.0288,-0.0001,-0.000004,-0.015077,0.0000,1.678791,0.000000,-0.000000,5.0000,0.000000,2.000000,3035.0660,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0850,0.0000,0.000000,0.2480,12.69,7.30,32.68,2.79,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,714.065500737073,699.657866522084,0.013234,0.014011,6552.7,6067.8,-0.014483,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778652069.010010,3,1.698761,0.021827,0.001321,-0.0284,-0.0469,0.000449,1.648627,-0.000005,-0.000003,-0.0120,1.699456,0.021711,0.001319,0.0237,-0.0004,-0.000016,0.000520,0.0000,1.699456,0.000000,-0.000000,5.0000,0.000000,2.000000,3030.3993,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0926,0.0000,0.000000,0.2720,10.85,6.61,28.31,2.74,-0.000005,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,1512.2359464029055,1459.1434619278887,0.028534,0.029734,6546.5,6074.0,-0.010146,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778652069.022047,4,1.672221,0.001113,0.002940,-0.0025,0.0003,-0.001163,1.648492,-0.000007,-0.000005,-0.0106,1.672715,0.001021,0.002938,0.0197,-0.0005,-0.000021,0.020975,0.0000,1.672715,0.000000,-0.000000,5.0000,0.000000,2.000000,3024.8288,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1010,0.0000,0.000000,0.2960,9.29,6.06,24.64,2.95,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,1260.9444143524122,1147.681245000482,0.023621,0.023103,6539.4,6081.2,-0.005191,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778652069.034176,5,1.627069,-0.019163,-0.001657,0.0089,0.0236,0.001328,1.648463,-0.000004,-0.000003,0.0007,1.627465,-0.019200,-0.001657,0.0185,-0.0003,-0.000011,0.058658,0.0000,1.627465,0.000000,0.000000,5.0000,0.000000,2.000000,3015.2235,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1099,0.0000,0.000000,0.3200,7.97,5.60,21.54,2.98,-0.000004,-0.0002,-4.9993,nan,nan,nan,nan,nan,nan,0.0,0.0,492.0240711126038,523.3373927581254,0.009106,0.010385,6528.3,6092.3,0.002587,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778652069.045997,6,1.736491,-0.066659,0.006548,0.0338,0.0057,-0.000520,1.648468,0.000002,-0.000000,0.0002,1.736902,-0.066678,0.006548,0.0219,-0.0003,-0.000009,0.075768,0.0000,1.736902,0.000000,-0.000000,5.0000,0.000000,2.000000,3011.7729,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1195,0.0000,0.000000,0.3440,6.84,5.18,18.86,2.78,0.000002,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,295.7734487357406,295.0820986298157,0.005473,0.005841,6522.5,6098.0,0.006567,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778652069.057984,7,1.651615,-0.054933,-0.000621,-0.0179,-0.0669,-0.001127,1.648453,0.000007,0.000003,-0.0008,1.651909,-0.055045,-0.000624,0.0180,-0.0019,-0.000070,0.090623,0.0000,1.651909,0.000000,0.000000,5.0000,0.000000,2.000000,3007.9367,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1297,0.0000,0.000000,0.3680,5.88,4.80,16.57,2.67,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,1628.724655594693,1471.825681766517,0.030998,0.029855,6517.6,6103.0,0.010018,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778652069.070059,8,1.756864,-0.016696,-0.001518,0.0659,0.0603,-0.000023,1.648434,0.000015,0.000007,-0.0008,1.757265,-0.016702,-0.001519,0.0277,-0.0001,-0.000008,0.108492,0.0000,1.757265,-0.000000,-0.000000,5.0000,0.000000,2.000000,3003.0380,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1404,0.0000,0.000000,0.3920,5.06,4.50,14.62,2.78,0.000015,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,91.0514957658519,37.28851446237336,0.001689,0.000737,6512.0,6108.5,0.013887,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778652069.082081,9,1.690594,0.032364,-0.001665,-0.0476,-0.0247,-0.001271,1.648415,0.000022,0.000011,-0.0007,1.690884,0.032326,-0.001667,0.0227,-0.0010,-0.000050,0.126776,0.0000,1.690884,0.000000,-0.000000,5.0000,0.000000,2.000000,2998.8920,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1516,0.0000,0.000000,0.4160,4.37,4.24,12.97,2.76,0.000022,0.0006,-5.0007,0.008000,0.055565,0.1053,-0.478817,-0.005284,-0.001788,0.0,0.0,627.8585996131799,470.25797071349166,0.011721,0.009329,6506.6,6114.0,0.017711,0.000000,0.000000,0.5000,1.0000,,,,,
