sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778652093.316437,0,1.728294,0.019914,-0.003036,0.0086,-0.0086,-0.000775,1.648492,-0.000007,-0.000005,-0.0106,1.728711,0.019837,-0.003040,0.0098,-0.0000,-0.000001,0.025761,0.0000,1.728711,0.000000,-0.000000,1.2885,0.000000,0.291529,60.7616,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0077,0.0000,0.000000,0.0292,17.65,9.28,44.58,5.20,-0.000007,-0.0003,-1.2991,nan,nan,nan,nan,nan,nan,0.0,0.0,29.06288388535168,-301.30282378208886,0.019582,0.014462,6525.4,6095.1,0.011375,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778652093.324588,1,1.642873,0.000144,-0.000868,0.0776,0.0561,0.001383,1.648463,-0.000004,-0.000003,0.0001,1.643771,0.000174,-0.000869,0.0237,0.0000,0.000001,0.049287,0.0000,1.643771,0.000000,0.000000,1.4247,0.000000,0.436397,58.0383,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0083,0.0000,0.000000,0.0344,15.07,8.56,38.69,4.48,-0.000004,-0.0002,-1.4246,nan,nan,nan,nan,nan,nan,0.0,0.0,-17.588479331617364,-485.2649093030758,-0.006757,-0.009119,6522.4,6098.2,0.016689,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778652093.336545,2,1.565913,-0.056461,-0.008502,0.0380,0.0017,0.001210,1.648468,0.000000,-0.000000,0.0002,1.566801,-0.056440,-0.008501,0.0268,0.0001,0.000002,0.057329,0.0000,1.566801,0.000000,0.000000,1.5223,0.000000,0.513873,61.4158,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0091,0.0000,0.000000,0.0406,12.87,7.95,33.69,4.46,0.000000,-0.0000,-1.5221,nan,nan,nan,nan,nan,nan,0.0,0.0,-20.354514933067776,-474.38146376589975,-0.006861,-0.007220,6521.1,6099.5,0.019016,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778652093.348498,3,1.608855,0.038128,0.003537,-0.0556,0.0436,-0.001616,1.648453,0.000005,0.000003,-0.0009,1.609484,0.038219,0.003537,0.0218,0.0003,0.000011,0.060500,0.0000,1.609484,0.000000,0.000000,1.4703,0.000000,0.540135,59.5339,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0100,0.0000,0.000000,0.0470,11.00,7.43,29.43,4.49,0.000005,0.0002,-1.4711,nan,nan,nan,nan,nan,nan,0.0,0.0,-55.06952130608016,-602.7934746782526,-0.021397,-0.023750,6520.5,6100.0,0.019918,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778652093.360510,4,1.640544,0.038643,-0.005611,0.0187,0.0273,0.000223,1.648434,0.000012,0.000007,-0.0008,1.641087,0.038753,-0.005609,0.0214,0.0006,0.000022,0.064740,0.0000,1.641087,0.000000,0.000000,1.4284,0.000000,0.553023,58.3689,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0109,0.0000,0.000000,0.0537,9.42,6.97,25.80,4.39,0.000012,0.0004,-1.4292,nan,nan,nan,nan,nan,nan,0.0,0.0,-76.45861701769104,-651.5054075990091,-0.027967,-0.029579,6519.2,6101.4,0.022323,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778652093.372631,5,1.511002,0.056348,-0.006457,-0.0142,0.0499,0.001948,1.648415,0.000018,0.000011,-0.0007,1.511391,0.056513,-0.006453,0.0175,0.0012,0.000049,0.068845,0.0000,1.511391,0.000000,0.000000,1.5859,0.000000,0.577381,64.1658,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0119,0.0000,0.000000,0.0606,8.08,6.59,22.75,4.43,0.000018,0.0006,-1.5866,nan,nan,nan,nan,nan,nan,0.0,0.0,-124.81452382560393,-751.6007258300318,-0.043063,-0.041877,6517.8,6102.8,0.024748,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778652093.384532,6,1.572602,-0.009772,-0.001478,-0.0262,0.0220,-0.001536,1.648397,0.000024,0.000015,-0.0006,1.572881,-0.009610,-0.001476,0.0144,0.0017,0.000064,0.073979,0.0000,1.572881,0.000000,0.000000,1.5151,0.000000,0.567956,59.4661,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0131,0.0000,0.000000,0.0674,6.94,6.27,20.14,4.46,0.000024,0.0009,-1.5157,nan,nan,nan,nan,nan,nan,0.0,0.0,-129.54009975847003,-765.2388111584078,-0.042310,-0.043312,6516.2,6104.3,0.027447,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778652093.396611,7,1.628834,0.021526,0.005228,-0.0491,0.1028,0.000049,1.648380,0.000029,0.000019,-0.0005,1.629034,0.021803,0.005232,0.0118,0.0039,0.000145,0.077957,0.0000,1.629034,0.000000,0.000000,1.4448,0.000000,0.552953,57.7840,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0143,0.0000,0.000000,0.0741,5.97,6.00,17.94,4.49,0.000029,0.0011,-1.4453,nan,nan,nan,nan,nan,nan,0.0,0.0,-236.03148148766854,-1003.8296530499751,-0.073843,-0.074586,6514.8,6105.7,0.029856,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778652093.408513,8,1.576375,-0.034570,-0.000855,-0.0438,0.0771,0.000813,1.648364,0.000036,0.000023,-0.0004,1.576522,-0.034247,-0.000849,0.0097,0.0060,0.000212,0.081736,0.0000,1.576522,0.000000,0.000000,1.5108,0.000000,0.548996,59.2022,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0155,0.0000,0.000000,0.0806,5.14,5.77,16.05,4.48,0.000036,0.0013,-1.5112,nan,nan,nan,nan,nan,nan,0.0,0.0,-294.0288159828806,-1103.325523199758,-0.089761,-0.089328,6513.5,6107.0,0.032116,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778652093.420532,9,1.612830,-0.051944,-0.000188,0.0926,0.0567,-0.000281,1.648348,0.000042,0.000027,-0.0003,1.613200,-0.051617,-0.000182,0.0259,0.0077,0.000266,0.085536,0.0000,1.613200,0.000000,0.000000,1.4655,0.000000,0.536377,58.0231,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0169,0.0000,0.000000,0.0871,4.43,5.57,14.44,4.43,0.000042,0.0015,-1.4658,0.008000,0.180684,0.1635,-0.477859,0.047217,0.000000,0.0,0.0,-316.02856983169,-1133.2879331179552,-0.094089,-0.094096,6512.3,6108.2,0.034219,0.000000,0.000000,0.5000,1.0000,,,,,
