sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778738798.219719,0,1.647370,-0.036334,-0.014005,0.0035,-0.0006,-0.000375,1.648994,-0.000000,-0.000000,-0.0020,1.647410,-0.036342,-0.014006,-0.0016,-0.0000,-0.000000,-0.114886,0.0000,1.647410,0.000000,0.000000,1.4196,0.000000,2.000000,359.0539,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0506,0.0000,0.000000,0.2000,17.08,9.21,43.37,4.74,-0.000000,-0.0000,-1.4216,nan,nan,nan,nan,nan,nan,0.0,0.0,-117.02202395253445,8.064391092039457,0.002482,0.000003,6561.1,6059.5,-0.050727,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778738798.228314,1,1.668027,-0.080992,-0.008934,0.0691,-0.0093,0.000233,1.648913,-0.000001,-0.000000,-0.0094,1.668590,-0.081018,-0.008936,0.0137,-0.0000,-0.000001,-0.025472,0.0000,1.668590,0.000000,-0.000000,1.3888,0.000000,2.000000,289.3818,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0550,0.0000,0.000000,0.2240,14.56,8.76,37.88,6.21,-0.000001,-0.0000,-1.3982,nan,nan,nan,nan,nan,nan,0.0,0.0,-115.21163508948769,8.057700772936215,0.005447,0.003746,6557.8,6062.7,-0.045094,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778738798.240291,2,1.664440,-0.017906,0.001459,0.0257,-0.0519,0.000366,1.648775,-0.000002,-0.000001,-0.0124,1.665012,-0.018004,0.001456,0.0163,-0.0002,-0.000008,-0.015835,0.0000,1.665012,0.000000,-0.000000,1.3942,0.000000,2.000000,280.0510,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0598,0.0000,0.000000,0.2480,12.44,7.91,32.78,3.06,-0.000002,-0.0001,-1.4066,nan,nan,nan,nan,nan,nan,0.0,0.0,-113.13424250315433,12.28739812960076,0.024271,0.023367,6553.0,6067.6,-0.036698,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778738798.252462,3,1.622499,-0.009139,-0.004196,-0.0598,0.0201,-0.001540,1.648627,-0.000004,-0.000003,-0.0121,1.622905,-0.009189,-0.004199,0.0136,-0.0002,-0.000007,-0.000564,0.0000,1.622905,0.000000,0.000000,1.4529,0.000000,2.000000,292.5335,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0652,0.0000,0.000000,0.2720,10.63,7.16,28.42,2.92,-0.000004,-0.0002,-1.4650,nan,nan,nan,nan,nan,nan,0.0,0.0,-100.30051079169836,21.26616712067154,0.012741,0.010045,6546.9,6073.7,-0.026004,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778738798.264547,4,1.606321,-0.051116,0.004362,-0.0358,-0.0742,-0.000501,1.648492,-0.000007,-0.000005,-0.0107,1.606614,-0.051269,0.004358,0.0116,-0.0008,-0.000034,0.019684,0.0000,1.606614,0.000000,0.000000,1.4739,0.000000,2.000000,299.8354,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0711,0.0000,0.000000,0.2960,9.09,6.50,24.68,2.78,-0.000007,-0.0003,-1.4846,nan,nan,nan,nan,nan,nan,0.0,0.0,-66.27669113046576,56.79986156497735,0.039297,0.036485,6539.8,6080.8,-0.013686,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778738798.276530,5,1.776008,0.054886,0.006682,0.0700,0.0610,0.000054,1.648462,-0.000004,-0.000003,0.0015,1.776520,0.054860,0.006680,0.0236,-0.0002,-0.000011,0.048758,0.0000,1.776520,-0.000000,-0.000000,1.1920,0.000000,2.000000,299.2294,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0774,0.0000,0.000000,0.3200,7.79,5.95,21.54,2.85,-0.000004,-0.0002,-1.1905,nan,nan,nan,nan,nan,nan,0.0,0.0,-68.92851842112853,43.4868189199174,0.008072,0.005871,6530.8,6089.8,0.002023,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778738798.288427,6,1.571790,-0.003386,0.002711,-0.0172,-0.0527,0.000279,1.648468,0.000001,-0.000000,0.0000,1.572155,-0.003485,0.002708,0.0194,-0.0012,-0.000048,0.064019,0.0000,1.572155,0.000000,0.000000,1.5160,0.000000,2.000000,290.9999,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0841,0.0000,0.000000,0.3440,6.68,5.49,18.85,2.85,0.000001,-0.0000,-1.5159,nan,nan,nan,nan,nan,nan,0.0,0.0,-47.32502697345515,68.41490761283859,0.026747,0.025328,6525.5,6095.0,0.011210,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778738798.300517,7,1.711285,-0.016024,0.001706,-0.0028,-0.0495,-0.001673,1.648453,0.000006,0.000003,-0.0009,1.711548,-0.016173,0.001701,0.0160,-0.0025,-0.000098,0.081304,0.0000,1.711548,0.000000,-0.000000,1.3194,0.000000,2.000000,373.7420,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0912,0.0000,0.000000,0.3680,5.74,5.08,16.57,2.80,0.000006,0.0002,-1.3202,nan,nan,nan,nan,nan,nan,0.0,0.0,-3.5735609003184408,108.54984209226322,0.041737,0.038459,6520.0,6100.6,0.020908,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778738798.312383,8,1.618071,0.026399,-0.004433,-0.0299,-0.0166,-0.000844,1.648434,0.000014,0.000007,-0.0008,1.618260,0.026259,-0.004438,0.0133,-0.0030,-0.000123,0.098650,0.0000,1.618260,0.000000,0.000000,1.4590,0.000000,2.000000,290.6880,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0987,0.0000,0.000000,0.3920,4.94,4.75,14.63,2.86,0.000014,0.0004,-1.4598,nan,nan,nan,nan,nan,nan,0.0,0.0,8.595921001537477,116.8503780799162,0.040586,0.036866,6514.6,6106.0,0.030345,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778738798.324445,9,1.694680,-0.079866,-0.005110,0.0197,-0.0070,0.000447,1.648415,0.000021,0.000011,-0.0007,1.694868,-0.079983,-0.005113,0.0149,-0.0033,-0.000126,0.117481,0.0000,1.694868,0.000000,-0.000000,1.3476,0.000000,2.000000,381.0536,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1066,0.0000,0.000000,0.4160,4.25,4.46,12.97,2.80,0.000021,0.0007,-1.3483,0.008000,0.042910,0.4852,-0.486460,-0.017002,-0.004651,0.0,0.0,7.5279782085985545,115.91913600769536,0.035165,0.032734,6508.9,6111.6,0.040163,0.000000,0.000000,0.5000,1.0000,,,,,
