sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778824735.017776,0,1.624976,-0.062878,-0.003263,-0.0513,0.0816,0.000501,1.648994,-0.000000,-0.000000,-0.0020,1.624860,-0.062196,-0.003247,-0.0052,0.0003,0.000012,-0.112667,0.0000,1.624860,0.000000,0.000000,1.6903,0.000000,2.000000,260.4158,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0526,0.0000,0.000000,0.2000,17.90,8.93,44.73,2.84,-0.000000,-0.0000,-1.6923,nan,nan,nan,nan,nan,nan,0.0,0.0,-9559.953595480956,-8812.979342307406,-0.163355,-0.160135,6560.5,6060.1,-0.019892,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778824735.021204,1,1.642121,0.005802,0.001065,0.0212,-0.0030,-0.001354,1.648913,-0.000001,-0.000000,-0.0094,1.642224,0.006343,0.001077,0.0017,0.0005,0.000020,-0.021372,0.0000,1.642224,0.000000,0.000000,1.6701,0.000000,1.500000,88.7022,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0569,0.0000,0.000000,0.2180,15.44,8.31,39.19,4.85,-0.000001,-0.0000,-1.6795,nan,nan,nan,nan,nan,nan,0.0,0.0,-9238.642706319753,-8528.97492979045,-0.130178,-0.129258,6557.5,6063.0,-0.017827,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778824735.032081,2,1.690563,0.056833,-0.011661,-0.0769,-0.0466,-0.001914,1.648775,-0.000002,-0.000001,-0.0124,1.690640,0.057189,-0.011655,0.0012,0.0006,0.000025,-0.032991,0.0000,1.690640,0.000000,-0.000000,1.6095,0.000000,1.179337,82.2303,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0616,0.0000,0.000000,0.2322,13.20,7.39,33.78,2.14,-0.000002,-0.0001,-1.6219,nan,nan,nan,nan,nan,nan,0.0,0.0,-8059.6451758297435,-7524.843816787621,-0.086165,-0.087845,6554.1,6066.4,-0.015454,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778824735.044232,3,1.544293,-0.056743,-0.005856,-0.0038,-0.0067,-0.000831,1.648627,-0.000005,-0.000003,-0.0122,1.544347,-0.056471,-0.005852,0.0010,0.0008,0.000034,-0.037139,0.0000,1.544347,0.000000,0.000000,1.7772,0.000000,1.059992,83.9406,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0665,0.0000,0.000000,0.2449,11.29,6.58,29.15,2.02,-0.000005,-0.0002,-1.7893,nan,nan,nan,nan,nan,nan,0.0,0.0,-7026.34105480023,-6650.610010993431,-0.066456,-0.068872,6550.3,6070.2,-0.012795,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778824735.056330,4,1.669947,0.047767,-0.009116,0.0457,-0.0341,-0.000775,1.648492,-0.000007,-0.000005,-0.0105,1.670218,0.047926,-0.009115,0.0099,0.0008,0.000033,-0.027281,0.0000,1.670218,0.000000,-0.000000,1.6359,0.000000,0.976506,78.9541,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0717,0.0000,0.000000,0.2566,9.67,5.90,25.25,2.05,-0.000007,-0.0003,-1.6464,nan,nan,nan,nan,nan,nan,0.0,0.0,-4876.349264230644,-4791.918905088039,-0.039977,-0.042919,6545.8,6074.7,-0.009669,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778824735.068267,5,1.722100,0.107611,0.002653,0.0474,0.0088,0.000068,1.648463,-0.000004,-0.000003,0.0010,1.722501,0.107753,0.002655,0.0177,0.0011,0.000042,-0.003167,0.0000,1.722501,0.000000,-0.000000,1.5654,0.000000,0.912515,79.4988,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0769,0.0000,0.000000,0.2675,8.29,5.33,21.91,2.10,-0.000004,-0.0002,-1.5644,nan,nan,nan,nan,nan,nan,0.0,0.0,-4435.609937980923,-4347.514724618284,-0.035692,-0.037980,6538.3,6082.2,-0.004435,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778824735.080311,6,1.602655,-0.058873,-0.001649,-0.0717,0.0139,-0.000099,1.648468,0.000001,-0.000000,0.0001,1.602939,-0.058743,-0.001647,0.0144,0.0015,0.000056,0.002382,0.0000,1.602939,0.000000,0.000000,1.7149,0.000000,0.888453,78.3459,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0824,0.0000,0.000000,0.2782,7.12,4.83,19.07,2.01,0.000001,-0.0000,-1.7148,nan,nan,nan,nan,nan,nan,0.0,0.0,-4266.197385704284,-4166.926704358166,-0.034113,-0.036085,6535.9,6084.7,-0.002733,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778824735.092312,7,1.720506,0.032722,0.001098,-0.0101,-0.0290,0.000802,1.648453,0.000006,0.000003,-0.0008,1.720706,0.032784,0.001099,0.0117,0.0010,0.000034,0.007733,0.0000,1.720706,0.000000,-0.000000,1.5680,0.000000,0.854192,75.3226,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0880,0.0000,0.000000,0.2885,6.13,4.41,16.67,1.99,0.000006,0.0002,-1.5688,nan,nan,nan,nan,nan,nan,0.0,0.0,-2218.087685884351,-2133.4426899628706,-0.016789,-0.017356,6533.9,6086.7,-0.001316,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778824735.104409,8,1.571883,0.046650,-0.004969,-0.0410,0.0238,0.001846,1.648434,0.000013,0.000007,-0.0008,1.572026,0.046731,-0.004967,0.0096,0.0018,0.000071,0.015238,0.0000,1.572026,0.000000,0.000000,1.7482,0.000000,0.853660,79.1978,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0937,0.0000,0.000000,0.2987,5.30,4.04,14.63,1.95,0.000013,0.0004,-1.7491,nan,nan,nan,nan,nan,nan,0.0,0.0,-3096.1567115054636,-2671.7172028337486,-0.023883,-0.021983,6531.3,6089.2,0.000428,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778824735.116336,9,1.604248,0.051803,-0.001181,0.0176,0.0401,-0.001378,1.648415,0.000020,0.000011,-0.0007,1.604395,0.051916,-0.001179,0.0113,0.0033,0.000110,0.023930,0.0000,1.604395,0.000000,0.000000,1.7133,0.000000,0.839821,77.6492,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0996,0.0000,0.000000,0.3088,4.58,3.75,12.90,2.12,0.000020,0.0006,-1.7140,0.008000,0.134234,0.1034,-0.488969,0.017019,-0.002656,0.0,0.0,-4240.442032607443,-3979.5717796308386,-0.033915,-0.034144,6528.8,6091.8,0.002237,0.000000,0.000000,0.5000,1.0000,,,,,
