sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778824864.800594,0,1.638408,-0.008964,-0.002158,-0.0513,-0.0144,-0.000530,1.648994,-0.000000,-0.000000,-0.0020,1.638283,-0.009087,-0.002163,-0.0054,-0.0000,-0.000002,-0.116500,0.0000,1.638283,0.000000,0.000000,7.0000,0.000000,2.000000,7117.2689,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0844,0.0000,0.000000,0.2000,18.11,9.06,45.28,3.76,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,3863.8976341141665,3198.6900486578393,0.030504,0.027008,6561.5,6059.1,-0.020569,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778824864.805232,1,1.574863,-0.010631,0.004358,-0.0542,-0.0186,-0.002479,1.648913,-0.000001,-0.000000,-0.0094,1.574799,-0.010764,0.004352,-0.0026,-0.0001,-0.000004,-0.021996,0.0000,1.574799,0.000000,0.000000,7.0000,0.000000,2.000000,6744.1557,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0917,0.0000,0.000000,0.2240,15.97,8.48,40.42,5.20,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,4176.333119629652,3238.036556686651,0.033310,0.027326,6558.3,6062.3,-0.018361,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778824864.813726,2,1.636821,0.009293,-0.001137,-0.0418,-0.0062,-0.000355,1.648775,-0.000002,-0.000001,-0.0124,1.636782,0.009177,-0.001143,-0.0017,-0.0002,-0.000007,-0.012925,0.0000,1.636782,0.000000,0.000000,7.0000,0.000000,2.000000,6739.0619,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0999,0.0000,0.000000,0.2480,13.63,7.82,35.08,4.08,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,3752.317152949496,2902.579145295966,0.029472,0.024193,6553.3,6067.2,-0.014902,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778824864.825723,3,1.686750,0.022689,0.007707,0.0325,-0.1080,0.001494,1.648627,-0.000004,-0.000003,-0.0121,1.686929,0.022429,0.007700,0.0054,-0.0007,-0.000028,0.002193,0.0000,1.686929,0.000000,-0.000000,7.0000,0.000000,2.000000,6730.8565,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1088,0.0000,0.000000,0.2720,11.65,7.27,30.56,4.14,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,6906.50350611051,6260.170684536166,0.064589,0.062247,6547.2,6073.4,-0.010601,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778824864.837701,4,1.607936,-0.064484,-0.002933,-0.0279,0.0046,-0.001410,1.648492,-0.000007,-0.000005,-0.0106,1.608068,-0.064687,-0.002939,0.0050,-0.0009,-0.000036,0.023293,0.0000,1.608068,0.000000,0.000000,7.0000,0.000000,2.000000,6720.1258,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1186,0.0000,0.000000,0.2960,9.96,6.81,26.72,4.16,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,5906.884821584754,5195.869786391416,0.051219,0.047529,6539.8,6080.7,-0.005487,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778824864.849681,5,1.776757,0.056623,-0.005060,-0.0073,0.0336,0.000161,1.648463,-0.000004,-0.000003,0.0002,1.776862,0.056514,-0.005064,0.0050,-0.0007,-0.000030,0.061446,0.0000,1.776862,-0.000000,-0.000000,7.0000,0.000000,2.000000,6699.8165,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1291,0.0000,0.000000,0.3200,8.52,6.39,23.43,4.04,-0.000004,-0.0002,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,3607.0226423839667,3063.520495654267,0.028238,0.025463,6528.5,6092.1,0.002429,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778824864.861675,6,1.664929,-0.003384,-0.001048,-0.1181,0.0406,-0.001170,1.648468,0.000002,0.000000,0.0003,1.665010,-0.003411,-0.001051,0.0046,-0.0002,-0.000013,0.081687,0.0000,1.665010,0.000000,-0.000000,7.0000,0.000000,2.000000,6689.0141,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1403,0.0000,0.000000,0.3440,7.30,5.92,20.51,3.24,0.000002,0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,1042.2391311627732,509.0605508983767,0.007793,0.004058,6521.9,6098.7,0.007013,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778824864.873681,7,1.755043,0.067689,-0.005902,-0.0450,-0.0048,0.002000,1.648453,0.000008,0.000003,-0.0008,1.755104,0.067663,-0.005903,0.0041,-0.0003,-0.000014,0.096449,0.0000,1.755104,-0.000000,-0.000000,7.0000,0.000000,2.000000,6682.4544,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1522,0.0000,0.000000,0.3680,6.26,5.53,18.05,3.34,0.000008,0.0002,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,925.7646986893251,810.3396173267812,0.006927,0.006471,6516.9,6103.7,0.010520,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778824864.885676,8,1.655586,0.008714,0.002467,0.0406,0.0158,0.000805,1.648434,0.000014,0.000007,-0.0008,1.655761,0.008717,0.002467,0.0116,0.0000,0.000004,0.113507,0.0000,1.655761,0.000000,-0.000000,7.0000,0.000000,2.000000,6673.3930,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1647,0.0000,0.000000,0.3920,5.38,5.22,15.97,3.44,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-135.97640173315622,-44.572482217138926,-0.001016,-0.000355,6511.5,6109.1,0.014291,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778824864.897657,9,1.606669,-0.060067,-0.000187,0.0120,0.0012,0.000833,1.648415,0.000022,0.000011,-0.0007,1.606831,-0.060062,-0.000186,0.0121,0.0001,0.000011,0.131933,0.0000,1.606831,0.000000,0.000000,7.0000,0.000000,2.000000,6665.2600,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1779,0.0000,0.000000,0.4160,4.62,4.99,14.24,3.71,0.000022,0.0006,-7.0007,0.008000,0.096171,0.1088,-0.489612,0.000518,-0.000525,0.0,0.0,-241.0425548225386,-26.17698463756659,-0.001806,-0.000209,6505.9,6114.7,0.018187,0.000000,0.000000,0.5000,1.0000,,,,,
