sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778825082.366127,0,1.771462,0.004437,0.001306,0.0247,-0.0555,-0.000715,1.648994,-0.000000,-0.000000,-0.0020,1.772467,0.003973,0.001293,0.0196,-0.0002,-0.000009,-0.114111,0.0000,1.772467,-0.000000,-0.000000,5.0000,0.000000,2.000000,3412.3871,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0720,0.0000,0.000000,0.2000,17.68,8.88,44.25,2.56,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,4006.7615874207954,3672.3995906858554,0.112783,0.108118,6560.9,6059.7,-0.050384,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778825082.370382,1,1.626226,0.068083,0.002019,0.0005,0.0092,-0.000066,1.648913,-0.000001,-0.000000,-0.0094,1.626953,0.067725,0.002009,0.0176,-0.0003,-0.000015,-0.022919,0.0000,1.626953,0.000000,0.000000,5.0000,0.000000,2.000000,3037.8574,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0782,0.0000,0.000000,0.2240,15.10,8.09,38.29,3.55,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,3692.928088457176,3332.0951778835915,0.087601,0.083737,6557.6,6063.0,-0.044639,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778825082.382353,2,1.732771,-0.007221,-0.005773,-0.0447,-0.0614,0.000057,1.648775,-0.000002,-0.000001,-0.0124,1.733283,-0.007609,-0.005783,0.0145,-0.0007,-0.000030,-0.014172,0.0000,1.733283,0.000000,-0.000000,5.0000,0.000000,2.000000,3034.3368,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0851,0.0000,0.000000,0.2480,12.91,7.29,33.10,2.76,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,3855.9013595196516,3518.046665353545,0.094288,0.091248,6552.7,6067.8,-0.036192,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778825082.394369,3,1.635525,0.017899,-0.008766,-0.0640,-0.0211,0.001477,1.648627,-0.000004,-0.000003,-0.0120,1.635888,0.017558,-0.008773,0.0122,-0.0011,-0.000045,0.000700,0.0000,1.635888,0.000000,0.000000,5.0000,0.000000,2.000000,3030.2976,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0928,0.0000,0.000000,0.2720,11.05,6.61,28.70,2.77,-0.000004,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,3650.2454266802742,3373.140762896125,0.083319,0.082739,6546.7,6073.9,-0.025633,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778825082.406437,4,1.572987,0.067015,0.009140,-0.0252,-0.0378,-0.000567,1.648492,-0.000007,-0.000005,-0.0105,1.573255,0.066691,0.009133,0.0104,-0.0017,-0.000070,0.022243,0.0000,1.573255,0.000000,0.000000,5.0000,0.000000,2.000000,3025.7148,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1012,0.0000,0.000000,0.2960,9.48,6.06,25.01,2.93,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,3638.9440909015193,3355.2065365179733,0.082137,0.080948,6539.3,6081.3,-0.012753,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778825082.418291,5,1.653243,0.027927,-0.000300,0.0156,-0.0121,0.000587,1.648463,-0.000004,-0.000003,0.0005,1.653507,0.027652,-0.000306,0.0123,-0.0022,-0.000086,0.059821,0.0000,1.653507,0.000000,0.000000,5.0000,0.000000,2.000000,3015.0061,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1101,0.0000,0.000000,0.3200,8.13,5.59,21.84,2.92,-0.000004,-0.0002,-4.9995,nan,nan,nan,nan,nan,nan,0.0,0.0,3300.3076942535763,3073.5365388388177,0.070585,0.070372,6528.1,6092.5,0.006712,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778825082.430329,6,1.584363,0.013726,-0.001892,0.0146,-0.0252,0.000799,1.648468,0.000002,-0.000000,0.0002,1.584609,0.013474,-0.001896,0.0132,-0.0030,-0.000111,0.077198,0.0000,1.584609,0.000000,0.000000,5.0000,0.000000,2.000000,3010.5570,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1197,0.0000,0.000000,0.3440,6.99,5.16,19.13,2.74,0.000002,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,3139.5331281941712,2962.770129353424,0.066195,0.067039,6522.3,6098.2,0.016815,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778825082.442303,7,1.688702,-0.027240,0.007194,0.0342,0.0198,0.000741,1.648453,0.000007,0.000003,-0.0009,1.688994,-0.027405,0.007192,0.0177,-0.0028,-0.000091,0.092551,0.0000,1.688994,0.000000,-0.000000,5.0000,0.000000,2.000000,3006.9408,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1299,0.0000,0.000000,0.3680,6.01,4.79,16.80,2.68,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,2289.5153859422253,2211.3725370514044,0.045300,0.046927,6517.2,6103.3,0.025697,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778825082.454327,8,1.589316,-0.074854,-0.003979,0.0142,0.0193,-0.000164,1.648434,0.000014,0.000007,-0.0008,1.589568,-0.074958,-0.003980,0.0174,-0.0023,-0.000074,0.110457,0.0000,1.589568,0.000000,0.000000,5.0000,0.000000,2.000000,3003.9101,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1406,0.0000,0.000000,0.3920,5.18,4.48,14.84,2.77,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,1514.646201616477,1471.896346723369,0.029188,0.030291,6511.7,6108.9,0.035395,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778825082.466370,9,1.746592,0.004581,-0.001777,-0.0289,-0.0220,-0.000355,1.648415,0.000021,0.000011,-0.0007,1.746775,0.004473,-0.001778,0.0144,-0.0031,-0.000101,0.128700,0.0000,1.746775,0.000000,-0.000000,5.0000,0.000000,2.000000,2998.2378,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1518,0.0000,0.000000,0.4160,4.48,4.22,13.18,2.75,0.000021,0.0006,-5.0007,0.008000,0.075877,-0.1735,-0.487133,-0.016246,0.000480,0.0,0.0,1647.5396543928687,1567.960155408768,0.032271,0.032707,6506.2,6114.4,0.044955,0.000000,0.000000,0.5000,1.0000,,,,,
