sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778825213.644802,0,1.668045,-0.048276,0.001420,0.0077,-0.0290,-0.000716,1.648994,-0.000000,-0.000000,-0.0020,1.668281,-0.048521,0.001412,0.0026,-0.0001,-0.000004,-0.109937,0.0000,1.668281,0.000000,-0.000000,1.6384,0.000000,2.000000,246.6408,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0519,0.0000,0.000000,0.2000,18.02,8.89,44.92,2.60,-0.000000,-0.0000,-1.6404,nan,nan,nan,nan,nan,nan,0.0,0.0,2936.0359274985412,2541.453292797421,0.060252,0.055542,6559.8,6060.8,-0.019411,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778825213.647963,1,1.667133,0.035168,0.001183,-0.1088,-0.0225,0.000635,1.648913,-0.000001,-0.000000,-0.0094,1.667324,0.034936,0.001177,0.0039,-0.0002,-0.000008,-0.017757,0.0000,1.667324,0.000000,-0.000000,1.6396,0.000000,1.500000,88.3294,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0562,0.0000,0.000000,0.2180,15.59,8.17,39.34,4.07,-0.000001,-0.0000,-1.6489,nan,nan,nan,nan,nan,nan,0.0,0.0,2807.338322747792,2484.125020363086,0.056916,0.053925,6556.8,6063.8,-0.017283,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778825213.658699,2,1.656300,-0.013883,0.000056,-0.0662,0.0128,-0.001126,1.648775,-0.000002,-0.000001,-0.0124,1.656434,-0.014050,0.000050,0.0030,-0.0003,-0.000011,-0.029690,0.0000,1.656434,0.000000,-0.000000,1.6530,0.000000,1.178725,81.2042,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0609,0.0000,0.000000,0.2321,13.33,7.26,33.91,2.10,-0.000002,-0.0001,-1.6654,nan,nan,nan,nan,nan,nan,0.0,0.0,2149.1350967524345,1821.894248823833,0.041669,0.037816,6553.3,6067.2,-0.014903,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778825213.670717,3,1.616661,0.091110,-0.001508,0.0222,-0.0835,0.000953,1.648627,-0.000004,-0.000003,-0.0120,1.616885,0.090846,-0.001515,0.0068,-0.0008,-0.000033,-0.034128,0.0000,1.616885,0.000000,0.000000,1.6994,0.000000,1.050032,83.2008,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0658,0.0000,0.000000,0.2447,11.41,6.46,29.28,1.95,-0.000004,-0.0002,-1.7114,nan,nan,nan,nan,nan,nan,0.0,0.0,3125.417702603084,2833.87022267669,0.065278,0.063391,6549.6,6071.0,-0.012284,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778825213.682659,4,1.736520,0.058974,-0.000772,0.0176,-0.0075,0.000451,1.648492,-0.000007,-0.000005,-0.0106,1.736768,0.058753,-0.000777,0.0091,-0.0011,-0.000045,-0.025152,0.0000,1.736768,0.000000,-0.000000,1.5443,0.000000,0.961387,78.2245,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0708,0.0000,0.000000,0.2563,9.77,5.79,25.32,1.98,-0.000007,-0.0003,-1.5549,nan,nan,nan,nan,nan,nan,0.0,0.0,2743.8478648238447,2510.8771970722823,0.055275,0.054327,6545.2,6075.3,-0.009260,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778825213.694667,5,1.641790,0.045522,-0.000164,-0.0281,-0.0427,0.000676,1.648464,-0.000004,-0.000003,0.0004,1.641970,0.045285,-0.000169,0.0079,-0.0019,-0.000074,-0.001260,0.0000,1.641970,0.000000,0.000000,1.6704,0.000000,0.908779,77.7831,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0761,0.0000,0.000000,0.2672,8.37,5.22,21.97,2.00,-0.000004,-0.0002,-1.6700,nan,nan,nan,nan,nan,nan,0.0,0.0,2955.5926846548687,2753.333270648547,0.060676,0.060773,6537.8,6082.8,-0.004048,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778825213.706594,6,1.650893,0.039763,-0.002990,0.0020,-0.0274,-0.000165,1.648468,0.000001,-0.000000,0.0003,1.651028,0.039536,-0.002994,0.0069,-0.0026,-0.000100,0.007305,0.0000,1.651028,0.000000,0.000000,1.6596,0.000000,0.874175,76.8120,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0815,0.0000,0.000000,0.2777,7.19,4.67,19.05,1.59,0.000001,-0.0000,-1.6593,nan,nan,nan,nan,nan,nan,0.0,0.0,2914.6839365485407,2709.834987059716,0.059631,0.059500,6534.6,6085.9,-0.001854,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778825213.718744,7,1.734286,-0.062212,-0.013232,-0.0261,0.0190,-0.000202,1.648453,0.000007,0.000003,-0.0009,1.734380,-0.062362,-0.013235,0.0057,-0.0025,-0.000088,0.011967,0.0000,1.734380,0.000000,-0.000000,1.5479,0.000000,0.842717,75.3677,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0870,0.0000,0.000000,0.2878,6.19,4.27,16.66,1.99,0.000007,0.0002,-1.5488,nan,nan,nan,nan,nan,nan,0.0,0.0,2112.072851834397,1952.433067407713,0.040889,0.040525,6532.7,6087.9,-0.000521,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778825213.730689,8,1.620991,-0.004045,0.001095,-0.0109,0.0348,0.000752,1.648434,0.000013,0.000007,-0.0008,1.621060,-0.004112,0.001095,0.0047,-0.0015,-0.000049,0.019752,0.0000,1.621060,0.000000,0.000000,1.6946,0.000000,0.834587,76.1224,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0927,0.0000,0.000000,0.2978,5.34,3.94,14.62,2.08,0.000013,0.0004,-1.6955,nan,nan,nan,nan,nan,nan,0.0,0.0,1021.7113428436625,985.5840979908909,0.019054,0.019722,6530.2,6090.4,0.001263,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778825213.742941,9,1.681328,0.085109,0.001103,0.0290,-0.0553,0.000947,1.648415,0.000020,0.000011,-0.0007,1.681453,0.084988,0.001102,0.0096,-0.0036,-0.000109,0.028091,0.0000,1.681453,0.000000,-0.000000,1.6215,0.000000,0.818120,76.7939,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0985,0.0000,0.000000,0.3076,4.62,3.65,12.90,1.99,0.000020,0.0006,-1.6222,0.008000,0.138577,-0.0243,-0.490736,-0.018521,-0.000884,0.0,0.0,1887.1136467996412,1839.576853128698,0.036183,0.037930,6527.6,6092.9,0.003016,0.000000,0.000000,0.5000,1.0000,,,,,
