sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778825604.984880,0,1.653973,-0.018735,-0.000300,0.0483,-0.0307,-0.002137,1.648994,-0.000000,-0.000000,-0.0020,1.656043,-0.019004,-0.000314,0.0431,-0.0001,-0.000005,-0.113085,0.0000,1.656043,0.000000,-0.000000,7.0000,0.000000,2.000000,7079.6527,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0838,0.0000,0.000000,0.2000,17.66,9.31,44.63,5.41,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-100.70503917887065,47.623602166483295,0.068070,0.054007,6560.6,6060.0,-0.049931,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778825604.990949,1,1.596574,-0.036191,-0.001956,-0.0741,0.0094,0.001681,1.648913,-0.000001,-0.000000,-0.0094,1.598073,-0.036393,-0.001966,0.0365,-0.0002,-0.000007,-0.019748,0.0000,1.598073,0.000000,0.000000,7.0000,0.000000,2.000000,7008.7230,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0911,0.0000,0.000000,0.2240,15.35,8.77,39.47,5.68,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-105.32867606625763,29.027842275068295,0.050280,0.041065,6557.2,6063.3,-0.044058,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778825605.001148,2,1.665039,-0.040676,-0.002725,0.0637,0.0174,-0.002339,1.648775,-0.000002,-0.000001,-0.0124,1.666535,-0.040815,-0.002734,0.0421,-0.0002,-0.000009,-0.011159,0.0000,1.666535,0.000000,-0.000000,7.0000,0.000000,2.000000,7002.5553,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0992,0.0000,0.000000,0.2480,13.14,7.88,34.15,2.84,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,-105.61885309246948,14.42845032618709,0.035276,0.024849,6552.5,6068.0,-0.035871,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778825605.013218,3,1.728213,-0.104339,-0.014745,0.0111,-0.1009,-0.000039,1.648627,-0.000004,-0.000003,-0.0121,1.729328,-0.104622,-0.014755,0.0366,-0.0007,-0.000032,0.003556,0.0000,1.729328,0.000000,-0.000000,7.0000,0.000000,2.000000,6993.4728,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1081,0.0000,0.000000,0.2720,11.25,7.14,29.63,2.97,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-47.053336679123305,84.88982212055367,0.067453,0.059020,6546.4,6074.1,-0.025248,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778825605.025065,4,1.590137,0.014400,0.005354,0.0003,-0.0096,-0.001612,1.648492,-0.000007,-0.000005,-0.0106,1.590932,0.014175,0.005344,0.0302,-0.0010,-0.000046,0.024207,0.0000,1.590932,0.000000,0.000000,7.0000,0.000000,2.000000,6990.2657,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1178,0.0000,0.000000,0.2960,9.63,6.53,25.78,3.04,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-32.25787026827253,85.44432079254437,0.059137,0.050276,6539.2,6081.4,-0.012623,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778825605.037052,5,1.523223,0.032916,-0.001956,-0.0127,-0.0127,0.001559,1.648463,-0.000004,-0.000003,0.0001,1.523792,0.032717,-0.001963,0.0252,-0.0014,-0.000060,0.060751,0.0000,1.523792,0.000000,0.000000,7.0000,0.000000,2.000000,6985.0474,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1283,0.0000,0.000000,0.3200,8.25,5.97,22.47,2.80,-0.000004,-0.0002,-6.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,-7.296254733053374,106.62449089098891,0.051668,0.046506,6528.2,6092.3,0.006486,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778825605.049070,6,1.677764,0.004401,-0.013851,-0.0286,0.0639,0.000347,1.648468,0.000002,-0.000000,0.0003,1.678169,0.004335,-0.013855,0.0208,-0.0006,-0.000029,0.078100,0.0000,1.678169,0.000000,-0.000000,7.0000,0.000000,2.000000,6972.7733,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1395,0.0000,0.000000,0.3440,7.09,5.49,19.66,2.80,0.000002,-0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,-52.90375859797017,55.96433070177501,0.016769,0.013040,6522.4,6098.2,0.016699,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778825605.061088,7,1.556484,-0.051581,0.002114,-0.0539,-0.0821,0.000229,1.648453,0.000007,0.000003,-0.0008,1.556775,-0.051744,0.002109,0.0172,-0.0024,-0.000098,0.093602,0.0000,1.556775,0.000000,0.000000,7.0000,0.000000,2.000000,6984.0826,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1513,0.0000,0.000000,0.3680,6.10,5.09,17.28,2.80,0.000007,0.0002,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,12.932282627304389,126.07821042092854,0.045137,0.042426,6517.2,6103.3,0.025712,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778825605.073168,8,1.647396,0.039047,-0.006130,-0.0064,-0.0298,0.001247,1.648434,0.000015,0.000007,-0.0008,1.647605,0.038879,-0.006134,0.0143,-0.0034,-0.000121,0.110401,0.0000,1.647605,0.000000,0.000000,7.0000,0.000000,2.000000,6971.6473,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1638,0.0000,0.000000,0.3920,5.25,4.75,15.25,2.82,0.000015,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,34.17688431496944,152.49123611644498,0.047141,0.046547,6511.9,6108.7,0.034978,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778825605.085097,9,1.622895,-0.102361,0.000425,-0.0079,-0.0195,-0.000499,1.648415,0.000022,0.000011,-0.0007,1.623049,-0.102516,0.000422,0.0119,-0.0041,-0.000145,0.128554,0.0000,1.623049,0.000000,0.000000,7.0000,0.000000,2.000000,6968.1509,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1769,0.0000,0.000000,0.4160,4.54,4.46,13.53,2.83,0.000022,0.0006,-7.0007,0.008000,0.117726,0.0387,-0.489693,-0.022672,-0.000816,0.0,0.0,45.71571098024947,161.12377098556811,0.045851,0.044734,6506.4,6114.2,0.044556,0.000000,0.000000,0.5000,1.0000,,,,,
