sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778825697.301143,0,1.594486,0.004348,-0.008473,-0.0663,0.0053,-0.000966,1.648994,-0.000000,-0.000000,-0.0020,1.594375,0.004386,-0.008476,-0.0050,0.0000,0.000001,-0.113766,0.0000,1.594375,0.000000,0.000000,1.7243,0.000000,2.000000,275.0575,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0528,0.0000,0.000000,0.2000,17.07,9.29,43.42,5.24,-0.000000,-0.0000,-1.7263,nan,nan,nan,nan,nan,nan,0.0,0.0,40.981665679604234,67.90138140120165,-0.007494,-0.013875,6560.8,6059.8,-0.020087,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778825697.309891,1,1.694644,0.030426,0.008188,0.0131,0.0257,-0.000140,1.648913,-0.000001,-0.000000,-0.0094,1.694685,0.030497,0.008186,0.0001,0.0001,0.000003,-0.024125,0.0000,1.694685,0.000000,-0.000000,1.6041,0.000000,2.000000,246.6606,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0574,0.0000,0.000000,0.2240,14.58,8.78,37.94,5.93,-0.000001,-0.0000,-1.6135,nan,nan,nan,nan,nan,nan,0.0,0.0,30.731487324761886,58.14690650842631,-0.015898,-0.021222,6557.5,6063.0,-0.017835,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778825697.321826,2,1.633989,-0.007728,-0.002217,0.0882,0.0099,-0.000970,1.648775,-0.000002,-0.000001,-0.0124,1.634599,-0.007658,-0.002219,0.0175,0.0001,0.000006,-0.014479,0.0000,1.634599,0.000000,0.000000,1.6791,0.000000,2.000000,229.4642,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0625,0.0000,0.000000,0.2480,12.46,7.90,32.82,2.91,-0.000002,-0.0001,-1.6915,nan,nan,nan,nan,nan,nan,0.0,0.0,33.20330581535214,56.03080743383464,-0.016046,-0.021579,6552.7,6067.9,-0.014457,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778825697.333808,3,1.780927,-0.071236,0.003976,-0.0350,0.0328,-0.000985,1.648627,-0.000005,-0.000003,-0.0121,1.781360,-0.071127,0.003975,0.0146,0.0004,0.000014,0.001411,0.0000,1.781360,-0.000000,-0.000000,1.4730,0.000000,2.000000,207.5991,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0680,0.0000,0.000000,0.2720,10.65,7.16,28.46,2.93,-0.000005,-0.0002,-1.4851,nan,nan,nan,nan,nan,nan,0.0,0.0,29.282435631885747,43.18002660735293,-0.025023,-0.030742,6546.4,6074.2,-0.010065,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778825697.345867,4,1.664671,0.029478,-0.006475,-0.0032,0.0209,-0.001994,1.648492,-0.000007,-0.000005,-0.0106,1.664984,0.029590,-0.006477,0.0123,0.0007,0.000023,0.021984,0.0000,1.664984,0.000000,-0.000000,1.6425,0.000000,2.000000,268.7847,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0741,0.0000,0.000000,0.2960,9.13,6.50,24.75,2.79,-0.000007,-0.0003,-1.6531,nan,nan,nan,nan,nan,nan,0.0,0.0,31.40823137956616,36.430057674463754,-0.027040,-0.034197,6539.3,6081.3,-0.005090,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778825697.357890,5,1.507106,-0.057242,-0.002830,-0.0179,0.0395,0.000352,1.648463,-0.000004,-0.000003,0.0001,1.507334,-0.057093,-0.002830,0.0107,0.0013,0.000044,0.051008,0.0000,1.507334,0.000000,0.000000,1.8152,0.000000,2.000000,243.8346,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0806,0.0000,0.000000,0.3200,7.83,5.95,21.62,2.85,-0.000004,-0.0002,-1.8151,nan,nan,nan,nan,nan,nan,0.0,0.0,34.65577485950938,20.308225515369813,-0.037283,-0.042602,6530.3,6090.3,0.001179,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778825697.369828,6,1.728132,-0.010617,-0.008500,-0.0076,-0.0586,0.000667,1.648468,0.000001,-0.000000,0.0002,1.728297,-0.010586,-0.008502,0.0090,0.0004,0.000011,0.067914,0.0000,1.728297,0.000000,-0.000000,1.5569,0.000000,2.000000,212.9420,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0876,0.0000,0.000000,0.3440,6.72,5.48,18.93,2.77,0.000001,-0.0000,-1.5567,nan,nan,nan,nan,nan,nan,0.0,0.0,51.412914203153434,54.60039350227083,-0.007800,-0.011243,6524.6,6096.0,0.005139,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778825697.381904,7,1.681716,-0.014148,0.003681,-0.0288,0.0272,0.000552,1.648453,0.000007,0.000003,-0.0008,1.681836,-0.014084,0.003681,0.0077,0.0011,0.000031,0.083615,0.0000,1.681836,0.000000,-0.000000,1.6211,0.000000,2.000000,239.9779,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0949,0.0000,0.000000,0.3680,5.80,5.08,16.67,2.82,0.000007,0.0002,-1.6219,nan,nan,nan,nan,nan,nan,0.0,0.0,40.249692715752715,44.44910431241243,-0.017171,-0.019242,6519.4,6101.1,0.008737,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778825697.393898,8,1.728401,-0.041534,0.000185,0.0044,0.0240,-0.001211,1.648434,0.000014,0.000007,-0.0008,1.728502,-0.041454,0.000185,0.0074,0.0018,0.000049,0.101242,0.0000,1.728502,0.000000,-0.000000,1.5566,0.000000,2.000000,209.6488,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1027,0.0000,0.000000,0.3920,5.00,4.74,14.75,2.82,0.000014,0.0004,-1.5574,nan,nan,nan,nan,nan,nan,0.0,0.0,36.856131380637606,37.27446619179416,-0.022399,-0.025615,6514.0,6106.6,0.012548,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778825697.405862,9,1.619427,0.017881,0.007197,-0.0661,0.0741,0.001385,1.648415,0.000020,0.000011,-0.0007,1.619501,0.018042,0.007199,0.0064,0.0046,0.000148,0.120078,0.0000,1.619501,0.000000,0.000000,1.6964,0.000000,2.000000,280.7126,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1108,0.0000,0.000000,0.4160,4.33,4.44,13.10,2.78,0.000020,0.0006,-1.6971,0.008000,0.028567,0.8877,-0.495071,0.023993,-0.001917,0.0,0.0,40.13436740263866,6.985765630364114,-0.047552,-0.048375,6508.3,6112.2,0.016472,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778825697.417902,10,1.574654,-0.028141,-0.002902,-0.0878,-0.0123,0.001348,1.648397,0.000027,0.000015,-0.0006,1.574710,-0.028032,-0.002899,0.0055,0.0039,0.000124,0.138808,0.0000,1.574710,0.000000,0.000000,1.7454,0.000000,2.000000,303.2570,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1193,0.0000,0.000000,0.4400,3.75,4.20,11.71,2.81,0.000027,0.0008,-1.7460,0.008000,0.179991,-0.6193,-0.496025,0.016972,0.002944,0.0,0.0,35.83134660157759,28.1161582633612,-0.034442,-0.033385,6502.9,6117.7,0.020287,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778825697.429879,11,1.640436,-0.046420,-0.004264,-0.0568,0.0635,-0.000803,1.648380,0.000034,0.000018,-0.0005,1.640479,-0.046263,-0.004262,0.0048,0.0069,0.000197,0.157033,0.0000,1.640479,0.000000,0.000000,1.6722,0.000000,2.000000,245.0051,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1282,0.0000,0.000000,0.4640,3.27,3.98,10.52,2.77,0.000034,0.0011,-1.6727,0.008000,0.058689,-0.1214,-0.496794,0.025987,-0.000762,0.0,0.0,39.567965141452035,-0.10692499274649947,-0.051843,-0.052016,6497.6,6122.9,0.023936,0.000000,0.000000,0.5000,1.0000,,,,,
