sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778825929.775121,0,1.584841,-0.014207,0.000053,0.0832,0.1169,-0.001428,1.648994,-0.000000,-0.000000,-0.0020,1.588401,-0.013243,0.000067,0.0781,0.0005,0.000021,-0.115146,0.0000,1.588401,0.000000,0.000000,1.4965,0.000000,2.000000,386.7417,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0506,0.0000,0.000000,0.2000,17.07,9.63,43.77,7.52,-0.000000,-0.0000,-1.4985,nan,nan,nan,nan,nan,nan,0.0,0.0,-986.7202705929454,-1791.9262140915578,-0.225272,-0.234213,6561.1,6059.4,-0.050841,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778825929.783835,1,1.622949,0.038920,0.001233,-0.0354,0.0895,-0.000402,1.648913,-0.000001,-0.000000,-0.0094,1.625492,0.039841,0.001247,0.0646,0.0009,0.000039,-0.024695,0.0000,1.625492,0.000000,0.000000,1.4495,0.000000,2.000000,296.7603,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0550,0.0000,0.000000,0.2240,14.57,9.29,38.43,7.39,-0.000001,-0.0000,-1.4589,nan,nan,nan,nan,nan,nan,0.0,0.0,-947.373369503033,-1702.3472842833212,-0.215807,-0.223541,6557.9,6062.7,-0.045139,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778825929.795945,2,1.651808,-0.030228,-0.009067,-0.0257,0.0848,0.000019,1.648775,-0.000002,-0.000001,-0.0124,1.653632,-0.029375,-0.009054,0.0524,0.0015,0.000065,-0.014980,0.0000,1.653632,0.000000,0.000000,1.4108,0.000000,2.000000,283.9455,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0599,0.0000,0.000000,0.2480,12.46,8.61,33.53,4.73,-0.000002,-0.0001,-1.4232,nan,nan,nan,nan,nan,nan,0.0,0.0,-908.0429280409369,-1599.7464240164459,-0.206655,-0.212896,6553.1,6067.5,-0.036826,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778825929.807917,3,1.600747,-0.037076,-0.000528,-0.0755,-0.0458,0.000252,1.648627,-0.000004,-0.000003,-0.0121,1.602036,-0.036456,-0.000518,0.0428,0.0019,0.000078,0.000572,0.0000,1.602036,0.000000,0.000000,1.4797,0.000000,2.000000,309.9114,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0653,0.0000,0.000000,0.2720,10.66,8.05,29.37,4.86,-0.000004,-0.0002,-1.4918,nan,nan,nan,nan,nan,nan,0.0,0.0,-601.6724888743252,-1101.0446195824325,-0.150354,-0.155178,6547.0,6073.6,-0.026182,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778825929.819995,4,1.583355,0.016567,-0.004394,0.0480,0.0427,0.000568,1.648492,-0.000007,-0.000005,-0.0105,1.584524,0.017121,-0.004385,0.0444,0.0027,0.000108,0.021902,0.0000,1.584524,0.000000,0.000000,1.5012,0.000000,2.000000,309.2620,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0711,0.0000,0.000000,0.2960,9.15,7.56,25.85,4.77,-0.000007,-0.0003,-1.5117,nan,nan,nan,nan,nan,nan,0.0,0.0,-515.0770741631948,-929.8426552739083,-0.138160,-0.141354,6539.8,6080.8,-0.013589,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778825929.831964,5,1.598024,-0.043584,0.000321,0.0029,-0.0117,0.001757,1.648462,-0.000004,-0.000003,0.0002,1.598879,-0.043157,0.000330,0.0372,0.0030,0.000122,0.057991,0.0000,1.598879,0.000000,0.000000,1.4836,0.000000,2.000000,294.4224,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0775,0.0000,0.000000,0.3200,7.86,7.14,22.85,4.80,-0.000004,-0.0002,-1.4834,nan,nan,nan,nan,nan,nan,0.0,0.0,-296.1891287774531,-538.0853142996366,-0.108250,-0.108627,6529.1,6091.5,0.005060,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778825929.843957,6,1.694485,0.017449,-0.004973,0.0254,-0.0504,0.000827,1.648469,0.000002,0.000000,0.0003,1.695204,0.017708,-0.004968,0.0354,0.0026,0.000102,0.074686,0.0000,1.695204,0.000000,-0.000000,1.3470,0.000000,2.000000,344.3258,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0842,0.0000,0.000000,0.3440,6.76,6.79,20.30,4.80,0.000002,0.0000,-1.3467,nan,nan,nan,nan,nan,nan,0.0,0.0,-62.14803359175797,-80.70357989845701,-0.068533,-0.067787,6523.5,6097.1,0.014738,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778825929.855905,7,1.572993,0.133922,0.009085,0.0062,0.0163,0.002247,1.648452,0.000006,0.000003,-0.0009,1.573533,0.134160,0.009092,0.0302,0.0031,0.000125,0.090665,0.0000,1.573533,0.000000,0.000000,1.5143,0.000000,2.000000,294.2385,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0914,0.0000,0.000000,0.3680,5.81,6.50,18.13,4.85,0.000006,0.0002,-1.5152,nan,nan,nan,nan,nan,nan,0.0,0.0,-35.54729417724391,13.212713816857075,-0.062986,-0.059522,6518.3,6102.2,0.023766,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778825929.868017,8,1.591448,-0.065639,0.004765,-0.1073,0.0568,0.001713,1.648434,0.000013,0.000007,-0.0008,1.591844,-0.065374,0.004772,0.0248,0.0046,0.000180,0.109699,0.0000,1.591844,0.000000,0.000000,1.4923,0.000000,2.000000,294.6281,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0989,0.0000,0.000000,0.3920,5.03,6.25,16.31,4.82,0.000013,0.0004,-1.4931,nan,nan,nan,nan,nan,nan,0.0,0.0,-76.73818143139745,-55.00376195520014,-0.073756,-0.068787,6512.6,6108.0,0.033809,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778825929.879922,9,1.672332,0.032785,-0.003006,-0.0100,0.0246,-0.000459,1.648415,0.000020,0.000011,-0.0007,1.672626,0.033022,-0.003000,0.0205,0.0053,0.000199,0.127794,0.0000,1.672626,0.000000,-0.000000,1.3827,0.000000,2.000000,356.9676,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1068,0.0000,0.000000,0.4160,4.35,6.02,14.73,4.76,0.000020,0.0006,-1.3834,0.008000,0.057180,-0.1783,-0.481229,0.033585,0.000135,0.0,0.0,-54.76256704105823,-5.646332077369024,-0.068721,-0.065296,6507.2,6113.4,0.043224,0.000000,0.000000,0.5000,1.0000,,,,,
