sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778826075.262350,0,1.667359,0.028739,-0.002492,-0.0039,-0.0248,0.000470,1.648994,-0.000000,-0.000000,-0.0020,1.667241,0.028536,-0.002494,-0.0052,-0.0001,-0.000004,-0.113216,0.0000,1.667241,0.000000,-0.000000,5.0000,0.000000,2.000000,3412.7670,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0721,0.0000,0.000000,0.2000,17.77,9.57,45.11,7.17,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,11.21296982098022,-234.26538941466595,0.048150,0.051245,6560.6,6059.9,-0.049989,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778826075.270200,1,1.745547,0.013634,-0.005811,0.0224,-0.0472,0.000345,1.648913,-0.000001,-0.000000,-0.0094,1.745662,0.013394,-0.005814,0.0019,-0.0002,-0.000008,-0.017800,0.0000,1.745662,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.1899,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0784,0.0000,0.000000,0.2240,15.83,9.27,40.92,7.54,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,4.957149613698405,-250.48836105425931,0.056872,0.059805,6557.4,6063.2,-0.044267,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778826075.278347,2,1.608462,0.023426,-0.005029,0.0101,0.0094,0.000583,1.648775,-0.000002,-0.000001,-0.0125,1.608621,0.023250,-0.005030,0.0038,-0.0002,-0.000010,-0.008723,0.0000,1.608621,0.000000,0.000000,5.0000,0.000000,2.000000,3342.7867,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0853,0.0000,0.000000,0.2480,13.61,8.65,35.86,5.11,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.5037154014597007,-155.02535650788752,0.041875,0.044988,6552.7,6067.9,-0.036067,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778826075.289826,3,1.651427,0.030101,-0.004794,-0.0934,0.0031,-0.000544,1.648627,-0.000004,-0.000003,-0.0121,1.651549,0.029965,-0.004796,0.0036,-0.0003,-0.000013,0.006764,0.0000,1.651549,0.000000,0.000000,5.0000,0.000000,2.000000,3343.3209,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0930,0.0000,0.000000,0.2720,11.64,8.10,31.38,5.03,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-3.367763101798161,-64.09893921144248,0.032899,0.034717,6546.4,6074.1,-0.025206,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778826075.301872,4,1.664498,0.067745,-0.000369,0.0342,0.0409,0.000767,1.648492,-0.000007,-0.000005,-0.0106,1.664779,0.067701,-0.000368,0.0102,-0.0002,-0.000007,0.027702,0.0000,1.664779,0.000000,-0.000000,5.0000,0.000000,2.000000,3348.4694,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1014,0.0000,0.000000,0.2960,9.97,7.62,27.57,4.88,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,12.163286655244136,82.37346653444125,0.010241,0.012688,6539.2,6081.4,-0.012543,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778826075.313806,5,1.612812,0.015400,-0.001360,0.0255,0.0395,0.000587,1.648465,-0.000004,-0.000003,0.0008,1.613149,0.015426,-0.001357,0.0144,0.0001,0.000007,0.074961,0.0000,1.613149,0.000000,0.000000,5.0000,0.000000,2.000000,3366.3020,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1103,0.0000,0.000000,0.3200,8.55,7.23,24.33,5.04,-0.000004,-0.0002,-4.9992,nan,nan,nan,nan,nan,nan,0.0,0.0,25.38451967435276,204.27970315390638,-0.007386,-0.004662,6525.5,6095.1,0.011267,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778826075.325908,6,1.556981,-0.005494,0.003221,0.0027,-0.0662,-0.000151,1.648468,0.000002,-0.000000,0.0002,1.557240,-0.005572,0.003220,0.0127,-0.0007,-0.000024,0.092554,0.0000,1.557240,0.000000,0.000000,5.0000,0.000000,2.000000,3373.8689,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1199,0.0000,0.000000,0.3440,7.35,6.87,21.57,4.79,0.000002,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-8.673666849880526,160.936410820798,0.019757,0.021760,6519.6,6100.9,0.021490,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778826075.337864,7,1.620160,-0.017355,-0.005350,-0.0051,-0.0297,0.000979,1.648453,0.000007,0.000003,-0.0009,1.620349,-0.017459,-0.005350,0.0107,-0.0013,-0.000043,0.107237,0.0000,1.620349,0.000000,0.000000,5.0000,0.000000,2.000000,3371.5431,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1301,0.0000,0.000000,0.3680,6.33,6.60,19.26,5.08,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-18.310633487767504,157.52229071397838,0.026803,0.029667,6514.7,6105.9,0.030106,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778826075.349903,8,1.651331,-0.003139,0.002426,0.0666,0.0224,-0.000191,1.648434,0.000014,0.000007,-0.0008,1.651700,-0.003187,0.002426,0.0220,-0.0008,-0.000025,0.124929,0.0000,1.651700,0.000000,0.000000,5.0000,0.000000,2.000000,3362.5034,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1408,0.0000,0.000000,0.3920,5.46,6.35,17.28,4.93,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.423159105465089,242.7505766753561,0.013075,0.015143,6509.2,6111.4,0.039682,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778826075.361782,9,1.579318,-0.003965,0.004859,0.0261,-0.0508,-0.000811,1.648415,0.000021,0.000011,-0.0007,1.579670,-0.004072,0.004857,0.0233,-0.0022,-0.000074,0.142277,0.0000,1.579670,0.000000,0.000000,5.0000,0.000000,2.000000,3356.0454,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1520,0.0000,0.000000,0.4160,4.71,6.13,15.56,4.89,0.000021,0.0006,-5.0007,0.008000,0.141672,0.4230,-0.478711,-0.015499,0.000393,0.0,0.0,-17.463863950215888,214.9446878079698,0.030685,0.031316,6503.9,6116.6,0.048890,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778826075.373875,10,1.619479,0.008223,-0.001043,0.0190,0.0081,0.002350,1.648397,0.000028,0.000015,-0.0006,1.619791,0.008152,-0.001042,0.0229,-0.0018,-0.000045,0.160545,0.0000,1.619791,0.000000,0.000000,5.0000,0.000000,2.000000,3351.5325,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1638,0.0000,0.000000,0.4400,4.09,5.94,14.11,4.86,0.000028,0.0009,-5.0006,0.008000,0.176250,0.2681,-0.479155,-0.010924,-0.000383,0.0,0.0,-6.188824129926033,270.3757957764643,0.020151,0.023662,6498.6,6122.0,0.058255,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778826075.385869,11,1.547574,-0.086533,-0.006199,-0.0482,0.0120,-0.000583,1.648380,0.000035,0.000018,-0.0005,1.547807,-0.086576,-0.006199,0.0190,-0.0013,-0.000029,0.178467,0.0000,1.547807,0.000000,0.000000,5.0000,0.000000,2.000000,3353.3536,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1760,0.0000,0.000000,0.4640,3.56,5.79,12.90,4.97,0.000035,0.0011,-5.0005,0.008000,0.155976,-0.0695,-0.483189,-0.006491,-0.000122,0.0,0.0,3.7547756017324474,322.164771271708,0.011974,0.014062,6493.4,6127.2,0.067275,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778826075.397820,12,1.681431,0.095183,-0.001240,0.0231,0.0381,0.002381,1.648364,0.000042,0.000022,-0.0004,1.681661,0.095201,-0.001237,0.0202,0.0005,0.000069,0.196554,0.0000,1.681661,0.000000,-0.000000,5.0000,0.000000,2.000000,3353.4350,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1886,0.0000,0.000000,0.4880,3.10,5.68,11.88,5.06,0.000042,0.0013,-5.0004,0.008000,0.068500,0.2027,-0.482641,0.002149,0.000534,0.0,0.0,17.014719989205844,364.42830645203435,-0.006579,-0.001851,6488.3,6132.3,0.076199,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778826075.409847,13,1.629496,0.006623,-0.001420,-0.0436,0.0483,0.001069,1.648349,0.000050,0.000027,-0.0003,1.629670,0.006695,-0.001416,0.0168,0.0028,0.000147,0.215007,0.0000,1.629670,0.000000,0.000000,5.0000,0.000000,2.000000,3351.9529,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2017,0.0000,0.000000,0.5120,2.71,5.57,10.98,4.89,0.000050,0.0015,-5.0003,0.008000,0.105114,-0.0489,-0.488226,0.011090,0.002762,0.0,0.0,17.037758825293338,356.18471113547656,-0.024674,-0.019497,6483.1,6137.4,0.085128,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778826075.421808,14,1.648848,0.043573,-0.001880,-0.0537,0.0167,0.000503,1.648334,0.000058,0.000031,-0.0002,1.648981,0.043650,-0.001876,0.0140,0.0034,0.000166,0.231492,0.0000,1.648981,0.000000,0.000000,5.0000,0.000000,2.000000,3356.9536,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2152,0.0000,0.000000,0.5360,2.38,5.47,10.22,4.92,0.000058,0.0018,-5.0002,0.008000,0.031979,-0.0290,-0.495767,0.012169,0.000891,0.0,0.0,14.511716316050155,359.2886675541647,-0.026658,-0.021840,6478.6,6142.0,0.093103,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778826075.433895,15,1.673333,-0.095934,0.000503,0.0880,-0.0429,-0.001493,1.648320,0.000066,0.000035,-0.0001,1.673601,-0.095923,0.000504,0.0288,0.0005,0.000044,0.249017,0.0000,1.673601,0.000000,-0.000000,5.0000,0.000000,2.000000,3366.8474,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2291,0.0000,0.000000,0.5600,2.10,5.38,9.58,4.88,0.000066,0.0020,-5.0001,0.008000,0.111543,-0.1524,-0.482768,0.001518,0.000873,0.0,0.0,29.52346347512706,408.82312488551474,-0.003991,-0.002013,6473.8,6146.8,0.101410,0.000000,0.000000,0.5000,1.0000,,,,,
