sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0960,1778652416.025815,0,1.635173,-0.098187,-0.006646,0.0277,-0.0657,0.000484,1.648434,0.000012,0.000007,-0.0008,1.636445,-0.098738,-0.006655,0.0278,-0.0002,-0.000010,0.000974,0.0000,1.636445,0.000000,0.000000,1.4348,0.000000,0.315774,38.7054,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0084,0.0000,0.000000,0.0316,17.97,9.41,45.35,6.07,0.000012,0.0004,-1.4356,nan,nan,nan,nan,nan,nan,0.0,0.0,141.6033947682505,510.62936037054163,0.129122,0.132264,6531.7,6088.8,0.000430,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778652416.032911,1,1.713160,-0.027261,0.009044,-0.1053,0.0364,0.000390,1.648415,0.000018,0.000011,-0.0007,1.714075,-0.027629,0.009039,0.0228,-0.0003,-0.000013,0.017798,0.0000,1.714075,0.000000,-0.000000,1.3149,0.000000,0.458950,32.4183,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0092,0.0000,0.000000,0.0371,15.50,8.69,39.69,4.60,0.000018,0.0006,-1.3156,nan,nan,nan,nan,nan,nan,0.0,0.0,107.1736338341531,282.1288289524262,0.090150,0.093200,6530.7,6089.9,0.002224,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778652416.043811,2,1.653516,-0.029314,-0.003752,0.0373,0.0315,-0.000539,1.648397,0.000024,0.000015,-0.0006,1.654413,-0.029569,-0.003756,0.0259,-0.0004,-0.000017,0.025988,0.0000,1.654413,0.000000,0.000000,1.4097,0.000000,0.546344,31.8227,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0100,0.0000,0.000000,0.0436,13.25,8.07,34.56,4.56,0.000024,0.0009,-1.4102,nan,nan,nan,nan,nan,nan,0.0,0.0,77.33291743718263,64.70529638287556,0.060957,0.062741,6529.3,6091.3,0.004664,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778652416.055734,3,1.584382,0.018142,-0.002820,-0.0780,-0.0697,-0.000420,1.648380,0.000029,0.000018,-0.0005,1.585017,0.017828,-0.002825,0.0211,-0.0009,-0.000036,0.033357,0.0000,1.585017,0.000000,0.000000,1.5006,0.000000,0.582813,32.0182,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0109,0.0000,0.000000,0.0506,11.32,7.54,30.18,4.56,0.000029,0.0011,-1.5010,nan,nan,nan,nan,nan,nan,0.0,0.0,95.9335511815058,151.18157594508963,0.076312,0.077214,6527.8,6092.8,0.007322,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778652416.067899,4,1.602809,0.133241,-0.000038,0.0493,0.0439,0.001101,1.648364,0.000035,0.000023,-0.0004,1.603520,0.133062,-0.000040,0.0268,-0.0008,-0.000032,0.039531,0.0000,1.603520,0.000000,0.000000,1.4778,0.000000,0.601460,38.7443,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0119,0.0000,0.000000,0.0579,9.70,7.07,26.48,4.42,0.000035,0.0013,-1.4782,nan,nan,nan,nan,nan,nan,0.0,0.0,59.64818367158094,-73.96807611218641,0.043951,0.046085,6525.9,6094.6,0.010519,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778652416.079821,5,1.733058,-0.077108,0.002835,0.0288,0.0139,0.000550,1.648349,0.000042,0.000027,-0.0003,1.733697,-0.077225,0.002834,0.0274,-0.0008,-0.000031,0.045348,0.0000,1.733697,0.000000,-0.000000,1.2792,0.000000,0.583724,32.4547,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0129,0.0000,0.000000,0.0649,8.32,6.68,23.32,4.43,0.000042,0.0015,-1.2795,nan,nan,nan,nan,nan,nan,0.0,0.0,42.49239475362103,-180.76648166862464,0.029728,0.032154,6524.1,6096.5,0.013725,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778652416.091808,6,1.656380,0.007112,0.004209,0.0298,-0.0396,0.002257,1.648334,0.000048,0.000031,-0.0003,1.656959,0.006964,0.004209,0.0281,-0.0015,-0.000051,0.049504,0.0000,1.656959,0.000000,-0.000000,1.4060,0.000000,0.588743,30.9324,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0141,0.0000,0.000000,0.0719,7.14,6.35,20.64,4.51,0.000048,0.0018,-1.4062,nan,nan,nan,nan,nan,nan,0.0,0.0,53.759595869854195,-115.66360557246308,0.037884,0.042719,6522.5,6098.0,0.016455,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778652416.103835,7,1.694008,-0.046925,0.005051,-0.0643,-0.0517,0.001029,1.648320,0.000054,0.000035,-0.0002,1.694425,-0.047114,0.005050,0.0228,-0.0026,-0.000088,0.055063,0.0000,1.694425,0.000000,-0.000000,1.3483,0.000000,0.580158,31.0905,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0152,0.0000,0.000000,0.0789,6.15,6.07,18.36,4.48,0.000054,0.0020,-1.3484,nan,nan,nan,nan,nan,nan,0.0,0.0,70.98776424103434,-43.064797560428914,0.049918,0.055124,6520.8,6099.8,0.019466,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778652416.115807,8,1.631696,-0.030632,-0.002973,-0.0151,-0.0246,0.001376,1.648307,0.000061,0.000039,-0.0001,1.631997,-0.030815,-0.002973,0.0186,-0.0033,-0.000094,0.059297,0.0000,1.631997,0.000000,0.000000,1.4408,0.000000,0.580290,30.9063,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0165,0.0000,0.000000,0.0858,5.29,5.82,16.41,4.42,0.000061,0.0023,-1.4409,nan,nan,nan,nan,nan,nan,0.0,0.0,70.89929287733258,-52.87282489721187,0.048919,0.054871,6519.4,6101.2,0.021915,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778652416.127724,9,1.728422,-0.012272,-0.004452,-0.0089,0.0608,-0.000158,1.648295,0.000068,0.000044,-0.0000,1.728641,-0.012333,-0.004450,0.0151,-0.0014,-0.000028,0.064178,0.0000,1.728641,0.000000,-0.000000,1.2887,0.000000,0.565707,30.5131,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0178,0.0000,0.000000,0.0926,4.56,5.62,14.73,4.46,0.000068,0.0025,-1.2887,0.008000,0.096438,0.1263,-0.485859,-0.008910,0.000708,0.0,0.0,20.457996163611455,-285.5656174704933,0.016037,0.020648,6517.9,6102.7,0.024509,0.000000,0.000000,0.5000,1.0000,,,,,
