sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778671345.448874,0,1.627483,-0.003773,0.004625,-0.0509,-0.0210,0.000710,1.648492,-0.000007,-0.000005,-0.0106,1.627507,-0.003942,0.004624,0.0010,-0.0001,-0.000003,0.022128,0.0000,1.627507,0.000000,0.000000,1.4468,0.000000,0.308714,62.7927,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0090,0.0000,0.000000,0.0309,17.62,9.36,44.60,5.73,-0.000007,-0.0003,-1.4574,nan,nan,nan,nan,nan,nan,0.0,0.0,54.390055986802764,-82.72007970282027,0.039809,0.044489,6526.4,6094.2,0.009770,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778671345.457161,1,1.570441,0.057535,0.004610,-0.0549,0.0504,-0.000418,1.648463,-0.000004,-0.000003,0.0001,1.570471,0.057479,0.004611,0.0016,-0.0001,-0.000002,0.046475,0.0000,1.570471,0.000000,0.000000,1.5179,0.000000,0.454160,62.9115,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0098,0.0000,0.000000,0.0363,15.03,8.63,38.69,4.50,-0.000004,-0.0002,-1.5178,nan,nan,nan,nan,nan,nan,0.0,0.0,18.458839817983005,-297.19408659069006,0.012883,0.016130,6523.3,6097.3,0.015147,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778671345.469143,2,1.662653,0.006627,-0.002379,0.0446,0.0533,-0.000475,1.648468,0.000000,-0.000000,0.0002,1.662976,0.006665,-0.002377,0.0102,0.0001,0.000003,0.054799,0.0000,1.662976,0.000000,-0.000000,1.3972,0.000000,0.513321,57.2981,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0106,0.0000,0.000000,0.0425,12.84,8.04,33.71,4.70,0.000000,-0.0000,-1.3969,nan,nan,nan,nan,nan,nan,0.0,0.0,-25.307946303327228,-477.6866186741564,-0.009947,-0.007936,6521.9,6098.7,0.017632,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778671345.481207,3,1.635681,0.041474,-0.003191,0.0414,0.0807,0.000719,1.648453,0.000005,0.000003,-0.0009,1.636151,0.041631,-0.003186,0.0165,0.0005,0.000020,0.057851,0.0000,1.636151,0.000000,0.000000,1.4352,0.000000,0.546285,58.8262,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0116,0.0000,0.000000,0.0490,10.97,7.51,29.46,4.52,0.000005,0.0002,-1.4361,nan,nan,nan,nan,nan,nan,0.0,0.0,-100.61648050574995,-708.9065598912166,-0.039697,-0.037159,6521.2,6099.4,0.018747,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778671345.493177,4,1.695719,-0.069808,-0.002669,-0.0129,-0.0419,0.001882,1.648434,0.000012,0.000007,-0.0008,1.696055,-0.069745,-0.002665,0.0135,0.0003,0.000013,0.062401,0.0000,1.696055,0.000000,-0.000000,1.3456,0.000000,0.544614,57.1928,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0126,0.0000,0.000000,0.0556,9.39,7.07,25.85,4.57,0.000012,0.0004,-1.3464,nan,nan,nan,nan,nan,nan,0.0,0.0,-46.28875288800528,-517.4967066375459,-0.016963,-0.012509,6519.8,6100.8,0.021212,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778671345.505093,5,1.650859,-0.029220,-0.002780,-0.0346,0.0746,-0.000269,1.648415,0.000018,0.000011,-0.0007,1.651100,-0.029057,-0.002774,0.0111,0.0012,0.000048,0.066204,0.0000,1.651100,0.000000,0.000000,1.4144,0.000000,0.551761,57.0881,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0137,0.0000,0.000000,0.0622,8.03,6.70,22.76,4.59,0.000018,0.0006,-1.4151,nan,nan,nan,nan,nan,nan,0.0,0.0,-120.06416751582233,-728.8934276765749,-0.042383,-0.039140,6518.4,6102.2,0.023669,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778671345.517124,6,1.658095,0.056346,-0.008809,-0.0737,-0.1121,-0.000861,1.648397,0.000024,0.000015,-0.0006,1.658268,0.056306,-0.008809,0.0092,-0.0004,-0.000014,0.070666,0.0000,1.658268,0.000000,-0.000000,1.4041,0.000000,0.546641,58.2458,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0148,0.0000,0.000000,0.0688,6.89,6.38,20.16,4.59,0.000024,0.0009,-1.4047,nan,nan,nan,nan,nan,nan,0.0,0.0,7.643198348861361,-353.6899413576366,0.009709,0.011228,6516.9,6103.6,0.026213,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778671345.529188,7,1.619869,0.074402,-0.001117,-0.0269,-0.0581,-0.000075,1.648380,0.000029,0.000019,-0.0005,1.619995,0.074289,-0.001118,0.0076,-0.0016,-0.000058,0.074320,0.0000,1.619995,0.000000,0.000000,1.4567,0.000000,0.553750,60.3253,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0161,0.0000,0.000000,0.0754,5.91,6.11,17.94,4.55,0.000029,0.0011,-1.4572,nan,nan,nan,nan,nan,nan,0.0,0.0,45.14097873178943,-221.81791794232686,0.030370,0.031498,6515.7,6104.9,0.028419,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778671345.541171,8,1.604096,-0.036154,-0.003525,-0.0412,0.0227,0.000675,1.648364,0.000036,0.000023,-0.0004,1.604189,-0.036210,-0.003525,0.0063,-0.0011,-0.000031,0.078584,0.0000,1.604189,0.000000,0.000000,1.4770,0.000000,0.546193,58.3775,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0174,0.0000,0.000000,0.0820,5.09,5.89,16.06,4.63,0.000036,0.0013,-1.4774,nan,nan,nan,nan,nan,nan,0.0,0.0,16.86135389301677,-322.4276248929442,0.015293,0.017067,6514.3,6106.2,0.030717,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778671345.553144,9,1.602226,-0.025291,0.007688,0.0710,0.0198,0.001193,1.648348,0.000042,0.000027,-0.0003,1.602496,-0.025305,0.007690,0.0190,-0.0004,-0.000000,0.082296,0.0000,1.602496,0.000000,0.000000,1.4791,0.000000,0.540451,58.0371,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0188,0.0000,0.000000,0.0884,4.38,5.70,14.46,4.63,0.000042,0.0015,-1.4794,0.008000,0.078310,0.1756,-0.484346,-0.002594,0.000451,0.0,0.0,-9.805285496252282,-395.7195843057273,0.003917,0.006873,6513.1,6107.4,0.032805,0.000000,0.000000,0.5000,1.0000,,,,,
