time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.1094,0.0309,-0.0021,0.0205,-0.0225,0.0002,0.0000,0.1137,0.0309,2.9251,0.1000,0.3000,5.0000,0.1894,0.1200,0.0000,0.995,159578.0140
0.0240,0.0183,-0.0837,-0.0002,0.1074,0.0126,-0.0042,0.0000,0.0857,-0.0837,2.9251,0.1044,0.3360,5.0000,0.1977,0.1344,0.0000,0.726,168868.3166
0.0360,0.1039,0.0776,0.0014,-0.0179,0.0452,-0.0260,0.0000,0.1297,0.0776,2.9251,0.1164,0.3720,5.0000,0.2204,0.1488,0.0000,0.774,169733.0970
0.0480,0.0987,0.0076,-0.0019,0.0407,-0.0478,-0.0162,0.0000,0.0990,0.0076,2.9251,0.1284,0.4080,5.0000,0.2431,0.1632,0.0000,0.814,163908.3686
0.0600,0.0962,0.0034,-0.0080,0.0540,0.0056,-0.0063,0.0000,0.0963,0.0034,2.9251,0.1317,0.4440,5.0000,0.2494,0.1776,0.0000,0.779,161585.4490
0.0720,0.0699,0.0744,-0.0023,0.0313,-0.0275,0.0047,0.0000,0.1021,0.0744,2.9251,0.1437,0.4800,5.0000,0.2721,0.1920,0.0000,0.821,162862.7299
0.0840,0.0990,0.0972,-0.0031,-0.0093,-0.0485,-0.0016,0.0000,0.1387,0.0972,2.9251,0.1557,0.5160,5.0000,0.2949,0.2064,0.0000,0.876,161781.8390
0.0960,0.0102,0.0148,0.0011,0.0262,-0.0150,-0.0155,0.0000,0.0180,0.0148,2.9251,0.1677,0.5520,5.0000,0.3176,0.2208,0.0000,0.860,166251.6939
0.1080,0.0790,-0.0995,0.0001,0.0424,-0.0039,-0.0121,0.0000,0.1271,-0.0995,2.9251,0.1642,0.5880,5.0000,0.3111,0.2352,0.0000,0.808,157870.1836
0.1200,-0.0255,0.0188,0.0097,0.0333,-0.0581,0.0164,0.0000,0.0317,0.0188,2.9251,0.1762,0.6240,5.0000,0.3338,0.2496,0.0000,0.757,161602.0989
0.1320,0.0445,0.0136,0.0022,-0.0108,0.0120,-0.0016,0.0000,0.0465,0.0136,2.9251,0.1882,0.6600,5.0000,0.3565,0.2640,0.0000,0.809,159717.1633
0.1440,0.0770,-0.0383,-0.0056,0.1254,-0.0670,-0.0100,0.0000,0.0860,-0.0383,2.9251,0.1853,0.6960,5.0000,0.3510,0.2784,0.0000,0.737,146565.5840
0.1560,0.0087,0.0266,0.0092,-0.1180,-0.0030,-0.0155,0.0000,0.0280,0.0266,2.9251,0.1973,0.7320,5.0000,0.3737,0.2928,0.0000,0.763,159154.6340
0.1680,0.0898,0.0575,-0.0021,-0.0074,-0.0124,-0.0143,0.0000,0.1067,0.0575,2.9251,0.1970,0.7680,5.0000,0.3731,0.3072,0.0000,0.827,153390.6901
0.1800,-0.0107,0.0762,-0.0007,0.1016,-0.0621,0.0004,0.0000,0.0770,0.0762,2.9251,0.2019,0.8040,5.0000,0.3823,0.3216,0.0000,0.733,148595.5504
