sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778826485.252477,0,1.722862,-0.124892,-0.001591,-0.1090,0.0974,-0.000195,1.648994,-0.000000,-0.000000,-0.0020,1.722752,-0.124082,-0.001576,-0.0051,0.0004,0.000018,-0.114476,0.0000,1.722752,0.000000,-0.000000,1.2995,0.000000,2.000000,289.0074,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0506,0.0000,0.000000,0.2000,17.07,9.23,43.37,4.89,-0.000000,-0.0000,-1.3015,nan,nan,nan,nan,nan,nan,0.0,0.0,-745.6692159992357,-1265.9347325164051,-0.191786,-0.193028,6561.0,6059.6,-0.050545,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778826485.261365,1,1.653792,0.022379,0.002695,-0.0158,0.0085,0.000468,1.648913,-0.000001,-0.000000,-0.0094,1.653734,0.023042,0.002708,-0.0024,0.0007,0.000029,-0.024905,0.0000,1.653734,0.000000,0.000000,1.4106,0.000000,2.000000,249.3391,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0549,0.0000,0.000000,0.2240,14.59,8.77,37.96,6.18,-0.000001,-0.0000,-1.4200,nan,nan,nan,nan,nan,nan,0.0,0.0,-395.42571909207794,-869.9962813574684,-0.158839,-0.159270,6557.7,6062.8,-0.044922,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778826485.273410,2,1.619496,0.031120,0.003957,0.0264,-0.0901,0.000186,1.648775,-0.000002,-0.000001,-0.0125,1.619632,0.031508,0.003964,0.0034,0.0007,0.000030,-0.015489,0.0000,1.619632,0.000000,0.000000,1.4572,0.000000,2.000000,268.2675,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0598,0.0000,0.000000,0.2480,12.48,7.89,32.86,2.88,-0.000002,-0.0001,-1.4697,nan,nan,nan,nan,nan,nan,0.0,0.0,35.772090093657695,-173.52809350287805,-0.094149,-0.094266,6553.0,6067.6,-0.036634,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778826485.285417,3,1.660453,-0.009107,0.000940,-0.0283,-0.0027,0.000268,1.648627,-0.000004,-0.000003,-0.0121,1.660557,-0.008803,0.000946,0.0033,0.0010,0.000042,0.000647,0.0000,1.660557,0.000000,-0.000000,1.4007,0.000000,2.000000,249.9511,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0652,0.0000,0.000000,0.2720,10.68,7.14,28.51,2.92,-0.000004,-0.0002,-1.4128,nan,nan,nan,nan,nan,nan,0.0,0.0,71.23384621931835,-61.642762520654436,-0.075130,-0.074884,6546.6,6073.9,-0.025547,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778826485.297371,4,1.545715,-0.045645,0.002325,0.0649,0.0835,-0.001564,1.648492,-0.000007,-0.000005,-0.0105,1.546114,-0.045276,0.002331,0.0158,0.0020,0.000080,0.021526,0.0000,1.546114,0.000000,0.000000,1.5463,0.000000,2.000000,307.5481,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0711,0.0000,0.000000,0.2960,9.15,6.54,24.84,3.14,-0.000007,-0.0003,-1.5568,nan,nan,nan,nan,nan,nan,0.0,0.0,37.071159695271604,-191.1663512908168,-0.091797,-0.093582,6539.4,6081.2,-0.012961,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778826485.309366,5,1.662633,0.008940,-0.006446,-0.0203,-0.0018,0.000839,1.648463,-0.000004,-0.000003,0.0007,1.662926,0.009227,-0.006440,0.0135,0.0024,0.000091,0.053943,0.0000,1.662926,0.000000,-0.000000,1.3973,0.000000,2.000000,265.3351,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0774,0.0000,0.000000,0.3200,7.85,5.99,21.69,2.87,-0.000004,-0.0002,-1.3965,nan,nan,nan,nan,nan,nan,0.0,0.0,58.33167378438243,-95.84791731160158,-0.073942,-0.074319,6529.6,6091.0,0.004181,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778826485.321350,6,1.672871,-0.061225,0.004710,-0.0319,-0.0159,0.001484,1.648468,0.000002,0.000000,0.0002,1.673080,-0.061019,0.004715,0.0113,0.0024,0.000094,0.070763,0.0000,1.673080,0.000000,-0.000000,1.3820,0.000000,2.000000,287.6613,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0841,0.0000,0.000000,0.3440,6.74,5.53,19.00,2.92,0.000002,0.0000,-1.3819,nan,nan,nan,nan,nan,nan,0.0,0.0,48.702105441338574,-25.33814556579557,-0.054454,-0.052868,6523.9,6096.7,0.014056,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778826485.333433,7,1.736306,0.015065,0.006243,0.0936,-0.0520,0.000127,1.648453,0.000007,0.000003,-0.0008,1.736767,0.015154,0.006246,0.0276,0.0014,0.000054,0.086385,0.0000,1.736767,0.000000,-0.000000,1.2734,0.000000,2.000000,294.9300,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0912,0.0000,0.000000,0.3680,5.80,5.13,16.73,2.85,0.000007,0.0002,-1.2742,nan,nan,nan,nan,nan,nan,0.0,0.0,-12.854844821267378,23.87708771679442,-0.023897,-0.022452,6518.8,6101.8,0.023018,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778826485.345313,8,1.709182,0.029357,-0.000413,0.0135,-0.0243,-0.001678,1.648434,0.000013,0.000007,-0.0008,1.709553,0.029389,-0.000413,0.0253,0.0007,0.000020,0.103973,0.0000,1.709553,0.000000,-0.000000,1.3228,0.000000,2.000000,326.6192,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0987,0.0000,0.000000,0.3920,4.99,4.82,14.80,3.08,0.000013,0.0004,-1.3236,nan,nan,nan,nan,nan,nan,0.0,0.0,-42.00825767392456,31.09113499656391,-0.008829,-0.009808,6513.3,6107.3,0.032566,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778826485.357436,9,1.739283,0.030178,-0.000987,-0.0524,-0.0861,-0.000776,1.648415,0.000020,0.000011,-0.0007,1.739552,0.030089,-0.000989,0.0208,-0.0024,-0.000093,0.122966,0.0000,1.739552,0.000000,-0.000000,1.2680,0.000000,2.000000,271.5973,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1066,0.0000,0.000000,0.4160,4.31,4.54,13.16,2.91,0.000020,0.0006,-1.2688,0.008000,0.157926,0.0102,-0.480692,-0.012921,-0.004386,0.0,0.0,-12.436495228832996,94.60767395972678,0.026695,0.024916,6507.6,6112.9,0.042423,0.000000,0.000000,0.5000,1.0000,,,,,
