sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778827260.081112,0,1.661762,-0.024962,0.006325,-0.0241,0.0060,0.001099,1.648994,-0.000000,-0.000000,-0.0020,1.661638,-0.024906,0.006330,-0.0053,0.0000,0.000001,-0.114453,0.0000,1.661638,0.000000,-0.000000,1.6466,0.000000,2.000000,187.2138,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0521,0.0000,0.000000,0.2000,18.18,9.24,45.60,4.93,-0.000000,-0.0000,-1.6487,nan,nan,nan,nan,nan,nan,0.0,0.0,29.210484438856966,75.60028139029242,-0.015416,-0.008158,6560.9,6059.6,-0.020208,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778827260.086685,1,1.700490,-0.019197,0.000602,-0.0520,0.1003,0.000470,1.648913,-0.000001,-0.000000,-0.0094,1.700425,-0.018990,0.000610,-0.0025,0.0001,0.000006,-0.018687,0.0000,1.700425,0.000000,-0.000000,1.5963,0.000000,2.000000,199.9673,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0566,0.0000,0.000000,0.2240,16.25,8.70,41.19,5.62,-0.000001,-0.0000,-1.6057,nan,nan,nan,nan,nan,nan,0.0,0.0,30.54630060775355,18.272234513892997,-0.051501,-0.045061,6557.8,6062.7,-0.018038,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778827260.093709,2,1.640421,0.001898,0.000176,-0.0593,-0.0322,0.001395,1.648775,-0.000002,-0.000002,-0.0125,1.640382,0.002014,0.000183,-0.0017,0.0001,0.000006,-0.010381,0.0000,1.640382,0.000000,0.000000,1.6723,0.000000,2.000000,177.7190,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0617,0.0000,0.000000,0.2480,13.86,7.84,35.56,3.00,-0.000002,-0.0001,-1.6847,nan,nan,nan,nan,nan,nan,0.0,0.0,24.612244964478847,54.59858744037703,-0.029956,-0.022973,6553.0,6067.5,-0.014690,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778827260.105831,3,1.704924,-0.033240,0.001986,0.0878,0.0201,0.000378,1.648627,-0.000005,-0.000003,-0.0121,1.705441,-0.033114,0.001992,0.0161,0.0003,0.000013,0.004141,0.0000,1.705441,0.000000,-0.000000,1.5895,0.000000,2.000000,209.5290,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0672,0.0000,0.000000,0.2720,11.85,7.11,30.81,2.98,-0.000005,-0.0002,-1.6016,nan,nan,nan,nan,nan,nan,0.0,0.0,27.808620663039108,48.988903248473434,-0.032173,-0.026059,6546.9,6073.7,-0.010405,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778827260.117906,4,1.619605,-0.054127,-0.000164,-0.0191,0.0806,-0.000060,1.648492,-0.000007,-0.000005,-0.0105,1.619977,-0.053902,-0.000156,0.0136,0.0009,0.000039,0.024828,0.0000,1.619977,0.000000,0.000000,1.6959,0.000000,2.000000,194.0635,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0732,0.0000,0.000000,0.2960,10.15,6.47,26.78,2.85,-0.000007,-0.0003,-1.7064,nan,nan,nan,nan,nan,nan,0.0,0.0,39.095077248102356,-4.450482957544011,-0.057054,-0.052210,6539.6,6081.0,-0.005297,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778827260.129808,5,1.737980,0.107465,0.000768,0.0228,-0.0278,0.000019,1.648461,-0.000004,-0.000003,-0.0002,1.738358,0.107601,0.000773,0.0164,0.0009,0.000037,0.062044,0.0000,1.738358,0.000000,-0.000000,1.5419,0.000000,2.000000,156.2409,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0797,0.0000,0.000000,0.3200,8.69,5.93,23.31,2.84,-0.000004,-0.0002,-1.5421,nan,nan,nan,nan,nan,nan,0.0,0.0,34.5233822792934,36.89596835832285,-0.035283,-0.031345,6528.3,6092.2,0.002530,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778827260.141930,6,1.765984,0.012173,-0.000337,-0.0427,0.0072,0.000158,1.648468,0.000003,0.000001,0.0006,1.766256,0.012290,-0.000333,0.0138,0.0011,0.000047,0.083601,0.0000,1.766256,-0.000000,-0.000000,1.4980,0.000000,2.000000,142.6081,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0866,0.0000,0.000000,0.3440,7.47,5.50,20.44,3.09,0.000003,0.0000,-1.4974,nan,nan,nan,nan,nan,nan,0.0,0.0,34.98364573096673,38.01526263365042,-0.031334,-0.027956,6521.4,6099.2,0.007392,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778827260.153855,7,1.683742,-0.006047,0.001514,-0.0226,0.1278,0.000288,1.648452,0.000007,0.000003,-0.0010,1.683939,-0.005770,0.001521,0.0115,0.0038,0.000149,0.096286,0.0000,1.683939,0.000000,-0.000000,1.6183,0.000000,2.000000,179.2535,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0939,0.0000,0.000000,0.3680,6.42,5.11,17.95,2.89,0.000007,0.0002,-1.6193,nan,nan,nan,nan,nan,nan,0.0,0.0,14.801206479671833,-84.60016084542573,-0.074777,-0.071699,6516.9,6103.7,0.010522,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778827260.165911,8,1.672358,-0.021592,-0.009340,-0.0424,0.0550,-0.002364,1.648434,0.000013,0.000007,-0.0008,1.672504,-0.021305,-0.009335,0.0097,0.0054,0.000188,0.115340,0.0000,1.672504,0.000000,-0.000000,1.6330,0.000000,2.000000,183.5185,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1016,0.0000,0.000000,0.3920,5.54,4.78,15.86,2.89,0.000013,0.0004,-1.6338,nan,nan,nan,nan,nan,nan,0.0,0.0,-5.1855267116308426,-133.19201592084295,-0.080078,-0.080601,6511.0,6109.6,0.014647,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778827260.177857,9,1.590872,-0.087813,-0.004543,0.0066,0.0038,0.000502,1.648415,0.000020,0.000011,-0.0007,1.590997,-0.087585,-0.004539,0.0095,0.0056,0.000194,0.132689,0.0000,1.590997,0.000000,0.000000,1.7279,0.000000,2.000000,262.0099,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1097,0.0000,0.000000,0.4160,4.77,4.52,14.06,3.04,0.000020,0.0006,-1.7286,0.008000,0.136313,-0.6191,-0.492174,0.033189,0.000716,0.0,0.0,29.285217236111905,-51.60662439503041,-0.066385,-0.066168,6505.6,6114.9,0.018370,0.000000,0.000000,0.5000,1.0000,,,,,
