time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0485,0.0598,0.0058,-0.0270,-0.0727,-0.0012,0.0000,0.0770,0.0598,2.9251,0.1000,0.3000,5.0000,0.1894,0.1200,0.0000,1.297,329479.4156
0.0240,0.0447,0.0675,-0.0024,-0.0896,0.0243,-0.0036,0.0000,0.0809,0.0675,2.9251,0.0943,0.3360,5.0000,0.1786,0.1344,0.0000,0.754,353486.8026
0.0360,0.0569,0.0296,0.0040,0.0005,-0.0242,-0.0144,0.0000,0.0642,0.0296,2.9251,0.1063,0.3720,5.0000,0.2013,0.1488,0.0000,0.767,348234.7459
0.0480,0.0149,-0.0237,0.0074,0.0162,-0.0490,-0.0246,0.0000,0.0280,-0.0237,2.9251,0.1107,0.4080,5.0000,0.2096,0.1632,0.0000,0.766,346375.6258
0.0600,0.1035,-0.0215,-0.0098,-0.0941,-0.0173,-0.0063,0.0000,0.1057,-0.0215,2.9251,0.1227,0.4440,5.0000,0.2323,0.1776,0.0000,0.835,333556.7870
0.0720,0.0858,-0.0500,0.0149,0.0416,-0.0044,0.0009,0.0000,0.0994,-0.0500,2.9251,0.1347,0.4800,5.0000,0.2550,0.1920,0.0000,0.798,325356.5747
0.0840,0.0617,-0.0104,0.0027,0.0133,0.0019,-0.0026,0.0000,0.0626,-0.0104,2.9251,0.1309,0.5160,5.0000,0.2479,0.2064,0.0000,0.849,330495.9519
0.0960,0.1000,-0.0669,-0.0083,0.0273,0.0312,-0.0042,0.0000,0.1203,-0.0669,2.9251,0.1429,0.5520,5.0000,0.2706,0.2208,0.0000,0.980,320517.7377
0.1080,0.0808,0.0604,-0.0064,0.0651,0.0718,-0.0073,0.0000,0.1009,0.0604,2.9251,0.1483,0.5880,5.0000,0.2809,0.2352,0.0000,0.771,312245.1935
0.1200,0.1025,0.1194,-0.0025,-0.0379,-0.0555,-0.0063,0.0000,0.1574,0.1194,2.9251,0.1603,0.6240,5.0000,0.3036,0.2496,0.0000,0.728,317775.1165
0.1320,0.1179,-0.0284,-0.0014,-0.0876,-0.0060,-0.0057,0.0000,0.1212,-0.0284,2.9251,0.1723,0.6600,5.0000,0.3263,0.2640,0.0000,0.760,313541.1809
0.1440,0.0394,0.0195,-0.0049,0.0215,0.0185,-0.0051,0.0000,0.0440,0.0195,2.9251,0.1705,0.6960,5.0000,0.3229,0.2784,0.0000,0.780,315132.5899
0.1560,0.0610,-0.0863,-0.0074,0.0129,-0.0094,-0.0046,0.0000,0.1057,-0.0863,2.9251,0.1825,0.7320,5.0000,0.3456,0.2928,0.0000,0.752,311955.9868
0.1680,-0.0321,-0.0040,-0.0010,0.0158,-0.0676,-0.0012,0.0000,0.0323,-0.0040,2.9251,0.1901,0.7680,5.0000,0.3599,0.3072,0.0000,0.846,318906.9834
0.1800,0.0450,-0.0225,-0.0019,0.0041,0.0388,-0.0124,0.0000,0.0503,-0.0225,2.9251,0.1937,0.8040,5.0000,0.3669,0.3216,0.0000,0.803,308274.1381
0.1920,0.1075,-0.0045,0.0021,0.0661,-0.0150,0.0025,0.0000,0.1076,-0.0045,2.9251,0.2057,0.8400,5.0000,0.3896,0.3360,0.0000,0.778,287530.7969
0.2040,0.0996,-0.0426,-0.0118,0.0449,-0.0191,0.0035,0.0000,0.1083,-0.0426,2.9251,0.2055,0.8760,5.0000,0.3892,0.3504,0.0000,0.834,290359.9480
0.2160,0.1198,0.0503,0.0006,0.0425,-0.0038,-0.0014,0.0000,0.1299,0.0503,2.9251,0.2175,0.9120,5.0000,0.4119,0.3648,0.0000,0.753,284550.1807
0.2280,0.0974,-0.0085,-0.0022,0.0468,-0.0467,-0.0066,0.0000,0.0977,-0.0085,2.9251,0.2295,0.9480,5.0000,0.4346,0.3792,0.0000,0.752,283634.4309
0.2400,0.0735,0.0040,-0.0142,0.0092,-0.0365,-0.0044,0.0000,0.0736,0.0040,2.9251,0.2201,0.9840,5.0000,0.4169,0.3936,0.0000,0.793,289305.0438
0.2520,0.0176,0.0671,-0.0008,0.0353,0.0346,-0.0046,0.0000,0.0694,0.0671,2.9251,0.2321,1.0200,5.0000,0.4397,0.4080,0.0000,0.851,287897.0957
0.2640,-0.0051,-0.0103,0.0038,-0.0363,0.0035,-0.0001,0.0000,0.0115,-0.0103,2.9251,0.2300,1.0560,5.0000,0.4355,0.4224,0.0000,0.821,295679.0974
0.2760,0.0751,0.0119,-0.0005,0.0180,0.0417,-0.0033,0.0000,0.0761,0.0119,2.9251,0.2420,1.0920,5.0000,0.4583,0.4368,0.0000,0.803,280619.5730
0.2880,0.0125,-0.0141,0.0005,0.0096,0.0153,-0.0062,0.0000,0.0189,-0.0141,2.9251,0.2540,1.1280,5.0000,0.4810,0.4512,0.0000,0.836,286497.2605
0.3000,0.0242,0.1060,-0.0076,-0.1039,-0.0288,-0.0098,0.0000,0.1087,0.1060,2.9251,0.2420,1.1640,5.0000,0.4583,0.4656,0.0000,0.779,283701.2564
0.3120,0.1148,-0.0484,0.0080,-0.0239,-0.0151,-0.0035,0.0000,0.1246,-0.0484,2.9251,0.2540,1.2000,5.0000,0.4810,0.4800,0.0000,0.804,272842.1590
0.3240,-0.0227,0.0208,0.0045,-0.0513,-0.0997,-0.0001,0.0000,0.0308,0.0208,2.9251,0.2527,1.2360,5.0000,0.4786,0.4944,0.0000,0.778,285771.6248
0.3360,0.0576,-0.0357,-0.0070,-0.0355,0.0141,0.0032,0.0000,0.0677,-0.0357,2.9251,0.2596,1.2720,5.0000,0.4918,0.5088,0.0000,0.710,274652.3987
0.3480,0.0558,-0.0602,-0.0044,0.0058,-0.0389,-0.0056,0.0000,0.0821,-0.0602,2.9251,0.2716,1.3080,5.0000,0.5145,0.5232,0.0000,0.765,271324.5461
0.3600,0.1200,-0.0566,-0.0017,0.0267,0.0272,-0.0097,0.0000,0.1327,-0.0566,2.9251,0.2697,1.3440,5.0000,0.5108,0.5376,0.0000,0.831,259488.8180
