time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0061,0.0746,-0.0028,-0.0424,0.0229,-0.0002,0.0000,0.0748,0.0746,2.9251,0.1000,0.3000,8.0000,0.1894,0.1200,0.0000,1.290,166981.2297
0.0240,0.0129,-0.0249,-0.0064,-0.0354,0.0090,0.0013,0.0000,0.0280,-0.0249,2.9251,0.1120,0.3360,8.0000,0.2121,0.1344,0.0000,0.752,606660.9064
0.0360,0.0699,-0.0722,0.0055,0.0372,-0.0248,-0.0107,0.0000,0.1005,-0.0722,2.9251,0.1240,0.3720,8.0000,0.2348,0.1488,0.0000,0.887,586225.1359
0.0480,0.0118,0.0063,0.0017,-0.0451,0.0083,-0.0263,0.0000,0.0134,0.0063,2.9251,0.1360,0.4080,8.0000,0.2576,0.1632,0.0000,0.856,606225.8648
0.0600,0.0359,0.1181,0.0022,0.0657,0.0212,-0.0152,0.0000,0.1234,0.1181,2.9251,0.1480,0.4440,8.0000,0.2803,0.1776,0.0000,0.819,571891.1861
0.0720,0.0764,0.0442,0.0002,-0.0345,0.0105,-0.0027,0.0000,0.0883,0.0442,2.9251,0.1522,0.4800,8.0000,0.2883,0.1920,0.0000,0.898,571401.4236
0.0840,0.0324,-0.0073,-0.0073,-0.0649,-0.0348,0.0011,0.0000,0.0332,-0.0073,2.9251,0.1642,0.5160,8.0000,0.3110,0.2064,0.0000,0.930,609920.5733
0.0960,0.0065,-0.0148,0.0008,-0.0867,0.0280,0.0011,0.0000,0.0162,-0.0148,2.9251,0.1762,0.5520,8.0000,0.3337,0.2208,0.0000,0.942,557307.5241
0.1080,0.0892,0.0148,-0.0036,0.0078,-0.0379,-0.0122,0.0000,0.0905,0.0148,2.9251,0.1738,0.5880,8.0000,0.3292,0.2352,0.0000,1.021,537781.6520
0.1200,0.0404,0.0689,-0.0041,-0.0665,-0.0274,-0.0007,0.0000,0.0799,0.0689,2.9251,0.1858,0.6240,8.0000,0.3519,0.2496,0.0000,0.981,584231.7605
0.1320,0.1022,-0.0170,0.0045,0.0048,0.0207,-0.0018,0.0000,0.1037,-0.0170,2.9251,0.1978,0.6600,8.0000,0.3746,0.2640,0.0000,0.826,546268.4935
0.1440,0.1391,-0.0348,-0.0045,0.0984,-0.0162,-0.0025,0.2500,0.1163,-0.0348,2.7489,0.1858,0.6960,8.0000,0.3519,0.2784,0.0000,0.974,513865.3011
0.1560,-0.0137,0.0483,-0.0024,-0.0194,0.0647,-0.0081,0.0000,0.0503,0.0483,2.9251,0.1978,0.7320,8.0000,0.3746,0.2928,0.0000,0.904,621892.6094
0.1680,0.0307,-0.0257,-0.0024,-0.0062,0.0916,-0.0026,0.0000,0.0400,-0.0257,2.9251,0.2098,0.7680,8.0000,0.3973,0.3072,0.0000,0.856,532510.2862
