time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0419,-0.0121,0.0014,-0.0704,-0.0879,-0.0001,0.0000,0.0436,-0.0121,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.044,323500.0000
0.0240,0.0367,0.0737,-0.0077,0.0543,0.0239,-0.0012,0.0000,0.0823,0.0737,5.0000,-0.0120,0.0360,8.0000,-0.0227,0.0144,0.0000,1.561,19646.2826
0.0360,0.1039,0.0240,0.0019,0.1155,0.0177,0.0004,0.0000,0.1066,0.0240,5.0000,-0.0000,0.0720,8.0000,-0.0000,0.0288,0.0000,1.615,597290.0975
0.0480,0.0447,-0.0402,-0.0051,-0.0024,-0.0519,-0.0032,0.0000,0.0601,-0.0402,5.0000,-0.0120,0.1080,8.0000,-0.0227,0.0432,0.0000,1.409,726082.8298
0.0600,0.0269,-0.0286,-0.0141,0.0935,-0.0057,0.0024,0.0000,0.0392,-0.0286,5.0000,-0.0000,0.1440,8.0000,-0.0000,0.0576,0.0000,1.563,430997.8042
0.0720,0.1252,0.0352,0.0075,-0.0400,-0.0238,-0.0077,0.2500,0.1297,0.0352,5.0000,-0.0120,0.1800,8.0000,-0.0227,0.0720,0.0000,1.594,226926.9547
0.0840,0.1047,-0.0716,0.0004,-0.0508,-0.0320,-0.0077,0.0000,0.1269,-0.0716,5.0000,-0.0000,0.2160,8.0000,-0.0000,0.0864,0.0000,1.456,307447.2890
0.0960,-0.0203,0.0432,0.0011,0.0372,-0.0263,0.0049,0.0000,0.0478,0.0432,5.0000,-0.0120,0.2520,8.0000,-0.0227,0.1008,0.0000,1.301,645780.7702
0.1080,0.0177,0.0570,0.0024,-0.0754,0.0057,0.0040,0.0000,0.0596,0.0570,5.0000,-0.0240,0.2880,8.0000,-0.0455,0.1152,0.0000,1.551,673440.7610
0.1200,-0.0041,0.0205,-0.0060,0.0723,0.0007,0.0061,0.0000,0.0209,0.0205,5.0000,-0.0120,0.3240,8.0000,-0.0227,0.1296,0.0000,1.538,471930.8060
0.1320,0.0126,0.0808,0.0057,-0.0069,0.0060,-0.0011,0.0000,0.0818,0.0808,5.0000,-0.0000,0.3600,8.0000,-0.0000,0.1440,0.0000,1.379,311981.6850
0.1440,0.0760,-0.0022,0.0011,0.1022,-0.0447,-0.0199,0.0000,0.0760,-0.0022,5.0000,-0.0110,0.3960,8.0000,-0.0208,0.1584,0.0000,1.265,1507708.7655
