time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
9.5910,20.3402,0.7036,2.705,1,20.671,-2.205,0.429,2.9278,1.929,2.929,0,1
9.5940,20.3480,0.7013,2.698,1,20.671,-2.205,0.429,2.9246,1.929,2.929,0,1
9.5970,20.3557,0.6989,2.691,1,20.671,-2.205,0.429,2.9215,1.929,2.929,0,1
9.6000,20.3634,0.6966,2.683,1,20.671,-2.205,0.429,2.9183,1.929,2.929,0,1
9.6030,20.3711,0.6942,2.687,1,20.671,-2.205,0.429,2.9151,1.929,2.929,0,1
9.6060,20.3788,0.6919,2.674,1,20.671,-2.205,0.429,2.9120,1.929,2.929,0,1
9.6090,20.3865,0.6895,2.670,1,20.671,-2.205,0.429,2.9089,1.929,2.929,0,1
9.6120,20.3941,0.6872,2.660,1,20.671,-2.205,0.429,2.9058,1.929,2.929,0,1
9.6150,20.4018,0.6848,2.654,1,20.671,-2.205,0.429,2.9028,1.929,2.929,0,1
9.6180,20.4094,0.6825,2.649,1,20.671,-2.205,0.429,2.8998,1.929,2.929,0,1
9.6210,20.4170,0.6801,2.645,1,20.671,-2.205,0.429,2.8968,1.929,2.929,0,1
9.6240,20.4245,0.6778,2.635,1,20.671,-2.205,0.429,2.8938,1.929,2.929,0,1
9.6270,20.4321,0.6755,2.626,1,20.671,-2.205,0.429,2.8908,1.929,2.929,0,1
9.6300,20.4396,0.6732,2.616,1,20.671,-2.205,0.429,2.8879,1.929,2.929,0,1
9.6330,20.4471,0.6709,2.606,1,20.671,-2.205,0.429,2.8850,1.929,2.929,0,1
9.6360,20.4545,0.6686,2.597,1,20.671,-2.205,0.429,2.8822,1.929,2.929,0,1
9.6390,20.4620,0.6663,2.590,1,20.671,-2.205,0.429,2.8793,1.929,2.929,0,1
9.6420,20.4694,0.6640,2.582,1,20.671,-2.205,0.429,2.8765,1.929,2.929,0,1
9.6450,20.4768,0.6617,2.577,1,20.671,-2.205,0.429,2.8737,1.929,2.929,0,1
9.6480,20.4842,0.6594,2.567,1,20.671,-2.205,0.429,2.8710,1.929,2.929,0,1
9.6510,20.4915,0.6571,2.568,1,20.671,-2.205,0.429,2.8682,1.929,2.929,0,1
9.6540,20.4989,0.6548,2.555,1,20.671,-2.205,0.429,2.8655,1.929,2.929,0,1
9.6570,20.5062,0.6526,2.551,1,20.671,-2.205,0.429,2.8628,1.929,2.929,0,1
9.6600,20.5135,0.6503,2.547,1,20.671,-2.205,0.429,2.8601,1.929,2.929,0,1
9.6630,20.5208,0.6480,2.538,1,20.671,-2.205,0.429,2.8575,1.929,2.929,0,1
9.6660,20.5280,0.6458,2.531,1,20.671,-2.205,0.429,2.8548,1.929,2.929,0,1
