step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.942,0.051,0.81,1.652,0.00,3,18,10.00,5.63,+0.000,0.391,0.006,+0.000,0.391,0.006,0,13.175,7.80,0.000
40,4.385,0.245,4.64,1.018,15.24,4,18,10.00,4.65,+0.543,0.375,0.018,+0.543,0.375,0.018,0,11.403,7.79,0.000
44,4.873,0.364,7.18,1.612,14.36,4,18,10.00,4.73,+0.512,0.703,0.003,+0.507,0.702,0.000,1,9.667,47.87,0.000
45,5.039,0.407,8.01,1.837,11.15,4,18,10.00,5.06,+0.397,0.746,0.002,+0.390,0.741,0.000,1,9.023,46.96,0.000
46,5.227,0.457,8.86,2.051,11.48,4,18,10.00,5.03,+0.409,0.769,0.002,+0.412,0.768,0.000,1,8.661,47.66,0.000
47,5.434,0.512,9.71,2.245,10.89,4,18,10.00,5.08,+0.388,0.774,0.001,+0.400,0.767,0.000,1,8.332,47.14,0.000
48,5.658,0.574,10.62,2.430,8.90,4,18,10.00,5.28,+0.317,0.756,0.001,+0.315,0.757,0.000,1,7.209,46.36,0.000
49,5.899,0.642,11.54,2.605,7.07,4,18,10.00,5.45,+0.252,0.719,0.000,+0.256,0.719,0.000,1,7.517,47.70,0.000
50,6.155,0.717,12.39,2.754,3.90,4,18,10.00,5.62,+0.139,0.666,0.000,+0.145,0.667,0.000,1,6.720,47.87,0.000
60,9.370,1.586,14.32,3.684,-15.68,4,18,10.00,4.59,-0.559,0.281,0.142,-0.559,0.281,0.142,0,3.302,7.84,0.000
71,13.043,1.822,1.70,3.195,-16.86,4,18,10.00,4.48,-0.601,0.359,0.015,-0.445,0.392,0.000,1,-0.473,47.24,0.909
72,13.363,1.797,0.28,3.260,-16.51,4,18,10.00,4.51,-0.588,0.440,0.009,-0.595,0.384,0.000,1,-0.496,46.81,0.950
73,13.689,1.768,-1.02,3.330,-16.17,4,18,10.00,4.55,-0.576,0.509,0.006,-0.175,0.369,0.000,1,1.059,46.95,1.379
74,14.021,1.731,-2.47,3.403,-16.36,4,18,10.00,4.53,-0.583,0.572,0.004,-0.039,0.352,0.000,1,0.969,47.80,0.483
75,14.362,1.695,-3.38,3.510,-19.00,4,18,10.00,4.29,-0.677,0.626,0.003,-0.073,0.339,0.000,1,0.969,47.03,0.605
76,14.712,1.660,-3.94,3.601,-22.55,4,18,10.00,4.01,-0.803,0.676,0.002,-0.072,0.255,0.000,1,0.970,46.86,0.728
