time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,18.638944,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000093,-0.000762,0.000126,0.000366,0.000000,0.164380,0.000000,0,0,18.639514,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000521,-0.000034,0.000830,0.000372,0.000000,0.283923,0.000000,0,0,18.639643,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000585,0.000204,0.003604,0.000417,0.000000,0.423009,0.000000,0,0,18.639720,0.000000,0.000000,0.000000
0.408000,0.055261,0.000228,0.905232,0.018973,0.019874,0.012500,0.013821,0.000000,0.551677,0.000000,0,0,18.639675,0.000000,0.000000,0.000000
0.510000,0.063718,0.001216,0.696206,0.074333,0.099822,0.014972,0.013075,0.000000,0.685847,0.000000,0,0,18.631210,0.000000,0.000000,0.000000
0.612000,0.063669,0.003127,0.819052,0.002572,-0.046523,0.016423,-0.005948,0.000000,0.797708,0.000000,0,0,18.631244,0.000000,0.000000,0.000000
0.714000,0.061358,0.005932,0.884793,0.023347,-0.000436,0.027942,-0.008155,0.000000,0.863518,0.000000,0,0,18.633531,0.000000,0.000000,0.000000
0.816000,0.066349,0.008328,0.868818,0.076294,0.097946,0.005538,-0.001907,0.000000,0.912339,0.000000,0,0,18.628521,0.000000,0.000000,0.000000
0.918000,0.086917,0.005667,0.823026,0.297519,0.321552,-0.030233,0.050644,0.000000,0.940857,0.000000,0,0,18.607975,0.000000,0.000000,0.000000
1.020000,0.135501,0.004042,0.816858,0.645757,0.627998,0.008768,0.023484,0.000000,0.962013,0.000000,0,0,18.559406,0.000000,0.000000,0.000000
1.122000,0.211928,0.008563,0.853153,0.843555,0.844346,0.045454,0.011179,0.000000,0.974371,0.000000,0,0,18.482944,0.000000,0.000000,0.000000
1.224000,0.306892,0.015960,0.884364,1.017004,1.016232,0.067885,0.009386,-0.003063,0.981637,0.000000,0,0,18.387924,0.000000,0.000000,0.000000
1.326000,0.419383,0.024664,0.902180,1.187856,1.188889,0.065978,0.020027,-0.001069,0.989178,0.000000,0,0,18.275370,0.000000,0.000000,0.000000
1.428000,0.549929,0.032500,0.908028,1.369829,1.369607,0.055015,0.030705,0.003382,0.993131,0.000000,0,0,18.144772,0.000000,0.000000,0.000000
1.530000,0.698989,0.039696,0.906368,1.545869,1.547579,0.039110,0.038855,-0.000339,0.998685,0.000000,0,0,17.995665,0.000000,0.000000,0.000000
1.632000,0.865795,0.046821,0.903564,1.714493,1.716400,0.034304,0.032838,-0.000737,0.999206,0.000000,0,0,17.828815,0.000000,0.000000,0.000000
1.734000,1.049278,0.054392,0.901609,1.873261,1.876146,0.034122,0.022773,-0.007281,0.998434,0.000000,0,0,17.645288,0.000000,0.000000,0.000000
1.836000,1.248492,0.062759,0.900098,2.031889,2.031366,0.033550,0.023861,0.007097,0.986990,0.000000,0,0,17.446028,0.000000,0.000000,0.000000
1.938000,1.463616,0.072371,0.900073,2.181062,2.184520,0.036209,0.015308,0.014950,0.988308,0.000000,0,0,17.230855,0.000000,0.000000,0.000000
2.040000,1.693621,0.082718,0.899463,2.320278,2.324643,0.035961,0.019860,0.036373,0.967962,0.000000,0,0,17.000800,0.000000,0.000000,0.000000
2.142000,1.937465,0.093691,0.895451,2.464012,2.460011,0.023788,0.015514,-0.099187,0.956048,0.000000,0,0,16.756908,0.000000,0.000000,0.000000
2.244000,2.196375,0.103254,0.892099,2.619003,2.615961,0.005484,0.025921,0.008631,0.970237,0.000000,0,0,16.497960,0.000000,0.000000,0.000000
2.346000,2.470999,0.113798,0.890122,2.769451,2.770124,0.012874,0.028928,0.086744,0.943930,0.000000,0,0,16.223301,0.000000,0.000000,0.000000
2.448000,2.761288,0.127270,0.890517,2.926594,2.925528,0.026337,0.034372,0.046021,0.855635,0.000000,0,0,15.932972,0.000000,0.000000,0.000000
2.550000,3.067109,0.142560,0.890704,3.081917,3.078816,0.017176,0.024006,-0.034381,0.917323,0.000000,0,0,15.627118,0.000000,0.000000,0.000000
2.652000,3.386601,0.158409,0.871226,3.236726,3.174148,0.030393,0.021627,0.066341,0.866973,0.000000,0,0,15.307604,0.000000,0.000000,0.000000
