time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.193526,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000758,0.000069,0.000371,0.000000,0.101991,0.000000,0,0,16.194094,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000512,-0.000038,0.000417,0.000376,0.000000,0.176344,0.000000,0,0,16.194223,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000584,0.000241,0.001682,0.000425,0.000000,0.260919,0.000000,0,0,16.194301,0.000000,0.000000,0.000000
0.408000,0.055174,0.000077,0.902700,0.000426,0.000165,0.005351,0.000454,0.000000,0.333438,0.000000,0,0,16.194349,0.000000,0.000000,0.000000
0.510000,0.057926,-0.000310,0.535862,0.031636,0.071101,-0.005578,0.011148,0.000000,0.402640,0.000000,0,0,16.191574,0.000000,0.000000,0.000000
0.612000,0.059772,-0.000497,0.544807,-0.055121,-0.090305,-0.002603,-0.002322,0.000000,0.462920,0.000000,0,0,16.189720,0.000000,0.000000,0.000000
0.714000,0.051830,-0.000585,0.650113,-0.036887,-0.058473,-0.001791,-0.000939,0.000000,0.517407,0.000000,0,0,16.197623,0.000000,0.000000,0.000000
0.816000,0.048289,-0.000557,0.660516,0.001747,0.010601,-0.001801,0.017548,0.000000,0.579640,0.000000,0,0,16.201153,0.000000,0.000000,0.000000
0.918000,0.061701,-0.000070,0.622648,0.232439,0.242294,0.017735,-0.001719,0.000000,0.629800,0.000000,0,0,16.187835,0.000000,0.000000,0.000000
1.020000,0.088962,0.001753,0.616759,0.313335,0.310434,0.018467,0.004960,0.000000,0.673124,0.000000,0,0,16.160838,0.000000,0.000000,0.000000
1.122000,0.131014,0.005105,0.633476,0.550481,0.538718,0.034076,0.024598,0.000000,0.702047,0.000000,0,0,16.119244,0.000000,0.000000,0.000000
1.224000,0.198937,0.009642,0.655857,0.815022,0.805672,0.047211,0.013324,0.000000,0.720570,0.000000,0,0,16.051990,0.000000,0.000000,0.000000
1.326000,0.296532,0.016097,0.681564,1.111151,1.103594,0.060585,0.017998,0.000000,0.717084,0.000000,0,0,15.955360,0.000000,0.000000,0.000000
1.428000,0.424655,0.024658,0.707545,1.408058,1.404144,0.070660,0.007788,0.000000,0.682788,0.000000,0,0,15.828530,0.000000,0.000000,0.000000
1.530000,0.580882,0.033204,0.727051,1.647541,1.651950,0.058992,0.011339,0.000000,0.627067,0.000000,0,0,15.673738,0.000000,0.000000,0.000000
1.632000,0.761928,0.040565,0.735143,1.891482,1.896260,0.047865,0.019773,0.000000,0.541687,0.000000,0,0,15.494154,0.000000,0.000000,0.000000
1.734000,0.968800,0.046972,0.734885,2.150409,2.153030,0.036685,0.020454,0.000000,0.458396,0.000000,0,0,15.288802,0.000000,0.000000,0.000000
1.836000,1.201135,0.053481,0.733843,2.391291,2.393387,0.032967,0.014751,0.000000,0.391659,0.018181,0,0,15.058157,0.000000,0.000000,0.000000
1.938000,1.455838,0.060601,0.736096,2.586039,2.592843,0.036101,0.022299,0.000000,0.348298,0.043992,0,0,14.805360,0.000000,0.000000,0.000000
2.040000,1.729355,0.069356,0.737326,2.746266,2.754644,0.043782,0.015703,0.000000,0.311488,0.080024,0,0,14.534071,0.000000,0.000000,0.000000
2.142000,2.014059,0.079017,0.735573,2.810615,2.812739,0.035304,0.010308,0.000000,0.286034,0.114351,0,0,14.251826,0.000000,0.000000,0.000000
2.244000,2.300266,0.086465,0.732479,2.789560,2.790854,0.004670,0.005751,0.000000,0.262960,0.149621,0,0,13.967948,0.000000,0.000000,0.000000
2.346000,2.581210,0.091301,0.730346,2.705029,2.712516,-0.018301,0.008340,0.000000,0.245915,0.173987,0,0,13.689109,0.000000,0.000000,0.000000
2.448000,2.852017,0.094158,0.729498,2.591140,2.596657,-0.031067,0.007429,0.000000,0.229485,0.190884,0,0,13.420208,0.000000,0.000000,0.000000
2.550000,3.111222,0.097275,0.721889,2.514869,2.484661,-0.016039,-0.009996,0.000000,0.216668,0.195539,0,0,13.162934,0.000000,0.000000,0.000000
2.652000,3.357767,0.102291,0.692030,2.420389,2.355109,0.006210,-0.003723,0.000000,0.203744,0.189204,0,0,12.918521,0.000000,0.000000,0.000000
2.754000,3.588661,0.106196,0.677214,2.133142,2.175140,0.016100,0.007901,0.159091,0.193287,0.174413,0,0,12.689599,0.000000,0.000000,0.000000
2.856000,3.802195,0.115349,0.694843,1.987834,2.021390,0.071857,0.064069,0.363636,0.182446,0.148732,0,0,12.478598,0.000000,0.000000,0.000000
2.958000,4.000855,0.131403,0.713285,1.887297,1.889581,0.132311,0.104664,0.545455,0.173489,0.118748,0,0,12.283276,0.000000,0.000000,0.000000
3.060000,4.188035,0.156291,0.719835,1.818145,1.809278,0.206527,0.136875,0.747913,0.166340,0.078278,0,0,12.100553,0.000000,0.000000,0.000000
3.162000,4.367265,0.191047,0.717729,1.734266,1.732925,0.293543,0.176603,0.859629,0.190509,0.052813,0,0,11.927138,0.000000,0.000000,0.000000
3.264000,4.538041,0.236758,0.714851,1.669263,1.672304,0.358868,0.215326,0.762940,0.256377,0.033921,0,0,11.763794,0.000000,0.000000,0.000000
3.366000,4.704530,0.287858,0.713082,1.670728,1.666710,0.345811,0.201268,0.680223,0.333691,0.022886,0,0,11.605778,0.000000,0.000000,0.000000
3.468000,4.871476,0.340008,0.712689,1.721189,1.714544,0.287877,0.161601,0.568792,0.429615,0.014699,0,0,11.447859,0.000000,0.000000,0.000000
3.570000,5.046765,0.390170,0.714755,1.839798,1.833538,0.246528,0.153873,0.506258,0.515088,0.009917,0,0,11.281820,0.000000,0.000000,0.000000
3.672000,5.236765,0.442990,0.717724,1.997265,1.993337,0.257451,0.173396,0.618812,0.603454,0.006370,0,0,11.102096,0.000000,0.000000,0.000000
3.774000,5.443579,0.505619,0.720423,2.196301,2.193577,0.300368,0.223236,0.674731,0.669192,0.004298,0,0,10.907883,0.000000,0.000000,0.000000
3.876000,5.669085,0.581840,0.724772,2.427222,2.428439,0.339347,0.225432,0.576976,0.718909,0.002899,0,0,10.698282,0.000000,0.000000,0.000000
3.978000,5.916341,0.670285,0.729445,2.665901,2.666030,0.341027,0.219599,0.417885,0.754298,0.001862,0,0,10.470525,0.000000,0.000000,0.000000
4.080000,6.184770,0.768146,0.734144,2.882616,2.887764,0.321020,0.215370,0.304248,0.763437,0.001196,0,0,10.225207,0.000000,0.000000,0.000000
4.182000,6.472600,0.874138,0.738093,3.085132,3.088978,0.275338,0.180708,0.122430,0.750893,0.000807,0,0,9.964375,0.000000,0.000000,0.000000
4.284000,6.778968,0.984430,0.741247,3.270300,3.272057,0.195821,0.121439,-0.068265,0.718712,0.000518,0,0,9.688639,0.000000,0.000000,0.000000
4.386000,7.103143,1.094869,0.742192,3.423782,3.424623,0.101765,0.057223,-0.233502,0.677826,0.000350,0,0,9.398268,0.000000,0.000000,0.000000
4.488000,7.442618,1.201404,0.741955,3.541556,3.542925,0.006140,-0.031928,-0.369023,0.622478,0.000225,0,0,9.095084,0.000000,0.000000,0.000000
4.590000,7.795627,1.300289,0.740426,3.638735,3.640525,-0.088364,-0.103822,-0.259424,0.569955,0.000152,0,0,8.780027,0.000000,0.000000,0.000000
4.692000,8.160202,1.391490,0.739804,3.717379,3.722457,-0.139111,-0.115777,-0.312992,0.503655,0.000097,0,0,8.455055,0.000000,0.000000,0.000000
4.794000,8.534606,1.476419,0.739904,3.793090,3.795017,-0.165629,-0.127193,-0.289762,0.453667,0.000066,0,0,8.122339,0.000000,0.000000,0.000000
4.896000,8.917427,1.556379,0.737906,3.861757,3.854929,-0.183985,-0.145205,-0.366659,0.416585,0.000042,0,0,7.783811,0.000000,0.000000,0.000000
4.998000,9.308203,1.629678,0.731647,3.935827,3.926359,-0.203865,-0.162992,-0.343152,0.394340,0.003436,0,0,7.439599,0.000000,0.000000,0.000000
5.100000,9.706060,1.696156,0.725166,3.976581,3.970529,-0.229213,-0.173680,-0.386425,0.372374,0.013660,0,0,7.090682,0.000000,0.000000,0.000000
5.202000,10.109117,1.753295,0.721165,3.977863,3.988832,-0.258901,-0.173146,-0.405602,0.354182,0.021919,0,0,6.738074,0.000000,0.000000,0.000000
5.304000,10.513928,1.800924,0.724306,3.970360,3.977829,-0.283237,-0.201551,-0.426174,0.335000,0.029293,0,0,6.384952,0.000000,0.000000,0.000000
5.406000,10.918158,1.838567,0.732211,3.963964,3.962617,-0.308595,-0.206947,-0.470127,0.263827,0.000000,0,0,6.033249,0.000000,0.000000,0.000000
5.508000,11.321837,1.864650,0.738090,3.946531,3.948319,-0.322437,-0.227606,-0.478543,0.263794,0.000000,0,0,5.682183,0.000000,0.000000,0.000000
5.610000,11.724766,1.880527,0.738460,3.924537,3.932331,-0.320074,-0.240831,-0.469344,0.281349,0.000000,0,0,5.332451,0.000000,0.000000,0.000000
5.712000,12.125711,1.887138,0.734212,3.891891,3.895105,-0.330243,-0.245355,-0.551178,0.280118,0.000000,0,0,4.985591,0.000000,0.000000,0.000000
5.814000,12.521985,1.880314,0.732981,3.852209,3.853448,-0.342947,-0.264632,-0.476202,0.273292,0.000000,0,0,4.641763,0.000000,0.000000,0.000000
