sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778842897.197979,0,1.637993,-0.035335,0.002199,-0.0156,-0.0242,0.002101,1.648994,-0.000000,-0.000000,-0.0020,1.637883,-0.035522,0.002203,-0.0050,-0.0001,-0.000004,-0.112584,0.0000,1.637883,0.000000,0.000000,1.6752,0.000000,2.000000,251.3931,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0523,0.0000,0.000000,0.2000,17.08,9.36,43.52,5.76,-0.000000,-0.0000,-1.6773,nan,nan,nan,nan,nan,nan,0.0,0.0,155.4135535248374,238.8145226153565,0.041753,0.055593,6560.5,6060.1,-0.019878,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778842897.204413,1,1.698442,0.040416,0.002618,-0.1272,0.0031,-0.000047,1.648913,-0.000001,-0.000000,-0.0094,1.698384,0.040271,0.002622,-0.0024,-0.0001,-0.000005,-0.019995,0.0000,1.698384,0.000000,-0.000000,1.5991,0.000000,2.000000,251.9560,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0568,0.0000,0.000000,0.2240,15.33,8.87,39.52,6.08,-0.000001,-0.0000,-1.6085,nan,nan,nan,nan,nan,nan,0.0,0.0,135.6937514669086,202.35637051416163,0.032522,0.043634,6557.3,6063.3,-0.017660,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778842897.211107,2,1.597918,-0.012044,-0.003760,0.0166,0.0664,-0.000370,1.648775,-0.000002,-0.000002,-0.0125,1.597997,-0.012055,-0.003755,0.0016,-0.0000,-0.000001,-0.008327,0.0000,1.597997,0.000000,0.000000,1.7203,0.000000,2.000000,226.2264,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0618,0.0000,0.000000,0.2480,13.69,7.97,35.35,2.89,-0.000002,-0.0001,-1.7328,nan,nan,nan,nan,nan,nan,0.0,0.0,61.031803953019164,104.36711255497246,0.000768,0.009269,6552.4,6068.1,-0.014269,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778842897.219392,3,1.578782,0.050791,0.006763,0.0248,0.0365,0.001416,1.648627,-0.000004,-0.000003,-0.0121,1.578996,0.050843,0.006769,0.0066,0.0001,0.000005,0.006290,0.0000,1.578996,0.000000,0.000000,1.7408,0.000000,2.000000,228.8249,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0674,0.0000,0.000000,0.2720,11.72,7.21,30.65,2.86,-0.000004,-0.0002,-1.7529,nan,nan,nan,nan,nan,nan,0.0,0.0,37.9829460277613,72.85581926388721,-0.014388,-0.005723,6546.3,6074.3,-0.009982,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778842897.231277,4,1.656609,-0.039211,-0.003418,-0.0187,-0.0905,-0.000451,1.648492,-0.000007,-0.000005,-0.0106,1.656767,-0.039313,-0.003417,0.0059,-0.0005,-0.000016,0.026691,0.0000,1.656767,0.000000,-0.000000,1.6526,0.000000,2.000000,270.7273,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0734,0.0000,0.000000,0.2960,10.04,6.56,26.64,2.90,-0.000007,-0.0003,-1.6632,nan,nan,nan,nan,nan,nan,0.0,0.0,121.00629286800671,152.64067749639847,0.023687,0.030094,6539.0,6081.5,-0.004921,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778842897.243319,5,1.672919,0.052119,0.006941,0.1180,-0.0075,0.000367,1.648463,-0.000004,-0.000003,0.0004,1.673584,0.052033,0.006942,0.0285,-0.0006,-0.000022,0.059545,0.0000,1.673584,0.000000,-0.000000,1.6317,0.000000,2.000000,262.1436,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0799,0.0000,0.000000,0.3200,8.61,6.01,23.23,2.89,-0.000004,-0.0002,-1.6312,nan,nan,nan,nan,nan,nan,0.0,0.0,117.86735167325187,138.64419185484903,0.021779,0.027416,6528.9,6091.6,0.002116,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778842897.255232,6,1.640588,-0.009789,0.001470,-0.0164,-0.0054,0.000883,1.648468,0.000001,0.000000,0.0002,1.641063,-0.009867,0.001472,0.0235,-0.0008,-0.000024,0.077061,0.0000,1.641063,0.000000,0.000000,1.6715,0.000000,2.000000,289.3943,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0869,0.0000,0.000000,0.3440,7.41,5.53,20.34,2.82,0.000001,0.0000,-1.6713,nan,nan,nan,nan,nan,nan,0.0,0.0,111.16105627557599,127.27025642004048,0.019125,0.024800,6523.0,6097.6,0.006254,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778842897.267311,7,1.626382,-0.050148,-0.000556,0.0361,-0.0001,0.000298,1.648453,0.000006,0.000003,-0.0009,1.626850,-0.050209,-0.000554,0.0263,-0.0009,-0.000024,0.092385,0.0000,1.626850,0.000000,0.000000,1.6880,0.000000,2.000000,298.2125,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0942,0.0000,0.000000,0.3680,6.39,5.16,17.93,3.06,0.000006,0.0002,-1.6889,nan,nan,nan,nan,nan,nan,0.0,0.0,100.90788146275966,111.17777941839287,0.015292,0.020251,6517.8,6102.7,0.009848,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778842897.279212,8,1.675278,0.061786,-0.003427,0.0051,0.0569,-0.001086,1.648434,0.000013,0.000007,-0.0008,1.675631,0.061815,-0.003425,0.0226,0.0005,0.000029,0.109774,0.0000,1.675631,0.000000,-0.000000,1.6290,0.000000,2.000000,233.8929,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1020,0.0000,0.000000,0.3920,5.50,4.88,15.88,3.30,0.000013,0.0004,-1.6299,nan,nan,nan,nan,nan,nan,0.0,0.0,49.1107942761724,53.43369226304401,-0.009017,-0.006405,6512.3,6108.2,0.013675,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778842897.293840,9,1.633082,0.051041,-0.003777,0.0452,-0.0370,0.001558,1.648415,0.000020,0.000011,-0.0007,1.633465,0.051016,-0.003775,0.0274,-0.0007,-0.000002,0.128814,0.0000,1.633465,0.000000,0.000000,1.6804,0.000000,2.000000,260.9113,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1101,0.0000,0.000000,0.4160,4.76,4.72,14.23,3.79,0.000020,0.0006,-1.6811,0.008000,0.102359,-0.3460,-0.474211,-0.004041,0.000045,0.0,0.0,76.64870568961467,78.45712255696188,0.006105,0.010202,6506.6,6113.9,0.017660,0.000000,0.000000,0.5000,1.0000,,,,,
