time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,21.003689,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000092,-0.000761,0.000107,0.000357,0.000000,0.141561,0.000000,0,0,21.004259,0.000000,0.000000,0.000000
0.204000,0.055295,0.000015,1.522611,0.000525,-0.000029,0.000680,0.000371,0.000000,0.244434,0.000000,0,0,21.004388,0.000000,0.000000,0.000000
0.306000,0.055218,0.000050,1.263977,0.000582,0.000218,0.002885,0.000420,0.000000,0.370118,0.000000,0,0,21.004466,0.000000,0.000000,0.000000
0.408000,0.055172,0.000134,0.902700,0.000363,-0.000003,0.009421,0.000443,0.000000,0.510181,0.000000,0,0,21.004513,0.000000,0.000000,0.000000
0.510000,0.058670,-0.000462,0.536105,0.053787,0.091666,-0.008926,0.011062,0.000000,0.659195,0.000000,0,0,21.001007,0.000000,0.000000,0.000000
0.612000,0.063249,-0.000371,0.543966,-0.019441,-0.056458,0.007811,0.004589,0.000000,0.780589,0.000000,0,0,20.996429,0.000000,0.000000,0.000000
0.714000,0.060714,0.001544,0.649076,0.036122,0.010388,0.022387,-0.012347,0.000000,0.851969,0.000000,0,0,20.998993,0.000000,0.000000,0.000000
0.816000,0.065930,0.003389,0.662406,0.134309,0.129624,-0.013021,0.011064,0.000000,0.904921,0.000000,0,0,20.993804,0.000000,0.000000,0.000000
0.918000,0.096378,0.001712,0.639107,0.463155,0.475221,0.014039,0.021960,0.000000,0.935852,0.000000,0,0,20.963334,0.000000,0.000000,0.000000
1.020000,0.163317,0.002471,0.639605,0.828192,0.825452,0.015018,0.000284,0.000000,0.958798,0.000000,0,0,20.896415,0.000000,0.000000,0.000000
1.122000,0.264463,0.006095,0.667438,1.157323,1.148448,0.036872,0.022195,0.000000,0.972202,0.000000,0,0,20.795335,0.000000,0.000000,0.000000
1.224000,0.395317,0.012260,0.700080,1.424955,1.421453,0.059350,0.011895,0.000000,0.982146,0.000000,0,0,20.664590,0.000000,0.000000,0.000000
1.326000,0.554583,0.019924,0.725433,1.700601,1.699298,0.066225,0.011574,0.000000,0.987954,0.000000,0,0,20.505464,0.000000,0.000000,0.000000
1.428000,0.740935,0.028052,0.739382,1.950886,1.953278,0.066185,0.015967,0.000000,0.992263,0.000000,0,0,20.319268,0.000000,0.000000,0.000000
1.530000,0.953107,0.035219,0.741003,2.192974,2.198225,0.047249,0.018012,0.000000,0.994780,0.000000,0,0,20.107245,0.000000,0.000000,0.000000
1.632000,1.190368,0.041300,0.735083,2.443747,2.449194,0.037037,0.022248,0.000000,0.996647,0.000000,0,0,19.870124,0.000000,0.000000,0.000000
1.734000,1.453722,0.047796,0.730543,2.704893,2.706167,0.037054,0.019345,0.000000,0.997738,0.000000,0,0,19.606926,0.000000,0.000000,0.000000
1.836000,1.742387,0.055447,0.734102,2.939190,2.938809,0.039965,0.018506,0.000000,0.990437,0.000000,0,0,19.318448,0.000000,0.000000,0.000000
1.938000,2.052780,0.064657,0.739889,3.138585,3.144717,0.050091,0.019227,0.000000,0.961688,0.000000,0,0,19.008284,0.000000,0.000000,0.000000
2.040000,2.383950,0.075525,0.741967,3.339607,3.340005,0.052872,0.025865,0.000000,0.910724,0.000000,0,0,18.677391,0.000000,0.000000,0.000000
2.142000,2.733810,0.086880,0.740448,3.511263,3.508497,0.039100,0.021747,0.000000,0.853932,0.000000,0,0,18.327838,0.000000,0.000000,0.000000
2.244000,3.100067,0.097922,0.733242,3.700336,3.680099,0.035374,0.001614,0.000000,0.782192,0.000000,0,0,17.961902,0.000000,0.000000,0.000000
