time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.2790,20.4380,1.1009,4.306,1,22.986,-0.338,0.429,2.9263,1.929,2.929,0,1
6.2820,20.4506,1.1042,4.306,1,22.986,-0.338,0.429,2.9170,1.929,2.929,0,1
6.2850,20.4631,1.1075,4.307,1,22.986,-0.338,0.429,2.9078,1.929,2.929,0,1
6.2880,20.4756,1.1108,4.306,1,22.986,-0.338,0.429,2.8985,1.929,2.929,0,1
6.2910,20.4881,1.1141,4.307,1,22.986,-0.338,0.429,2.8894,1.929,2.929,0,1
6.2940,20.5007,1.1174,4.306,1,22.986,-0.338,0.429,2.8802,1.929,2.929,0,1
6.2970,20.5132,1.1207,4.305,1,22.986,-0.338,0.429,2.8711,1.929,2.929,0,1
6.3000,20.5257,1.1240,4.305,1,22.986,-0.338,0.429,2.8620,1.929,2.929,0,1
6.3030,20.5382,1.1273,4.304,1,22.986,-0.338,0.429,2.8530,1.929,2.929,0,1
6.3060,20.5507,1.1306,4.303,1,22.986,-0.338,0.429,2.8440,1.929,2.929,0,1
6.3090,20.5632,1.1340,4.303,1,22.986,-0.338,0.429,2.8350,1.929,2.929,0,1
6.3120,20.5757,1.1373,4.301,1,22.986,-0.338,0.429,2.8260,1.929,2.929,0,1
6.3150,20.5882,1.1407,4.300,1,22.986,-0.338,0.429,2.8172,1.929,2.929,0,1
6.3180,20.6007,1.1440,4.301,1,22.986,-0.338,0.429,2.8083,1.929,2.929,0,1
6.3210,20.6132,1.1474,4.301,1,22.986,-0.338,0.429,2.7995,1.929,2.929,0,1
6.3240,20.6257,1.1507,4.302,1,22.986,-0.338,0.429,2.7907,1.929,2.929,0,1
6.3270,20.6382,1.1541,4.302,1,22.986,-0.338,0.429,2.7819,1.929,2.929,0,1
6.3300,20.6507,1.1575,4.303,1,22.986,-0.338,0.429,2.7732,1.929,2.929,0,1
6.3330,20.6632,1.1608,4.303,1,22.986,-0.338,0.429,2.7645,1.929,2.929,0,1
6.3360,20.6757,1.1642,4.304,1,22.986,-0.338,0.429,2.7559,1.929,2.929,0,1
6.3390,20.6882,1.1676,4.305,1,22.986,-0.338,0.429,2.7472,1.929,2.929,0,1
6.3420,20.7007,1.1710,4.305,1,22.986,-0.338,0.429,2.7387,1.929,2.929,0,1
6.3450,20.7132,1.1744,4.306,1,22.986,-0.338,0.429,2.7301,1.929,2.929,0,1
6.3480,20.7257,1.1778,4.306,1,22.986,-0.338,0.429,2.7216,1.929,2.929,0,1
6.3510,20.7382,1.1812,4.307,1,22.986,-0.338,0.429,2.7131,1.929,2.929,0,1
