sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778843167.409410,0,1.727829,0.083293,-0.000163,-0.0433,0.0076,-0.002520,1.648994,-0.000000,-0.000000,-0.0020,1.727721,0.083339,-0.000173,-0.0049,0.0000,0.000001,-0.109870,0.0000,1.727721,0.000000,-0.000000,1.2904,0.000000,2.000000,304.2212,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0501,0.0000,0.000000,0.2000,17.08,9.32,43.47,5.46,-0.000000,-0.0000,-1.2924,nan,nan,nan,nan,nan,nan,0.0,0.0,-95.41918127958269,52.19271812132797,-0.007264,-0.023900,6559.8,6060.8,-0.048512,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778843167.415512,1,1.613431,0.023412,-0.007527,-0.0628,0.0102,0.000324,1.648913,-0.000001,-0.000000,-0.0094,1.613376,0.023466,-0.007533,-0.0023,0.0001,0.000002,-0.017487,0.0000,1.613376,0.000000,0.000000,1.4653,0.000000,2.000000,305.2957,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0545,0.0000,0.000000,0.2240,15.28,8.73,39.30,5.40,-0.000001,-0.0000,-1.4746,nan,nan,nan,nan,nan,nan,0.0,0.0,-82.47216521810279,52.08993167395987,-0.010025,-0.023027,6556.6,6064.0,-0.042943,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778843167.421446,2,1.738419,0.079018,0.006645,0.0099,-0.0430,-0.000593,1.648775,-0.000002,-0.000002,-0.0125,1.738452,0.078992,0.006638,0.0004,-0.0000,-0.000001,-0.007138,0.0000,1.738452,0.000000,-0.000000,1.2702,0.000000,2.000000,320.4658,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0593,0.0000,0.000000,0.2480,13.47,7.88,34.83,3.03,-0.000002,-0.0001,-1.2826,nan,nan,nan,nan,nan,nan,0.0,0.0,-107.6252713981399,25.19960813596846,0.008933,-0.002313,6551.8,6068.7,-0.034661,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778843167.430797,3,1.665718,-0.040794,0.003623,0.0429,0.0001,0.000049,1.648627,-0.000005,-0.000003,-0.0122,1.666006,-0.040813,0.003617,0.0091,-0.0000,-0.000002,0.007785,0.0000,1.666006,0.000000,-0.000000,1.3927,0.000000,2.000000,285.3272,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0646,0.0000,0.000000,0.2720,11.53,7.13,30.20,2.89,-0.000005,-0.0002,-1.4049,nan,nan,nan,nan,nan,nan,0.0,0.0,-94.46982647910473,32.07449813304365,0.007129,-0.001878,6545.7,6074.9,-0.023890,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778843167.442684,4,1.587378,0.034336,-0.003977,-0.0716,-0.0628,-0.002227,1.648492,-0.000007,-0.000005,-0.0106,1.587588,0.034218,-0.003986,0.0079,-0.0005,-0.000023,0.027108,0.0000,1.587588,0.000000,0.000000,1.4975,0.000000,2.000000,306.8514,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0705,0.0000,0.000000,0.2960,9.88,6.48,26.24,2.82,-0.000007,-0.0003,-1.5080,nan,nan,nan,nan,nan,nan,0.0,0.0,-73.49330147231441,38.55078998742037,0.031438,0.021335,6538.7,6081.9,-0.011770,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778843167.454718,5,1.568926,0.041774,0.003590,-0.0176,0.0606,-0.000966,1.648463,-0.000004,-0.000003,0.0002,1.569083,0.041773,0.003585,0.0072,0.0001,-0.000004,0.057402,0.0000,1.569083,0.000000,0.000000,1.5196,0.000000,2.000000,294.3367,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0768,0.0000,0.000000,0.3200,8.47,5.93,22.87,2.82,-0.000004,-0.0002,-1.5194,nan,nan,nan,nan,nan,nan,0.0,0.0,-63.18655454231148,43.25581279500071,0.002507,-0.006881,6529.3,6091.3,0.004664,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778843167.466805,6,1.666620,0.018908,0.001865,-0.0667,-0.0264,0.000027,1.648468,0.000001,-0.000000,0.0002,1.666736,0.018868,0.001859,0.0063,-0.0003,-0.000023,0.074859,0.0000,1.666736,0.000000,-0.000000,1.3916,0.000000,2.000000,308.9374,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0835,0.0000,0.000000,0.3440,7.28,5.46,20.03,2.80,0.000001,-0.0000,-1.3914,nan,nan,nan,nan,nan,nan,0.0,0.0,-57.33811896958822,47.99582410047343,0.012211,0.004675,6523.4,6097.2,0.014953,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778843167.478880,7,1.670078,0.003567,0.008794,-0.0071,-0.0017,-0.001038,1.648453,0.000006,0.000003,-0.0009,1.670164,0.003532,0.008789,0.0055,-0.0004,-0.000031,0.090095,0.0000,1.670164,0.000000,-0.000000,1.3865,0.000000,2.000000,322.3546,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0906,0.0000,0.000000,0.3680,6.29,5.10,17.68,3.05,0.000006,0.0002,-1.3873,nan,nan,nan,nan,nan,nan,0.0,0.0,-50.856391308386975,48.566247466226045,0.011148,0.003744,6518.3,6102.3,0.023848,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778843167.490518,8,1.667806,-0.025199,-0.000929,-0.0181,-0.1057,0.001408,1.648434,0.000013,0.000007,-0.0008,1.667870,-0.025370,-0.000934,0.0048,-0.0033,-0.000132,0.107780,0.0000,1.667870,0.000000,-0.000000,1.3899,0.000000,2.000000,335.0119,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0981,0.0000,0.000000,0.3920,5.39,4.79,15.58,3.04,0.000013,0.0004,-1.3907,nan,nan,nan,nan,nan,nan,0.0,0.0,37.085537726717604,145.00294483939078,0.049002,0.044839,6512.7,6107.9,0.033562,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778843167.506404,9,1.573525,-0.032864,0.002413,-0.0440,0.0063,0.000923,1.648415,0.000020,0.000011,-0.0007,1.573574,-0.032987,0.002410,0.0043,-0.0031,-0.000117,0.126522,0.0000,1.573574,0.000000,0.000000,1.5143,0.000000,2.000000,280.9414,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1060,0.0000,0.000000,0.4160,4.68,4.82,14.19,5.00,0.000020,0.0006,-1.5150,0.008000,0.234941,0.1624,-0.497295,-0.017736,0.002154,0.0,0.0,15.297264006360024,124.24554465513864,0.036509,0.034327,6507.1,6113.5,0.043358,0.000000,0.000000,0.5000,1.0000,,,,,
