sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778843510.149268,0,1.579046,0.093637,0.001524,0.0091,0.0893,-0.000562,1.648994,-0.000000,-0.000000,-0.0020,1.579335,0.094376,0.001537,0.0040,0.0004,0.000016,-0.114630,0.0000,1.579335,0.000000,0.000000,5.0000,0.000000,2.000000,3416.7840,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0721,0.0000,0.000000,0.2000,17.07,9.26,43.41,5.09,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-822.6038840698254,-1078.9250704224432,-0.174940,-0.178536,6561.0,6059.6,-0.020239,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778843510.155053,1,1.652772,-0.027428,-0.013305,0.0260,0.0857,0.000203,1.648913,-0.000001,-0.000000,-0.0094,1.653212,-0.026703,-0.013292,0.0099,0.0007,0.000028,-0.022906,0.0000,1.653212,0.000000,0.000000,5.0000,0.000000,2.000000,3344.6073,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0783,0.0000,0.000000,0.2240,15.21,8.75,39.17,5.82,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-816.9799849020942,-1058.089808185305,-0.174042,-0.176692,6557.9,6062.7,-0.018059,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778843510.161453,2,1.507862,0.001671,0.006974,-0.0388,0.0249,0.000733,1.648775,-0.000002,-0.000002,-0.0125,1.508175,0.002300,0.006986,0.0083,0.0009,0.000039,-0.011883,0.0000,1.508175,0.000000,0.000000,5.0000,0.000000,2.000000,3342.8177,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0852,0.0000,0.000000,0.2480,13.40,7.89,34.69,3.01,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-546.7970217878908,-809.080982526877,-0.150726,-0.151965,6553.0,6067.6,-0.014651,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778843510.170817,3,1.557316,-0.027477,-0.003041,0.0444,0.0005,-0.000008,1.648627,-0.000004,-0.000003,-0.0120,1.557813,-0.026977,-0.003031,0.0158,0.0014,0.000056,0.003516,0.0000,1.557813,0.000000,0.000000,5.0000,0.000000,2.000000,3343.2522,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0929,0.0000,0.000000,0.2720,11.47,7.14,30.09,2.89,-0.000004,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,-249.6000959301975,-517.9750810781738,-0.122080,-0.123097,6546.7,6073.9,-0.010268,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778843510.182840,4,1.615676,0.005406,-0.013229,-0.0047,0.0026,0.000078,1.648492,-0.000007,-0.000005,-0.0106,1.616037,0.005803,-0.013222,0.0133,0.0018,0.000073,0.023484,0.0000,1.616037,0.000000,0.000000,5.0000,0.000000,2.000000,3345.5317,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1012,0.0000,0.000000,0.2960,9.84,6.49,26.17,2.82,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-82.23618607226611,-305.6399528910749,-0.099678,-0.100403,6539.6,6081.0,-0.005322,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778843510.194908,5,1.712924,-0.018801,0.003797,-0.0585,0.0424,-0.000204,1.648465,-0.000004,-0.000003,0.0004,1.713186,-0.018419,0.003804,0.0118,0.0027,0.000107,0.065926,0.0000,1.713186,0.000000,-0.000000,5.0000,0.000000,2.000000,3361.1888,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1102,0.0000,0.000000,0.3200,8.46,5.97,22.88,3.00,-0.000004,-0.0002,-4.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,-75.32483124910678,-269.69640418037716,-0.096653,-0.097496,6527.1,6093.4,0.003374,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778843510.208496,6,1.755730,0.029772,0.002845,0.0201,-0.0277,0.000193,1.648468,0.000001,-0.000000,0.0002,1.756000,0.030032,0.002850,0.0139,0.0027,0.000102,0.083745,0.0000,1.756000,-0.000000,-0.000000,5.0000,0.000000,2.000000,3372.3079,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1198,0.0000,0.000000,0.3440,7.28,5.57,20.14,3.31,0.000001,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,31.564198230250454,-66.70812876718036,-0.067467,-0.067905,6521.2,6099.4,0.007535,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778843510.219131,7,1.629192,0.055808,0.004145,-0.0076,0.0306,0.000020,1.648452,0.000007,0.000003,-0.0008,1.629387,0.056055,0.004149,0.0116,0.0035,0.000132,0.098082,0.0000,1.629387,0.000000,0.000000,5.0000,0.000000,2.000000,3376.7474,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1300,0.0000,0.000000,0.3680,6.27,5.31,17.84,3.82,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,32.26538964271923,-58.17660931822302,-0.066245,-0.066573,6516.3,6104.3,0.010924,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778843510.230981,8,1.724360,-0.016905,0.001923,0.0497,0.0460,0.000723,1.648434,0.000014,0.000007,-0.0008,1.724659,-0.016648,0.001928,0.0194,0.0049,0.000173,0.115786,0.0000,1.724659,0.000000,-0.000000,5.0000,0.000000,2.000000,3366.8572,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1407,0.0000,0.000000,0.3920,5.40,4.96,15.77,2.97,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,20.423972889451036,-77.55249594825494,-0.071637,-0.070982,6510.8,6109.8,0.014752,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778843510.246818,9,1.664309,0.042620,-0.002092,0.0211,-0.0073,-0.000163,1.648415,0.000021,0.000011,-0.0007,1.664585,0.042808,-0.002088,0.0202,0.0047,0.000162,0.134058,0.0000,1.664585,0.000000,-0.000000,5.0000,0.000000,2.000000,3359.5831,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.4160,4.67,4.66,14.00,2.99,0.000021,0.0006,-5.0007,0.008000,0.062529,-0.1895,-0.481540,0.027403,0.003257,0.0,0.0,39.85264354629183,-8.594910406276057,-0.054906,-0.054584,6505.3,6115.3,0.018623,0.000000,0.000000,0.5000,1.0000,,,,,
