step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.000,0.066,0.73,3.151,0.00,3,18,27.00,7.54,+0.000,0.966,0.000,+0.000,0.966,0.000,0,9.429,7.82,0.000
40,9.838,0.049,-0.81,4.232,-0.23,4,18,27.00,7.45,-0.008,0.351,0.000,-0.008,0.351,0.000,0,2.660,7.80,0.000
47,12.761,0.003,-0.70,4.205,2.10,4,18,27.00,7.46,+0.075,0.372,0.000,+0.146,0.380,0.000,1,0.615,48.81,0.001
48,13.178,0.009,-0.43,4.215,2.95,4,18,27.00,7.45,+0.105,0.395,0.000,+0.143,0.390,0.000,1,0.156,47.30,0.001
49,13.595,0.021,0.00,4.216,3.08,4,18,27.00,7.45,+0.110,0.415,0.000,+0.162,0.421,0.000,1,-0.164,47.18,0.000
50,14.012,0.037,0.46,4.221,4.05,4,18,27.00,7.45,+0.144,0.434,0.000,+0.134,0.440,0.000,1,-0.055,47.82,0.000
51,14.430,0.054,0.95,4.236,4.12,4,18,27.00,7.45,+0.147,0.450,0.000,+0.129,0.455,0.000,1,0.144,47.39,0.001
52,14.849,0.073,1.41,4.246,6.26,4,18,27.00,7.35,+0.223,0.467,0.000,+0.242,0.462,0.000,1,-0.025,47.23,0.000
53,15.269,0.094,1.92,4.235,6.99,4,18,27.00,7.28,+0.249,0.480,0.000,+0.255,0.477,0.000,1,0.053,47.33,0.000
54,15.686,0.123,2.70,4.217,7.55,4,18,27.00,7.22,+0.269,0.493,0.000,+0.279,0.495,0.000,1,-0.129,47.63,0.000
55,16.102,0.161,3.52,4.207,7.79,4,18,27.00,7.20,+0.277,0.507,0.000,+0.269,0.501,0.000,1,0.354,47.43,0.000
56,16.515,0.210,4.32,4.191,7.55,4,18,27.00,7.22,+0.269,0.525,0.000,+0.276,0.518,0.000,1,0.042,47.60,0.001
57,16.926,0.269,5.14,4.191,7.29,4,18,27.00,7.25,+0.260,0.543,0.000,+0.270,0.544,0.000,1,-0.028,47.19,0.000
58,17.337,0.333,6.07,4.196,6.78,4,18,27.00,7.30,+0.242,0.562,0.000,+0.244,0.564,0.000,1,-0.091,47.61,0.000
59,17.748,0.402,6.91,4.203,6.51,4,18,27.00,7.33,+0.232,0.580,0.000,+0.272,0.590,0.000,1,-0.093,47.45,0.001
60,18.158,0.475,7.80,4.197,7.25,4,18,27.00,7.26,+0.258,0.599,0.000,+0.279,0.591,0.000,1,-0.159,47.06,0.001
61,18.567,0.554,8.70,4.207,6.52,4,18,27.00,7.33,+0.232,0.616,0.000,+0.262,0.614,0.000,1,-0.233,47.22,0.003
62,18.975,0.640,9.61,4.209,8.20,4,18,27.00,7.15,+0.292,0.632,0.000,+0.320,0.635,0.000,1,-0.229,47.72,0.003
63,19.382,0.733,10.51,4.204,7.13,4,18,27.00,7.27,+0.254,0.649,0.000,+0.286,0.648,0.000,1,-0.244,47.27,0.004
64,19.786,0.835,11.48,4.204,5.27,4,18,27.00,7.44,+0.188,0.667,0.000,+0.213,0.657,0.000,1,-0.301,47.33,0.011
65,20.191,0.942,12.34,4.219,4.30,5,18,27.00,7.45,+0.153,0.683,0.000,+0.212,0.685,0.000,1,-0.345,47.97,0.015
66,20.595,1.053,13.08,4.234,3.94,5,18,27.00,7.45,+0.140,0.698,0.000,+0.176,0.700,0.000,1,-0.377,47.65,0.022
67,20.999,1.168,13.78,4.240,2.24,5,18,27.00,7.45,+0.080,0.712,0.000,+0.115,0.724,0.000,1,-0.408,47.72,0.031
68,21.403,1.285,14.39,4.249,1.09,5,18,27.00,7.45,+0.039,0.728,0.000,+0.120,0.741,0.000,1,-0.420,47.75,0.047
69,21.808,1.403,14.85,4.260,1.58,5,18,27.00,7.45,+0.056,0.741,0.000,+0.104,0.735,0.000,1,-0.418,47.39,0.041
70,22.213,1.522,15.27,4.271,-1.45,5,18,27.00,7.45,-0.052,0.754,0.000,+0.140,0.752,0.000,1,-0.417,48.11,0.040
71,22.619,1.643,15.66,4.282,-2.54,5,18,27.00,7.45,-0.090,0.766,0.000,+0.160,0.762,0.000,1,-0.407,47.85,0.036
72,23.025,1.768,16.16,4.298,-5.54,5,18,27.00,7.41,-0.197,0.778,0.000,+0.057,0.813,0.000,1,-0.499,47.66,0.066
73,23.431,1.897,16.60,4.307,-6.52,5,18,27.00,7.32,-0.232,0.788,0.000,+0.520,0.716,0.000,1,-0.495,47.39,0.191
74,23.837,2.027,16.86,4.293,-10.17,5,18,27.00,6.92,-0.362,0.795,0.000,+0.575,0.765,0.000,1,-0.504,47.88,0.609
75,24.236,2.171,17.78,4.266,-13.94,5,18,27.00,6.46,-0.497,0.803,0.000,+0.370,0.850,0.000,1,-0.503,47.84,0.205
76,24.627,2.328,19.01,4.261,-19.68,5,18,27.00,5.81,-0.701,0.815,0.000,+0.135,0.792,0.000,1,-0.505,47.89,0.406
77,25.016,2.493,20.04,4.271,-24.79,5,18,27.00,5.30,-0.883,0.825,0.000,-0.637,0.725,0.000,1,-0.465,47.64,0.186
78,25.405,2.660,20.74,4.278,-28.07,5,18,27.00,5.01,-1.000,0.833,0.000,-0.870,0.713,0.000,1,-0.460,47.90,1.846
79,25.797,2.815,20.49,4.215,-28.07,5,18,27.00,5.01,-1.000,0.843,0.000,-0.794,0.742,0.000,1,-0.412,47.68,3.867
80,26.189,2.945,19.64,4.139,-28.07,5,18,27.00,5.01,-1.000,0.859,0.000,-0.572,0.852,0.000,1,-0.499,47.04,5.696
81,26.582,3.054,18.42,4.109,-28.07,5,18,27.00,5.01,-1.000,0.881,0.000,-0.434,0.735,0.000,1,-0.384,47.47,7.358
82,26.981,3.148,17.23,4.149,-26.80,5,18,27.00,5.12,-0.955,0.904,0.000,-0.284,0.863,0.000,1,-0.472,47.54,5.958
83,27.386,3.238,16.28,4.207,-27.31,5,18,27.00,5.08,-0.973,0.924,0.000,-0.299,0.749,0.000,1,-0.416,47.37,4.900
84,27.796,3.325,15.35,4.234,-24.85,5,18,27.00,5.30,-0.885,0.940,0.000,-0.643,0.817,0.000,1,-0.227,47.13,1.442
85,28.208,3.409,14.32,4.224,-28.02,5,18,27.00,5.01,-0.998,0.948,0.000,-0.793,0.889,0.000,1,-0.481,47.34,1.898
86,28.622,3.480,12.79,4.204,-26.57,5,18,27.00,5.14,-0.946,0.956,0.000,-0.546,0.768,0.000,1,-0.432,47.45,1.598
87,29.035,3.532,10.92,4.169,-26.96,5,18,27.00,5.11,-0.960,0.968,0.000,-0.667,0.824,0.000,1,-0.434,47.70,2.521
88,29.447,3.567,9.27,4.145,-27.54,5,18,27.00,5.06,-0.981,0.980,0.000,-0.640,0.763,0.000,1,-0.391,47.00,1.416
89,29.859,3.585,7.55,4.133,-25.72,5,18,27.00,5.22,-0.916,0.987,0.000,-0.657,0.907,0.000,1,-0.444,47.15,0.728
90,30.270,3.589,5.81,4.137,-21.16,5,18,27.00,5.66,-0.754,0.991,0.000,-0.702,0.847,0.000,1,-0.143,47.36,0.009
91,30.682,3.579,3.97,4.134,-17.81,5,18,27.00,6.02,-0.634,0.994,0.000,-0.637,0.953,0.000,1,-0.002,47.21,0.005
92,31.093,3.556,1.97,4.134,-15.87,5,18,27.00,6.24,-0.565,0.996,0.000,-0.551,0.978,0.000,1,-0.072,47.91,0.004
93,31.502,3.520,0.04,4.134,-12.71,5,18,27.00,6.62,-0.453,0.998,0.000,-0.433,0.990,0.000,1,0.108,47.41,0.000
94,31.912,3.474,-1.75,4.158,-10.60,5,18,27.00,6.88,-0.378,0.998,0.000,-0.381,0.997,0.000,1,0.093,47.70,0.000
95,32.321,3.420,-3.25,4.162,-5.82,5,18,27.00,7.39,-0.207,0.999,0.000,-0.212,1.000,0.000,1,0.227,47.50,0.000
99,33.970,3.228,-5.23,4.201,2.49,5,18,27.00,7.46,+0.089,1.000,0.000,+0.087,1.000,0.000,1,0.402,47.49,0.000
100,34.385,3.198,-4.92,4.209,3.64,5,18,27.00,7.46,+0.130,1.000,0.000,+0.132,1.000,0.000,1,0.420,47.26,0.000
101,34.801,3.174,-4.60,4.219,2.05,5,18,27.00,7.45,+0.073,1.000,0.000,+0.071,1.000,0.000,1,0.424,47.70,0.000
102,35.219,3.153,-4.26,4.232,2.90,5,18,27.00,7.45,+0.103,1.000,0.000,+0.102,1.000,0.000,1,0.481,47.82,0.000
107,37.336,3.068,-2.35,4.306,1.56,5,18,27.00,7.45,+0.056,1.000,0.000,+0.054,0.999,0.000,1,1.523,47.89,0.000
110,38.616,3.046,-1.57,4.312,1.63,5,18,27.00,7.45,+0.058,1.000,0.000,+0.055,1.000,0.000,1,2.114,48.12,0.000
111,39.043,3.042,-1.30,4.327,0.65,5,18,27.00,7.45,+0.023,1.000,0.000,+0.021,1.000,0.000,1,0.966,48.55,0.000
112,39.471,3.039,-1.11,4.316,1.14,5,18,27.00,7.45,+0.041,1.000,0.000,+0.043,1.000,0.000,1,1.211,49.12,0.000
113,39.898,3.036,-0.99,4.321,-0.20,5,18,27.00,7.45,-0.007,1.000,0.000,-0.004,1.000,0.000,1,1.691,49.09,0.000
114,40.327,3.033,-0.83,4.345,0.76,5,18,27.00,7.44,+0.027,1.000,0.000,+0.025,1.000,0.000,1,1.443,49.61,0.000
115,40.757,3.028,-0.73,4.345,1.41,5,18,27.00,7.44,+0.050,1.000,0.000,+0.047,1.000,0.000,1,2.196,48.70,0.000
116,41.187,3.025,-0.62,4.339,1.08,5,18,27.00,7.44,+0.038,1.000,0.000,+0.037,1.000,0.000,1,1.630,48.32,0.000
119,42.474,3.021,-0.16,4.340,-1.02,5,18,27.00,7.44,-0.036,1.000,0.000,-0.038,1.000,0.000,1,1.197,48.39,0.000
120,42.905,3.019,-0.16,4.357,1.01,5,18,27.00,7.44,+0.036,1.000,0.000,+0.037,0.999,0.000,1,1.057,47.85,0.000
122,43.771,3.016,-0.15,4.381,0.45,5,18,27.00,7.44,+0.016,1.000,0.000,+0.014,1.000,0.000,1,1.052,48.16,0.000
