sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778915801.075899,0,1.662905,0.004393,0.002914,-0.0521,0.0328,-0.001163,1.648994,-0.000000,-0.000000,-0.0020,1.662794,0.004657,0.002915,-0.0050,0.0001,0.000006,-0.112798,0.0000,1.662794,0.000000,-0.000000,1.3974,0.000000,2.000000,334.8631,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0508,0.0000,0.000000,0.2000,17.08,9.34,43.50,5.57,-0.000000,-0.0000,-1.3995,nan,nan,nan,nan,nan,nan,0.0,0.0,66.84697222655647,-14.66412585082982,-0.061902,-0.069552,6560.5,6060.0,-0.049804,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778915801.082144,1,1.649950,-0.038288,-0.000015,0.0075,-0.0374,-0.000040,1.648913,-0.000001,-0.000000,-0.0094,1.649950,-0.038135,-0.000016,-0.0009,0.0001,0.000006,-0.020115,0.0000,1.649950,0.000000,0.000000,1.4160,0.000000,2.000000,284.9684,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0552,0.0000,0.000000,0.2240,15.31,8.77,39.38,5.56,-0.000001,-0.0000,-1.4254,nan,nan,nan,nan,nan,nan,0.0,0.0,4.574521989901868,56.50381938870784,-0.035483,-0.041721,6557.3,6063.3,-0.044159,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778915801.088343,2,1.597852,0.050774,0.005485,-0.0150,0.1004,0.001154,1.648775,-0.000002,-0.000002,-0.0125,1.597856,0.051059,0.005489,-0.0005,0.0004,0.000017,-0.009274,0.0000,1.597856,0.000000,0.000000,1.4849,0.000000,2.000000,316.1402,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0601,0.0000,0.000000,0.2480,13.60,7.92,35.11,3.09,-0.000002,-0.0001,-1.4973,nan,nan,nan,nan,nan,nan,0.0,0.0,74.54997565987622,-35.517453377094256,-0.068103,-0.071648,6552.5,6068.0,-0.035854,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778915801.096869,3,1.662702,-0.019504,0.003236,-0.0309,0.0130,-0.001302,1.648627,-0.000004,-0.000003,-0.0121,1.662713,-0.019259,0.003239,0.0001,0.0006,0.000026,0.005420,0.0000,1.662713,0.000000,-0.000000,1.3976,0.000000,2.000000,282.2960,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0655,0.0000,0.000000,0.2720,11.63,7.16,30.42,2.86,-0.000004,-0.0002,-1.4096,nan,nan,nan,nan,nan,nan,0.0,0.0,70.88337503790054,-11.716692312216608,-0.059180,-0.063700,6546.4,6074.2,-0.025139,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778915801.108927,4,1.642784,-0.009873,-0.006778,-0.0132,-0.0679,0.002633,1.648492,-0.000007,-0.000005,-0.0105,1.642801,-0.009780,-0.006777,0.0007,0.0004,0.000016,0.025833,0.0000,1.642801,0.000000,0.000000,1.4260,0.000000,2.000000,283.2099,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0714,0.0000,0.000000,0.2960,9.97,6.51,26.44,2.83,-0.000007,-0.0003,-1.4365,nan,nan,nan,nan,nan,nan,0.0,0.0,-16.35324502563101,48.21196083126064,-0.023132,-0.023425,6539.1,6081.4,-0.012516,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778915801.120955,5,1.637533,0.096297,-0.008341,0.0494,-0.0417,0.000276,1.648464,-0.000004,-0.000003,0.0001,1.637779,0.096305,-0.008341,0.0108,0.0001,0.000003,0.050736,0.0000,1.637779,0.000000,0.000000,1.4330,0.000000,2.000000,286.7516,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0777,0.0000,0.000000,0.3200,8.56,5.95,23.06,2.78,-0.000004,-0.0002,-1.4329,nan,nan,nan,nan,nan,nan,0.0,0.0,-59.170227292591306,43.017826021512676,-0.002690,-0.002573,6531.1,6089.5,0.001542,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778915801.132913,6,1.742920,-0.029240,0.001553,0.0692,-0.0194,0.002590,1.648468,0.000001,-0.000000,0.0003,1.743375,-0.029257,0.001554,0.0226,-0.0002,-0.000003,0.068205,0.0000,1.743375,0.000000,-0.000000,1.2606,0.000000,2.000000,333.1525,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0844,0.0000,0.000000,0.3440,7.35,5.48,20.18,2.78,0.000001,-0.0000,-1.2604,nan,nan,nan,nan,nan,nan,0.0,0.0,-58.872737147378764,48.556178488439585,0.003735,0.007140,6525.2,6095.4,0.011876,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778915801.145005,7,1.647375,-0.057630,0.001486,0.0144,0.0194,0.000995,1.648453,0.000006,0.000003,-0.0009,1.647751,-0.057614,0.001489,0.0214,0.0002,0.000015,0.082449,0.0000,1.647751,0.000000,0.000000,1.4191,0.000000,2.000000,301.6404,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0916,0.0000,0.000000,0.3680,6.34,5.10,17.78,2.98,0.000006,0.0002,-1.4200,nan,nan,nan,nan,nan,nan,0.0,0.0,-46.66102955056269,44.41494127219164,-0.005109,-0.001091,6520.3,6100.3,0.020371,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778915801.156818,8,1.599492,0.024147,0.001556,-0.0655,0.0582,0.000726,1.648434,0.000013,0.000007,-0.0008,1.599762,0.024241,0.001560,0.0176,0.0017,0.000077,0.100766,0.0000,1.599762,0.000000,0.000000,1.4825,0.000000,2.000000,289.3357,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0991,0.0000,0.000000,0.3920,5.45,4.79,15.69,3.02,0.000013,0.0004,-1.4833,nan,nan,nan,nan,nan,nan,0.0,0.0,-11.05313152292284,15.647722427858724,-0.027095,-0.022930,6514.6,6106.0,0.030361,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778915801.171143,9,1.591687,-0.021039,0.009816,-0.0384,0.0741,-0.002215,1.648415,0.000020,0.000011,-0.0007,1.591882,-0.020869,0.009819,0.0146,0.0042,0.000147,0.119516,0.0000,1.591882,0.000000,0.000000,1.4922,0.000000,2.000000,290.6187,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1070,0.0000,0.000000,0.4160,4.70,4.62,14.01,3.65,0.000020,0.0006,-1.4929,0.008000,0.123833,0.4000,-0.486863,0.024461,0.000883,0.0,0.0,10.484972163218814,-55.136908977304664,-0.049138,-0.048609,6508.9,6111.7,0.040244,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778915801.180855,10,1.547861,-0.023951,0.004850,0.0255,0.0398,-0.000198,1.648397,0.000026,0.000015,-0.0006,1.548068,-0.023770,0.004853,0.0171,0.0056,0.000189,0.138929,0.0000,1.548068,0.000000,0.000000,1.5440,0.000000,2.000000,276.0087,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1153,0.0000,0.000000,0.4400,4.06,4.38,12.50,3.02,0.000026,0.0008,-1.5446,0.008000,0.152749,0.2721,-0.484471,0.027425,-0.001132,0.0,0.0,-2.3705981884421305,-92.70501273941721,-0.054879,-0.054705,6503.2,6117.3,0.050093,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778915801.192849,11,1.626408,0.006962,0.008645,-0.0008,0.0011,0.000075,1.648380,0.000033,0.000018,-0.0005,1.626559,0.007104,0.008647,0.0142,0.0054,0.000160,0.156764,0.0000,1.626559,0.000000,0.000000,1.4481,0.000000,2.000000,320.4681,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1239,0.0000,0.000000,0.4640,3.52,4.16,11.21,2.95,0.000033,0.0011,-1.4486,0.008000,0.049282,0.1968,-0.487477,0.022338,0.002829,0.0,0.0,-28.548924560104496,-76.96775326394567,-0.044761,-0.044524,6498.0,6122.5,0.059132,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778915801.204892,12,1.715016,-0.030429,0.003897,-0.0226,0.0060,0.000034,1.648364,0.000040,0.000023,-0.0004,1.715128,-0.030314,0.003898,0.0118,0.0054,0.000157,0.175586,0.0000,1.715128,0.000000,-0.000000,1.3131,0.000000,2.000000,308.2050,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1328,0.0000,0.000000,0.4880,3.07,3.98,10.11,2.95,0.000040,0.0013,-1.3135,0.008000,0.011554,0.0386,-0.490443,0.019175,0.000188,0.0,0.0,-54.78270278286058,-75.61748027043755,-0.038444,-0.038210,6492.7,6127.9,0.068434,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778915801.216960,13,1.605540,0.084629,0.006541,-0.0925,0.0821,0.001154,1.648349,0.000047,0.000027,-0.0003,1.605623,0.084809,0.006544,0.0099,0.0098,0.000303,0.194033,0.0000,1.605623,0.000000,0.000000,1.4751,0.000000,2.000000,332.1431,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1420,0.0000,0.000000,0.5120,2.69,3.82,9.20,2.88,0.000047,0.0015,-1.4755,0.008000,0.128985,0.7525,-0.494439,0.031354,-0.001593,0.0,0.0,-62.09991737881245,-174.61525594106618,-0.063425,-0.061767,6487.6,6133.0,0.077403,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778915801.228865,14,1.748789,-0.016531,-0.000653,0.0038,0.1120,-0.000107,1.648334,0.000055,0.000031,-0.0002,1.748859,-0.016277,-0.000649,0.0090,0.0163,0.000464,0.212081,0.0000,1.748859,0.000000,-0.000000,1.2498,0.000000,2.000000,284.3272,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1515,0.0000,0.000000,0.5360,2.36,3.68,8.39,2.88,0.000055,0.0018,-1.2500,0.008000,0.127663,0.4464,-0.497771,0.046957,0.001215,0.0,0.0,-121.12829976636696,-353.422246831751,-0.094216,-0.093021,6482.6,6138.0,0.086107,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778915801.241000,15,1.697090,0.012792,-0.010313,0.0541,-0.0092,0.001158,1.648320,0.000062,0.000035,-0.0002,1.697227,0.012978,-0.010309,0.0181,0.0136,0.000409,0.229943,0.0000,1.697227,0.000000,-0.000000,1.3437,0.000000,2.000000,300.3449,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1612,0.0000,0.000000,0.5600,2.10,3.57,7.76,2.98,0.000062,0.0020,-1.3438,0.008000,0.105660,-0.6831,-0.490454,0.036086,-0.000169,0.0,0.0,-113.35637036932319,-252.03619900914163,-0.073224,-0.070784,6477.7,6142.8,0.094581,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778915801.252931,16,1.752581,-0.027780,-0.001179,-0.0766,0.0107,0.000961,1.648307,0.000070,0.000039,-0.0001,1.752684,-0.027625,-0.001175,0.0150,0.0127,0.000307,0.247687,0.0000,1.752684,-0.000000,-0.000000,1.2421,0.000000,2.000000,291.2585,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1712,0.0000,0.000000,0.5840,1.86,3.47,7.19,2.87,0.000070,0.0022,-1.2422,0.008000,0.061662,-0.1611,-0.495046,0.031170,-0.000945,0.0,0.0,-136.82594073052368,-226.1386366856302,-0.063800,-0.060607,6472.9,6147.6,0.102923,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778915801.267653,17,1.736023,-0.086552,-0.002107,0.0151,-0.0551,-0.000871,1.648295,0.000079,0.000044,-0.0000,1.736121,-0.086484,-0.002105,0.0153,0.0063,0.000162,0.265362,0.0000,1.736121,0.000000,-0.000000,1.2746,0.000000,2.000000,297.6554,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1815,0.0000,0.000000,0.6080,1.65,3.40,6.71,3.02,0.000079,0.0025,-1.2747,0.008000,0.139859,-0.2037,-0.496517,0.014473,0.001333,0.0,0.0,-174.35124783729236,-123.46311830386298,-0.029647,-0.028178,6468.2,6152.4,0.111184,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778915801.276853,18,1.659998,-0.036855,-0.002969,-0.0150,0.0639,-0.001013,1.648284,0.000087,0.000048,0.0000,1.660073,-0.036748,-0.002968,0.0127,0.0110,0.000188,0.282042,0.0000,1.660073,0.000000,-0.000000,1.4014,0.000000,2.000000,294.7063,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1920,0.0000,0.000000,0.6320,1.47,3.34,6.29,3.02,0.000087,0.0028,-1.4014,0.008000,0.023627,-0.7233,-0.501016,0.024040,0.001620,0.0,0.0,-193.91564080047425,-211.0588594219568,-0.047991,-0.048099,6463.8,6156.8,0.118927,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778915801.288825,19,1.638873,-0.033643,-0.003059,-0.0106,0.0362,0.001362,1.648273,0.000096,0.000053,0.0001,1.638932,-0.033529,-0.003057,0.0106,0.0126,0.000299,0.298414,0.0000,1.638932,0.000000,0.000000,1.4314,0.000000,2.000000,301.5677,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2027,0.0000,0.000000,0.6560,1.32,3.26,5.89,2.78,0.000096,0.0030,-1.4313,0.008000,0.040696,-0.4511,-0.505074,0.026384,0.000643,0.0,0.0,-218.20538731472922,-242.44395144222125,-0.053515,-0.051866,6459.4,6161.1,0.126481,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778915801.300885,20,1.595551,0.064502,-0.001360,0.0252,-0.0284,0.001185,1.648263,0.000106,0.000057,0.0001,1.595624,0.064569,-0.001358,0.0137,0.0079,0.000268,0.314403,0.0000,1.595624,0.000000,0.000000,1.4876,0.000000,2.000000,325.1518,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2136,0.0000,0.000000,0.6800,1.20,3.18,5.57,2.74,0.000106,0.0033,-1.4875,0.008000,0.100310,-0.5605,-0.503680,0.015788,0.002679,0.0,0.0,-245.94046043374348,-171.43755973429847,-0.032938,-0.030094,6455.2,6165.4,0.133833,0.000000,0.000000,0.5000,1.0000,,,,,
