experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,5.0,0,851,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0001_mppi_with_seeds_clay_sinusoidal_v5_b0_s851,ok,0,14.51323103904724,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0001_mppi_with_seeds_clay_sinusoidal_v5_b0_s851/20260515_055706_363577_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0001_mppi_with_seeds_clay_sinusoidal_v5_b0_s851/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0001_mppi_with_seeds_clay_sinusoidal_v5_b0_s851/mppi_shield_log.csv,853,0.9700382060119188,3.360323,0.4947619446064139,3.2036116618075803,4.384775,0.6407223323615161,5.261864009378663,6.2048000000000005,34.6033031451278,34.770823,-3.45498,0,2,0.0627999999999997,53.3,0.2533676470588235,0.1853970588235294,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0001_mppi_with_seeds_clay_sinusoidal_v5_b0_s851/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,5.0,4,850,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0002_mppi_with_seeds_clay_sinusoidal_v5_b4_s850,ok,0,14.813239336013794,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0002_mppi_with_seeds_clay_sinusoidal_v5_b4_s850/20260515_055720_890962_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0002_mppi_with_seeds_clay_sinusoidal_v5_b4_s850/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0002_mppi_with_seeds_clay_sinusoidal_v5_b4_s850/mppi_shield_log.csv,873,1.5071650691789893,3.653472,0.8503191940509915,3.103375637393768,4.504275,0.6206751274787535,5.255841924398625,6.1656,33.64593862776081,34.696143,0.725706,0,2,0.1303,46.7,0.5918333333333334,0.15795,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0002_mppi_with_seeds_clay_sinusoidal_v5_b4_s850/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,5.0,4,851,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0003_mppi_with_seeds_clay_sinusoidal_v5_b4_s851,ok,0,14.811005115509031,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0003_mppi_with_seeds_clay_sinusoidal_v5_b4_s851/20260515_055735_719152_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0003_mppi_with_seeds_clay_sinusoidal_v5_b4_s851/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0003_mppi_with_seeds_clay_sinusoidal_v5_b4_s851/mppi_shield_log.csv,801,0.9474926019304806,3.401612,0.467188503154574,3.158356151419558,4.398455,0.6316712302839116,6.697415730337079,9.22,34.81432560175,35.003623,-3.388328,0,2,0.0344999999999999,54.9,0.2534999999999999,0.1726714285714285,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0003_mppi_with_seeds_clay_sinusoidal_v5_b4_s851/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,7.0,0,850,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0004_mppi_with_seeds_clay_sinusoidal_v7_b0_s850,ok,0,14.512648344039915,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0004_mppi_with_seeds_clay_sinusoidal_v7_b0_s850/20260515_055750_563219_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0004_mppi_with_seeds_clay_sinusoidal_v7_b0_s850/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0004_mppi_with_seeds_clay_sinusoidal_v7_b0_s850/mppi_shield_log.csv,872,1.4192521808012604,3.376912,0.8390653517730496,3.182845673758865,4.437119999999999,0.4546922391084093,5.200814220183486,6.102899999999999,34.2914930547952,35.416954,0.518303,0,2,0.0036,48.4,0.5973064516129033,0.1900322580645161,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0004_mppi_with_seeds_clay_sinusoidal_v7_b0_s850/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,7.0,0,851,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0005_mppi_with_seeds_clay_sinusoidal_v7_b0_s851,ok,0,14.464267492294312,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0005_mppi_with_seeds_clay_sinusoidal_v7_b0_s851/20260515_055805_097410_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0005_mppi_with_seeds_clay_sinusoidal_v7_b0_s851/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0005_mppi_with_seeds_clay_sinusoidal_v7_b0_s851/mppi_shield_log.csv,858,0.9195374972068636,3.267363,0.4777961259044861,3.1812924746743856,4.41265,0.4544703535249122,5.212086247086246,6.295799999999997,34.389255043578345,34.567737,-3.461633,0,2,0.0381,53.3,0.2619264705882353,0.1810735294117647,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0005_mppi_with_seeds_clay_sinusoidal_v7_b0_s851/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,7.0,4,850,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0006_mppi_with_seeds_clay_sinusoidal_v7_b4_s850,ok,0,14.863246202468872,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0006_mppi_with_seeds_clay_sinusoidal_v7_b4_s850/20260515_055819_613945_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0006_mppi_with_seeds_clay_sinusoidal_v7_b4_s850/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0006_mppi_with_seeds_clay_sinusoidal_v7_b4_s850/mppi_shield_log.csv,836,0.3884536550446623,0.764702,0.2739600597907324,2.240863976083707,3.9655,0.3201234251548152,6.457224880382775,9.3265,23.51767248204713,24.281681,-0.844799,0,3,0.2225000000000001,48.4,0.293483870967742,0.5066612903225806,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0006_mppi_with_seeds_clay_sinusoidal_v7_b4_s850/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,sinusoidal,7.0,4,851,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0007_mppi_with_seeds_clay_sinusoidal_v7_b4_s851,ok,0,14.858906269073486,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0007_mppi_with_seeds_clay_sinusoidal_v7_b4_s851/20260515_055834_554656_clay_sinusoidal_acados_rate_mlp/diag_clay_sinusoidal_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0007_mppi_with_seeds_clay_sinusoidal_v7_b4_s851/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0007_mppi_with_seeds_clay_sinusoidal_v7_b4_s851/mppi_shield_log.csv,855,0.955075474304531,3.387898,0.4881410334302325,3.245028924418605,4.4274,0.4635755606312292,5.2281520467836256,6.349200000000001,35.05998424883155,35.310338,-3.26503,1,2,-0.028,54.9,0.2775571428571428,0.1638,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0007_mppi_with_seeds_clay_sinusoidal_v7_b4_s851/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,5.0,0,850,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0008_mppi_with_seeds_clay_lane_change_v5_b0_s850,ok,0,14.56026029586792,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0008_mppi_with_seeds_clay_lane_change_v5_b0_s850/20260515_055849_427905_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0008_mppi_with_seeds_clay_lane_change_v5_b0_s850/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0008_mppi_with_seeds_clay_lane_change_v5_b0_s850/mppi_shield_log.csv,794,0.2645849549512651,0.69702,0.1690048926905132,4.178966718506998,4.90241,0.8357933437013996,5.337128463476071,6.131399999999998,43.2430727563321,44.262293,3.056266,0,3,0.0416000000000003,77.9,0.107557894736842,0.0569578947368421,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0008_mppi_with_seeds_clay_lane_change_v5_b0_s850/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,5.0,0,851,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0009_mppi_with_seeds_clay_lane_change_v5_b0_s851,ok,0,14.56327199935913,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0009_mppi_with_seeds_clay_lane_change_v5_b0_s851/20260515_055904_005488_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0009_mppi_with_seeds_clay_lane_change_v5_b0_s851/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0009_mppi_with_seeds_clay_lane_change_v5_b0_s851/mppi_shield_log.csv,796,0.2264150039306706,0.353657,0.1934107147286821,1.7537541085271318,4.2906,0.3507508217054264,4.970050251256281,6.1174999999999935,18.97076824757086,20.238891,0.492307,0,1,0.0472999999999999,83.6,0.213078431372549,0.5581862745098038,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0009_mppi_with_seeds_clay_lane_change_v5_b0_s851/sim_diag.csv
mppi_seed_ablation,mppi_with_seeds,standard,nn,closed_loop_v2_both_axles_rate_32_16,clay,lane_change,5.0,4,850,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0010_mppi_with_seeds_clay_lane_change_v5_b4_s850,ok,0,14.814893007278442,12.0,1.0,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0010_mppi_with_seeds_clay_lane_change_v5_b4_s850/20260515_055918_622406_clay_lane_change_acados_rate_mlp/diag_clay_lane_change_acados_rate_mlp.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0010_mppi_with_seeds_clay_lane_change_v5_b4_s850/collision_log.csv,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0010_mppi_with_seeds_clay_lane_change_v5_b4_s850/mppi_shield_log.csv,811,0.3049909579312331,0.827761,0.1848960800604229,4.119764199395771,4.566325,0.8239528398791542,5.056461159062885,5.91,42.911647559974895,43.87951,2.985371,0,3,0.0391000000000003,77.9,0.1454270833333333,0.1057916666666666,Default MPPI shield with all hand-crafted seed trajectories enabled.,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/results/mppi_seed_ablation_20260515_055630/raw/0010_mppi_with_seeds_clay_lane_change_v5_b4_s850/sim_diag.csv
