time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0690,16.4367,0.1021,4.078,2,19.058,2.137,0.828,3.3187,2.328,3.328,0,1
6.0720,16.4489,0.1031,4.080,2,19.058,2.137,0.828,3.3084,2.328,3.328,0,1
6.0750,16.4611,0.1040,4.082,2,19.058,2.137,0.828,3.2982,2.328,3.328,0,1
6.0780,16.4733,0.1049,4.084,2,19.058,2.137,0.828,3.2880,2.328,3.328,0,1
6.0810,16.4855,0.1059,4.087,2,19.058,2.137,0.828,3.2778,2.328,3.328,0,1
6.0840,16.4978,0.1068,4.089,2,19.058,2.137,0.828,3.2677,2.328,3.328,0,1
6.0870,16.5100,0.1078,4.089,2,19.058,2.137,0.828,3.2575,2.328,3.328,0,1
6.0900,16.5223,0.1087,4.092,2,19.058,2.137,0.828,3.2473,2.328,3.328,0,1
6.0930,16.5345,0.1096,4.095,2,19.058,2.137,0.828,3.2372,2.328,3.328,0,1
6.0960,16.5468,0.1106,4.098,2,19.058,2.137,0.828,3.2271,2.328,3.328,0,1
6.0990,16.5590,0.1115,4.101,2,19.058,2.137,0.828,3.2170,2.328,3.328,0,1
6.1020,16.5713,0.1124,4.102,2,19.058,2.137,0.828,3.2069,2.328,3.328,0,1
6.1050,16.5836,0.1133,4.104,2,19.058,2.137,0.828,3.1968,2.328,3.328,0,1
6.1080,16.5959,0.1142,4.107,2,19.058,2.137,0.828,3.1867,2.328,3.328,0,1
6.1110,16.6081,0.1151,4.109,2,19.058,2.137,0.828,3.1766,2.328,3.328,0,1
6.1140,16.6204,0.1161,4.111,2,19.058,2.137,0.828,3.1666,2.328,3.328,0,1
6.1170,16.6327,0.1170,4.113,2,19.058,2.137,0.828,3.1565,2.328,3.328,0,1
6.1200,16.6450,0.1179,4.115,2,19.058,2.137,0.828,3.1465,2.328,3.328,0,1
6.1230,16.6573,0.1188,4.117,2,19.058,2.137,0.828,3.1365,2.328,3.328,0,1
6.1260,16.6697,0.1197,4.118,2,19.058,2.137,0.828,3.1265,2.328,3.328,0,1
6.1290,16.6820,0.1206,4.121,2,19.058,2.137,0.828,3.1165,2.328,3.328,0,1
6.1320,16.6943,0.1215,4.122,2,19.058,2.137,0.828,3.1065,2.328,3.328,0,1
6.1350,16.7066,0.1223,4.125,2,19.058,2.137,0.828,3.0966,2.328,3.328,0,1
6.1380,16.7190,0.1232,4.123,2,19.058,2.137,0.828,3.0866,2.328,3.328,0,1
6.1410,16.7313,0.1241,4.127,2,19.058,2.137,0.828,3.0767,2.328,3.328,0,1
6.1440,16.7437,0.1250,4.131,2,19.058,2.137,0.828,3.0668,2.328,3.328,0,1
6.1470,16.7560,0.1258,4.131,2,19.058,2.137,0.828,3.0569,2.328,3.328,0,1
6.1500,16.7684,0.1267,4.129,2,19.058,2.137,0.828,3.0471,2.328,3.328,0,1
6.1530,16.7808,0.1276,4.131,2,19.058,2.137,0.828,3.0372,2.328,3.328,0,1
6.1560,16.7931,0.1284,4.131,2,19.058,2.137,0.828,3.0274,2.328,3.328,0,1
6.1590,16.8055,0.1293,4.135,2,19.058,2.137,0.828,3.0176,2.328,3.328,0,1
6.1620,16.8179,0.1302,4.138,2,19.058,2.137,0.828,3.0077,2.328,3.328,0,1
6.1650,16.8303,0.1310,4.139,2,19.058,2.137,0.828,2.9979,2.328,3.328,0,1
6.1680,16.8427,0.1319,4.141,2,19.058,2.137,0.828,2.9882,2.328,3.328,0,1
6.1710,16.8551,0.1328,4.142,2,19.058,2.137,0.828,2.9784,2.328,3.328,0,1
