sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778653687.015659,0,1.707204,0.008824,0.001743,-0.0069,0.0331,-0.000212,1.648994,-0.000000,-0.000000,-0.0020,1.707093,0.009097,0.001747,-0.0050,0.0001,0.000006,-0.113638,0.0000,1.707093,0.000000,-0.000000,1.5872,0.000000,2.000000,242.5983,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0517,0.0000,0.000000,0.2000,17.07,9.26,43.40,5.08,-0.000000,-0.0000,-1.5892,nan,nan,nan,nan,nan,nan,0.0,0.0,2269.6146929039105,4383.781731130815,-0.065474,-0.066869,6560.7,6059.8,-0.020064,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778653687.021477,1,1.677522,-0.080736,0.002039,0.0018,-0.0771,0.000366,1.648913,-0.000001,-0.000000,-0.0094,1.677479,-0.080639,0.002041,-0.0021,0.0001,0.000004,-0.022704,0.0000,1.677479,0.000000,-0.000000,1.6267,0.000000,2.000000,248.3345,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0561,0.0000,0.000000,0.2240,14.89,8.25,38.02,2.49,-0.000001,-0.0000,-1.6360,nan,nan,nan,nan,nan,nan,0.0,0.0,1591.0141521159621,3832.859868741042,-0.023247,-0.023910,6557.5,6063.1,-0.017795,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778653687.031234,2,1.592414,0.053676,0.002016,-0.0284,0.1174,0.001254,1.648775,-0.000002,-0.000001,-0.0124,1.592390,0.053941,0.002022,-0.0013,0.0005,0.000021,-0.014510,0.0000,1.592390,0.000000,0.000000,1.7264,0.000000,2.000000,224.7527,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0611,0.0000,0.000000,0.2480,12.71,7.92,33.35,6.08,-0.000002,-0.0001,-1.7389,nan,nan,nan,nan,nan,nan,0.0,0.0,2402.559408712218,4423.2148531201565,-0.064862,-0.063798,6552.7,6067.9,-0.014452,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778653687.043175,3,1.615485,0.059647,-0.003911,-0.0067,-0.0908,-0.000478,1.648627,-0.000005,-0.000003,-0.0122,1.615476,0.059715,-0.003910,-0.0006,0.0002,0.000009,0.001827,0.0000,1.615476,0.000000,0.000000,1.7010,0.000000,2.000000,231.5476,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0667,0.0000,0.000000,0.2720,10.86,7.49,29.20,5.02,-0.000005,-0.0002,-1.7131,nan,nan,nan,nan,nan,nan,0.0,0.0,1583.8544512526742,3771.810577805344,-0.016941,-0.016690,6546.5,6074.1,-0.010143,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778653687.055276,4,1.719721,-0.007888,-0.000455,-0.0344,-0.0350,-0.000153,1.648492,-0.000007,-0.000005,-0.0106,1.719721,-0.007888,-0.000455,0.0001,0.0000,0.000000,0.022066,0.0000,1.719721,0.000000,-0.000000,1.5694,0.000000,2.000000,235.8598,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0727,0.0000,0.000000,0.2960,9.30,7.15,25.75,5.25,-0.000007,-0.0003,-1.5800,nan,nan,nan,nan,nan,nan,0.0,0.0,1261.0922856738794,3484.54719566314,-0.000015,-0.000007,6539.6,6081.0,-0.005315,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778653687.067336,5,1.702770,0.064627,-0.005601,-0.0920,-0.0149,0.000102,1.648463,-0.000004,-0.000003,0.0009,1.702781,0.064605,-0.005602,0.0009,-0.0002,-0.000006,0.057214,0.0000,1.702781,0.000000,-0.000000,1.5931,0.000000,2.000000,233.9173,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0791,0.0000,0.000000,0.3200,7.98,6.44,22.41,2.43,-0.000004,-0.0002,-1.5923,nan,nan,nan,nan,nan,nan,0.0,0.0,1232.0326749456917,3420.077862013195,0.005710,0.005847,6529.2,6091.4,0.001938,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778653687.079177,6,1.644713,-0.011187,-0.002021,-0.1326,-0.0621,0.002440,1.648468,0.000002,0.000000,0.0001,1.644724,-0.011293,-0.002021,0.0012,-0.0012,-0.000040,0.073428,0.0000,1.644724,0.000000,0.000000,1.6671,0.000000,2.000000,288.0786,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0861,0.0000,0.000000,0.3440,6.85,5.85,19.56,2.51,0.000002,0.0000,-1.6670,nan,nan,nan,nan,nan,nan,0.0,0.0,888.519701540118,3020.5118732427677,0.027118,0.030344,6523.6,6097.0,0.005848,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778653687.091272,7,1.644412,-0.010107,-0.001683,-0.0223,0.1258,-0.000157,1.648453,0.000007,0.000003,-0.0008,1.644424,-0.010011,-0.001680,0.0014,0.0014,0.000059,0.089027,0.0000,1.644424,0.000000,0.000000,1.6675,0.000000,2.000000,276.2412,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0934,0.0000,0.000000,0.3680,5.89,5.39,17.16,2.73,0.000007,0.0002,-1.6683,nan,nan,nan,nan,nan,nan,0.0,0.0,2208.742750108624,4054.4001783458298,-0.026710,-0.024308,6518.3,6102.2,0.009494,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778653687.103355,8,1.626049,0.039918,0.001218,0.0707,-0.1115,0.000985,1.648434,0.000013,0.000007,-0.0008,1.626274,0.039842,0.001218,0.0152,-0.0016,-0.000043,0.107103,0.0000,1.626274,0.000000,0.000000,1.6887,0.000000,2.000000,283.1132,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1011,0.0000,0.000000,0.3920,5.09,5.00,15.18,2.84,0.000013,0.0004,-1.6895,nan,nan,nan,nan,nan,nan,0.0,0.0,1082.6716787234977,3149.0630105590217,0.020995,0.024191,6512.7,6107.8,0.013415,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778653687.115492,9,1.663348,0.017942,0.003710,0.0091,-0.0544,0.001555,1.648415,0.000020,0.000011,-0.0007,1.663536,0.017814,0.003710,0.0144,-0.0035,-0.000094,0.125588,0.0000,1.663536,0.000000,-0.000000,1.6443,0.000000,2.000000,235.8832,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1092,0.0000,0.000000,0.4160,4.40,4.64,13.44,2.60,0.000020,0.0006,-1.6450,0.008000,0.094153,0.1163,-0.487139,-0.019615,0.001364,0.0,0.0,910.9385581990012,2918.7471197689283,0.037010,0.041569,6507.2,6113.4,0.017299,0.000000,0.000000,0.5000,1.0000,,,,,
