time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.231430
0.102000,0.055424,0.000003,1.677833,-0.000065,-0.000738,0.000119,0.000320,0.000000,0.130665,0.000000,0,0,17.231991
0.204000,0.055295,0.000015,1.522611,0.000533,-0.000022,0.000688,0.000374,0.000000,0.245303,0.000000,0,0,17.232117
0.306000,0.055218,0.000051,1.263977,0.000575,0.000212,0.002920,0.000419,0.000000,0.371547,0.000000,0,0,17.232187
0.408000,0.055172,0.000136,0.902700,0.000376,0.000004,0.009569,0.000447,0.000000,0.529599,0.000000,0,0,17.232219
0.510000,0.058674,-0.000637,0.536170,0.051638,0.092323,-0.012654,0.008016,0.000000,0.677305,0.000000,0,0,17.228886
0.612000,0.063244,-0.000219,0.544335,-0.017211,-0.053992,0.018538,0.001050,0.000000,0.782285,0.000000,0,0,17.224308
0.714000,0.060912,0.002780,0.649026,0.039626,0.013186,0.035007,-0.011532,0.000000,0.860164,0.000000,0,0,17.226130
0.816000,0.066091,0.005665,0.663152,0.126470,0.123650,-0.002844,0.023374,0.000000,0.905656,0.000000,0,0,17.220557
0.918000,0.095104,0.005590,0.639906,0.444340,0.455804,0.024236,0.010436,0.000000,0.939403,0.000000,0,0,17.191929
1.020000,0.161307,0.005933,0.640262,0.829481,0.825370,0.008926,-0.004067,0.000000,0.959117,0.000000,0,0,17.126526
1.122000,0.261991,0.009380,0.667340,1.150187,1.143023,0.033486,0.020531,0.000000,0.972417,0.000000,0,0,17.026598
1.224000,0.392908,0.015252,0.699263,1.424745,1.421104,0.055695,0.012334,0.000000,0.982284,0.000000,0,0,16.896452
1.326000,0.552434,0.023067,0.725427,1.705870,1.704597,0.068262,0.008726,0.000000,0.988621,0.000000,0,0,16.737776
1.428000,0.739155,0.031410,0.739798,1.947812,1.952266,0.062988,0.013637,0.000000,0.992323,0.000000,0,0,16.552204
1.530000,0.950798,0.038548,0.740311,2.186164,2.192149,0.045240,0.021371,0.000000,0.994820,0.000000,0,0,16.342281
1.632000,1.187734,0.044677,0.734230,2.442273,2.447686,0.037256,0.023328,0.000000,0.996673,0.000000,0,0,16.107635
1.734000,1.451010,0.051455,0.732026,2.706862,2.706186,0.038112,0.015468,0.000000,0.997863,0.000000,0,0,15.846984
1.836000,1.738898,0.059334,0.737013,2.927374,2.929123,0.040475,0.021467,0.000000,0.998558,0.000000,0,0,15.561981
1.938000,2.048966,0.068946,0.741542,3.139302,3.144806,0.050306,0.020389,0.000000,0.999074,0.000000,0,0,15.254936
2.040000,2.380250,0.080088,0.741550,3.349551,3.345427,0.050275,0.026556,0.000000,0.999375,0.000000,0,0,14.926860
2.142000,2.730168,0.091382,0.738548,3.501975,3.504244,0.031188,0.028457,0.000000,0.999599,0.000000,0,0,14.580566
2.244000,3.096299,0.102212,0.732257,3.698430,3.678362,0.017827,0.006274,0.000000,0.998232,0.000000,0,0,14.218587
2.346000,3.474568,0.112066,0.700695,3.762417,3.704142,-0.014128,0.039874,-0.068182,0.976412,0.000000,0,0,13.845074
