step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.869,0.042,0.68,2.062,0.00,2,10,27.00,7.64,+0.000,0.689,0.000,+0.000,0.689,0.000,0,10.805,5.79,0.000
40,5.131,0.418,8.49,0.769,17.79,2,10,27.00,6.13,+0.634,0.261,0.034,+0.634,0.261,0.034,0,8.599,5.83,0.000
60,9.898,1.839,13.31,4.023,-13.49,2,10,27.00,6.53,-0.481,0.875,0.000,-0.435,0.872,0.000,1,-0.150,38.80,0.002
61,10.296,1.899,12.23,4.066,-15.80,2,10,27.00,6.25,-0.563,0.859,0.000,+1.000,1.000,0.000,1,1.578,47.11,1.488
62,10.699,1.950,10.93,4.126,-16.05,2,10,27.00,6.22,-0.572,0.849,0.000,+1.000,1.000,0.000,1,0.865,22.37,0.782
63,11.103,2.010,10.69,4.115,-18.20,2,10,27.00,5.98,-0.648,0.847,0.000,+1.000,1.000,0.000,1,0.844,14.27,0.857
64,11.501,2.090,11.34,4.086,-23.30,2,10,27.00,5.45,-0.830,0.864,0.000,+1.000,1.000,0.000,1,0.836,24.23,1.038
65,11.891,2.192,12.46,4.046,-22.02,2,10,27.00,5.58,-0.784,0.898,0.000,+1.000,1.000,0.000,1,0.873,19.64,0.974
66,12.272,2.317,13.95,4.027,-19.60,2,10,27.00,5.83,-0.698,0.931,0.000,+1.000,1.000,0.000,1,0.944,19.49,0.874
80,17.747,4.133,15.23,4.279,-6.01,2,10,27.00,7.37,-0.214,1.000,0.000,-0.214,1.000,0.000,0,1.815,5.84,0.000
100,26.154,4.689,-3.28,4.225,-8.94,5,10,27.00,7.07,-0.318,1.000,0.000,-0.318,1.000,0.000,0,2.638,5.82,0.000
