time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899
0.102000,0.055424,0.000001,1.677833,-0.000094,-0.000763,0.000011,0.000351,0.000000,0.067807,0.000000,0,0,14.040468
0.204000,0.055295,0.000005,1.522611,0.000523,-0.000028,0.000212,0.000370,0.000000,0.137155,0.000000,0,0,14.040597
0.306000,0.055219,0.000017,1.263977,0.000588,0.000251,0.001001,0.000425,0.000000,0.232060,0.000000,0,0,14.040672
0.408000,0.055175,0.000051,0.902700,0.000445,0.000213,0.003601,0.000454,0.000000,0.330486,0.000000,0,0,14.040714
0.510000,0.057768,-0.000149,0.535688,0.027518,0.068491,-0.002783,0.012091,0.000000,0.451370,0.000000,0,0,14.038133
0.612000,0.059209,0.000711,0.544129,-0.053684,-0.090041,0.012528,0.001733,0.000000,0.563160,0.000000,0,0,14.036653
0.714000,0.051386,0.002359,0.649575,-0.034230,-0.056332,0.016818,0.004370,0.000000,0.679366,0.000000,0,0,14.044392
0.816000,0.049044,0.004232,0.660428,0.033646,0.039370,0.017275,0.002559,0.000000,0.793595,0.000000,0,0,14.046644
0.918000,0.068913,0.002154,0.624334,0.346510,0.343705,-0.028165,0.038764,0.000000,0.867428,0.000000,0,0,14.026893
1.020000,0.118024,0.001776,0.626424,0.628769,0.623180,0.024544,0.001510,0.000000,0.910557,0.000000,0,0,13.977853
1.122000,0.196628,0.005560,0.652767,0.926486,0.920005,0.042406,0.015501,0.000000,0.940135,0.000000,0,0,13.899158
1.224000,0.306109,0.012067,0.682459,1.227597,1.220877,0.062453,0.011354,0.000000,0.931852,0.000000,0,0,13.789493
1.326000,0.445552,0.020634,0.711304,1.511982,1.508661,0.074939,0.006166,0.000000,0.887262,0.000000,0,0,13.649802
1.428000,0.612831,0.029645,0.731884,1.762657,1.765200,0.068125,0.008814,0.000000,0.824777,0.000000,0,0,13.482285
1.530000,0.804798,0.037418,0.739002,1.995286,2.001328,0.049406,0.018953,0.000000,0.736169,0.000000,0,0,13.290165
1.632000,1.022202,0.044102,0.736054,2.253276,2.256357,0.039307,0.025303,0.000000,0.645468,0.000000,0,0,13.072685
