time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899
0.102000,0.055424,0.000002,1.677832,-0.000092,-0.000762,0.000069,0.000353,0.000000,0.099543,0.000000,0,0,14.040468
0.204000,0.055295,0.000010,1.522611,0.000517,-0.000035,0.000412,0.000379,0.000000,0.171912,0.000000,0,0,14.040596
0.306000,0.055218,0.000029,1.263977,0.000586,0.000244,0.001642,0.000424,0.000000,0.257621,0.000000,0,0,14.040672
0.408000,0.055174,0.000075,0.902700,0.000424,0.000167,0.005224,0.000455,0.000000,0.329352,0.000000,0,0,14.040714
0.510000,0.058476,-0.000222,0.564576,0.028200,0.076513,-0.003668,0.004329,0.000000,0.391744,0.000000,0,0,14.037430
0.612000,0.059799,-0.000122,0.637587,-0.021288,-0.067755,-0.000676,0.005657,0.000000,0.436778,0.000000,0,0,14.036103
0.714000,0.053918,0.000151,0.740700,-0.012424,-0.045118,0.004750,-0.000159,0.000000,0.514342,0.000000,0,0,14.041965
0.816000,0.049686,0.000530,0.744361,-0.047637,-0.042460,0.001877,0.023474,0.000000,0.598289,0.000000,0,0,14.046175
0.918000,0.054001,-0.000508,0.692176,0.079684,0.119854,0.009848,0.032536,0.000000,0.693093,0.000000,0,0,14.041913
1.020000,0.076003,0.001701,0.663562,0.313067,0.299780,0.033684,-0.026128,0.000000,0.775205,0.000000,0,0,14.019832
1.122000,0.119723,0.005396,0.688415,0.553115,0.537554,0.044767,0.007506,0.000000,0.812959,0.000000,0,0,13.975987
1.224000,0.182112,0.011915,0.722000,0.679656,0.682533,0.064917,0.014259,0.000000,0.823271,0.000000,0,0,13.913363
1.326000,0.260976,0.019225,0.744332,0.864502,0.860733,0.057120,0.024764,0.000000,0.809059,0.000000,0,0,13.834245
1.428000,0.358172,0.026065,0.762759,1.038373,1.040263,0.052387,0.019900,0.000000,0.766355,0.000000,0,0,13.736837
1.530000,0.473228,0.032039,0.774399,1.210289,1.212473,0.037880,0.016860,0.000000,0.706121,0.000000,0,0,13.621628
1.632000,0.605573,0.036545,0.778723,1.373942,1.377941,0.026809,0.021942,0.000000,0.619958,0.000000,0,0,13.489216
1.734000,0.753816,0.040408,0.778481,1.515240,1.519214,0.013779,0.015611,0.000000,0.531798,0.000000,0,0,13.340953
1.836000,0.915625,0.043274,0.778255,1.649302,1.649498,0.000800,0.014509,0.000000,0.424953,0.000000,0,0,13.179185
1.938000,1.090780,0.045857,0.779970,1.780009,1.780086,0.001938,0.014206,0.000000,0.358620,0.015775,0,0,13.004100
2.040000,1.279091,0.049830,0.780304,1.904890,1.907914,0.015456,0.009636,0.000000,0.305440,0.044344,0,0,12.815811
2.142000,1.479805,0.054931,0.779866,2.021363,2.022169,0.018000,0.014206,0.000000,0.270995,0.074969,0,0,12.615080
2.244000,1.691426,0.060997,0.780050,2.122331,2.123657,0.022321,0.016247,0.000000,0.241855,0.110720,0,0,12.403410
2.346000,1.912707,0.067644,0.780223,2.215138,2.215062,0.021744,0.024420,0.000000,0.221782,0.141033,0,0,12.182064
2.448000,2.143598,0.075207,0.781448,2.309059,2.307853,0.023509,0.024815,0.000000,0.203653,0.171827,0,0,11.951077
2.550000,2.382284,0.082961,0.780660,2.364829,2.367139,0.008051,0.027551,0.000000,0.190308,0.195828,0,0,11.712296
