sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778654548.196203,0,1.713002,0.053267,0.000503,0.0311,0.0557,-0.000346,1.648994,-0.000000,-0.000000,-0.0020,1.714258,0.053728,0.000511,0.0259,0.0002,0.000010,-0.116317,0.0000,1.714258,0.000000,-0.000000,5.0000,0.000000,2.000000,3412.9264,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0719,0.0000,0.000000,0.2000,17.04,9.26,43.34,5.03,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,2586.313230454074,4541.69829131944,-0.109943,-0.112200,6561.4,6059.1,-0.020537,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778654548.201866,1,1.711538,-0.045394,-0.005194,-0.0091,0.0176,0.001642,1.648913,-0.000001,-0.000000,-0.0094,1.712469,-0.044999,-0.005185,0.0225,0.0004,0.000015,-0.025285,0.0000,1.712469,0.000000,-0.000000,5.0000,0.000000,2.000000,3345.2549,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0781,0.0000,0.000000,0.2240,15.15,8.43,38.73,3.75,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,2585.79312248485,4553.145153779991,-0.096566,-0.096313,6558.4,6062.2,-0.018433,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778654548.208637,2,1.608141,-0.069077,-0.000221,-0.0539,-0.0045,0.000707,1.648775,-0.000002,-0.000001,-0.0124,1.608798,-0.068763,-0.000214,0.0184,0.0005,0.000023,-0.016619,0.0000,1.608798,0.000000,0.000000,5.0000,0.000000,2.000000,3345.3016,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0851,0.0000,0.000000,0.2480,12.96,7.58,33.49,2.77,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,2523.152883014993,4506.973714117959,-0.076674,-0.075570,6553.6,6067.0,-0.015060,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778654548.220443,3,1.620638,-0.017122,0.000226,-0.1251,0.0074,-0.001403,1.648627,-0.000004,-0.000003,-0.0121,1.621104,-0.016862,0.000231,0.0153,0.0008,0.000033,-0.002347,0.0000,1.621104,0.000000,0.000000,5.0000,0.000000,2.000000,3342.7378,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0928,0.0000,0.000000,0.2720,11.08,6.89,29.04,2.98,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,2480.579588771702,4469.670841476168,-0.063854,-0.064748,6547.6,6072.9,-0.010913,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778654548.232529,4,1.577869,-0.083939,-0.006309,-0.0359,0.0441,-0.000875,1.648492,-0.000007,-0.000005,-0.0106,1.578205,-0.083667,-0.006305,0.0130,0.0014,0.000056,0.019509,0.0000,1.578205,0.000000,0.000000,5.0000,0.000000,2.000000,3348.5364,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1011,0.0000,0.000000,0.2960,9.49,6.27,25.25,2.76,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,2675.767438719672,4564.9074454548245,-0.068005,-0.069839,6540.1,6080.4,-0.005690,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778654548.244699,5,1.620216,-0.046311,-0.008493,0.0655,0.0263,0.000188,1.648462,-0.000004,-0.000003,0.0011,1.620751,-0.046060,-0.008488,0.0242,0.0020,0.000079,0.064126,0.0000,1.620751,0.000000,0.000000,5.0000,0.000000,2.000000,3361.6204,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1101,0.0000,0.000000,0.3200,8.13,5.91,22.18,3.87,-0.000004,-0.0002,-4.9989,nan,nan,nan,nan,nan,nan,0.0,0.0,2885.166288729952,4612.859273683653,-0.065134,-0.066374,6527.1,6093.4,0.003364,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778654548.256737,6,1.671661,-0.022239,-0.006417,-0.0150,0.0277,0.000794,1.648468,0.000001,-0.000000,0.0001,1.672047,-0.021999,-0.006412,0.0200,0.0027,0.000104,0.081486,0.0000,1.672047,0.000000,-0.000000,5.0000,0.000000,2.000000,3370.7167,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1197,0.0000,0.000000,0.3440,6.99,5.46,19.43,2.88,0.000001,-0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,2974.254729222728,4616.577828997568,-0.063720,-0.063709,6521.4,6099.2,0.007366,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778654548.268668,7,1.737594,0.020588,0.004389,0.0063,0.0478,-0.000033,1.648453,0.000007,0.000003,-0.0009,1.737890,0.020846,0.004394,0.0178,0.0040,0.000141,0.097699,0.0000,1.737890,0.000000,-0.000000,5.0000,0.000000,2.000000,3375.2640,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1299,0.0000,0.000000,0.3680,6.00,5.34,17.34,4.69,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,3168.857130395836,4699.257697738698,-0.069830,-0.069864,6516.1,6104.5,0.011086,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778654548.280683,8,1.697929,-0.123677,-0.000061,-0.0239,-0.0042,0.001002,1.648434,0.000014,0.000007,-0.0008,1.698148,-0.123481,-0.000057,0.0148,0.0039,0.000142,0.117153,0.0000,1.698148,0.000000,-0.000000,5.0000,0.000000,2.000000,3373.0953,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1406,0.0000,0.000000,0.3920,5.17,5.56,15.89,6.78,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,3034.7667534860393,4555.972516780697,-0.055323,-0.054074,6510.2,6110.3,0.015150,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778654548.296892,9,1.596495,0.011894,-0.004700,-0.0183,0.0822,-0.000826,1.648415,0.000021,0.000011,-0.0007,1.596663,0.012156,-0.004696,0.0124,0.0063,0.000217,0.136267,0.0000,1.596663,0.000000,0.000000,5.0000,0.000000,2.000000,3358.0656,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1518,0.0000,0.000000,0.4160,4.46,5.21,14.13,3.22,0.000021,0.0006,-5.0007,0.008000,0.172906,-0.2886,-0.489360,0.037995,0.001736,0.0,0.0,3468.138505284499,4796.937177455309,-0.075822,-0.075867,6504.8,6115.8,0.018947,0.000000,0.000000,0.5000,1.0000,,,,,
