sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778654609.474793,0,1.565166,-0.004177,0.003175,-0.1093,-0.0197,-0.001154,1.648994,-0.000000,-0.000000,-0.0020,1.565053,-0.004349,0.003167,-0.0051,-0.0001,-0.000004,-0.116035,0.0000,1.565053,0.000000,0.000000,1.5243,0.000000,2.000000,352.4947,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0519,0.0000,0.000000,0.2000,17.07,9.13,43.27,4.23,-0.000000,-0.0000,-1.5263,nan,nan,nan,nan,nan,nan,0.0,0.0,28.14535208776047,46.92795284709618,0.043079,0.035469,6561.3,6059.2,-0.051234,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778654609.483338,1,1.542236,0.006886,0.000346,-0.0353,0.0087,0.000131,1.648913,-0.000001,-0.000000,-0.0094,1.542179,0.006763,0.000339,-0.0025,-0.0001,-0.000005,-0.027079,0.0000,1.542179,0.000000,0.000000,1.5508,0.000000,2.000000,347.0657,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0564,0.0000,0.000000,0.2240,14.55,8.62,37.72,5.73,-0.000001,-0.0000,-1.5602,nan,nan,nan,nan,nan,nan,0.0,0.0,21.10475992527978,-74.54230936693365,0.031319,0.025346,6558.2,6062.4,-0.045716,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778654609.495812,2,1.655479,-0.051514,-0.002776,0.0111,0.0038,-0.000245,1.648775,-0.000002,-0.000001,-0.0124,1.655516,-0.051607,-0.002781,0.0004,-0.0002,-0.000007,-0.017306,0.0000,1.655516,0.000000,-0.000000,1.4081,0.000000,2.000000,285.0619,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0614,0.0000,0.000000,0.2480,12.45,7.72,32.61,2.57,-0.000002,-0.0001,-1.4205,nan,nan,nan,nan,nan,nan,0.0,0.0,21.133196651126752,-159.1409064614564,0.023934,0.018801,6553.3,6067.2,-0.037239,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778654609.507700,3,1.709135,0.013222,-0.003214,-0.0078,0.0170,-0.000044,1.648627,-0.000004,-0.000003,-0.0120,1.709168,0.013174,-0.003218,0.0008,-0.0001,-0.000007,-0.002255,0.0000,1.709168,0.000000,-0.000000,1.3235,0.000000,2.000000,300.9301,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0669,0.0000,0.000000,0.2720,10.65,6.95,28.26,2.63,-0.000004,-0.0002,-1.3355,nan,nan,nan,nan,nan,nan,0.0,0.0,18.35359682267452,-273.94711407012835,0.012758,0.008562,6547.2,6073.3,-0.026626,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778654609.519723,4,1.603361,0.016591,-0.003691,-0.0005,-0.0011,0.000075,1.648492,-0.000007,-0.000005,-0.0106,1.603391,0.016551,-0.003693,0.0012,-0.0002,-0.000010,0.018082,0.0000,1.603391,0.000000,0.000000,1.4780,0.000000,2.000000,298.9291,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0728,0.0000,0.000000,0.2960,9.13,6.31,24.57,2.69,-0.000007,-0.0003,-1.4885,nan,nan,nan,nan,nan,nan,0.0,0.0,20.18415072931191,-305.7908999150194,0.010674,0.007385,6540.2,6080.4,-0.014278,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778654609.532172,5,1.676088,-0.045944,-0.011688,-0.0402,0.0792,-0.000076,1.648463,-0.000004,-0.000003,0.0001,1.676118,-0.045857,-0.011688,0.0016,0.0008,0.000027,0.045670,0.0000,1.676118,0.000000,-0.000000,1.3774,0.000000,2.000000,308.4155,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0792,0.0000,0.000000,0.3200,7.82,6.07,21.72,4.68,-0.000004,-0.0002,-1.3772,nan,nan,nan,nan,nan,nan,0.0,0.0,-29.491389482484166,-592.5942625508742,-0.022013,-0.024761,6531.5,6089.0,0.000772,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778654609.544175,6,1.591227,-0.034632,-0.002876,0.0071,-0.0809,0.000248,1.648468,0.000001,-0.000000,0.0001,1.591279,-0.034682,-0.002878,0.0031,-0.0006,-0.000024,0.064148,0.0000,1.591279,0.000000,0.000000,1.4930,0.000000,2.000000,296.0410,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0860,0.0000,0.000000,0.3440,6.75,5.77,19.27,4.08,0.000001,-0.0000,-1.4928,nan,nan,nan,nan,nan,nan,0.0,0.0,20.593980932595542,-322.16599412607343,0.013409,0.011508,6525.6,6094.9,0.011047,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778654609.555659,7,1.606419,-0.055483,-0.000296,-0.0104,-0.0032,-0.000339,1.648453,0.000007,0.000003,-0.0009,1.606460,-0.055526,-0.000298,0.0029,-0.0007,-0.000030,0.080598,0.0000,1.606460,0.000000,0.000000,1.4741,0.000000,2.000000,292.6684,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0932,0.0000,0.000000,0.3680,5.80,5.29,16.90,2.61,0.000007,0.0002,-1.4749,nan,nan,nan,nan,nan,nan,0.0,0.0,15.421974230511665,-348.8109262404298,0.012270,0.010305,6520.4,6100.2,0.020243,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778654609.567630,8,1.703447,0.026481,0.001256,-0.0670,-0.0400,0.000515,1.648434,0.000014,0.000007,-0.0008,1.703479,0.026394,0.001254,0.0028,-0.0019,-0.000069,0.099022,0.0000,1.703479,0.000000,-0.000000,1.3332,0.000000,2.000000,372.7745,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1008,0.0000,0.000000,0.3920,5.00,4.87,14.87,2.49,0.000014,0.0004,-1.3340,nan,nan,nan,nan,nan,nan,0.0,0.0,35.91656389242914,-274.26881622037865,0.025059,0.024132,6514.6,6105.9,0.030222,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778654609.579643,9,1.629649,-0.027377,-0.004496,0.0042,-0.0250,-0.000884,1.648415,0.000021,0.000011,-0.0007,1.629685,-0.027478,-0.004499,0.0034,-0.0028,-0.000105,0.117697,0.0000,1.629685,0.000000,0.000000,1.4439,0.000000,2.000000,303.7025,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1088,0.0000,0.000000,0.4160,4.31,4.52,13.15,2.52,0.000021,0.0006,-1.4446,0.008000,0.027398,-0.4357,-0.497988,-0.014756,0.000303,0.0,0.0,47.642687780253596,-265.8722334281654,0.030409,0.028533,6509.0,6111.6,0.040046,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778654609.591652,10,1.608616,0.002869,0.007207,-0.0021,0.0052,0.000484,1.648397,0.000027,0.000015,-0.0006,1.608645,0.002799,0.007205,0.0031,-0.0025,-0.000081,0.137210,0.0000,1.608645,0.000000,0.000000,1.4713,0.000000,2.000000,299.9430,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1171,0.0000,0.000000,0.4400,3.74,4.21,11.69,2.45,0.000027,0.0008,-1.4719,0.008000,0.016896,0.3951,-0.498377,-0.010902,0.000146,0.0,0.0,29.84625322650038,-328.872952364992,0.022232,0.021337,6503.3,6117.3,0.049987,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778654609.603823,11,1.580435,0.020013,0.003369,0.0150,0.0449,-0.000491,1.648380,0.000033,0.000018,-0.0005,1.580488,0.020011,0.003368,0.0058,-0.0000,-0.000019,0.156121,0.0000,1.580488,0.000000,0.000000,1.5060,0.000000,2.000000,286.8133,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1258,0.0000,0.000000,0.4640,3.25,3.95,10.45,2.46,0.000033,0.0011,-1.5065,0.008000,0.144203,0.3398,-0.495794,-0.000110,-0.002399,0.0,0.0,-42.1726135746931,-484.5708209097163,0.000871,-0.000479,6497.9,6122.7,0.059475,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778654609.615764,12,1.637751,-0.014731,0.000961,0.0161,-0.0341,0.001879,1.648364,0.000041,0.000023,-0.0004,1.637821,-0.014768,0.000962,0.0081,-0.0020,-0.000036,0.174243,0.0000,1.637821,0.000000,0.000000,1.4329,0.000000,2.000000,346.6952,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1348,0.0000,0.000000,0.4880,2.84,3.77,9.45,2.74,0.000041,0.0013,-1.4333,0.008000,0.124546,0.2375,-0.493501,-0.006696,-0.000133,0.0,0.0,-1.4606002833255616,-396.8260163536009,0.012757,0.014070,6492.7,6127.8,0.068431,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778654609.627692,13,1.680861,-0.012868,-0.000830,-0.0242,0.0193,0.000125,1.648349,0.000048,0.000027,-0.0003,1.680913,-0.012876,-0.000830,0.0068,-0.0006,0.000008,0.192742,0.0000,1.680913,0.000000,-0.000000,1.3699,0.000000,2.000000,328.4262,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1440,0.0000,0.000000,0.5120,2.48,3.56,8.53,2.42,0.000048,0.0015,-1.3702,0.008000,0.039991,0.1621,-0.496567,-0.001655,-0.000154,0.0,0.0,-44.848583067097465,-468.08136111619854,0.002721,0.003940,6487.6,6133.0,0.077390,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778654609.639636,14,1.631967,-0.016177,-0.001895,0.0045,-0.0247,0.000473,1.648334,0.000056,0.000031,-0.0002,1.632013,-0.016207,-0.001895,0.0067,-0.0023,-0.000024,0.210664,0.0000,1.632013,0.000000,0.000000,1.4408,0.000000,2.000000,367.3392,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1536,0.0000,0.000000,0.5360,2.18,3.40,7.75,2.43,0.000056,0.0018,-1.4410,0.008000,0.099329,0.5377,-0.499475,-0.006123,-0.003841,0.0,0.0,-5.606923937352818,-408.9559703255379,0.011479,0.013066,6482.6,6137.9,0.086020,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778654609.651658,15,1.643963,-0.048872,0.008823,-0.0052,0.0319,-0.000866,1.648320,0.000063,0.000035,-0.0002,1.643998,-0.048865,0.008823,0.0057,0.0005,0.000014,0.228618,0.0000,1.643998,0.000000,0.000000,1.4244,0.000000,2.000000,337.6204,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1634,0.0000,0.000000,0.5600,1.92,3.25,7.09,2.43,0.000063,0.0020,-1.4246,0.008000,0.014192,0.6605,-0.502309,0.001234,-0.001700,0.0,0.0,-73.50071528897494,-509.9920064698272,-0.002552,-0.002379,6477.7,6142.8,0.094551,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778654609.663646,16,1.556519,0.084289,0.000761,-0.0486,0.0595,-0.000936,1.648307,0.000071,0.000039,-0.0001,1.556546,0.084345,0.000762,0.0049,0.0055,0.000048,0.246400,0.0000,1.556546,0.000000,0.000000,1.5342,0.000000,2.000000,303.9043,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1735,0.0000,0.000000,0.5840,1.70,3.13,6.52,2.43,0.000071,0.0022,-1.5343,0.008000,0.172343,0.0505,-0.504748,0.012507,-0.001938,0.0,0.0,-194.78706336957697,-682.7267703160087,-0.024499,-0.025555,6472.9,6147.6,0.102924,0.000000,0.000000,0.5000,1.0000,,,,,
