sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778654661.128715,0,1.751200,-0.049847,0.001790,-0.0451,-0.0430,-0.000150,1.648492,-0.000007,-0.000005,-0.0106,1.751223,-0.050205,0.001782,0.0010,-0.0002,-0.000007,0.022019,0.0000,1.751223,-0.000000,-0.000000,1.5221,0.000000,0.142824,111.3192,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0094,0.0000,0.000000,0.0143,17.57,9.61,44.75,7.41,-0.000007,-0.0003,-1.5326,nan,nan,nan,nan,nan,nan,0.0,0.0,565.2515095917734,2663.0016934073283,0.086298,0.085317,6526.4,6094.2,0.003888,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778654661.137339,1,1.571981,0.065259,0.010666,0.1052,-0.0269,0.000807,1.648463,-0.000004,-0.000003,0.0001,1.572818,0.064939,0.010660,0.0218,-0.0003,-0.000013,0.037947,0.0000,1.572818,0.000000,0.000000,1.7474,0.000000,0.334433,159.2648,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0102,0.0000,0.000000,0.0183,15.01,8.92,38.94,5.01,-0.000004,-0.0002,-1.7473,nan,nan,nan,nan,nan,nan,0.0,0.0,578.093992097045,2662.2167208649234,0.079509,0.079742,6523.8,6096.8,0.005701,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778654661.149501,2,1.708013,-0.038319,-0.008290,0.0315,-0.0396,0.000977,1.648469,0.000000,-0.000000,0.0002,1.708812,-0.038651,-0.008296,0.0239,-0.0005,-0.000023,0.045363,0.0000,1.708812,0.000000,-0.000000,1.5848,0.000000,0.092710,158.0873,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0111,0.0000,0.000000,0.0194,12.85,8.25,33.95,4.46,0.000000,-0.0000,-1.5846,nan,nan,nan,nan,nan,nan,0.0,0.0,582.3866008056195,2663.9815154834705,0.078820,0.080250,6523.2,6097.4,0.006132,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778654661.161368,3,1.594447,0.049532,-0.001603,0.0558,0.0009,-0.000190,1.648452,0.000005,0.000003,-0.0008,1.595337,0.049272,-0.001608,0.0300,-0.0008,-0.000031,0.035359,0.0000,1.595337,0.000000,0.000000,1.7232,0.000000,0.206967,130.8778,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0121,0.0000,0.000000,0.0219,10.99,7.69,29.68,4.54,0.000005,0.0002,-1.7241,nan,nan,nan,nan,nan,nan,0.0,0.0,599.9526783286283,2692.7577382783884,0.063399,0.064313,6523.7,6096.8,0.005748,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778654661.173447,4,1.708708,-0.025828,0.001537,-0.0378,0.0976,0.001653,1.648434,0.000012,0.000007,-0.0008,1.709341,-0.025879,0.001538,0.0243,-0.0003,-0.000009,0.040548,0.0000,1.709341,0.000000,-0.000000,1.5841,0.000000,0.485718,111.8301,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0133,0.0000,0.000000,0.0277,9.43,7.21,26.07,4.45,0.000012,0.0004,-1.5849,nan,nan,nan,nan,nan,nan,0.0,0.0,1146.657279534375,3268.9425904110885,0.012401,0.015254,6523.1,6097.5,0.006189,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778654661.185410,5,1.634047,0.075814,0.003655,-0.0689,-0.0258,0.000870,1.648415,0.000018,0.000011,-0.0007,1.634499,0.075737,0.003655,0.0199,-0.0006,-0.000021,0.051035,0.0000,1.634499,0.000000,0.000000,1.6792,0.000000,0.645288,119.0185,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0145,0.0000,0.000000,0.0355,8.09,6.85,23.03,4.81,0.000018,0.0006,-1.6799,nan,nan,nan,nan,nan,nan,0.0,0.0,1024.0240669018576,3142.2795231488835,0.019451,0.022863,6521.9,6098.6,0.007005,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778654661.197384,6,1.628012,0.007018,-0.000654,0.0175,-0.0020,0.000879,1.648397,0.000024,0.000015,-0.0006,1.628409,0.006954,-0.000653,0.0197,-0.0007,-0.000021,0.059837,0.0000,1.628409,0.000000,0.000000,1.6862,0.000000,0.743423,109.0552,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0157,0.0000,0.000000,0.0444,6.96,6.50,20.42,4.50,0.000024,0.0009,-1.6868,nan,nan,nan,nan,nan,nan,0.0,0.0,1104.6364745214169,3199.810734733683,0.015899,0.019775,6520.2,6100.4,0.008199,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778654661.209543,7,1.674531,-0.037794,0.002798,0.0406,-0.0718,0.000745,1.648380,0.000029,0.000019,-0.0005,1.674964,-0.037946,0.002797,0.0240,-0.0021,-0.000072,0.067586,0.0000,1.674964,0.000000,-0.000000,1.6299,0.000000,0.787795,110.8006,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0171,0.0000,0.000000,0.0538,6.01,6.21,18.23,4.58,0.000029,0.0011,-1.6304,nan,nan,nan,nan,nan,nan,0.0,0.0,780.2420490066521,2861.164403180498,0.040124,0.044195,6518.3,6102.2,0.009502,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778654661.221383,8,1.707588,-0.020268,-0.001083,0.0035,-0.0109,0.000596,1.648364,0.000035,0.000023,-0.0004,1.707914,-0.020402,-0.001083,0.0202,-0.0024,-0.000071,0.075004,0.0000,1.707914,0.000000,-0.000000,1.5860,0.000000,0.802026,109.8854,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0186,0.0000,0.000000,0.0635,5.19,5.96,16.34,4.57,0.000035,0.0013,-1.5865,nan,nan,nan,nan,nan,nan,0.0,0.0,837.4997889445629,2911.6933222738617,0.036211,0.040256,6516.3,6104.3,0.010936,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778654661.233504,9,1.686784,-0.068389,0.003864,0.0171,0.0029,0.000784,1.648349,0.000042,0.000027,-0.0003,1.687072,-0.068488,0.003865,0.0198,-0.0023,-0.000060,0.082399,0.0000,1.687072,0.000000,-0.000000,1.6142,0.000000,0.804812,108.6062,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0201,0.0000,0.000000,0.0731,4.50,5.73,14.73,4.43,0.000042,0.0015,-1.6145,0.008000,0.115886,0.1193,-0.483503,-0.014676,0.000653,0.0,0.0,964.9354159082092,3027.7918437698913,0.027606,0.031872,6514.1,6106.4,0.012429,0.000000,0.000000,0.5000,1.0000,,,,,
