time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.3730,16.3706,0.1790,4.360,2,19.058,2.137,0.828,3.3253,2.328,3.328,0,1
5.3760,16.3836,0.1806,4.360,2,19.058,2.137,0.828,3.3138,2.328,3.328,0,1
5.3790,16.3966,0.1822,4.361,2,19.058,2.137,0.828,3.3024,2.328,3.328,0,1
5.3820,16.4096,0.1839,4.359,2,19.058,2.137,0.828,3.2909,2.328,3.328,0,1
5.3850,16.4226,0.1855,4.358,2,19.058,2.137,0.828,3.2795,2.328,3.328,0,1
5.3880,16.4356,0.1871,4.358,2,19.058,2.137,0.828,3.2681,2.328,3.328,0,1
5.3910,16.4485,0.1888,4.358,2,19.058,2.137,0.828,3.2567,2.328,3.328,0,1
5.3940,16.4615,0.1904,4.357,2,19.058,2.137,0.828,3.2453,2.328,3.328,0,1
5.3970,16.4745,0.1921,4.354,2,19.058,2.137,0.828,3.2339,2.328,3.328,0,1
5.4000,16.4875,0.1938,4.352,2,19.058,2.137,0.828,3.2226,2.328,3.328,0,1
5.4030,16.5005,0.1955,4.351,2,19.058,2.137,0.828,3.2112,2.328,3.328,0,1
5.4060,16.5134,0.1972,4.351,2,19.058,2.137,0.828,3.1998,2.328,3.328,0,1
5.4090,16.5264,0.1989,4.349,2,19.058,2.137,0.828,3.1885,2.328,3.328,0,1
5.4120,16.5394,0.2007,4.347,2,19.058,2.137,0.828,3.1771,2.328,3.328,0,1
5.4150,16.5523,0.2024,4.346,2,19.058,2.137,0.828,3.1658,2.328,3.328,0,1
5.4180,16.5653,0.2042,4.347,2,19.058,2.137,0.828,3.1545,2.328,3.328,0,1
5.4210,16.5782,0.2060,4.345,2,19.058,2.137,0.828,3.1431,2.328,3.328,0,1
5.4240,16.5911,0.2078,4.344,2,19.058,2.137,0.828,3.1318,2.328,3.328,0,1
5.4270,16.6041,0.2096,4.344,2,19.058,2.137,0.828,3.1205,2.328,3.328,0,1
5.4300,16.6170,0.2115,4.342,2,19.058,2.137,0.828,3.1092,2.328,3.328,0,1
5.4330,16.6300,0.2133,4.344,2,19.058,2.137,0.828,3.0979,2.328,3.328,0,1
5.4360,16.6429,0.2152,4.343,2,19.058,2.137,0.828,3.0866,2.328,3.328,0,1
5.4390,16.6558,0.2171,4.343,2,19.058,2.137,0.828,3.0753,2.328,3.328,0,1
