time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430
0.102000,0.055424,0.000004,1.677832,-0.000088,-0.000754,0.000113,0.000381,0.000000,0.140173,0.000000,0,0,16.731991
0.204000,0.055295,0.000016,1.522611,0.000527,-0.000027,0.000697,0.000373,0.000000,0.242839,0.000000,0,0,16.732117
0.306000,0.055218,0.000051,1.263977,0.000582,0.000219,0.002917,0.000419,0.000000,0.385209,0.000000,0,0,16.732187
0.408000,0.055172,0.000136,0.902700,0.000375,0.000006,0.009506,0.000448,0.000000,0.525974,0.000000,0,0,16.732219
0.510000,0.058700,-0.000592,0.536137,0.054344,0.092516,-0.011602,0.009876,0.000000,0.673857,0.000000,0,0,16.728853
0.612000,0.063299,-0.001330,0.544032,-0.019088,-0.054355,-0.004235,-0.001097,0.000000,0.779905,0.000000,0,0,16.724431
0.714000,0.060929,-0.000513,0.648596,0.035149,0.010454,0.014258,-0.020225,0.000000,0.858635,0.000000,0,0,16.726640
0.816000,0.066122,0.000106,0.661871,0.129289,0.126242,-0.033688,-0.000850,0.000000,0.904624,0.000000,0,0,16.721415
0.918000,0.095278,-0.002521,0.637464,0.444471,0.456154,0.012172,-0.007829,0.000000,0.938741,0.000000,0,0,16.693056
1.020000,0.160970,-0.001382,0.636744,0.818469,0.813220,0.019341,-0.004797,0.000000,0.958670,0.000000,0,0,16.628034
1.122000,0.261026,0.002583,0.666005,1.147949,1.137315,0.037520,0.021378,0.000000,0.973454,0.000000,0,0,16.528647
1.224000,0.390239,0.008552,0.699811,1.407085,1.403522,0.059540,0.011347,0.000000,0.982090,0.000000,0,0,16.400172
1.326000,0.547332,0.015882,0.725018,1.668683,1.670423,0.063320,0.007772,0.000000,0.988497,0.000000,0,0,16.243981
1.428000,0.731164,0.023337,0.738022,1.932547,1.932909,0.065853,0.017434,0.000000,0.992239,0.000000,0,0,16.061413
1.530000,0.942138,0.030713,0.740532,2.193911,2.195621,0.057364,0.020529,0.000000,0.995015,0.000000,0,0,15.852121
1.632000,1.178800,0.037037,0.736103,2.429735,2.436621,0.041001,0.024982,0.000000,0.996637,0.000000,0,0,15.617723
1.734000,1.440479,0.043181,0.730686,2.683330,2.687900,0.036680,0.023182,0.000000,0.997840,0.000000,0,0,15.358767
1.836000,1.727699,0.050237,0.730757,2.931102,2.930969,0.039293,0.017296,0.000000,0.998543,0.000000,0,0,15.074579
1.938000,2.037548,0.058425,0.738209,3.129069,3.134331,0.043852,0.021092,0.000000,0.999064,0.000000,0,0,14.768018
2.040000,2.367632,0.068363,0.743193,3.325887,3.330424,0.050929,0.018058,0.000000,0.999368,0.000000,0,0,14.441360
2.142000,2.716352,0.079298,0.741464,3.506399,3.501926,0.045392,0.025291,0.000000,0.999594,0.000000,0,0,14.096338
2.244000,3.082313,0.090382,0.734137,3.697893,3.676255,0.045136,0.000027,0.000000,0.998005,0.000000,0,0,13.734513
2.346000,3.462274,0.101218,0.700058,3.785937,3.736320,-0.004005,0.035414,-0.022727,0.971071,0.000000,0,0,13.359187
2.448000,3.842921,0.107606,0.689077,3.701481,3.754058,-0.032410,0.001147,-0.137098,0.953171,0.000000,0,0,12.984283
2.550000,4.230511,0.108696,0.713446,3.835023,3.849712,-0.102700,-0.041533,-0.101466,0.949491,0.000000,0,0,12.603915
2.652000,4.628934,0.104737,0.736211,3.975965,3.962162,-0.107915,-0.037187,-0.114868,0.943396,0.000000,0,0,12.214350
2.754000,5.038508,0.100963,0.735874,4.066193,4.059273,-0.072957,-0.041201,-0.079251,0.923989,0.000000,0,0,11.814344
2.856000,5.456724,0.098516,0.724932,4.126282,4.130046,-0.043090,-0.056579,-0.060477,0.906059,0.000000,0,0,11.406188
2.958000,5.880925,0.096404,0.717720,4.173777,4.180194,-0.028460,-0.050113,-0.053181,0.884481,0.000000,0,0,10.992757
3.060000,6.308507,0.093706,0.716321,4.199002,4.203195,-0.026313,-0.035870,-0.037021,0.867971,0.000000,0,0,10.576883
3.162000,6.737735,0.089622,0.720727,4.210998,4.211059,-0.014949,-0.039852,-0.007698,0.862251,0.000000,0,0,10.160548
3.264000,7.169291,0.086080,0.724361,4.254062,4.246433,-0.018646,-0.002689,-0.011838,0.869263,0.000000,0,0,9.742744
3.366000,7.603317,0.081613,0.724940,4.262363,4.261008,-0.026723,-0.007713,0.006307,0.888332,0.000000,0,0,9.323813
3.468000,8.038070,0.076202,0.727420,4.259029,4.264710,-0.022168,0.002310,0.013225,0.909372,0.000000,0,0,8.905605
3.570000,8.474137,0.071552,0.730528,4.289274,4.287951,-0.019979,-0.008596,-0.003310,0.938151,0.000000,0,0,8.487260
3.672000,8.912701,0.067638,0.729204,4.316845,4.310245,-0.009896,-0.009049,0.008506,0.958272,0.000000,0,0,8.067803
3.774000,9.353784,0.064551,0.724840,4.336431,4.334142,0.005991,0.002726,0.001557,0.973198,0.000000,0,0,7.647379
3.876000,9.797076,0.062587,0.722332,4.351053,4.353557,0.016822,0.010023,-0.015066,0.981918,0.000000,0,0,7.226414
3.978000,10.241413,0.060476,0.723856,4.354593,4.360561,-0.006242,0.015087,-0.008338,0.988386,0.000000,0,0,6.806678
4.080000,10.686878,0.057713,0.728177,4.368244,4.372984,-0.015500,-0.002513,-0.016621,0.992164,0.000000,0,0,6.388617
4.182000,11.133569,0.054112,0.731485,4.388141,4.388598,-0.019581,-0.023288,0.010392,0.994967,0.000000,0,0,5.972657
4.284000,11.582373,0.050819,0.728980,4.400642,4.403736,-0.001034,0.008542,0.010301,0.996604,0.000000,0,0,5.558092
4.386000,12.032420,0.048811,0.725306,4.410681,4.411483,0.001319,-0.001523,-0.000034,0.997819,0.000000,0,0,5.145951
4.488000,12.481931,0.046524,0.723926,4.402588,4.403628,-0.008427,-0.017154,0.029215,0.998529,0.000000,0,0,4.739198
4.590000,12.930965,0.043592,0.725228,4.403280,4.401984,-0.000875,0.008817,0.004000,0.999055,0.000000,0,0,4.338856
4.692000,13.379975,0.041502,0.727546,4.409420,4.402037,0.018222,0.011862,-0.019983,0.999362,0.000000,0,0,3.944971
4.794000,13.828781,0.041368,0.727867,4.405277,4.402930,0.037163,0.014143,0.081595,0.999590,0.000000,0,0,3.558455
4.896000,14.278561,0.044875,0.724655,4.407836,4.410978,0.071556,0.058085,0.154361,0.999724,0.000000,0,0,3.178951
4.998000,14.728314,0.054191,0.722215,4.406341,4.407152,0.098092,0.090609,0.264236,0.999823,0.000000,0,0,2.807853
5.100000,15.176924,0.072519,0.721362,4.393249,4.392162,0.152897,0.129898,0.298887,0.999880,0.000000,0,0,2.446030
5.202000,15.623487,0.102091,0.723124,4.371422,4.373790,0.200942,0.175285,0.322869,0.999923,0.000000,0,0,2.094736
5.304000,16.068171,0.143047,0.726482,4.369338,4.371739,0.225186,0.185129,0.343625,0.999948,0.000000,0,0,1.756183
5.406000,16.511147,0.195302,0.728617,4.358362,4.358461,0.266022,0.184785,0.311544,0.999967,0.000000,0,0,1.433685
5.508000,16.951018,0.259953,0.731301,4.341366,4.345519,0.295999,0.190011,0.355447,0.999978,0.000000,0,0,1.131700
5.610000,17.388275,0.333964,0.731712,4.329987,4.330056,0.288384,0.226202,0.350320,0.999986,0.000000,0,19,0.858494
5.712000,17.822588,0.415951,0.732496,4.320755,4.320036,0.276799,0.214047,0.323152,0.999990,0.000000,0,53,0.623672
5.814000,18.254279,0.505304,0.733109,4.305636,4.309105,0.263207,0.192348,0.304511,0.999994,0.000000,0,87,0.437738
5.916000,18.683531,0.601936,0.734760,4.296621,4.299724,0.245439,0.189998,0.233951,0.999996,0.000000,0,121,0.311536
6.018000,19.110708,0.704034,0.735962,4.293759,4.294303,0.220453,0.157038,0.234001,0.999997,0.000000,0,155,0.256112
6.120000,19.536059,0.810607,0.736400,4.290474,4.289210,0.199210,0.142080,0.178361,0.999998,0.000000,0,189,0.277025
6.222000,19.960048,0.920681,0.736287,4.287252,4.288808,0.177035,0.132334,0.187358,0.999999,0.000000,0,223,0.373044
6.324000,20.382876,1.034085,0.736068,4.288400,4.288091,0.153474,0.117753,0.173308,0.999999,0.000000,0,257,0.536008
6.426000,20.804459,1.150878,0.735602,4.287365,4.284492,0.142400,0.118195,0.110939,0.999999,0.000000,0,291,0.754244
6.528000,21.225256,1.270354,0.734081,4.290593,4.289413,0.112611,0.084173,0.052525,1.000000,0.000000,0,322,1.016800
