step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.240,0.016,0.17,0.843,0.00,2,18,10.00,5.63,+0.000,0.707,0.000,+0.000,0.707,0.000,0,9.195,10.32,0.000
40,3.665,0.106,1.68,1.221,8.93,2,18,10.00,5.29,+0.318,0.165,0.200,+0.318,0.165,0.200,0,8.936,10.34,0.000
54,5.488,0.485,9.11,2.330,11.16,2,18,10.00,5.06,+0.397,0.609,0.001,+0.392,0.607,0.000,1,2.943,62.90,0.000
60,7.106,0.927,13.99,3.234,0.18,2,18,10.00,5.61,+0.006,0.363,0.058,+0.006,0.363,0.058,0,0.764,7.82,0.000
63,8.077,1.194,14.96,3.501,-4.76,2,18,10.00,5.61,-0.170,0.304,0.136,-0.162,0.168,0.000,1,0.670,51.31,0.000
64,8.416,1.281,14.86,3.571,-6.67,2,18,10.00,5.48,-0.238,0.286,0.163,-0.138,0.114,0.000,1,-0.168,50.11,0.001
65,8.762,1.365,14.65,3.611,-9.59,2,18,10.00,5.20,-0.342,0.271,0.183,-0.158,0.120,0.000,1,-0.155,48.99,0.047
66,9.111,1.447,14.37,3.611,-10.48,2,18,10.00,5.11,-0.373,0.257,0.199,-0.324,0.000,0.009,1,-0.203,49.76,0.070
67,9.458,1.524,13.98,3.565,-11.75,2,18,10.00,4.98,-0.419,0.245,0.211,-0.081,0.019,0.000,1,-0.260,49.77,0.772
68,9.800,1.595,13.45,3.478,-13.24,2,18,10.00,4.83,-0.472,0.231,0.217,+0.135,0.106,0.000,1,-0.236,49.19,0.124
69,10.134,1.664,13.15,3.406,-16.37,2,18,10.00,4.53,-0.583,0.220,0.215,+0.116,0.038,0.000,1,0.062,48.72,0.302
70,10.458,1.737,13.18,3.304,-21.47,2,18,10.00,4.09,-0.765,0.209,0.206,+0.264,0.176,0.000,1,0.088,49.21,0.436
71,10.772,1.814,13.31,3.226,-25.36,2,18,10.00,3.80,-0.903,0.199,0.193,+0.181,0.033,0.000,1,0.119,49.49,0.562
72,11.078,1.896,13.62,3.157,-26.34,2,18,10.00,3.74,-0.938,0.189,0.174,+0.417,0.200,0.000,1,0.176,48.50,0.613
73,11.376,1.981,13.98,3.100,-28.07,2,18,10.00,3.63,-1.000,0.180,0.151,+0.239,0.027,0.000,1,0.223,48.54,0.687
74,11.667,2.070,14.56,3.046,-26.85,2,18,10.00,3.71,-0.956,0.171,0.122,+0.298,0.047,0.000,1,0.263,47.91,0.667
75,11.952,2.161,15.11,2.964,-27.44,2,18,10.00,3.67,-0.977,0.164,0.090,+0.636,0.000,0.010,1,0.297,47.30,0.703
76,12.228,2.253,15.71,2.891,-24.25,2,18,10.00,3.88,-0.864,0.168,0.058,+0.345,0.113,0.000,1,0.346,47.19,0.616
77,12.492,2.349,16.49,2.790,-24.03,2,18,10.00,3.90,-0.856,0.210,0.039,+0.227,0.254,0.000,1,0.051,48.17,0.244
78,12.748,2.446,17.10,2.715,-27.44,2,18,10.00,3.67,-0.977,0.272,0.026,+0.138,0.299,0.000,1,-0.070,47.65,0.312
