sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778654879.762619,0,1.679382,-0.023120,0.005955,-0.0237,-0.0166,-0.000561,1.648994,-0.000000,-0.000000,-0.0020,1.679278,-0.023261,0.005950,-0.0047,-0.0001,-0.000003,-0.107260,0.0000,1.679278,0.000000,-0.000000,5.0000,0.000000,2.000000,3413.2327,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0722,0.0000,0.000000,0.2000,17.06,9.23,43.36,4.85,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,23.159725399510137,-9.75735551831292,0.034939,0.031236,6559.1,6061.4,-0.047359,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778654879.768108,1,1.580980,-0.011348,-0.000304,0.0329,0.0371,-0.000529,1.648913,-0.000001,-0.000000,-0.0094,1.581178,-0.011403,-0.000308,0.0042,-0.0000,-0.000002,-0.015430,0.0000,1.581178,0.000000,0.000000,5.0000,0.000000,2.000000,3343.0247,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0785,0.0000,0.000000,0.2240,15.14,8.51,38.80,4.47,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,10.067990050669977,-230.28453031482672,0.014133,0.010469,6555.9,6064.7,-0.041707,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778654879.774637,2,1.734270,0.053454,0.000267,-0.0310,-0.0120,0.000198,1.648775,-0.000002,-0.000001,-0.0125,1.734416,0.053392,0.000264,0.0037,-0.0001,-0.000004,-0.006812,0.0000,1.734416,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.9527,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0855,0.0000,0.000000,0.2480,12.95,7.61,33.51,2.48,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,17.24693089879976,-219.41416692755226,0.015916,0.013214,6551.1,6069.4,-0.033395,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778654879.786616,3,1.573856,-0.049082,-0.001456,-0.0609,-0.0655,-0.002686,1.648627,-0.000004,-0.000003,-0.0121,1.573966,-0.049239,-0.001463,0.0035,-0.0005,-0.000020,0.008473,0.0000,1.573966,0.000000,0.000000,5.0000,0.000000,2.000000,3344.3910,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0932,0.0000,0.000000,0.2720,11.07,6.85,29.00,2.54,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,43.85962740247811,-58.5110816194839,0.039825,0.034220,6544.9,6075.7,-0.022538,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778654879.798521,4,1.594901,-0.091507,-0.006323,-0.0028,0.1137,-0.000360,1.648492,-0.000007,-0.000005,-0.0106,1.594985,-0.091457,-0.006325,0.0034,0.0003,0.000010,0.027631,0.0000,1.594985,0.000000,0.000000,5.0000,0.000000,2.000000,3350.9069,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1015,0.0000,0.000000,0.2960,9.49,6.19,25.16,2.45,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-4.8432991810233545,-513.9324146336296,-0.011637,-0.016623,6538.0,6082.5,-0.010600,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778654879.810469,5,1.653292,0.035798,0.001835,-0.0750,0.0297,-0.000803,1.648462,-0.000004,-0.000003,0.0004,1.653360,0.035882,0.001834,0.0036,0.0007,0.000022,0.063224,0.0000,1.653360,0.000000,0.000000,5.0000,0.000000,2.000000,3360.3511,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1105,0.0000,0.000000,0.3200,8.13,5.63,21.88,2.47,-0.000004,-0.0002,-4.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,-34.99902403704921,-604.1094773662513,-0.020379,-0.025424,6527.3,6093.2,0.008097,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778654879.822619,6,1.555262,-0.038954,0.005780,0.0317,-0.0381,0.000222,1.648468,0.000002,0.000000,0.0002,1.555436,-0.038944,0.005778,0.0095,0.0002,0.000000,0.080946,0.0000,1.555436,0.000000,0.000000,5.0000,0.000000,2.000000,3370.4492,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1201,0.0000,0.000000,0.3440,6.99,5.19,19.17,2.71,0.000002,0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-9.425336279150244,-461.37633949553066,-0.001817,-0.005604,6521.4,6099.2,0.018427,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778654879.834587,7,1.618823,0.000399,0.006047,0.0104,-0.0800,-0.000136,1.648452,0.000007,0.000003,-0.0009,1.618985,0.000294,0.006043,0.0101,-0.0017,-0.000069,0.095783,0.0000,1.618985,0.000000,0.000000,5.0000,0.000000,2.000000,3374.5599,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1303,0.0000,0.000000,0.3680,6.02,4.87,16.90,3.02,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,43.641191286382906,-252.6598950983218,0.029588,0.026363,6516.4,6104.1,0.027080,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778654879.846701,8,1.679949,-0.073096,-0.000693,0.0148,0.0646,0.001207,1.648434,0.000013,0.000007,-0.0008,1.680111,-0.073089,-0.000693,0.0114,0.0002,0.000002,0.114149,0.0000,1.680111,0.000000,-0.000000,5.0000,0.000000,2.000000,3370.0933,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1410,0.0000,0.000000,0.3920,5.20,4.56,14.96,2.81,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-28.761397143243002,-470.9957223185447,-0.001877,-0.002937,6510.8,6109.8,0.036920,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778654879.860274,9,1.682062,-0.029171,-0.004503,-0.1037,-0.0311,-0.001044,1.648415,0.000021,0.000011,-0.0007,1.682180,-0.029208,-0.004505,0.0096,-0.0009,-0.000045,0.132309,0.0000,1.682180,0.000000,-0.000000,5.0000,0.000000,2.000000,3360.0415,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1523,0.0000,0.000000,0.4160,4.48,4.34,13.31,3.09,0.000021,0.0006,-5.0007,0.008000,0.047622,-0.5952,-0.492026,-0.005058,0.000315,0.0,0.0,-0.018525693535380583,-403.7758077948651,0.011172,0.008983,6505.3,6115.3,0.046475,0.000000,0.000000,0.5000,1.0000,,,,,
