step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.998,0.048,0.83,1.716,0.00,3,18,10.00,5.63,+0.000,0.387,0.006,+0.000,0.387,0.006,0,8.350,10.21,0.000
40,4.542,0.271,5.39,1.075,15.08,3,18,10.00,4.66,+0.537,0.397,0.016,+0.537,0.397,0.016,0,5.995,10.14,0.000
44,5.056,0.396,7.80,1.702,11.28,3,18,10.00,5.05,+0.402,0.726,0.003,+0.401,0.717,0.000,1,2.896,45.93,0.000
45,5.231,0.439,8.47,1.925,10.09,3,18,10.00,5.17,+0.360,0.764,0.002,+0.380,0.759,0.000,1,2.482,54.87,0.000
46,5.427,0.487,9.18,2.124,10.00,3,18,10.00,5.18,+0.356,0.782,0.001,+0.373,0.780,0.000,1,2.189,66.41,0.000
47,5.642,0.541,9.98,2.318,9.02,3,18,10.00,5.27,+0.321,0.779,0.001,+0.359,0.781,0.000,1,1.843,71.23,0.000
48,5.874,0.602,10.80,2.504,7.06,3,18,10.00,5.46,+0.252,0.750,0.001,+0.251,0.749,0.000,1,1.457,93.45,0.000
49,6.121,0.670,11.62,2.658,6.47,3,18,10.00,5.51,+0.231,0.725,0.000,+0.232,0.724,0.000,1,1.225,85.45,0.000
52,6.947,0.903,13.71,3.092,3.86,3,18,10.00,5.61,+0.138,0.554,0.000,+0.139,0.554,0.000,1,0.701,75.90,0.000
54,7.563,1.081,14.91,3.377,-2.40,3,18,10.00,5.61,-0.086,0.440,0.003,-0.086,0.437,0.000,1,0.355,74.68,0.000
55,7.891,1.174,15.29,3.508,-5.21,3,18,10.00,5.59,-0.185,0.409,0.015,-0.186,0.394,0.000,1,0.156,81.11,0.000
56,8.232,1.268,15.51,3.630,-6.48,3,18,10.00,5.49,-0.231,0.373,0.038,-0.232,0.334,0.000,1,-0.015,85.48,0.000
57,8.585,1.363,15.50,3.743,-10.72,3,18,10.00,5.09,-0.382,0.346,0.062,-0.376,0.284,0.000,1,-0.152,109.25,0.001
58,8.948,1.456,15.29,3.834,-12.64,3,18,10.00,4.89,-0.450,0.329,0.080,-0.458,0.250,0.000,1,-0.158,256.68,0.001
59,9.321,1.545,14.78,3.899,-13.96,3,18,10.00,4.76,-0.497,0.310,0.100,-0.469,0.234,0.000,1,-0.241,518.56,0.005
60,9.701,1.626,14.06,3.938,-16.08,3,18,10.00,4.55,-0.573,0.294,0.118,+0.201,0.245,0.000,1,-0.251,399.75,0.237
61,10.086,1.699,13.16,3.970,-18.67,3,18,10.00,4.32,-0.665,0.279,0.133,+1.000,1.000,0.000,1,-0.250,297.98,3.834
62,10.475,1.776,12.77,4.035,-20.05,3,18,10.00,4.20,-0.714,0.267,0.144,+1.000,0.000,0.049,1,-0.250,361.48,1.823
63,10.865,1.864,12.92,4.040,-24.94,3,18,10.00,3.83,-0.888,0.250,0.156,+1.000,1.000,0.000,1,-0.190,227.74,4.828
64,11.253,1.965,13.41,4.052,-28.07,3,18,10.00,3.62,-1.000,0.240,0.162,+1.000,0.000,0.114,1,-0.250,277.09,3.521
65,11.637,2.079,14.21,4.034,-25.52,3,18,10.00,3.79,-0.909,0.228,0.169,+1.000,0.137,0.000,1,-0.251,170.02,3.039
66,12.016,2.206,15.30,4.015,-28.07,4,18,10.00,3.62,-1.000,0.217,0.172,+1.000,0.044,0.000,1,-0.249,191.28,3.049
67,12.388,2.343,16.63,3.971,-22.97,4,18,10.00,3.97,-0.818,0.204,0.179,+1.000,0.000,0.084,1,-0.252,179.20,2.034
68,12.748,2.492,18.04,3.855,-28.07,4,18,10.00,3.62,-1.000,0.195,0.183,+1.000,0.000,0.151,1,-0.253,172.83,2.452
69,13.090,2.647,19.40,3.688,-28.07,4,18,10.00,3.62,-1.000,0.187,0.180,+1.000,0.000,0.213,1,-0.252,148.27,2.054
70,13.411,2.802,20.76,3.481,-24.88,4,18,10.00,3.84,-0.886,0.178,0.164,+1.000,0.000,0.288,1,-0.252,158.50,1.507
71,13.711,2.953,22.12,3.266,-24.03,4,18,10.00,3.90,-0.856,0.168,0.134,+1.000,0.000,1.000,1,-0.260,55.39,3.491
72,13.988,3.097,23.42,3.031,-25.95,4,18,10.00,3.77,-0.924,0.161,0.100,+1.000,0.000,1.000,1,-0.294,77.66,15.513
73,14.244,3.229,24.72,2.787,-25.31,4,18,10.00,3.81,-0.902,0.172,0.063,+1.000,1.000,0.000,1,-0.307,56.86,28.958
74,14.478,3.351,26.01,2.542,-25.95,4,18,10.00,3.77,-0.924,0.214,0.044,+1.000,1.000,0.000,1,-0.308,46.91,27.254
75,14.691,3.466,27.26,2.387,-27.22,4,18,10.00,3.68,-0.970,0.315,0.026,+1.000,1.000,0.000,1,-0.287,47.00,11.547
76,14.894,3.594,28.59,2.491,-24.60,4,18,10.00,3.86,-0.876,0.399,0.019,+1.000,1.000,0.000,1,-0.249,29.44,1.749
77,15.102,3.740,30.04,2.648,-26.16,4,18,10.00,3.75,-0.932,0.524,0.012,-0.932,1.000,0.000,1,-0.168,48.14,0.428
78,15.319,3.903,31.63,2.808,-26.80,4,18,10.00,3.71,-0.955,0.586,0.009,-0.955,1.000,0.000,1,-0.049,70.35,0.322
79,15.549,4.071,32.27,2.930,-26.80,4,18,10.00,3.71,-0.955,0.732,0.005,-0.955,1.000,0.000,1,0.087,63.99,0.134
80,15.794,4.237,32.53,3.033,-26.80,4,18,10.00,3.71,-0.955,0.806,0.003,-0.955,1.000,0.000,1,0.248,61.98,0.070
81,16.053,4.400,32.50,3.131,-23.61,4,18,10.00,3.93,-0.841,0.878,0.002,-0.841,1.000,0.000,1,0.433,61.23,0.028
82,16.324,4.561,32.16,3.229,-22.76,4,18,10.00,3.99,-0.811,0.914,0.001,-0.811,1.000,0.000,1,0.640,60.51,0.014
83,16.608,4.720,31.59,3.332,-24.67,4,18,10.00,3.85,-0.879,0.946,0.001,-0.879,1.000,0.000,1,0.869,60.38,0.005
84,16.904,4.876,30.78,3.429,-28.07,4,18,10.00,3.62,-1.000,0.966,0.001,-1.000,1.000,0.000,1,1.116,85.08,0.005
85,17.213,5.029,29.76,3.509,-28.07,5,18,10.00,3.62,-1.000,0.977,0.000,-1.000,1.000,0.000,1,1.379,133.46,0.015
86,17.534,5.175,28.50,3.591,-25.52,5,18,10.00,3.79,-0.909,0.984,0.000,-0.911,1.000,0.000,1,1.655,109.93,0.003
87,17.868,5.313,27.12,3.686,-27.44,5,18,10.00,3.66,-0.977,0.990,0.000,-0.998,1.000,0.000,1,1.943,145.73,0.054
88,18.215,5.445,25.64,3.786,-28.07,5,18,10.00,3.62,-1.000,0.993,0.000,-0.946,1.000,0.000,1,2.247,140.90,0.175
89,18.574,5.569,24.00,3.847,-28.07,5,18,10.00,3.62,-1.000,0.996,0.000,-0.929,1.000,0.000,1,2.289,145.23,0.236
90,18.944,5.684,22.30,3.900,-28.07,5,18,10.00,3.62,-1.000,0.997,0.000,-0.758,0.946,0.000,1,2.159,145.73,0.391
91,19.321,5.788,20.49,3.970,-28.07,5,18,10.00,3.62,-1.000,0.998,0.000,-0.889,0.944,0.000,1,2.010,136.57,0.423
92,19.708,5.883,18.70,4.027,-28.07,5,18,10.00,3.62,-1.000,0.999,0.000,-0.877,1.000,0.000,1,1.896,153.18,0.586
93,20.102,5.968,16.75,4.071,-28.07,5,18,10.00,3.62,-1.000,0.999,0.000,-0.582,1.000,0.000,1,1.796,148.88,0.748
94,20.502,6.042,14.66,4.127,-28.07,5,18,10.00,3.62,-1.000,0.999,0.000,-0.679,1.000,0.000,1,1.696,135.79,0.793
95,20.910,6.107,12.75,4.181,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.242,0.996,0.000,1,1.653,171.46,1.194
96,21.323,6.165,10.79,4.239,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.569,1.000,0.000,1,1.609,138.77,1.123
97,21.742,6.220,9.37,4.286,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.968,1.000,0.000,1,1.568,149.09,1.361
98,22.166,6.263,7.87,4.290,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.859,0.916,0.000,1,1.538,137.20,1.157
99,22.591,6.293,6.08,4.290,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.940,0.924,0.000,1,1.513,149.18,1.164
100,23.016,6.307,4.31,4.293,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.658,1.000,0.000,1,1.502,149.59,1.243
101,23.441,6.307,2.43,4.305,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.639,1.000,0.000,1,1.497,149.46,1.382
102,23.870,6.292,0.65,4.335,-28.07,5,18,10.00,3.62,-1.000,1.000,0.000,-0.858,1.000,0.000,1,1.493,159.07,1.320
