step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.971,0.044,0.71,2.142,0.00,2,18,27.00,7.63,+0.000,0.426,0.020,+0.000,0.426,0.020,0,8.213,10.39,0.000
40,4.232,0.217,4.48,0.585,24.72,2,18,27.00,5.40,+0.881,0.314,0.032,+0.881,0.314,0.032,0,8.525,10.38,0.000
55,7.313,1.292,17.09,3.690,-4.48,2,18,27.00,7.50,-0.159,0.521,0.000,-0.163,0.522,0.000,1,0.272,64.40,0.000
56,7.666,1.401,17.01,3.771,-6.31,2,18,27.00,7.38,-0.225,0.494,0.000,-0.227,0.494,0.000,1,-0.089,49.59,0.000
57,8.028,1.506,16.69,3.835,-8.97,2,18,27.00,7.09,-0.320,0.474,0.000,-0.266,0.478,0.000,1,-0.247,50.47,0.003
58,8.397,1.606,16.17,3.893,-12.80,2,18,27.00,6.62,-0.456,0.462,0.000,-0.272,0.403,0.000,1,0.242,49.49,0.069
59,8.774,1.699,15.53,3.952,-13.44,2,18,27.00,6.54,-0.479,0.459,0.000,-0.284,0.382,0.000,1,-0.365,48.78,0.023
60,9.157,1.786,14.85,3.986,-17.27,2,18,27.00,6.09,-0.615,0.462,0.000,-0.028,0.054,0.000,1,-0.500,48.92,0.466
61,9.546,1.868,14.25,4.019,-21.10,2,18,27.00,5.67,-0.751,0.470,0.000,+0.019,0.241,0.000,1,-0.152,49.45,0.106
62,9.933,1.955,14.12,3.983,-23.96,2,18,27.00,5.39,-0.853,0.488,0.000,-0.112,0.291,0.000,1,-0.455,49.17,0.186
63,10.316,2.043,13.98,3.932,-26.80,2,18,27.00,5.13,-0.955,0.532,0.000,-0.367,0.841,0.000,1,-0.328,48.39,0.168
64,10.696,2.129,13.52,3.943,-24.57,2,18,27.00,5.34,-0.875,0.593,0.000,-0.179,1.000,0.000,1,-0.510,48.19,0.888
65,11.080,2.210,12.83,4.008,-20.87,2,18,27.00,5.70,-0.743,0.664,0.000,-0.032,0.563,0.000,1,-0.318,48.10,0.116
66,11.471,2.293,12.61,4.062,-16.71,2,18,27.00,6.15,-0.595,0.727,0.000,-0.274,0.765,0.000,1,-0.369,49.12,0.027
67,11.867,2.374,12.43,4.104,-14.81,2,18,27.00,6.37,-0.528,0.781,0.000,-0.310,0.750,0.000,1,-0.310,49.16,0.020
68,12.268,2.449,11.82,4.130,-14.06,2,18,27.00,6.46,-0.501,0.820,0.000,-0.287,0.723,0.000,1,-0.444,47.46,0.042
69,12.673,2.515,11.03,4.158,-11.24,2,18,27.00,6.80,-0.400,0.854,0.000,-0.269,0.922,0.000,1,-0.488,47.50,0.051
70,13.082,2.572,10.27,4.177,-11.90,2,18,27.00,6.72,-0.424,0.884,0.000,-0.064,0.878,0.000,1,-0.488,47.48,0.071
71,13.495,2.625,9.63,4.217,-8.81,2,18,27.00,7.08,-0.314,0.914,0.000,+0.197,0.933,0.000,1,-0.482,47.39,0.068
72,13.910,2.684,9.46,4.247,-8.42,2,18,27.00,7.13,-0.300,0.932,0.000,+0.183,0.964,0.000,1,-0.503,48.52,0.083
73,14.324,2.755,9.68,4.238,-7.12,2,18,27.00,7.27,-0.253,0.948,0.000,+0.171,0.929,0.000,1,-0.470,46.92,0.077
74,14.736,2.838,10.09,4.242,-6.00,2,18,27.00,7.37,-0.214,0.965,0.000,-0.194,0.972,0.000,1,-0.477,47.29,0.038
75,15.148,2.924,10.35,4.253,-5.74,2,18,27.00,7.39,-0.204,0.977,0.000,-0.197,0.990,0.000,1,-0.484,46.97,0.038
76,15.562,3.000,9.90,4.257,-5.43,2,18,27.00,7.42,-0.193,0.985,0.000,-0.188,0.995,0.000,1,-0.487,47.45,0.031
77,15.979,3.064,9.48,4.262,-4.79,2,18,27.00,7.45,-0.171,0.990,0.000,-0.158,0.996,0.000,1,-0.468,47.38,0.019
