sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778670342.810922,0,1.644332,0.022657,-0.002723,0.0138,0.1699,0.000355,1.648994,-0.000000,-0.000000,-0.0020,1.644833,0.024084,-0.002692,0.0087,0.0007,0.000031,-0.115039,0.0000,1.644833,0.000000,0.000000,5.0000,0.000000,2.000000,3412.5000,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0720,0.0000,0.000000,0.2000,17.05,9.32,43.41,5.46,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,1590.355102327721,3743.808406245039,-0.328548,-0.326448,6561.1,6059.5,-0.020311,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778670342.819685,1,1.654240,-0.089780,-0.007662,-0.0313,0.1136,-0.000900,1.648913,-0.000001,-0.000000,-0.0094,1.654621,-0.088456,-0.007634,0.0087,0.0014,0.000059,-0.026181,0.0000,1.654621,0.000000,0.000000,5.0000,0.000000,2.000000,3348.6374,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0782,0.0000,0.000000,0.2240,14.54,8.63,37.72,4.75,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,1692.7292741594033,4005.0473349587464,-0.308193,-0.307522,6558.0,6062.5,-0.018184,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778670342.831606,2,1.610175,0.037609,-0.000126,-0.0541,-0.0425,0.000096,1.648775,-0.000002,-0.000002,-0.0124,1.610440,0.038599,-0.000106,0.0073,0.0019,0.000081,-0.017238,0.0000,1.610440,0.000000,0.000000,5.0000,0.000000,2.000000,3343.8024,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0852,0.0000,0.000000,0.2480,12.41,7.85,32.68,3.44,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,2150.6631436529656,4420.708469885014,-0.235843,-0.235163,6553.3,6067.3,-0.014859,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778670342.843488,3,1.620679,0.057939,0.001302,0.0229,-0.0002,0.001104,1.648627,-0.000004,-0.000003,-0.0121,1.621000,0.058727,0.001319,0.0108,0.0027,0.000111,-0.001773,0.0000,1.621000,0.000000,0.000000,5.0000,0.000000,2.000000,3344.3298,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0929,0.0000,0.000000,0.2720,10.59,7.25,28.44,3.85,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,2525.733052780389,4578.165356105541,-0.192024,-0.190105,6547.1,6073.4,-0.010569,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778670342.855515,4,1.654013,0.028822,0.006310,-0.0741,0.0536,-0.000182,1.648492,-0.000007,-0.000005,-0.0105,1.654242,0.029530,0.006325,0.0092,0.0038,0.000155,0.018622,0.0000,1.654242,0.000000,0.000000,5.0000,0.000000,2.000000,3345.1466,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1012,0.0000,0.000000,0.2960,9.06,6.60,24.72,2.91,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,2735.22599882129,4693.043545043094,-0.175583,-0.174252,6540.1,6080.5,-0.005670,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778670342.867664,5,1.729680,-0.075468,0.002030,0.0558,0.0004,0.000445,1.648463,-0.000004,-0.000003,0.0003,1.730089,-0.074910,0.002042,0.0188,0.0046,0.000180,0.042797,0.0000,1.730089,0.000000,-0.000000,5.0000,0.000000,2.000000,3353.2926,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1102,0.0000,0.000000,0.3200,7.77,6.02,21.56,2.71,-0.000004,-0.0002,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,3067.5128817682876,4811.577360152367,-0.142539,-0.140896,6532.3,6088.2,-0.000263,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778670342.879616,6,1.671867,-0.035138,0.000254,0.0571,-0.0067,-0.000052,1.648468,0.000001,-0.000000,0.0001,1.672374,-0.034712,0.000262,0.0267,0.0051,0.000197,0.060440,0.0000,1.672374,0.000000,-0.000000,5.0000,0.000000,2.000000,3358.8362,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1198,0.0000,0.000000,0.3440,6.67,5.57,18.90,3.01,0.000001,-0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,3247.9843983703113,4843.926630333229,-0.112624,-0.111354,6526.5,6094.1,0.003837,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778670342.891633,7,1.702961,0.089556,-0.000750,0.0126,0.0099,-0.000086,1.648453,0.000007,0.000003,-0.0008,1.703366,0.089901,-0.000743,0.0243,0.0058,0.000205,0.076268,0.0000,1.703366,0.000000,-0.000000,5.0000,0.000000,2.000000,3370.6779,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1300,0.0000,0.000000,0.3680,5.74,5.16,16.63,2.84,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,3300.0861165137803,4824.728112709877,-0.094716,-0.093797,6521.3,6099.3,0.007448,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778670342.903606,8,1.673553,-0.000323,-0.000057,-0.0767,-0.0385,-0.000352,1.648433,0.000015,0.000007,-0.0008,1.673844,-0.000108,-0.000053,0.0200,0.0048,0.000166,0.093394,0.0000,1.673844,0.000000,-0.000000,5.0000,0.000000,2.000000,3374.0257,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1407,0.0000,0.000000,0.3920,4.94,4.82,14.70,2.87,0.000015,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,3041.333307266872,4614.999411475547,-0.061433,-0.061136,6515.9,6104.6,0.011178,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778670342.915604,9,1.646306,0.043290,0.001004,-0.0046,0.0160,0.000629,1.648415,0.000021,0.000011,-0.0007,1.646517,0.043478,0.001007,0.0165,0.0053,0.000186,0.112187,0.0000,1.646517,0.000000,0.000000,5.0000,0.000000,2.000000,3369.5139,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.4160,4.26,5.16,13.69,7.10,0.000021,0.0006,-5.0007,0.008000,0.052239,0.2124,-0.484845,0.027849,0.000276,0.0,0.0,3049.519977259932,4568.416487751159,-0.056142,-0.055101,6510.3,6110.3,0.015096,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778670342.927563,10,1.602011,0.050239,0.004805,0.0097,-0.0497,-0.000965,1.648397,0.000028,0.000014,-0.0006,1.602196,0.050323,0.004806,0.0156,0.0027,0.000087,0.132977,0.0000,1.602196,0.000000,0.000000,5.0000,0.000000,2.000000,3360.6757,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1637,0.0000,0.000000,0.4400,3.68,4.91,12.28,3.52,0.000028,0.0008,-5.0006,0.008000,0.172831,0.6874,-0.485900,0.012842,-0.004473,0.0,0.0,2371.391045810998,4129.166351232983,-0.025490,-0.025880,6504.6,6115.9,0.019056,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778670342.939619,11,1.638085,0.031163,0.000300,0.0125,-0.0746,0.000897,1.648380,0.000035,0.000018,-0.0005,1.638249,0.031139,0.000300,0.0154,-0.0010,-0.000019,0.151737,0.0000,1.638249,0.000000,0.000000,5.0000,0.000000,2.000000,3353.8506,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1759,0.0000,0.000000,0.4640,3.19,4.63,11.01,3.06,0.000035,0.0011,-5.0005,0.008000,0.023558,0.0298,-0.486201,-0.004076,0.001271,0.0,0.0,1494.9901945271831,3460.3036990616115,0.007752,0.008583,6499.3,6121.3,0.022805,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778670342.951663,12,1.685158,0.003057,0.000810,0.1147,0.0240,0.000428,1.648364,0.000043,0.000023,-0.0004,1.685506,0.003066,0.000811,0.0350,0.0004,0.000028,0.170064,0.0000,1.685506,0.000000,-0.000000,5.0000,0.000000,2.000000,3350.0897,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1885,0.0000,0.000000,0.4880,2.78,4.36,9.92,2.81,0.000043,0.0013,-5.0004,0.008000,0.057506,-0.0173,-0.466679,0.001351,0.002263,0.0,0.0,1844.6771681670928,3681.7264416145954,-0.003289,-0.002072,6494.1,6126.5,0.026426,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778670342.963640,13,1.625509,-0.116093,-0.001548,0.0629,-0.1202,0.000675,1.648349,0.000050,0.000026,-0.0003,1.625877,-0.116217,-0.001549,0.0407,-0.0071,-0.000165,0.188455,0.0000,1.625877,0.000000,0.000000,5.0000,0.000000,2.000000,3355.4325,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2016,0.0000,0.000000,0.5120,2.44,4.17,9.04,3.06,0.000050,0.0015,-5.0003,0.008000,0.165912,-0.4377,-0.462808,-0.022176,0.002619,0.0,0.0,1026.8794918429167,2906.1651326296337,0.043435,0.045276,6488.9,6131.7,0.030014,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778670342.975689,14,1.730854,0.055451,0.001874,0.0384,0.0474,0.000719,1.648334,0.000058,0.000030,-0.0002,1.731190,0.055407,0.001875,0.0406,-0.0030,-0.000034,0.206438,0.0000,1.731190,0.000000,-0.000000,5.0000,0.000000,2.000000,3351.9882,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2151,0.0000,0.000000,0.5360,2.15,4.02,8.31,3.17,0.000058,0.0017,-5.0002,0.008000,0.139405,-0.0200,-0.465358,-0.008707,-0.001456,0.0,0.0,1479.6886114356435,3298.124050966885,0.016253,0.018658,6484.0,6136.6,0.033460,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778670342.987553,15,1.624404,-0.026849,-0.009357,0.0233,-0.0038,-0.000184,1.648320,0.000067,0.000035,-0.0002,1.624689,-0.026890,-0.009356,0.0376,-0.0030,-0.000036,0.224289,0.0000,1.624689,0.000000,0.000000,5.0000,0.000000,2.000000,3354.7716,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2290,0.0000,0.000000,0.5600,1.88,3.84,7.59,2.82,0.000067,0.0020,-5.0002,0.008000,0.098886,-0.5569,-0.470154,-0.007761,-0.000745,0.0,0.0,1569.8144382554678,3343.8272183690588,0.014698,0.016403,6479.1,6141.5,0.036855,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778670342.999606,16,1.552560,0.024781,-0.004152,-0.0272,-0.0493,0.002289,1.648307,0.000076,0.000039,-0.0001,1.552773,0.024707,-0.004151,0.0306,-0.0066,0.000090,0.242010,0.0000,1.552773,0.000000,0.000000,5.0000,0.000000,2.000000,3360.0675,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2432,0.0000,0.000000,0.5840,1.66,3.65,6.98,2.62,0.000076,0.0022,-5.0001,0.008000,0.211815,-0.1804,-0.478684,-0.015800,0.003244,0.0,0.0,1357.61126488201,3062.611085940859,0.029516,0.033813,6474.3,6146.3,0.040200,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778670343.011646,17,1.711635,-0.089250,-0.000361,-0.0071,-0.0358,0.000423,1.648295,0.000085,0.000044,-0.0000,1.711795,-0.089338,-0.000360,0.0250,-0.0087,0.000019,0.259271,0.0000,1.711795,0.000000,-0.000000,5.0000,0.000000,2.000000,3371.2411,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2578,0.0000,0.000000,0.6080,1.49,3.64,6.62,3.59,0.000085,0.0025,-5.0000,0.008000,0.090104,-0.0177,-0.485998,-0.019678,0.000592,0.0,0.0,1305.159093783344,2963.7426677794037,0.037405,0.041408,6469.7,6150.9,0.043437,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778670343.023585,18,1.608662,-0.031506,-0.014995,0.0316,0.0058,-0.000912,1.648284,0.000095,0.000048,0.0000,1.608823,-0.031572,-0.014995,0.0267,-0.0068,-0.000035,0.277011,0.0000,1.608823,0.000000,0.000000,5.0000,0.000000,2.000000,3378.9706,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2728,0.0000,0.000000,0.6320,1.32,3.59,6.24,3.27,0.000095,0.0027,-5.0000,0.008000,0.116392,-0.9078,-0.486271,-0.014748,0.001893,0.0,0.0,1484.2726959361266,3114.3636520606697,0.028492,0.030558,6465.0,6155.6,0.046687,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778670343.035686,19,1.605173,0.047848,-0.002153,-0.0447,0.0524,0.001087,1.648273,0.000105,0.000052,0.0001,1.605298,0.047843,-0.002152,0.0218,-0.0008,0.000113,0.294088,0.0000,1.605298,0.000000,0.000000,5.0000,0.000000,2.000000,3390.5840,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2881,0.0000,0.000000,0.6560,1.20,3.98,6.38,6.18,0.000105,0.0030,-4.9999,0.008000,0.048429,-0.3833,-0.493178,-0.001754,0.003148,0.0,0.0,2107.320461812605,3572.7789539562477,0.002034,0.005091,6460.5,6160.0,0.049809,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778670343.047655,20,1.631216,0.030033,0.009333,-0.0177,-0.0604,-0.002614,1.648263,0.000116,0.000057,0.0001,1.631322,0.029976,0.009332,0.0181,-0.0061,-0.000146,0.311329,0.0000,1.631322,0.000000,0.000000,5.0000,0.000000,2.000000,3386.4164,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3036,0.0000,0.000000,0.6800,1.09,4.00,6.18,4.10,0.000116,0.0033,-4.9999,0.008000,0.058561,0.5235,-0.498948,-0.013112,0.000909,0.0,0.0,1621.0889336678688,3191.4028898065735,0.026640,0.025765,6456.2,6164.3,0.052791,0.000000,0.000000,0.5000,1.0000,,,,,
0.2520,1778670343.059751,21,1.678268,0.015471,0.003456,-0.0552,-0.0123,0.001081,1.648253,0.000127,0.000062,0.0001,1.678353,0.015416,0.003456,0.0150,-0.0061,-0.000083,0.327790,0.0000,1.678353,0.000000,-0.000000,5.0000,0.000000,2.000000,3378.7474,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3195,0.0000,0.000000,0.7040,1.02,3.98,6.02,3.92,0.000127,0.0035,-4.9999,0.008000,0.060221,0.1532,-0.503921,-0.012952,0.000389,0.0,0.0,1691.3703494128786,3183.1627640168495,0.025573,0.026247,6452.0,6168.6,0.055745,0.000000,0.000000,0.5000,1.0000,,,,,
0.2640,1778670343.071604,22,1.671157,-0.036700,-0.005289,0.0340,-0.1061,0.000583,1.648245,0.000139,0.000067,0.0002,1.671262,-0.036830,-0.005290,0.0191,-0.0150,-0.000221,0.343814,0.0000,1.671262,0.000000,-0.000000,5.0000,0.000000,2.000000,3374.2041,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3356,0.0000,0.000000,0.7280,0.93,3.90,5.76,3.41,0.000139,0.0038,-4.9998,0.008000,0.079871,-0.2373,-0.501717,-0.030986,-0.003823,0.0,0.0,1347.5523185794254,2760.3212945646937,0.061273,0.062557,6447.9,6172.7,0.058640,0.000000,0.000000,0.5000,1.0000,,,,,
0.2760,1778670343.083619,23,1.666112,-0.006090,0.000439,0.0146,0.0843,0.000721,1.648236,0.000151,0.000071,0.0002,1.666211,-0.006124,0.000439,0.0186,-0.0043,0.000005,0.359028,0.0000,1.666211,0.000000,-0.000000,5.0000,0.000000,2.000000,3369.9900,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3520,0.0000,0.000000,0.7520,0.85,3.85,5.56,3.58,0.000151,0.0041,-4.9998,0.008000,0.132349,-0.0697,-0.504006,-0.008672,0.002488,0.0,0.0,1968.5515020445675,3318.114232441451,0.016396,0.018357,6443.9,6176.7,0.061411,0.000000,0.000000,0.5000,1.0000,,,,,
