time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971
0.102000,0.055424,0.000004,1.677832,-0.000095,-0.000764,0.000120,0.000353,0.000000,0.130125,0.000000,0,0,16.794537
0.204000,0.055295,0.000016,1.522611,0.000546,-0.000011,0.000699,0.000374,0.000000,0.243396,0.000000,0,0,16.794664
0.306000,0.055218,0.000051,1.263977,0.000582,0.000218,0.002916,0.000418,0.000000,0.368934,0.000000,0,0,16.794737
0.408000,0.055172,0.000135,0.902700,0.000373,0.000005,0.009480,0.000446,0.000000,0.526590,0.000000,0,0,16.794773
0.510000,0.059384,-0.000512,0.564207,0.053311,0.100885,-0.010781,0.008312,0.000000,0.658545,0.000000,0,0,16.790659
0.612000,0.063719,-0.000653,0.637828,0.015323,-0.031754,-0.003491,0.011364,0.000000,0.780172,0.000000,0,0,16.786368
0.714000,0.061991,-0.000189,0.742896,0.032744,-0.004104,0.004340,0.009743,0.000000,0.851687,0.000000,0,0,16.788033
0.816000,0.063386,-0.000006,0.747215,0.061090,0.055042,-0.007664,0.010222,0.000000,0.904740,0.000000,0,0,16.786626
0.918000,0.077709,-0.003233,0.706439,0.165932,0.218066,-0.014123,0.025586,0.000000,0.935730,0.000000,0,0,16.772755
1.020000,0.113267,-0.002881,0.677916,0.458314,0.462525,0.008094,0.011800,0.000000,0.958720,0.000000,0,0,16.737381
1.122000,0.173421,-0.000579,0.701723,0.712360,0.693876,0.034670,0.018820,0.000000,0.972149,0.000000,0,0,16.677350
1.224000,0.252124,0.005434,0.739063,0.844409,0.845368,0.055161,0.018621,0.000000,0.982112,0.000000,0,0,16.598470
1.326000,0.346473,0.013298,0.764103,1.006808,1.005778,0.063783,0.017148,0.000000,0.987931,0.000000,0,0,16.503835
1.428000,0.457930,0.020782,0.777616,1.183716,1.182385,0.053136,0.021706,0.000000,0.992248,0.000000,0,0,16.392247
1.530000,0.587837,0.027227,0.781395,1.363150,1.362252,0.034344,0.031303,0.000000,0.994770,0.000000,0,0,16.262445
1.632000,0.735541,0.032604,0.779552,1.526098,1.527222,0.018559,0.019715,0.000000,0.996641,0.000000,0,0,16.115089
1.734000,0.898713,0.036865,0.778296,1.671327,1.672198,0.006446,0.017255,0.000000,0.997734,0.000000,0,0,15.952502
1.836000,1.076788,0.041637,0.777537,1.819675,1.820262,0.006603,0.012985,0.000000,0.998544,0.000000,0,0,15.775065
1.938000,1.270217,0.047451,0.777625,1.967500,1.968087,0.015321,0.010081,0.000000,0.999018,0.000000,0,0,15.582270
2.040000,1.478513,0.054185,0.777754,2.110764,2.111618,0.013253,0.012819,0.000000,0.999369,0.000000,0,0,15.374620
2.142000,1.701118,0.061662,0.778102,2.254749,2.254044,0.019605,0.013670,0.000000,0.999574,0.000000,0,0,15.152691
2.244000,1.938535,0.070267,0.780602,2.396674,2.398763,0.021390,0.012052,0.000000,0.999727,0.000000,0,0,14.915943
2.346000,2.190140,0.079571,0.781882,2.530310,2.533109,0.016776,0.015003,0.000000,0.998380,0.000000,0,0,14.665049
2.448000,2.455479,0.088994,0.781119,2.672396,2.668062,0.004986,0.021524,0.000000,0.986383,0.000000,0,0,14.400537
2.550000,2.735118,0.098238,0.780663,2.815780,2.814262,0.000843,0.027439,0.000000,0.968266,0.000000,0,0,14.121889
2.652000,3.030009,0.108497,0.779379,2.977509,2.974274,-0.001885,0.021111,0.000000,0.941347,0.000000,0,0,13.828021
